payee_name,project_title,year_joined,public_expenditure_listing,fund,uri
ΕΥ∆ ΕΠΕ∆ΒΜ - Μονάδα ∆,Οργάνωση και υλοποίηση Επιτροπών Παρακολούθησης ΑΠ13,2009,"147.595,00 €",ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347
ΕΥ∆ ΕΠΕ∆ΒΜ - Μονάδα ∆,Οργάνωση και υλοποίηση Επιτροπών Παρακολούθησης ΑΠ14,2009,"189.525,00 €",ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347
ΕΥ∆ ΕΠΕ∆ΒΜ - Μονάδα ∆,Οργάνωση και υλοποίηση Επιτροπών Παρακολούθησης ΑΠ15,2009,"12.880,00 €",ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347
∆ιεθνές Πανεπιστήµιο της Ελλάδος,∆ιεθνές Πανεπιστήµιο της Ελλάδος (Λειτουργία – Ανάπτυξη),2009,"19.000.000,00 €",ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347
Ειδική Υπηρεσία Εφαρµογής Εκπαιδετικών ∆ράσεων του ΥΠΕΠΘ,Εφαρµογή ξενόγλωσσων προγραµµάτων σπουδών στην Πρωτοβάθµια εκπαίδευση στις 8 Περιφέρειες Σύγκλισης,2009,"12.000.000,00 €",ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347
Ειδική Υπηρεσία Εφαρµογής Εκπαιδετικών ∆ράσεων του ΥΠΕΠΘ,Εφαρµογή ξενόγλωσσων προγραµµάτων σπουδών στην Πρωτοβάθµια εκπαίδευση στις 3 Περιφέρειες Σταδιακής Εξόδου,2009,"17.800.000,00 €",ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347
Ειδική Υπηρεσία Εφαρµογής Εκπαιδετικών ∆ράσεων του ΥΠΕΠΘ,Εφαρµογή ξενόγλωσσων προγραµµάτων σπουδών στην Πρωτοβάθµια εκπαίδευση στις 2 Περιφέρειες Σταδιακής Εισόδου,2009,"2.600.000,00 €",ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347
Εθνικό Ίδρυµα Νεότητας,Κέντρα Περιβαλλοντικής Εκπαίδευσης στις 8 Περιφέρειες Σύγκλισης,2009,"4.622.222,00 €",ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347
Εθνικό Ίδρυµα Νεότητας,Κέντρα Περιβαλλοντικής Εκπαίδευσης στις 3 περιφέρειες σταδιακής εξόδου,2009,"2.999.615,00 €",ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347
Εθνικό Ίδρυµα Νεότητας,Κέντρα Περιβαλλοντικής Εκπαίδευσης στις 2 περιφέρειες σταδιακής εισόδου,2009,"848.446,00 €",ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347
Παιδαγωγικό Ινστιτούτο,Εισαγωγική επιµόρφωση για νεοδιόριστους και προσλαµβανόµενους ως αναπληρωτές εκπαιδευτικούς σχολικού έτους 2008-2009 στις 8 Περιφέρειες Σύγκλισης,2009,"2.299.998,00 €",ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347
Παιδαγωγικό Ινστιτούτο,Εισαγωγική επιµόρφωση για νεοδιόριστους και προσλαµβανόµενους ως αναπληρωτές εκπαιδευτικούς σχολικού έτους 2008-2009 στις 3 Περιφέρειες Σταδιακής Εξόδου,2009,"2.049.792,00 €",ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347
Παιδαγωγικό Ινστιτούτο,Εισαγωγική επιµόρφωση για νεοδιόριστους και προσλαµβανόµενους ως αναπληρωτές εκπαιδευτικούς σχολικού έτους 2008-2009 στις 2 Περιφέρειες Σταδιακής Εισόδου,2009,"249.492,00 €",ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347
Ινστιτούτο ∆ιαρκούς Εκπαίδευσης Ενηλίκων (Ι∆ΕΚΕ),Σχολεία ∆εύτερης Ευκαιρίας – ΑΠ7,2009,"9.999.000,00 €",ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347
Ινστιτούτο ∆ιαρκούς Εκπαίδευσης Ενηλίκων (Ι∆ΕΚΕ),Σχολεία ∆εύτερης Ευκαιρίας – ΑΠ8,2009,"5.000.000,00 €",ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347
Ινστιτούτο ∆ιαρκούς Εκπαίδευσης Ενηλίκων (Ι∆ΕΚΕ),Σχολεία ∆εύτερης Ευκαιρίας – ΑΠ9,2009,"2.068.000,00 €",ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347
Αρχή ∆ιασφάλισης Ποιότητας στην Ανώτατη Εκπαίδευση (Α∆ΙΠ),"Ανάπτυξη εθνικού συστήµατος αξιολόγησης, διασφάλισης της ποιότητας και τεκµηρίωσης των Ιδρυµάτων Ανώτατης Εκπαίδευσης στις 8 Περιφέρειες Σύγκλισης",2009,"6.175.095,58 €",ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347
Αρχή ∆ιασφάλισης Ποιότητας στην Ανώτατη Εκπαίδευση (Α∆ΙΠ),"Ανάπτυξη εθνικού συστήµατος αξιολόγησης, διασφάλισης της ποιότητας και τεκµηρίωσης των Ιδρυµάτων Ανώτατης Εκπαίδευσης στις 3 Περιφέρειες Σταδιακής Εξόδου",2009,"7.928.315,26 €",ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347
Αρχή ∆ιασφάλισης Ποιότητας στην Ανώτατη Εκπαίδευση (Α∆ΙΠ),"Ανάπτυξη εθνικού συστήµατος αξιολόγησης, διασφάλισης της ποιότητας και τεκµηρίωσης των Ιδρυµάτων Ανώτατης Εκπαίδευσης στις 2 Περιφέρειες Σταδιακής Εισόδου",2009,"538.345,16 €",ΕΚΤ,http://www.espa.gr/Shared/Download.aspx?cat=attachments&type=Documents&fileid=347
