SOCIALFONDEN: ,,,
Journalnr,Projekttitel,Virksomhed,Tilsagn pr. 31.12.2009
Mål 2 Socialfond Hovedstaden,,,
  1 En kvalificeret arbejdsstyrke,,,
   1.1 Udvikling af menneskelige ressourcer,,,
,Karrierecoaches,Københavns Kommune,                                -   
,Detailakademiet,Københavns Erhvervsakademi,"              4.469.484,00 "
,Kompetencer i et fremmed land – et udviklingsprojekt for læger med andet sprog end dansk som modersmål,Region Hovedstaden,"              2.269.804,00 "
,"Ledige, nydanske erhvervsdrivende",ASE,"              2.515.382,00 "
,KUNSTGREB,KUNSTGREB ApS,"              9.252.873,00 "
,Innovationskraft og entreprenørskab på gymnasier i Region Hovedstaden,CPH WEST Uddannelsescenter København Vest,"            12.538.078,74 "
,Udvikling med udsigt,Erhvervsskolen Nordsjælland,"            17.247.332,48 "
   1.1 Udvikling af menneskelige ressourcer,Antal :,7,"            48.292.954,22 "
   1.3 Anvendelse af ny teknologi,,,                                -   
,Copenhagen Film Mentor,Den Danske Filmskole / DADUI,"              2.792.191,21 "
   1.3 Anvendelse af ny teknologi,Antal :,1,"              2.792.191,21 "
   1.2 Innovation og videndeling,,,                                -   
          ESFH-09-0032,Pilotprojekt for undervisning og efteruddannelse i Design to Improve Life,Index Award A/S,"              3.212.463,54 "
   1.2 Innovation og videndeling,Antal :,1,"              3.212.463,54 "
  I alt 1 En kvalificeret arbejdsstyrke,Antal :,9,"            54.297.608,97 "
  2 Udvidelse af arbejdsstyrken,,,                                -   
   2.1 Udvikling af menneskelige ressourcer,,,                                -   
,I arbejde igen,CPH WEST Uddannelsescenter København Vest,"              2.224.500,00 "
,Start  igen,FIC - Fagligt Internationalt Center for Uddannelse,"              2.114.000,00 "
,International Students International Career (ISIC),Ingeniørforeningen (IDA),"              2.588.263,00 "
,Kvinder på vej,Hillerød Kommune,"              5.292.400,00 "
   2.1 Udvikling af menneskelige ressourcer,Antal :,4,"            12.219.163,00 "
   2.2 Etab. og udvikling af nye virksomh.,,,                                -   
,Studentervæksthuset Katapult,Københavns Universitet,"              2.343.750,00 "
,"Iværksætterhuset: Videncenter for Iværksætteri, Innovation og Inkubation i Region Hovedstaden",Niels Brock,"              8.011.371,54 "
   2.2 Etab. og udvikling af nye virksomh.,Antal :,2,"            10.355.121,54 "
  I alt 2 Udvidelse af arbejdsstyrken,Antal :,6,"            22.574.284,54 "
I alt Mål 2 Socialfond Hovedstaden,Antal :,15,"            76.871.893,51 "
