SOCIALFONDEN:,,,
Journalnr,Projekttitel,Virksomhed,Tilsagn pr. 31.12.2009
Mål 2 Socialfond Bornholm,,,
  1 En kvalificeret arbejdsstyrke,,,
   1.1 Udvikling af menneskelige ressourcer,,,
,Ud i Naturen - Året Rundt,NaturBornholm,"                3.420.750,00 "
,Serviceskole,Bornholms Erhvervsskole,"                5.440.248,00 "
,Kulturvækst Bornholm,Bornholms Regionskommune,"                2.292.858,81 "
,Kompetence Forum Bornholm,Business Center Bornholm,"                8.569.163,62 "
,Innovation i arbejdet,Bornholms Regionskommune,"                   547.584,00 "
   1.1 Udvikling af menneskelige ressourcer,Antal :,5,"              20.270.604,43 "
   1.2 Innovation og videndeling,,,                                  -   
,Oplevelsesledelse i Yderområder,Center for Regional- og Turismeforskning,"                5.555.653,79 "
   1.2 Innovation og videndeling,Antal:,1,"                5.555.653,79 "
  I alt 1 En kvalificeret arbejdsstyrke,Antal:,6,"              25.826.258,22 "
I alt Mål 2 Socialfond Bornholm,Antal:,6,"              25.826.258,22 "
