"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"GSOL","Stirnu iela 8, Garkalne, Ādažu novads, LV-2137","Iekārtu iegāde jaunas ražotnes izveidei","Briģu pagasts",31/08/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA ''GSOL'' projekta ietvaros plāno izveidot jaunu ražotni un uzsākt lopbarības ietinamo sietu ražošanu. Projekts tiks realizēts īpaši atbalstāmajā teritorijā - Brigu pagastā, tādējādi samazinot nelabvēlīgās atšķirības starp reģioniem, kā arī sekmējot līdzsvarotu valsts attīstību. Īstenojot projektu tiks veikti ilgtermiņa ieguldījumi pamatlīdzekļos.",219500,120725,0,4,"-"
2,"DESTRA-LABEL","Ausekļa iela 4, Valka, Valkas novads, LV-4701","Austās etiķetes","Valka",28/08/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekt aietvaros plānots iegādāties divas aušanas stelles SIA ""DESTRA-LABEL"" ražotās produkcijas dažādošanai ar jauniem produktiem, tas ir, austajām etiķetēm, kalendāriem, vimpeļiem un emblēmām. Projekta ietvaros plānots izveidot arī trīs jaunas darba vietas. Jaunie darbinieki tiks apmācīti darbam ar iegādātajām aušanas stellēm.",272300,149765,0,6,"www.destra.lv"
3,"Avoti SWF","'Avoti'', Lizums, Lizuma pagasts, Gulbenes novads, LV-4425","Kokapstrādes uzņēmuma ražotnes paplašināšana","Lizuma pagasts",28/08/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta mērķis ir paplašināt SIA ''Avoti SWF'' ražošanu un modernizēt koksnes atlikumu un brāķēto detaļu pārstrādi, plānojot iegādāties četras jaunas iekārtas - optimizācijas garināšanas iekārtu, koksnes defektu remonta iekārtu, precīzas garināšanas zāģi un šķeldotāju kopā ar dzirnavām.",155000,85250,0,4,"www.avoti.lv"
4,"IRINAL","Tirgus iela 1,Strenču nov., Seda, Valkas pagasts, Valkas novads, LV-4728","SIA IRINAL maizes ceptuves modernizācija ","Valkas pagasts",31/08/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta ietvaros laika posmā no 2009. gada oktobra līdz 2010. gada martam paredzēts veikt rekonstrukcijas darbus SIA „IRINAL” piederošajā ražošanas ēkā izveidojot to par modernu ES standartiem atbilstošu maizes ceptuvi- konditorejas izstrādājumu ražošanas cehu. Lai nodrošinātu veiksmīgu uzņēmuma attīstību, produktivitātes paaugstināšanos un ražotās produkcijas augstāko kvalitāti, projekta ietvaros plānots iegādāties arī jaunas ražošanas tehnoloģiskās iekārtas. ",54030.79,29716.93,0,6,
5,"Datu Apstrādes Centrs","Bišu 4-36, Gulbene, Gulbenes novads, LV-4401","SIA „Datu apstrādes centrs” Datu apstrādes sistēmas izveide","Gulbene",31/08/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA „Datu Apstrādes Centra” iesniegtā projekta - „SIA „Datu Apstrādes
 Centrs” datu apstrādes sistēmas izveide” aktivitātes ir vērstas uz projekta mērķi -
 uzņēmuma attīstības un izaugsmes veicināšanu (pakalpojuma kvalitātes un
 apgrozījuma celšanu), modernizāciju (nemateriālo ieguldījumu – programmatūras
 licences iegāde, IT servera iegāde, sistēmas ieviešana, reizē arī darbinieku
 intelektuālo izaugsmi) un racionālu energoresursu taupīšanu (ekoloģiskie aspekti,
 cilvēkresursu ekonomija).",49000,26950,0,2,"www.degvielaskartes.lv"
6,"MAILEKS","""Straupnieki"", Rubas pagasts, Saldus novads, LV-3892","Zāģēšanas iecirkņa attīstība","Priekules pagasts",31/08/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","
 Projekta mērķis ir palielināt SIA „MAILEKS” zāģēšanas iecirkņa jaudas par 50%, ceļot produktivitāti un samazinot produkcijas pašizmaksu. Projekta īstenošanas rezultātā uzņēmums ietaupīs vismaz 1810 LVL/mēnesī. Projektā veicamās darbības ir saistītas ar nepieciešamo iekārtu (dēļu apmalošanas un pakošanas līnija pie lentzāģa, skaidu nosūkšanas sistēma, transportieris un pacēlājs pie daudzzāģa, paku transportieris un pacēlājs pie optimizācijas līnijas) iepirkšanu, uzstādīšanu un darbinieku apmācību.
 
 ",31700,17435,0,3,"-"
7,"Pamats un co","Gramzdas iela 90, Rīga, LV-1029","Blietētā betona būvdetaļu ražošanas līnijas iegāde","Kalnciems",28/08/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta mērķis ir iegādāties blietētā betona būvdetaļu ražošanas līniju un līdzšinējo amatniecisko ražošanas procesu pārveidot par industriālu. Ražošanas procesa maiņa ļaus pazemināt izstrādājumu pašizmaksu un svaru, kā arī pircējiem piedāvāt lētākus izstrādājumus. Līdz ar to Latvijā lielu popularitāti guvušās blietētā betona būvdetaļas kļūs eksportspējīgas.
 Projekta ietvaros tiks iegādāta Latvijā pirmā automatizētā blietētā betona būvdetaļu ražošanas līnija, sākotnēji orientējoties uz žogu stabiņu izgatavošanu. Projekta pieredze dos iespēju veidot automātiskās līnijas arī citu plaši pieprasītu būvdetaļu (saliekamu pakāpienu, arhitektūras detaļu u.c.) industriālas ražošanas attīstīšanai jau tuvākajos divos gados.",235000,129250,0,8,"www.pamats.lv"
8,"Krape-S","Ilzenes iela 2A, Rīga, LV-1005","Kokapstrādes ražotnes izveidošana","Krapes pagasts",28/08/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta ietvaros tiks izveidota jauna kokapstrādes ražotne Krapes pagastā, kurā tiks ražoti profilētās koksnes izstrādājumi, kas ir tālāk izmantojami koka logu un durvju izgatavošanā.
 Projektā tiks veikti sākotnējie ieguldījumi SIA ''Krape-S'' pamatlīdzekļos:
 1) kokapstrādes ražošanas līnijas iekārtu iegāde (lentzāģa darbgalds, vairāku veidu transportieri, lentzāģu asināšanas darbgalds, zāģa asmeņi);
 2) rūpnieciskās ražošanas ēku rekonstrukcija.
 Projekta rezultātā īpaši atbalstāmajā teritorijā Krapes pagastā tiks radītas 10-15 jaunas darba vietas.",354738.43,148919.19,0,6,"-"
9,"Mary's Delicate Line","Dekmeri, Augšlīgatne, Ķiršu iela 2, Līgatnes pagasts, Līgatnes novads, LV-4108","Rūpnieciskās šūšanas un izšūšanas darbnīcas izveide","Dobeles pagasts",31/08/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta ietvaros SIA ""Mary`s Delicate Line"" vēlas iegādāties rūpnieciskās ražošanas iekārtas un licencētas datorprogrammas, lai ražotu rūpnieciski šūtus un izšūtus tektila izstrādājumus, sākot ar dizaina izstrādi, izstrādājumu izgatavošanu, iepakošanu un nogādāšanu Pasūtītājm. Realizācijas apjoma palielināšanai, paredzēts izveidot arī savas tirdzniecības vietas. Darbnīcā tiks ražotas produkcija ar daudz augstāku pievienoto vērtību. Izstrādājumu ražošanai tiks iegādātas jaunas, jaudīgas , datorizētas iekārtas ar salīdzinoši mazu elektroenerģijas patēriņu un pazemitātu trokšņu līmeni. Jaunām iekārtām ir ilgāks lietošnas laiks, mazākas apkopes un remonta izmaksas, kā arī labāki garantijas nosacījumi. Ražošanas iekaŗtas un datortehnika ļoti strauji morāli noveco. Jaunas iekārtas ir kompaktākas un tādēļ iespējama ražošanas telpas efektīvāka izmantošana, kā rezultātā smazināšanā ražošanas izmaksas. ",47966,26381.3,0,5,"-"
10,"SimplexS","Vienības gatve 18a, Rīga, LV-1004","Tekstilizstrādājumu ražotnes izveide","Sokolku pagasts",28/08/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA ""SimplexS"" 2009. gadā ir uzsākusi jaunu darbības nozari - tekstilizstrādājumu ražošanu. Projekta īstenošanas rezultātā tiks izveidota tekstilizstrādājumu ražotne īpaši atbalstāmajā teritorijā. Pozitīvā ietekme no projekta īstenošanas ir nelabvēlīgās atšķirības starp reģioniem samazināšana un valsts attīstības līdzsvarošana. īstenojot projektu tiks veikti ilgtermiņa iegulījumi pamatlīdzekļos. ",49850,27417.5,0,2,"-"
