"Nr.p.k.","Nosaukums","Juridiskā adrese","Projektā iesaistītie partneri","Projekta nosaukums","Projekta īstenošanas vieta","Projekta apstiprināšanas datums","Kopsavilkums par projekta ietvaros veicamajām darbībām","Kopējās apstiprinātās projekta attiecināmās izmaksas","ESF finansējums (LVL)","Valsts budžeta finansējums (LVL)","Projekta īstenošanas laiks mēnešos"
1,"Daugavpils Universitāte","Vienības iela 13, Daugavpils, LV-5400","Latvijas Universitāte,Rīgas Tehniskā universitāte,Latvijas Lauksaimniecības universitāte","Atbalsts Daugavpils Universitātes doktora studiju īstenošanai","Daugavpils","07.05.2009.","Projekta mērķis ir palielināt augstākās kvalifikācijas doktora grādu ieguvušo speciālistu skaitu Daugavpils Universitātē studiju jomās: dzīvās dabas zinātnēs, fizikālās zinātnēs, matemātikā un statistikā; sociālās un cilvēkrīcības zinātnes; humanitārās zinātnēs; pedagogu izglītībā un izglītības zinātnēs - kuri spējīgi radīt un ieviest ražošanā augstas tehnoliģijas produktus, kā arī produktus un pakalpojumus ar augstu pievienoto vērtību, veicinot tautsaimniecības attīstību uz inovāciju pamata.
Galvenās aktivitātes: mērķstipendiātu atlase; mērķstipendiju izmaksas nodrošināšana; doktorantūras atbalsta pasākumu organizēšana.
Sagaidāmie rezultāti:
Izmaksātas 219 gada mērķstipendijas; 104 doktorantiem piešķirts Eiropas Sociālā fonda atbalsts doktora studijām; vismaz 52 (50%) Eiropas Sociālā fonda atbalstu saņēmušo doktorantu līdz 2015. gada 31.augustam ir ieguvuši doktora zinātnisko grādu.
Sadarbības partneri: Latvijas Universitāte, Rīgas Tehniskā universitāte, Latvijas Lauksaimniecības universitāte.
īstenošanas laiks: 2009. gada 1.jūlijs - 2013. gada 31.oktobris.
Projekta finansējums:
Kopējais finansējums                                            LVL 2 389 026, no kura:
Eiropas Sociālā fonda finansējums                       LVL 2 030 669
Valsts budžeta finansējums                                  LVL 358 357
","2,389,026.00","2,030,669.00","358,357.00",52
2,"Liepājas Universitāte","Lielā iela 14, Liepāja, LV-3401","Rīgas Tehniskā universitāte,Ventspils Augstskola;publiska aģentūra ""Latvijas Universitātes aģentūra ""Latvijas Universitātes Latviešu valodas institūts"""",""Latvijas Universitāte""","Doktora studiju attīstība Liepājas Universitātē","Liepāja","15.05.2009.","Projekta „Doktora studiju attīstība Liepājas Universitātē” vispārējais mērķis ir nodrošināt augsti kvalificētu speciālistu sagatavošanu tautsaimniecības attīstībai un starptautiskai konkurētspējai valsts ekonomikai svarīgās nozarēs, īpaši – augstākajā izglītībā un zinātnē, stiprinot cilvēkresursu potenciālu zinātnes un pētniecības attīstībai Kurzemes reģionā. 
Projekta tiešais mērķis ir veicināt doktorantu un zinātniskā grāda ieguvēju skaita pieaugumu Liepājas Universitātē, uzlabojot doktorantūras studiju pieejamību, kvalitāti, efektivitāti un starptautisko atpazīstamību. 
Projektu īstenos Liepājas Universitāte sadarbībā ar Rīgas Tehnisko universitāti, Ventspils Augstskolu un Latvijas Universitāti.
Projekta galvenās aktivitātes ir:
- Doktorantūras studiju īstenošana un promocijas darbu izstrāde;
- Doktorantūras kvalitātes atbalsta pasākumu ieviešana;
- Projekta vadība un publicitāte. 
Projekta īstenošanas rezultātā tiks paaugstināts LiepU doktorantu skaits, kas, savukārt, stiprinās augstskolas un tās zinātnisko institūtu akadēmiskā un zinātniskā personāla kapacitāti un konkurētspēju. Kopumā projekts dos ieguldījumu Latvijas tautsaimniecības attīstībai, kas balstīta zināšanās un inovācijās.  
Projektu ieviesīs no 2009.gada 1.augusta līdz 2015.gada 31.augustam, pavisam 73 mēnešus. Plānotais projekta budžets ir LVL 630 819, t.sk. LVL 536 196 ESF finansējums un LVL 94 623 valsts līdzfinansējums.
","630,819.00","536,192.00","94,627.00",73
3,"Banku augstskola","K. Valdemāra iela 161, Rīga, LV-1013","Nodibinājums ""Banku augstskolas Biznesa un finanšu pētniecības centrs"";APP ""Ventspils Augstskola"";AS "" Rīgas starptautiskā ekonomikas un biznesa administrācijas augstskola ""","Atbalsts doktorantiem studiju programmas apguvei un zinātniskā grāda ieguvei Banku augstskolā","Rīga","07.05.2009.","Projekta mērķis: Sagatavot konkurentspējīgus zinātniekus un atjaunot akadēmisko personālu izglītības tematiskās grupas Sociālās zinātnes, komerczinības un tiesību izglītības tematiskajā jomā Vadības zinātne un administrēšana, kā arī sagatavot speciālistus ar augstāko zinātnisko kvalifikāciju - doktora grādu Latvijas augstskolām, valsts institūcijām un uz zināšanām balstītām komercsabiedrībām
Projekta aktivitātes: 1) Projekta vadība 2) Atbalsts doktorantiem un to darbu vadītājiem 3) Informācijas un publicitātes pasākumi
Projekta rezultāti: Atbalstu saņēmuši starpaugstskolu doktora studiju programmas ""Biznesa vadība"" studējošie - 22 doktoranti; Atbalstu saņēmušie starpaugstskolu doktora studiju programmā ""Biznesa vadība"" studējošo doktorantu darba vadītāji - 10 darba vadītāji; Starpaugstskolu doktora studiju programmā ""Biznesa vadība"" doktora zinātnisko grādu ieguvušie doktoranti - 14 doktoranti; Noorganizētās zinātniskās konferences un semināri - 16 konferences un semināri; Banku augstskolā izvietotas informatīvas plāksnes un plakāts ar skaidru norādi par to, ka projektu līdzfinansē Eiropas Savienība - 2 plāksnes un plakāts; Sagatavotas preses relīzes un informatīvi raksti - 20 preses relīzes un informatīvi raksti; Informācija par projektu un tā rezultātiem izvietota mājas lapā www.ba.lv - 16 informācijas; Informatīvie materiāli par projekta aktivitātēm un paredzamajiem rezultātiem - 4000 eksemplāri.
Projektu īstenotājs: Banku augstskola.
Sadarbības partneri: Ventspils augstskola, Rīgas starptautiskās ekonomikas un biznesa administrācijas augstskola un nodibinājums ""Banku augstskolas Biznesa un finanšu pētniecības centrs"".
Projekta norises vieta: Rīga, K.Valdemāra iela 161, LV-1013.
Projekta norises laiks: no 2009.gada augustam līdz 2013.gada jūlijam.
Projekta ilgums: 48 mēneši.
Projekta finansējums: kopējais budžets ir 502 040 Ls no tiem 426 733 Ls, jeb 85% veido Eiropas Sociālā fonda finansējums un 75 307 Ls, jeb 15% veido valsts budžeta līdzekļi.
","502,040.00","426,734.00","75,306.00",49
4,"Rīgas Pedagoģijas un izglītības vadības akadēmija","Imantas 7. līnija 1, Rīga, LV-1083","Latvijas Kultūras akadēmija;Rīgas Tehniskā universitāte","Mērķstipendijas Rīgas Pedagoģijas un izglītības vadības augstskolas doktora studiju programmas „Pedagoģija” doktorantiem","Rīga","15.05.2009. ","Projekta „Mērķstipendijas Rīgas Pedagoģijas un izglītības vadības augstskolas doktora studiju programmas „Pedagoģija” doktorantiem” mērķis ir piešķirt mērķstipendijas RPIVA doktora studiju programmā „Pedagoģija” studējošiem, tādējādi nodrošinot šīs programmas sekmīgu apguvi. Projekta rezultātā tiks nodrošināts, ka vismaz 6 doktoranti, no kopējā RPIVA doktorantu skaita 2007./2008.akadēmiskajā gadā, saņems Eiropas Sociālā fonda atbalstu studijām doktorantūrā – mērķstipendijas un doktorantūras kvalitātes atbalsta pasākumus, bet projekta beigās vismaz 6 mērķstipendijas saņēmušie doktoranti līdz 2013.gada 31.augustam iegūs doktora zinātnisko grādu.
Projekta mērķis atbilst apakšaktivitātes 1.1.2.1.2. kopējam mērķim, t.i., palielināt doktora grādu ieguvušo speciālistu skaitu.
Plānotais projekta finansējums – 225 051 LVL, t.sk. ESF finansējums – 191 294 LVL un valsts budžeta finansējums – 33 757 LVL.
Projekts nodrošinās horizontālās prioritātes „Vienlīdzīgas iespējas” ievērošanu un pasākumus dzimumu līdztiesības, aktīvās novecošanās un invalīdu tiesību jomā.
","225,051.00","191,294.00","33,757.00",51
5,"Latvijas Universitāte","Raiņa bulvāris 19, Rīga, LV-1586","Pārtikas un veterinārā dienesta Nacionālais diagnostikas centrs;SIA ""Rīgas Austrumu klīniskā universitātes slimnīca"";Rīgas Tehniskā universitāte;Latvijas Biomedicīnas pētījumu un studiju centrs;Daugavpils Universitāte","Atbalsts doktora studijām Latvijas Universitātē","Kurzeme, Latgale, Rīga","03.04.2009.","Projekts sniegs finansiālu atbalstu doktorantiem un zinātniskā grāda pretendentiem, kas studē pilna vai nepilna laika studijās valsts budžeta finansētajās vai maksas studiju vietās jebkurā no izglītības tematiskajām grupām viņu mācību un pētniecības procesa nodrošināšanai un izglītības kvalitātes paaugstināšanai. Projekta galvenās aktivitātes ir konkurss pretendentu atlasei, mērķstipendiju un kvalitātes atbalsta pasākumu nodrošināšana doktorantiem, kā rezultātā 533 doktoranti un zinātniskā grāda pretendenti saņems stipendijas un 267 iegūs doktora grādu.
LU ir izstrādāts un darbojas sadarbības mehānisms doktora studiju programmu īstenošanai sadarbībā ar citām Latvijas un ārvalstu augstākās izglītības un zinātniskajām institūcijām. Projekta realizācijā no 2009. - 2015. gadam (70 mēneši) LU sadarbosies ar Rīgas Tehnisko universitāti, Rīgas Austrumu klīniskās universitātes slimnīcu, Pārtikas un veterinārā dienesta Nacionālo diagnostikas centru, Latvijas Biomedicīnas pētījumu un studiju centru, Daugavpils Universitāti un Liepājas Universitāti. Plānotais finansējums projekta realizācijai ir 15 459 422 Ls, no kuriem 13 140 505 Ls ESF līdzekļi un 2 318 917 Ls valsts budžeta līdzekļi
","15,459,422.00","13,140,507.00","2,318,915.00",73
6,"Rīgas Tehniskā universitāte","Kaļķu iela 1, Rīga, LV-1658","Elektronikas un datorzinātņu institūts;Latvijas Organiskās sintēzes institūts;Fizikālās enerģētikas institūts;Latvijas Valsts Koksnes ķīmijas institūts;Latvijas Lauksaimniecības universitāte;","Atbalsts RTU doktora studiju īstenošanai","Rīga, Daugavpils, Ventspils, Liepāja","03.04.2009.","Projektā ir paredzēts sniegt atbalstu 298 doktorantiem un zinātniskā grāda pretendentiem doktora studiju programmas apguvei un doktora zinātniskā grāda ieguvei, maksājot mērķstipendijas, sedzot kvalitātes atbalsta pasākumu izmaksas, kā arī algojot doktora darba vadītājus. 
Projekta rezultātā paredzēts, ka doktora zinātnisko grādu iegūs 182 doktoranti. 
Projekts tiks īstenots Rīgas Tehniskajā universitātē (Rīgā un filiālēs Daugavpilī, Ventspilī un Liepājā) no 2009.gada līdz 2015.gadam turpinot sadarbību doktorantu sagatavošanā ar Enerģētikas un datorzinātņu institūtu,  Latvijas Organiskās sintēzes institūtu, Fizikālās enerģētikas institūtu, Latvijas Valsts koksnes ķīmijas institūtu, Latvijas Lauksaimniecības universitāti, kā arī citām zinātniskajām institūcijām.
Projekta kopējais finansējums ir Ls 6 456 660, kuru veido Eiropas Sociālais fonda līdzfinansējums 85% un Latvijas valsts budžeta līdzfinansējums 15%.
","6,456,660.00","5,488,161.00","968,499.00",76
7,"AS "" Transporta un sakaru institūts""","Lomonosova iela 1, Rīga, LV-1019","Biedrība ""Fraunhofer Institute for Factory Operation and Automation"";VPI ""Viļņas Gedeminas Tehniskā universitāte""","Atbalsts Transporta un sakaru institūta doktora studiju programmas ""Telemātika un loģistika"" īstenošanai","Daugavpils, Rīga","15.05.2009.","Projekta mērķis ir: paaugstināt nacionālās ekonomikas konkurentspēju, palielinot Transporta un sakaru institūta doktorantu skaitu, kas ieguvuši inženierzinātņu doktora zinātnisko grādu, kā arī palielināt doktorantu starptautiskās mibilitātes ierobežotas iespējas zinātniskās pētniecības darba veikšanai.
Projekta galvenās aktivitātes ir ESF mērķstipendiju nodrošināšana doktora studijām, doktorantu darba vadīšana, projekta kvalitātes atbalsta pasākumu veikšana u.c.
Sagaidāmie projekta rezultāti - ESF atbalstu ir saņēmuši 26 doktoranti, ir izmaksātas 528 mērķstipendijas, 84,6% ESF atbalstu saņēmušo doktorantu līdz 2015.gada 31.augustam ir ieguvuši doktora zinātnisko grādu.
Projekta iesniedzējs ir Transporta un sakaru institūts, projekta sadarbības partneri: Fraunhofer Institute of Factory Operation and Automation, Magdeburga, Vācija, Viļņas Gedeminas Tehniskā universitāte, Lietuva.
Projekta norises vieta: Rīga un Daugavpils, 01.12.2009.-30.11.2013.
Plānotais projekta finansējums: 411 992 Ls (ESF daļa) un 72 704 Ls (valsts budžeta līdzfinansējuma daļa).","484,696.00","411,991.00","72,705.00",48
8,"Rēzeknes Augstskola","Atbrīvošanas aleja 90, Rēzekne, LV-4601","Latvijas Sporta pedagoģijas akadēmija;Latvijas Universitāte;Rīgas Tehniskā universitāte","Atbalsts doktora studiju programmu īstenošanai Rēzeknes Augstskolā","Rēzekne","15.05.2009.","Projekta „Atbalsts doktora studiju programmu īstenošanai Rēzeknes Augstskolā” mērķis ir piešķirt mērķstipendijas Rēzeknes Augstskolas  doktora studiju programmu „Pedagoģija” un „Vides inženierzinātne” doktorantiem, tādā veidā palielinot to speciālistu skaitu, kas ieguvuši augstāko kvalifikāciju (doktora zinātnisko grādu) un spējīgi plānot, radīt un ieviest augstas tehnoloģijas produktus, kā arī produktus un pakalpojumus ar augstu pievienoto vērtību, veicinot tautsaimniecības attīstību uz inovāciju pamata vienā no Latvijas ekonomiski vājākajiem reģioniem – Latgalē.
Projekta ietvaros tiek plānots piešķirt mērķstipendijas sešiem doktorantiem, kuras tiks asignētas atbilstoši „Nolikumam par mērķstipendiju piešķiršanu doktorantiem Rēzeknes Augstskolā”. Mērķstipendijas veicinās doktoranta studiju procesa norisi un nepieciešamo rezultātu sasniegšanu, aizstāvot promocijas darbu un iegūstot doktora zinātnisko grādu attiecīgajā nozarē. 
Atbalsts doktoranta zinātniskās darbības veicināšanai (konferenču dalības maksas nodrošināšana, komandējumu izmaksas, zinātnisko rakstu sagatavošana un publicēšana) sekmēs zinātnisko atziņu aprobāciju Latvijas un Eiropas līmenī.
","259,677.00","220,723.00","38,954.00",48
9,"Latvijas Mākslas akadēmija","Kalpaka bulv.13, Rīga, LV-1867","J.Vītola Latvijas Mūzikas akadēmija;Latvijas Kultūras akadēmija;Latvijas Mākslas akadēmijas Mākslas vēstures institūts","Atbalsts Latvijas Mākslas akadēmijas doktora studiju programmu īstenošanai","Rīga","07.05.2009.","Projekts „Atbalsts Latvijas Mākslas akadēmijas doktora studiju programmu īstenošanai” ir paredzēts Latvijas Mākslas akadēmijas Doktorantūrā studējošo atbalstam, lai sekmētu promocijas darbu kvalitāti un palielinātu aizstāvamo darbu skaitu mākslas, dizaina un radošo industriju jomā
Projekta mērķu sasniegšanai ir paredzētas sekojošās aktivitātes:
1. Doktorantu finansiālā atbalsta pasākumi;
2. Studiju kvalitātes atbalsta pasākumi;
Projekta sagaidāmie rezultāti - 16 LMA doktora programmā studējošie saņems ESF mērķstipendijas un 12 mērķstipendijas saņēmušie studējošie sekmīgi aizstāvēs promocijas darbu. 
Projekta īstenos Latvijas Mākslas akadēmija un tās sadarbības partneri - Jāzepa Vītola Latvijas Mūzikas akadēmija, Latvijas Kultūras akadēmija un LMA Mākslas vēstures institūts
Projekts tiks realizēts no 2009. līdz 2015 gadam Latvijas Mākslas Akadēmijā.
Projekta plānotais finansējums ir 328 924 lati, no kuriem ESF  finansējums – 279 586 lati un valsts budžeta līdzfinanasējums – 49 338  lati.
","328,924.00","279,584.00","49,340.00",72
10,"Latvijas Sporta pedagoģijas akadēmija","Brīvības gatve 333,, Rīga, LV-1006","Rēzeknes Augstskola","Atbalsts sporta zinātnei","Rīga, Rēzekne","07.05.2009.","Projekta mērķis – palielināt augstākās kvalifikācijas sporta speciālistu ar doktora zinātnisko grādu sagatavošanos kvalitāti un palielināt doktora zinātnisko grādu sporta zinātnē ieguvušo skaitu. Projekta realizēšanos laikā konkursa kārtībā plānots piešķirt mērķstipendijas 18 doktorantiem, sniegt finansiālu atbalstu viņu darba vadītājiem, sniegt finansiālu atbalstu doktorantūras darba kvalitātes uzlabošanai-atlīdzība vieslektoriem, atbalsts lai doktoranti varētu piedalīties semināros un konferencēs Latvijā un ārzemēs, publicēt pētījuma rezultātus. Plānots, ka projekta realizācijas laikā līdz 2015.gadam 11 doktoranti, kas saņems Eiropas Sociālā fonda atbalstu studijām iegūst doktora zinātnisko grādu. Projektu realizē Latvijas Sporta pedagoģijas akadēmija sadarbībā ar Latvijas un ārzemju augstskolām. Projekta norises vieta – Latvija, laiks 2009.g.jūnijs – 2015.gada augusts. Kopējais plānotais finansējums 519352 LVL, no kuriem 441445LVL ESF finansējums un 77907 valsts budžeta finansējums.","519,352.00","441,445.00","77,907.00",76
