"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"KRONUS","Rencēnu iela 6b, Rīga, LV-1073","SIA ""KRONUS"" dalība starptautiskajā izstādē FRUIT LOGISTICA 2010","Rīga",23/12/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA „KRONUS” ir dibināta 1995.gadā un pašreiz ir viens no lielākajiem palešu un palešu bortu ražotājiem Eiropā. Palešu un palešu bortu ražošanas apjoms sastāda aptuveni 85% no visa uzņēmuma apgrozījuma. Papildus uzņēmums nodarbojas ar lietotu palešu un palešu bortu uzpirkšanu, iznomāšanu, remontu, utilizāciju, kā arī kā ražošanas procesa blakusprodukts tiek ražotas arī skaidu briketes. Saviem klientiem uzņēmums spēj nodrošināt ap simts dažādu palešu veidu, tostarp ir gan standarta izmēra paletes, gan paletes, kuras izgatavotas pēc pasūtītājam nepieciešamiem nestandarta izmēriem un rasējumiem.
Pasliktinoties ekonomiskajai situācijai, ir samazinājies preču pieprasījums Latvijā, kas tiešā mērā iespaido pieprasījumu pēc loģistikas un transportēšanas pakalpojumiem un tādējādi arī pēc preču transportēšanas iepakojuma, tādēļ, lai uzņēmums varētu sekmīgi turpināt savu saimniecisko darbību, ir nepieciešams apgūt jaunus tirgus, kā arī nostiprināt pozīcijas jau esošajos. Lai sasniegtu šos mērķus, SIA”KRONUS”  ir nolēmusi piedalīties starptautiskajā izstādē „Fruit Logistica 2010”, kas ir paredzēta augļu, augļu un dārzeņu nozares pārstāvošajiem speciālistiem. Specifisko prasību dēļ, kas saistīti ar pārtikas produkcijas transportēšanu un uzglabāšanu, līdz šim uzņēmums šajā tirgus sektorā darbojās minimāli. Taču izvērtējot šī tirgus potenciālu, esam nolēmuši tajā ieiet un, lai to veiksmīgāk izdarītu, esam izstrādājuši jaunu produktu paredzētu tieši šim tirgum. Lēmums par dalību tieši šajā izstādē tika pieņemts, jo tā ir vadošā savā nozares izstāde, kurā piedalās vairāk nekā 2000 dalībnieku aptuveni no 100 dažādām valstīm un to apmeklē vairāk nekā 50 000 apmeklētāju. Dalība šajās izstādēs pavērs plašas iespējas jaunu kontaktu dibināšanai ar potenciālajiem klientiem un sadarbības saišu nostiprināšanai ar jau esošajiem partneriem.",7390.48,3695.24,0,1,"www.kronus.eu"
2,"LIVONIA","Lāču iela 10, Cēsis, Cēsu novads, LV-4101","Bezalkoholisko dzērienu ražojumu virzība ārvalstu tirgū","Cēsis",23/12/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Projekta ietvaros, lai veicinātu uzņēmumā ražotās produkcijas- dzirkstošie bezalkoholiskie dzērieni un dabīgi raudzētās bērzu sulas virzību ārvalstu tirgū, apzinātu potenciālos sadarbības partnerus, paredzēts veikt:
1.Tiešās vizītes pie potenciālajiem sadarbības partneriem Pēterburgā, Krievijā no 12.-14.08.2009.
Distribūcijas un loģistikas uzņēmums;
Muitas brokeru birojs;
Veikalu tīkla OKEI apmeklējums. Tirgus izpēte;
„Severo-Zapadnij” filiāle;
Veikalu tīkls „Ulibka Radugi”;
Noliktavu pakalpojumi;
Biroja nomas pakalpojumi;
Vairumtirdzniecība un loģistika.
2. Pārtikas pārstrādes uzņēmumu tirdzniecības misija uz Zviedriju no 29.-30.09.2009., tikšanās ar:
C&E gastro-Import AB;
Biweco Fod AB;
Axfood AB;
Menigo Foodservice AB.
",935.24,467.62,0,7,"www.livonia.lv"
3,"Hanzas Elektronika","Akmeņu iela 72, Ogre, Ogres novads, LV-5001","SIA ""Hanzas Elektronika"" ārējā mārketinga aktivitātes jaunu tirgu apgūšanai","Ogre",23/12/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA „Hanzas Elektronika” ir augsto tehnoloģiju eksportētājuzņēmums, kas nodarbojas ar elektronisko sistēmu ražošanu. Uzņēmumam ir modernākā elektronikas sistēmas ražotne Baltijā un tas ir starp 10 modernākajiem šīs nozares uzņēmumiem Ziemeļeiropā. Uzņēmuma produkcija tiek  eksportēta uz vairāk nekā 10 valstīm pasaulē; uzņēmums eksportē līdz pat 90 – 95% no saražotās produkcijas. Galvenie eksporta tirgi ir Zviedrija, Somija, Vācija, Eiropas Savienības valstis. SIA „Hanzas Elektronika” raksturo strauja un mērķtiecīga izaugsme, dinamisks peļņas un apgrozījuma pieaugums. Ievērojamas investīcijas pētniecības un ražošanas infrastruktūras un augstāko kvalitātes standartu nodrošināšanā, kā arī inovatīvu, augsto tehnoloģiju projektu realizācija.
Lai uzņēmums varētu paplašināt savus eksporta tirgus, jāiegulda ļoti lieli finanšu līdzekļi – mārketinga pasākumos. Pašreiz SIA „Hanzas Elektronika” saviem saražotajiem produktiem nodrošina UKAS (United Kingdom Accreditation Service) akreditāciju. Akreditācija apliecina kompetenci un atbilstību Latvijas un Eiropas standarta LVS NE 45011 (Vispārējās prasības produktu sertifikācijas institūcijām) prasībām.  Šis standarts bez sertifikācijas procedūrām paredz arī kvalitātes sistēmas ieviešanu sertifikācijas institūcijā un, tādējādi, kvalitatīvu sertifikācijas pakalpojumu nodrošināšanu, līdz ar to tas vēl vairāk liecina par uzņēmuma ražotās produkcijas kvalitāti un sniedz iespēju iekarot jaunus eksporta tirgus.
Šī projekta ietvaros SIA „Hanzas Elektronika” 2009.gadā jau piedalījās un 2010. gadā vēl plāno piedalīties sekojošās mārketinga aktivitātēs:
1. izstāde „Alihankinta 2009”, 2009.gada 8.-10.septembris, Somijas pilsētā Tampere.
2. izstāde „PEA-09”, 2009.gada 27.-29.oktobris, Norvēģijas pilsētā Lillestrom.
3. izstāde S.E.E., kas norisināsies 2010.gada 13.-15.aprīlī Stokholmā, Zviedrijā.
4. izstāde „SUBCON 2010”, kas norisināsies 2010.gada 8.-10.jūnijam Birmingemā, Lielbritānijā.
5. izstāde „Alihankinta 2010”, kas notiks 2010.gada  21.-23.septembrī, Somijas pilsētā Tampere.
6. izstāde „Elmia 2010”, kas notiks 2010.gada 9.-12.novembrī Zviedrijas pilsētā Jonkoping.
",30743.33,15371.66,0,16,"www.he.lv"
4,"INCH 1967","Kalnciema iela 33, Rīga, LV-1046","Dalība 14.starptautiskajā amatniecības izstādē ""L'ARTIGIANO IN FIERA 2009"" Milānā","Rīga",23/12/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA „INCH 1967” partnerībā ar SIA „Projektu un kvalitātes vadība”, SIA „Teltis.lv”, SIA”AunL meistardarbnīca”, SIA”WWWin” un SIA”Agneses Vaļinieces radošā darbnīca” laika posmā no 2009.gada 5. līdz 13.decembrim piedalīsies 14.starptautiskajā amatniecības izstādē „""L'ARTIGIANO IN FIERA 2009"" Milānā, Itālijā, lai popularizētu Latvijas amatnieku tekstilizstrādājumus un veicinātu ārējo tirgu apgūšanu, plānojot biznesa tikšanās ar potenciālajiem sadarbības partneriem, gan no Itālijas, gan citām pasaules valstīm.",16630.65,8315.32,0,4,"www.inch.lv"
5,"NEW ROSME","Hanzas iela 18, Rīga, LV-1045","SIA ""NEW ROSME"" dalība starptautiskajās aktivitātēs","Rīga",23/12/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Faktiskā notikusī dalība:
XXXIIV Federal Trade for Apparel & Textile „Textillegprom” Maskava, 22.09-25.09.2009.
25-tā starptautiskā izstāde-gadatirgus „BelTEKSlegprom” vieglas un tekstilrūpniecības vairumtirdzniecības pārdošana, Minska, 06.10.-09.10.2009.
Plānots piedalīties:
XXXIV Federal Trade for Apparel & Textile „Textillegprom” Maskava, 16.02-19.02.2010.
Starptautiskā izstādā „Apģērbs.Apavi.Tekstils”, Ukraina, 08.09.-11.09.2010.
Federal Trade for Apparel & Textile „Textillegprom” Maskava, 21.09-24.09.2010.
26-tā starptautiskā izstāde-gadatirgus „BelTEKSlegprom” vieglās un tekstilrūpniecības vairumtirdzniecības pārdošana, Minska, 06.10.-09.10.2010.",48809.53,24404.76,0,17,"www.rosme.lv"
6,"Viola Stils","Pasta iela 49, Jēkabpils, LV-5201","SIA ""Viola Stils"" dalība starptautiskā izstādē Pure London","Jēkabpils",22/12/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Sākot ar 14.februāri līdz 16.februārim 2010.gada notiks starptautiska modes izstāde Londonā „Pure London”. Izstādē piedalīsies brendu uzņēmumi, kuri ražo apģērbu pēc pēdējām modes kolekcijas tendencēm. Šajā izstādē apmeklētāji ieraudzīs  modes skatē un pie stendiem vairākas kolekcijas no dažādiem ražotājiem, uzzinās par pēdējām aktualitātēm modē un varēs iegādāties piedāvāto produkciju. Tajā pašā laikā uzņēmumu vadītājiem būs iespēja atrast sadarbības partnerus. Izstādes administrācija piedāvā piedalīties arī SIA ”Viola Stils” tāpēc, ka uzņēmums ražo trikotāža izstrādājumus pēc pēdējām modes tendencēm vairāk nekā 10 gadus, izmantojot modernāko tehnoloģiju. SIA „Viola Stils” ir vienīgais uzņēmums, kurš ražo produkciju bez vīlēm Baltijas valstīs, arī Eiropā tādu ir maz.",12075.6,6037.8,0,3,"-"
7,"KOMPASS TRANZITS","Mazā Pils iela 13, Rīga, LV-1050","SIA ""KOMPASS TRANZITS"" dalība Starptautiskajā kravu pārvadājumu, transporta un loģistikas izstādē ""TRANS RUSSIA 2010"" Maskavā 2010.gada 27.-30.aprīlī","Rīga",23/12/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA”KOMPASS TRANZIT” ir dibināta 1998.gadā un ir 1991.gadā dibinātā SIA”Risag” tiesību pārņēmēja. Viens no tās darbības veidiem ir kravu pārvadājumu, iekraušanas, izkraušanas un uzglabāšanas darbu organizācija.
SIA”KOMPASS TRANZIT” jau vairāk kā 10 gadus piedalās dažādās starptautiskās izstādēs un ir atzinis dalību starptautiskās izstādēs par vienu no būtiskiem darbības attīstību veicinošiem faktoriem.
Projekta ietvaros SIA”KOMPASS TRANZIT” plāno piedalīties Starptautiskajā kravu pārvadājumu, transporta un loģistikas izstādē „TRANS RUSSIA 2010”, kura norisināsies no 2010.gada 27.-30.aprīlim Centrālajā izstāžu kompleksā „Ekspocentr” Maskavā (Krievija). Starptautiskajā izstādē „TRANS RUSSIA 2010” plānotais dalībnieku skaits ir vairāk kā 400 kompānijas no vairāk kā 33 valstīm. Dalība izstādē dos mums iespēju ne tikai informēt esošos un potenciālos sadarbības klientus par SIA”KOMPASS TRANZIT” piedāvātajām plašajām sadarbības iespējām un veicināt SIA”KOMPASS TRANZIT” konkurētspējas paaugstināšanu, bet arī pasniegt Latviju kā loģistikas centru un tranzīta valsti, informēt par priekšrocībām salīdzinājumā ar citām valstīm.
",6017.84,2933.69,75.23,4,"www.compass-transit.com"
8,"Embedded Systems","Dārzciema iela 42, Rīga, LV-1035","SIA ""Embedded Systems"" ārējā mārketinga aktivitātes (2.kārta)","Rīga",23/12/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Ar nolūku iegūt jaunus klientus pasaules tirgū, projekta ietvaros paredzētā dalība starptautiskajās izstādēs HI-TECH BUILDING 2009 (Maskava, Krievija)  un LIGHT+BUILDING 2010 (Frankfurte pie Mainas, Vācija), kā arī starptautiskajā konferencē Zero Energo Building (Limassol, Kipra).",8864.55,4432.27,0,5,"http://openrb.com; http://genohm.eu"
9,"Brikers Latvija","Granīta iela 13, Rīga, LV-1057","SIA ""Brikers Latvija"" ārējā mārketinga aktivitātes","Dobele",22/12/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA „Brikers Latvija” ir dibināta 2007.gadā un tā modernā ražotne piedāvā jaunu būvmateriālu klāstu visā Latvijā. Mūsu ražoto produkciju var iegādāties gan pie mums, gan lielākajos būvmateriālu veikalos. Bruģis ar īpaši piemeklētu krāsu gammu un speciālu ",5153.36,2576.67,0,3,"www.brikers.lv"
10,"Arbo","Kustes dambis 32, Ventspils, LV-3601","Dalība starptautiskajā būvniecības izstādē ""Bygg Reis Deg 2009"" Norvēģijā ārējo tirgu apgūšanai","Ventspils",23/12/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Projekta aktivitāte: Dalība starptautiskajā būvniecības izstādē ""Bygg Reis Deg 2009"" Norvēģija.
",2962.97,1481.48,0,8,"www.arbo.lv"
11,"Latvijas Logu un durvju ražotāju asociācija","Elizabetes iela 41/43, Rīga, LV-1010","Latvijas Būvniecības uzņēmumu dalība izstādē Nordbyg2010","Rīga",30/12/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Projekts paredz nodrošināt Latvijas būvniecības uzņēmumu dalību starptautiskajā būvniecības izstādē Nordbug 2010. Uzņēmumu dalību Nordbug 2010 organizēs Latvijas Logu un Durvju Ražotāju asociācija. Tiks veidots vienots Latvijas stends, kurās 8 Latvijas bū",38121,19060.5,0,5,
12,"NIKOL DJUMON","Ziemeļu iela 19, Liepāja, LV-3405","SIA ""NIKOL DJUMON"" piedalīšanās starptautiskajās izstādēs 2010.gadā","Liepāja",30/12/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA „NIKOL DJUMON” ir dibināta 2004.gadā un tā darbojas apakšveļas izstrādājumu ražošanas nozarē. Uzņēmums ražo sieviešu apakšveļu (krūšturus, biksītes, krekliņus).
2010.g. pirmajā pusgadā uzņēmums plāno sekojošas ārējā mārketinga aktivitātes:
1.dalība st",16338.33,7964.93,204.23,1,"www.nikoldjumon.lv"
13,"Ošukalns","""Eķengrāve"", Viesītes novads, LV-5237","SIA ""Ošukalns"" ārējā mārketinga aktivitātes","Viesītes novads",04/01/2010,"Ārējo tirgu apgūšana - ārējais mārketings","SIA”Ošukalns” plāno īstenot vairākas ārējās mārketinga aktivitātes:
Dalība starptautiskā izstādē „Larry Karel’s 55th Edison Furniture&Accesory market”, Ņujorka, ASV. Izstādes norises laiks ir no 2.-04.08.2009.
Dalība starptautiskā izstādē „BYGG REIS DEG”,",2941.78,1470.89,0,8,"www.osukalns.lv"
