"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"Trans Trades Logistics","Rencēnu iela 29, Rīga, LV-1073","SIA ""Trans Trades Logistics"" ārējā mārketinga aktivitātes","Rīga",17/04/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Ārējā mārketinga ietvaros, 2009.gadā uzņēmums plāno piedalīties 14.starptautiskajā kravu pārvadājumu, transporta un loģistikas izstādē ""TRANSRUSSIA 2009"", kas norisināsies no 2009.gada 21. līdz 24.aprīlim Maskavā. Plānots, ka izstādē būs pārstāvētas vairāk nekā 525 kompānijas no 29 valstīm.
SIA ""Trans Trades Logistics"" izstādē prezentēs savus pakalpojumus loģistikas jomā.",8934.22,4467.11,0,1,"www.ttlogistics.lv"
2,"Mammastudio","Zaļā iela 4-12, Rīga, LV-1010","SIA ""Mammastudio"" ārējā mārketinga aktivitātes","Rīga",16/04/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Uzņēmums SIA ""Mammastudio""pānotā ārējā māketinga aktivitāete: Dalība Starptautiskā jauno dizaineru izstādē THAT`S DESIG!- THE NEW CREATIVE GENERATION, kuru organizē DESIGN PARTNERS Srl/ZONA TORTONA sadarbībā ar DOMUS ACADEMY un POLI.DESIGN. Izstāde notiks no 2009.gada 21.-27. aprīlim Milānā, Itālijā.",10900,5450,0,1,"www.mammalampa.lv"
3,"Ave Trans","Uriekstes iela 3, Rīga, LV-1005","SIA ''Ave Trans'' dalība centrālajās reģionālajās starptautiskajās loģistikas un transporta izstādēs Vācijā, Krievijā un Kazahstānā","Rīga",17/04/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Kompānija ‘’Ave Trans’’ ir dibināta 1996.gadā un nodarbojās ar kravu pārvadājumiem, iekraušanas un izkraušanas darbiem, sauszemes transporta palīgdarbībām.
Projekta ietvaros ir plānots piedalīties trijās galvenajās ES un NVS loģistikas un transporta attīstības jautājumiem veltītajās izstādēs – ‘’TransRussia 2009’’ izstādē Krievijā, ‘’Transport – Logistic 2009’’ izstādē Vācijā un ‘’Tranzit – Trans Kazakhstan 2009’’ izstādē Kazahstānā. Dalība izstādēs dos iespēju pasniegt Latviju kā loģistikas centra un tranzīta valsti iespējas, informēt par priekšrocībām salīdzinot ar citām valstīm. Reklamēt un informēt esošos un potenciālos sadarbības partnerus par mūsu kompānijas jauno loģistikas pakalpojumu produktu  paketi ‘’Ave Trans Group’’, kā arī informēt par jauno prāmja līniju ‘’Liepāja – Lībeka'’, kura kravu piesaistes, apstrādes un transportēšanas aģents mēs esam. Informēt par mūsu kompānijas vairāk kā 80 automašīnu lielā autotransporta parka atjaunošanas programmu. Piedāvājot loģistikas risinājumu komplekso paketi, kravu konsolidēšanai, apstrādei un sadalei, un piegādei saņēmējiem, mēs varēsim ieinteresēt gan kravu īpašniekus, gan arī pārvadātājus. Piesaistot jaunas kravas un palielinot kravu apgrozību gan pa dzelzsceļu, gan ar autotransportu, plānots izveidot jaunas darba vietas Kurzemes novadā dzīvojošajiem. Plānots arī piedalīties loģistikas jautājumiem veltītajā konferencē ‘’TransRussia 2009’’, kura notiks starptautiskās izstādes ‘’TransRussia 2009’’ ietvaros. Konferences laikā paredzēts informēt par jauno prāmja līniju Liepāja – Lībeka un par iespējām, kuras paveras kravu īpašniekiem, loģistikas risinājumu un transporta kompānijām ņemot vērā, ka Lībekā ienāk arī okeāna līnijas, dzelzsceļa savienojumiem ar pārējām valstīm, kā arī tās atrašanos pie starptautiskajiem autoceļiem A1 un E22, kuri to savieno ar visiem Eiropas punktiem. Plānota ir arī viena mūsu kompānijas prezentācija izstādes ‘’TransRussia 2009’’ laikā, kurā tiks pastāstīts par kompānijas jaunumiem, aktualitātēm, tiks prezentēta prāmja līnija ‘’Liepāja – Lībeka’’ ar iespējām to pagarināt uz NVS un Āzijas valstīm, kā arī uz Eiropu un citām 3.pasaules valstīm.
Piedalīšanās izstādēs ļaus starptautiskajām kompānijām dziļāk izprast Latvijas kā valsts tranzīta iespējas, priekšrocības, ko dod Latvijas dalība ES, Latvijas loģistikas kompāniju valodu zināšanu priekšrocības, kā arī tās kā ES ārējās robežas priekšrocības, dos pozitīvo info un atpazīstamības signālu kopumā.",50880.52,24422.65,0,6,"-"
4,"UPB","Strautu iela 1/5, Liepāja, LV-3401","Latvijā ražotu videi draudzīgu energotehnisko iekārtu - ar dabas gāzi un biogāzi darbināmu koģenerācijas staciju pārdošana starptautiskos tirgos","Liepāja ",23/04/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Starptautiska izstāde ""BALTTECHNIKA 2009 Lietuvā 2009. gada 19.-23. maijā. Piedalīsies AS ""UPB"" struktūrvienība ""UPB ENERGY""",6855.29,2742.12,0,1,"ww.upbenergy.lv"
5,"Applied Electronics Labs","Akmeņu iela 47, Ogre, Ogres novads, Ogres rajons, LV-5001","SIA ""Applied Electronics Labs"" dalība 121. BCI konvencijas izstādē Lasvegasā, ASV","Ogre ",23/04/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Šī projekta ietvaros  SIA ""Applied Electronics Labs"" plāno piedalīties 121.starptautiskajā BCI  konferences izstādē, kas norisināsies Lasvegasā, Amerikas Savienotajās Valstīs, no 2009.gada 3.-6.maijam, lai demonstrētu Ziemeļamerikas akumulatoru ražotājiem SIA ""Applied Electronics Labs"" ražotās akumulatoru formēšanas iekārtas.",7721.03,3860.51,0,1,"www.batteryformation.com"
6,"Elk Plus","Saules iela 8, Ozolnieku pagasts, Ozolnieku novads, Jelgavas rajons, LV-3018","SIA ""Elk Plus"" - ārējā mārketinga aktivitātes","Ozolnieku pagasts ",23/04/2009,"Ārējo tirgu apgūšana - ārējais mārketings","2009.gadā uzņēmums SIA ""Elk Plus"" plāno piedalīties vairākos ārējā mārketinga veicinošos pasākumos:
 1)Izstāde ""Elmia Polymer"", kura tiks rīkota laika posmā no 2009.gada 5.maija līdz 8.maijam, Jenčopingā, Zviedrijā. Izstādē piedalās aptuveni 1200 ražotāji no visas pasaules;
 2)Izstāde ""Subcon-2009"", kura tika rīkota laika posmā no 2009.gada 9.jūnija līdz 11.jūnijam.",5314.84,2598.96,0,3,"www.elkplus.lv"
7,"Chamber Trade Latvia","Kr. Valdemāra iela 35-1, Rīga, LV-1010","Tirdzniecības misija uz Katāras tirgu starptautiska biznesa foruma Futurallia ietvaros","Rīga",30/04/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Plānots piedalīties Latvijas Tirdzniecības un rūpniecības kameras (LRTK) organizētajā tirdzniecības misijā uz Katāras tirgu starptautiska biznesa foruma Futurallia ietvaros. Tirdzniecības misija notiks 2009.gadā no 10.-13.maijam. Starotautiskais biznesa forums Futurallia ir ikgadējs biznesa forums, kurā katru gadu no visas pasaules satiekas apmēram līdz tūkstošs kompānijām no visiem pasaules reģioniem un praktiski visām biznesa darbības nozarēm. LRTK ir apzinājusi potenciālos dalībniekus un noorganizējusi katram Latvijas komersantam 4-6 konkrētas tikšanās, konkrētos laikos. Ņemot vērā, ka tirdzniecība misijas tikšanās partneri jau laicīgi ir apzināti, sakontaktēti, ir notikusi savstarpēja biznesu profilu apmaiņa, paredzams, ka varētu tikt noslēgtas jau konkrētas vienošanās vai pat kontakti. ",25640,12820,0,2,"www.ctl.lv"
8,"Biosan","Rātsupītes iela 1, Rīga, LV-1067","SIA ""Biosan"" dalība medicīnas un biotehnoloģijas izstādēs","Rīga",07/05/2009,"Ārējo tirgu apgūšana - ārējais mārketings","2009.gadā uzņēmums plāno vairākas ārējā mārketinga aktivitātes: 
 1. dalība izstādē BULMEDICA / BULDENTAL, 2009.gada 12.-15.maijs, Bulgārija Sofija.
 2. dalība izstādē 9.starptautiskā izstādē Gene Forum 2009, 2009.gada 12.-13.jūnijs, Igaunija, Tartu.
 3. dalība izstādē Интерлабдиагностика - 2009, 2009.gada 28.-30.septembris Krievija, Maskava.
 4. dalība izstādē Biotechnica 2009, 2009.gada 6.-8.oktobris, Vācija Hanovera.
 5. dalība starptautiskā izstādē Здравоохранение - 2009, 2009.gada 7.-11.decembris Krievija, Maskava.
 Tā kā visas izstādes ir starptautiskas, līdz ar to šajās izstādēs tiks pārstāvētas visas valstis.",39813.83,19906.91,0,7,"www.biosan.lv"
9,"Meža un koksnes produktu pētniecības un attīstības institūts","Dobeles iela 41, Jelgava, LV-3001","SIA ""Meža un koksnes produktu pētniecības un attīstības institūts"" ārējā mārketinga aktivitātes","Jelgava ",08/05/2009,"Ārējo tirgu apgūšana - ārējais mārketings","2009.gadā MeKA plāno ārējā mārketinga aktivitāti: 
 1)dalība starptautiskajā meža un kokapstrādes izstādē ""LIGNA HANNOVER 2009"", 18.-22.maijā, 2009, Hannoverē, Vācijā. Šī izstāde ir viena no vadošajām nozares izstādēm, kas tiek rīkota ik divus gadus. Šajā izstādē piedalās apmēram 1 900 dalībnieki no Eiropas, Amerikas, Āzijas un citām pasaules valstīm, un to apmeklē vairāk kā 107 000 apmeklētāju, no kuriem 43% ir ārvalstu apmeklētāji.
 2) dalība starptautiskajā meža un kokapstrādes izstādē ""WOODWORKING-2009"", 15.-18.sptembrī, 2009, Minskā, Baltkrievijā. Šī izstāde ir viena no lielākajām un vadošajām meža, kokapstrādes un furnitūras izstādēm Baltkrievijā, kas tiek rīkota katru gadu. Šajā izstādē piedalās uzņēmumi no ~ 15 eiropas valstīm, no kurām 34% ir ārvalstu uzņēmumi, un to apmeklē vairāk kā 10 000 apmeklētāju.",11359.97,5452.79,0,5,"www.e-koks.lv"
10,"Roto polimer","Saldus iela 3-63a, Jūrmala, LV-2010","SIA ""Roto polimer"" dalība starptautiskā izstādē Ķīnā","Jūrmala ",06/05/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Uzņēmums veiks sekojošu mārketinga aktivitāti - piedalīsies plastmasas un gumijas rūpniecības nozares izstādē ""Chinaplast"" 2009, šī gada 18.-21.maijā ""China Import and Export Fair Pazhou Complex"" Pazhou, Guangzhou, Kīnā.
 Izstādē SIA ""Roto polimer"" piedalīsies ar produktu, kurš tiek šobrīd izstrādāts: ar oragisko šķiedru un aktivizētu gumijas pulveri modificēts termoplastisko olefīnu kompozītu izstrādājums (tīto lielizmēra cauruļu un citus cauruļvadu izstrādājumus).
 SIA ""Roto polimer"" izstādē prezentēs jauno inovatīvo produktu - tīto lielizmēra cauruļu un citus cauruļvadu izstrādājumus. (produkta izstrādes laiks 2009.gads).
 ",11988.24,5994.12,0,1,"-"
