"Finansejuma sanemejs","Projekta nosaukums","Projekta istenošanas vieta","Projekta apstiprinašanas datums","Darb?bas programmas papildinajuma aktivitates nosaukums","Kopsavilkums par projekta ietvaros veicamajam darbibam","Projekta kopejas attiecinamas izmaksas LVL, t.sk.","Kohezijas fonda finansejums. LVL","Attiecinamais valsts budžeta finansejums, LVL","Projekta istenošanas laiks menešos"
"Satiksmes ministrija","Autoce?a E22 posma Ludza - Terehova b?vniec?ba","Ludzas novads, Zilupes novads",12/06/09,"3.3.1.1. TEN-T autoce?u t?kla uzlabojumi","Projekta ietvaros paredzēts:
- Izbūvēt jaunu ceļu atbilstoši normālprofilam NP12,5 - 17,8 km,
- Izbūvēt jaunu ceļu atbilstoši normālprofilam NP15 - 14,9 km,
- Uzbūvēt 2 jaunus tiltus,
- Rekonstruēt 3 tiltus,
- Izbūvēt 5 jaunas pazemes pārejas,
- Izbūvēt vietējas nozīmes satiksmes autoceļus – 23 km.
","86 659 247","73 660 360","12 998 887",53
"Satiksmes ministrija","Autoce?a E22 posma R?ga (T?n?ži) - Koknese b?vniec?ba","R?gas raj., Ogres raj., Aizkraukles raj.",12/06/09,"3.3.1.1. TEN-T autoce?u t?kla uzlabojumi","Projekta ietvaros paredzēts:
- Izbūvēt jaunu ceļu atbilstoši standartprofilam NP14 - 11,8 km,
- Rekonstruēt esošo ceļu atbilstoši standartprofilam NP14 – 43,98 km,
- Rekonstruēt esošo ceļu atbilstoši standartprofilam NP11 – 13,76 km,
- Izbūvēt jaunu ceļu atbilstoši standartprofilam NP12 – 2,54 km,
- Rekonstruēt 5 tiltus,
- Uzbūvēt 9 jaunus tiltus,
- Izbūvēti 19 jaunas pazemes pārejas,
- Izbūvēt 10 jaunus divlīmeņa krustojumus,
- Izbūvēt 1 jaunu vienlīmeņa krustojumu,
- Izbūvēt vietējas nozīmes satiksmes autoceļus – 52 km.
","160 017 928","136 015 239","24 002 689",51
