"Nr.p.k.","Finansējuma saņēmējs",,"Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"Micro Dators","SIA","Elizabetes iela 65-12, Rīga, LV-1050","SIA ""Micro Dators"" augstas kvalifikācijas darbinieka piesaiste","Ogre ",01/09/2008,"Augstas kvalifikācijas darbinieku piesaiste","Projekta rezultātā radītā inovatīvā produktu mērķauditorija ir komunālo pakalpojumu sniedzēji, kas piegādā iedzīvotājiem un uzņēmumiem ūdeni, elektrību, gāzi un siltumenerģiju, sniegtā pakalpojuma servisa uzlabošanai un administratīvo izmaksu samazināšanai. Tāpat mērķauditorija ir namu apsaimniekotāji un iedzīvotāji, kas produktus un risinājumus varētu izmantot mērītāju nolasīšanai paredzētā laika samazināšanai un precizitātes palielināšanai.
Projekta mērķis ir veikt izpētes, eksperimentālās izstrādes un sagatavot ražošanai produktus, kas attīsta un pilnveido dažādu mērītāju automātisko datu nolasīšanas un apstrādes sistēmas.","110,000.00","55,000.00",0,18,"www.microdators.lv"
2,"GroGlass","SIA","Katlakalna iela 4b, Rīga, LV-1073","Augsti kvalificētu inženieru piesaiste SIA GroGlass","Rīga",29/08/2008,"Augstas kvalifikācijas darbinieku piesaiste","Projekta ietvaros plānots piesaistīt speciālistu ar starptautisku pieredzi SIA GroGlass pētniecības un attīstības darbu intensificēšanai.
Projekta ietvaros plānots piesaistīt speciālistu plāno kārtiņu tehnoloģijās, kas intensificēs SIA GroGlass darbu pētniecības un attīstības jomā izstrādājot jaunus produktus, ko iespējams ražot izmantojot lielas jaudas vakuumpārklāšanas iekārtas.","86,372.53","31,949.20",0,19,"www.groglas.lv"
3,"Kavitus","SIA","Peldu iela 7, Jelgava, LV-3002","Augsti kvalificēta darbinieka piesaiste SIA ""KAVITUS""","Jelgava ",29/08/2008,"Augstas kvalifikācijas darbinieku piesaiste","Projekta mērķis ir paaugstināt SIA „Kavitus” konkurētspēju, jaunajā darba vietā piesaistot tehno-matemātiķi, lai uzsāktu jaunu autonomo energosistēmu ieviešanas un energopotenciālu monitoringa metodes un līdzekļu izstrādi.
Uzņēmums veidos unikālu pētniecības kompleksu Latvijā, kurš veiks dažādu atjaunojamo resursu tehnoloģiju paraugdemonstrējumus, speciālistu apmācību, izstrādās jaunus atjaunojamo resursu izmantošanas veidus, kā arī organizēs starptautiskus seminārus šajā jomā strādājošiem zinātniekiem un speciālistiem.
SIA „Kavitus” plāno paaugstināt uzņēmuma konkurētspēju ne tikai vietējos, bet arī ārējos tirgos, tāpēc ir nepieciešams uzsākt jaunu autonomo energosistēmu ieviešanas un energopotenciālu monitoringa metodes un līdzekļu izstrādes, izveidojot jaunu darba vietu un piesaistot augstas kvalifikācijas darbinieku.
",110000,55000,0,18,"www.kavitus.lv"
4,"ISP Optics Latvia","SIA","Ganību dambis 24a, k.13, Rīga, LV-1005","Speciālista piesaiste dimanta virpošanas iekārtas optikas apstrādei apkalpošanai","Rīga",01/09/2008,"Augstas kvalifikācijas darbinieku piesaiste","Projekta ietvaros plānots apgūt jaunu ražošanas tehnoloģiju, izveidot jauno tehnoloģiju grupu uzņēmumā un par šīs grupas vadītāju piesaistīt speciālistu.
Projekta mērķis ir paaugstināt SIA „ISP Optics Latvia” produkcijas pievienoto vērtību un uzņēmuma apgrozījumu uzņēmumā ieviešot jaunu ražošanas tehnoloģiju, piesaistot augtas kvalifikācijas optikas speciālistu, kas spēs ieviest uzņēmumā jauno ražošanas tehnoloģiju un apkalpot uzņēmuma jauno dimanta virpošanas optikas iekārtu. 
",48360,19344,0,24,"Nav"
5,"Lattelecom BPO","SIA","Gunāra Astras iela 2, Rīga, LV-1082","Augstas kvalifikācijas darbinieka piesaiste jaunu pakalpojumu izstrādei un pielāgošanai","Rīga",29/08/2008,"Augstas kvalifikācijas darbinieku piesaiste","Projekta ietvaros plānots piesaistīt speciālist, kurš vadītu Dokumentu Apstrādes un Glabāšanas pakalpojumu attīstīšanu un piemērošanu Vācijas tirgum, likumdošanai un korporatīvajai kultūrai.
Projekta mērķis ir paaugstināt SIA „Lattelecom BPO” konkurētspēju, jaunajā darbā vietā piesaistot pakalpojumu attīstīšanas speciālistu, lai uzsāktu Vācijas plašā tirgus apgūšanu. 
Tādējādi paplašinot tirgu tiktu panākta līdzekļu ekonomija un samazinātos sniegto pakalpojumu pašizmaksa. 
",19000,7600,0,6,"www.lattelecom.lv"
