"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"Latvijas Universitāte","Raiņa bulvāris 19, Rīga, LV-1586","Tehnoloģiju pārneses kontaktpunkta attīstība Latvijas Universitātē","Rīga",20/08/2008,"Tehnoloģiju pārneses kontaktpunkti","LU Inovāciju centra vispārējais mērķis ir veicināt LU kā inovāciju partnera iesaisti zināšanu ekonomikas attīstībā Latvijā, nodrošinot LU pētnieku un uzņēmumu sadarbības iespējas zināšanu, tehnoloģiju un pētniecības kompetenču pielietošanā, tajā skaitā pētniecības rezultātu komercializācijā.
Projekta mērķis ir sekmēt tehnoloģiju pārneses un pētniecības kompetenču un pētniecības rezultātu komercializācijas veicinošo darbību, nodrošinot atbalsta aktivitātes LU Inovāciju centra stratēģiskajos darbības virzienos.","425,625.00","248,856.20","43,915.80",61,"www.lu.lv"
2,"Rīgas Tehniskā universitāte","Kaļķu iela 1, Rīga, LV-1658","Rīgas Tehniskās universitātes Tehnoloģiju pārneses kontaktpunkts","Rīga",20/08/2008,"Tehnoloģiju pārneses kontaktpunkti","Projekta mērķis ir sekmēt tautsaimniecības pieprasījumam atbilstošu pētniecību RTU un veicināt RTU pētniecības rezultātu komercializāciju tautsaimniecībā.
Projekta specifiskais mērķis ir tehnoloģiju pārneses kontaktpunkta izveide RTU, lai stiprinātu saites starp zinātni un industriju, attīstītu modernus un inovatīvus mehānismus zināšanu pārneses un biznesa mijiedarbības veicināšanai.","397,600.89","229,905.27","40,571.56",61,"www.rtu.lv"
3,"Daugavpils Universitāte","Vienības iela 13, Daugavpils, LV-5401","Daugavpils Universitātes Tehnoloģiju pārneses kontaktpunkts","Latgale ",20/08/2008,"Tehnoloģiju pārneses kontaktpunkti","Projekta mērķisir veicināt Daugavpils Universitātes radīto zināšanu un tehnoloģiju pārnesi tautsaimniecībā. Projekts ""Daugavpils Universitātes Tehnoloģiju pārneses kontakpunkts"" paredz īstenot pasākumus, kas nodrošinās DU radīto zināšanu un tehnoloģiju pārnesi tautsaimniecībā. ",383994.97,219198.09,38682.02,61,"http://dau.lv/dokumenti/eraf/tpk/"
4,"Rīgas Stradiņa universitāte","Dzirciema iela 16, Rīga, LV-1007","Rīgas Stradiņa universitātes Tehnoloģiju pārneses kontaktpunkts","Rīga",20/08/2008,"Tehnoloģiju pārneses kontaktpunkti","Projekta mērķis ir izveidot Tehnoloģiju pārneses kontaktpunktu, kas sistemātiski apzinātu Rīgas Stradiņa universitātes un tās institūtu esošo un nepieciešamo pētniecības kompetenci, kas mērķtiecīgi to attīstītu un veicinātu zināšanu un tehnoloģiju pārneses aktivitātes un pētniecības rezultātu komercializāciju. Projektā paredzēts aptvert pētnieciskās aktivitātes, kas tiek finansētas no publiskajiem līdzekļiem.",434734,233200.07,41152.95,64,"www.rsu.lv"
5,"Ventspils Augstskola","Inženieru iela 101, Ventspils, LV-3601","Kurzemes Tehnoloģiju pārneses kontaktpunkta darbības nodrošināšana","Kurzeme",20/08/2008,"Tehnoloģiju pārneses kontaktpunkti","Projekta mērķis ir sistemātiski apzināt esošo un mērķtiecīgi attīstīt nepieciešamo pētniecības kompetenci Ventspils Augstskolā un tās institūtos: Ventspils Augstskolas Inženierpētniecības centrā; Ventspils Starptautiskā Radioastronomijas centrā; Lietišķās valodniecības centrā, ar nolūku: 
1. veicināt sadarbību starp Ventspils Augstskolas zinātniskajām institūcijām un uzņēmējiem;
2. sekmēt zinātnisko institūciju pētniecības rezultātu ieviešanu ražošanā;
3. veicināt zinātnieku un pētnieku intelektuālo īpašumu aizsardzību.",387996.71,209875.04,37036.81,60,"www.venta.lv"
6,"Rēzeknes Augstskola","Atbrīvošanas aleja 90, Rēzekne, LV-4600","Vides tehnoloģiju pārnese: Rēzeknes Augstskola - komercsabiedrības","Latgale ",20/08/2008,"Tehnoloģiju pārneses kontaktpunkti","Projekta mērķis ir veikt inovatīvo darbību komercializāciju vides tehnoloģiju jomā, kas veicina jaunāko zinātnisko, tehnisko, sociālo vai citu ideju, izstrādņu un tehnoloģiju īstenošanu tirgū pieprasītā un konkurētspējīgā produktā vai pakalpojumā. Kontaktpunkta darba gaitā paredzēts attīstīt iesākto informācijas un pētījumu apmaiņu starp Rēzeknes Augstskolas zinātniekiem, akadēmisko personālu un uzņēmējiem, kas dotu iespēju ātri un operatīvi risināt ar vides aizsardzību, tehnoloģiju pilnveidošanu produkcijas kvalitātes paaugstināšanu, darba apstākļu uzlabošanu, uzņēmumu konkurētspējas paaugstināšanu saistītās problēmas. ",203739,106020.89,18709.59,60,"www.ru.lv"
7,"Latvijas Lauksaimniecības universitāte","Lielā iela 2, Jelgava, LV-3001","Tehnoloģiju un zināšanu pārneses centra (TEPEK) darbības uzturēšana un attīstība LLU","Zemgale",20/08/2008,"Tehnoloģiju pārneses kontaktpunkti","Projekta mērķis ir veicināt zinātnieku un komercsabiedrību sadarbību, intelektuālā īpašuma aizsardzību un pētniecības rezultātu komercializāciju LLU. Sistemātiski apzināt esošo un mērķtiecīgi attīstīt nepieciešamo pētniecības kompetenci LLU, tādējādi ieguldot zināšanu ekonomikas līmenī.
Projekta vispārējais mērķis ir sekmēt zinātnes, inovāciju un uzņēmējdarbības attīstību, veicinot pētniecības un attīstības tehnoloģiju pārnesi un sadarbību starp uzņēmējdarbības un akadēmisko vidi.
",372023.84,212500,45000,59,"www.llu.lv/"
8,"Latvijas Mākslas akadēmija","Kalpaka bulvāris 13, Rīga, LV-1867","Dizaina inovāciju un tehnoloģiju laboratorijas attīstība (tehnoloģiju pārneses kontaktpunkts)","Rīga",20/08/2008,"Tehnoloģiju pārneses kontaktpunkti","Projekta mērķis ir sistemātiski apzināt, mērķtiecīgi attīstīt un pilnveidot LMA dizaina pētniecības kompetenci, sagatavojot komercializācijas piedāvājumus un starptautiskos patentu pieteikumus dizaina jomā.
Projekta vidējā termiņa mērķis ir stiprināt un veidot sadarbības partnerības ar dizaina izglītību, pētniecību un ražošanu Latvijā un pasaulē. 
","305,137.30","178,834.78",31559.13,64,"http://www.lma.lv/"
