"N.p.k.","Juridiskā personas nosaukums","Juridiskā adrese","Projekta nosaukums","Īstenošanas vieta (reģions)","Projekta apstiprināšanas datums","Projekta ietvaros veicamās darbības","Kopējās attiecināmās izmaksas","ERAF","Valsts budžeta dotācija","Pašvaldības finansējums","Cits finansējums","Projekta īstenošanas laiks(mēneši)"
1,"Skultes ostas pārvalde","Upes 41, Zvejniekciems, Saulkrasti, Rīgas rajons, LV - 2161","Skultes ostas akvatorijas un kanāla padziļināšana","Rīgas","08.06.2009.","Tiks veikti ostas akvatorija un kanāla padziļināšanas darbi.","2,054,000.00","1,745,252.88",,,"308,747.12",12
2,"Mērsraga ostas pārvalde","Lielā 62, Mērsrags, Mērsraga pag.,Talsu rajons, LV - 3284","Mērsraga  ostas kanāla un akvatorijas  padziļināšana","Kurzeme","08.06.2009.","Tiks veikta krasta norstiprināšana, kuģu kanāla un ostas akvatorijas padziļināšana.","2,034,338.85","1,728,324.80",0.00,0.00,"306,014.05",24
