,"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
,11,"Liepājas papīrs","Pļavu iela 17, Liepāja, LV-3411","AS ""Liepājas papīrs"" ārējā mārketinga aktivitātes","Liepāja ",30/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","""Liepājas papīrs"" ir viens no vecākajiem poligrāfijas uzņēmumiem Latvijā, kurš pagājušajā gadā atzīmēja 110 gadu pastāvēšanu.
 2009.gadā uzņēmums plāno sekojošas ārējā mārketinga aktivitātes:
 1) tirdzniecības misija Polijā no 25. līdz 27.augustam, ko organizē Biedrība ""Latvijas Tirdzniecības un Rūpniecības Kamera"". Misijas ietvaros plānots tikties ar pārstāvjiem no 4-6 Polijas uzņēmumiem - potenciālajiem AS ""Liepājas papīrs"" klientiem.
 2) dalība starptautiskā pārtikas nozares iepakojuma izstādē PAKFOOD 2009, no 14.-17.septembrim, Poznaņā, Polijā. Paralēli šai izstādei notiek starptautiskā pārtikas industrijas izstāde POLAGRA-FOOD 2009. 2007.gadā šīs abas izstādes kopā piesaistīja 34000 apmeklētāju.
 3) tirdzniecības misija Zviedrijā no 29.septembra līdz 1.oktobrim, ko organizē Biedrība ""Latvijas Tirdzniecības un Rūpniecības Kamera"". Misijas ietavros plānots tikties ar pārstāvjiem no 4-6 Zviedrijas uzņēmumiem - potenciālajiem AS ""Liepājas papīrs"" klientiem.
 4) Dalība Skandināvijas lielākajā starptautiskajā iepakojuma izstādē SCANPACK 2009, no 20.-23.oktobrim, Gēteborgā, Zviedrijā. Šo izstādi 2006.gadā pārstāvēja 38 valstis, to apmeklēja 17 770 cilvēku.",24529.59,12264.79,0,3,"www.liepajaspapirs.lv"
,12,"DORES FABRIKA","Dārdu iela 7, Ieriķi, Amatas novads, Cēsu rajons, LV-4139","SIA ""Termoline"" dalība starptautiskajā koka māju izstādē ""Vivons Bois""","Amatas novads",19/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ""Termoline"" ir dibināta 2004.gadā un nodarbojas ar guļbūvju ražošanu. 2008.gadā uzņēmums pabeidza ražotnes paplašināšanu un modernizāciju, un šobrīd tā ir potenciāli lielākā guļbūvju ražotne Austrumeiropā. Uzņēmums ir izstrādājis jaunu guļbūvju konceptu, kur ražošanā tiek izmantotas līmētās brusas, kas to apveidam rada pavisam jaunu un savādāku veidolu un padara tās pavisam atšķirīgas no visām līdzšinējām. Uzņēmuma sortimentā ietilpst gan jau izstrādātu projektu guļbūvēs, gan arī ražotas pēc speciāla pasūtījuma. Lai uzņēmums spētu nodrošināt optimālu ražotnes noslogojumu, tam nepieciešams atrast tirgu ar pietiekami lielu kapacitāti, kāda ne tuvu nav Latvijas koka māju tirgum. Tādēļ uzņēmums plāno 2009.gadā piedalīties starptautiskajā koka māju izstādē ""Vivons Bois"", kas norisināsies no 6.-9.novembrim Bordo, Francijā un kurā tiks meklēti potenciālie klienti, sadarbības partneri un interesenti tiks iepazīstināti ar SIA ""Termoline"" produkciju.",10004.58,5002.29,0,4,"www.dores.lv"
,13,"Sēlijas mežs","Dolomīts-M, Salas pagasts, Jēkabpils rajons, LV-5230","SIA ""Sēlijas mežs"" ārējā mārketinga aktivitātes","Salas pagasts",12/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA Sēlijas mežs nodarbojas ar koka dārza mājiņu, spēļu mājiņu, garāžu, brīvdienu kempinga mājiņu un dažādu dārza izstrādājumu ražošanu no koka. Galvenie pārdošanas tirgi ir Francija, Holande, Zviedrija, Norvēģija, Vācija, Spānija, Itālija.
 Lai veicinātu starptautisko atpazīstamību un palašinātu noieta tirgus, uzņēmums 2009.gadā plāno vairākas ārējā mārketinga aktivitātes: 
 1)tiešā vizīte pie potenciālajiem sadarbības partneriem Francijā, 2009.gada 6.-10.jūlijs. Vizītes ietvaros ir plānots noslēgt sadarbības līgumus. 
 2) tiešā vizīte pie potenciālajiem sadarbības partneriem Vācijā, 2009.gada 13.-17.jūlijs. Vizītes ietvaros ir plānots noslēgt sadarbības līgumus.
 3) tiešā vizīte pie potenciālajiem sadarbības partneriem Spānijā, 2009.gada 20.-24.jūlijs. Vizītes ietvaros ir plānots noslēgt sadarbības līgumus.
 4) tiešā vizīte pie potenciālajiem sadarbības partneriem Anglijā, 2009.gada 27.-31.jūlijs. Vizītes ietvaros ir plānots noslēgt sadarbības līgumus.
 5) tiešā vizīte pie potenciālajiem sadarbības partneriem Francijā, 2009.gada 3.-7.augusts. Vizītes ietvaros ir plānots noslēgt sadarbības līgumus.
 6) tiešā vizīte pie potenciālajiem sadarbības partneriem ASV, 2009.gada 10.-14.augusts. Vizītes ietvaros ir plānots noslēgt sadarbības līgumus.
 7) tiešā vizīte pie potenciālajiem sadarbības partneriem Holandē, 2009.gada 17.-21.augusts. Vizītes ietvaros ir plānots noslēgt sadarbības līgumus.
 8) tiešā vizīte pie potenciālajiem sadarbības partneriem Francijā, 2009.gada 31.augusts - 4.septembris. Vizītes ietvaros ir plānots noslēgt sadarbības līgumus.
 9) tiešā vizīte pie potenciālajiem sadarbības partneriem Norvēģijā, 2009.gada 7.-11.septembris. Vizītes ietvaros ir plānots noslēgt sadarbības līgumus.
 10) tiešā vizīte pie potenciālajiem sadarbības partneriem Zviedrijā, 2009.gada 14.-18.septembris. Vizītes ietvaros ir plānots noslēgt sadarbības līgumus.
 11) tiešā vizīte pie potenciālajiem sadarbības partneriem Turcijā 2009.gada 21.-25.septembris. Vizītes ietvaros ir plānots noslēgt sadarbības līgumus.
 12) tiešā vizīte pie potenciālajiem sadarbības partneriem Spānijā, 2009.gada 5.-9.oktobris. Vizītes ietvaros ir plānots noslēgt sadarbības līgumus.
 13) tiešā vizīte pie potenciālajiem sadarbības partneriem Grieķijā, 2009.gada 19.-23.septembris. Vizītes ietvaros ir plānots noslēgt sadarbības līgumus.
 14) tiešā vizīte pie potenciālajiem sadarbības partneriem Francijā, 2009.gada 2.-6.novembris. Vizītes ietvaros ir plānots noslēgt sadarbības līgumus.
 15) tiešā vizīte pie potenciālajiem sadarbības partneriem Holandē, 2009.gada 2.-6.novembris. Vizītes ietvaros ir plānots noslēgt sadarbības līgumus.
 16) tiešā vizīte pie potenciālajiem sadarbības partneriem Vācijā, 2009.gada 9.-13.novembris. Vizītes ietvaros ir plānots noslēgt sadarbības līgumus.
 17) tiešā vizīte pie potenciālajiem sadarbības partneriem Itālijā, 2009.gada 16.-20.novembris. Vizītes ietvaros ir plānots noslēgt sadarbības līgumus.
 18) tiešā vizīte pie potenciālajiem sadarbības partneriem Beļģijā, 2009.gada 23.-27.novembris. Vizītes ietvaros ir plānots noslēgt sadarbības līgumus.
 19) tiešā vizīte pie potenciālajiem sadarbības partneriem Francijā, 2009.gada 7.-11.decembris. Vizītes ietvaros ir plānots noslēgt sadarbības līgumus.
 20) tiešā vizīte pie potenciālajiem sadarbības partneriem Austrijā, 2009.gada 14.-18.decembris. Vizītes ietvaros ir plānots noslēgt sadarbības līgumus.",30436.35,15218.17,0,5,"www.selijasmezs.lv"
,14,"Baltransauto termināls","Uriekstes iela 3, Rīga, LV-1005","SIA ""Baltransauto termināls"" dalība starptautiskajās loģistikas un transporta izstādēs Vācijā, Kazahstānā un ASV - Baltijas piegādes ķēžu biznesa forumā ASV","Rīga",30/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Projekta ietvaros ir plānots piedalīties divās loģistikas un transporta attīstības jautājumiem veltītās izstādēs - jalvenajā šiem jautājumiem veltītajā izstādē ""Transport - Logistic 2009"" Vācijā un NVS Āzijas reģiona izstādē ""Tranzit - Trans Kazakhstan 2009"" Kazahstānā, kā arī ASV - Baltijas piegādes ķēžu biznesa forumā ""2009 U.S. - Baltic Chain Venture Forum"" ASV. Dalība izstādēs un forumā dos iespēju pasniegt Latvijas kā loģistikas centra un tranzīta valsts iespējas, informēt par priekšrocībām salīdzinot ar citām valstīm.
 Foruma laikā paredzēts informēt par jauno prāmja līniju Liepāja - Lībeka un par iespējām, kuras paveras kravu īpašniekiem.",16765.6,8047.48,0,3,"www.ave.lv"
,15,"Mikrofona ieraksti","Slokas iela 69, Rīga, LV-1007","SIA ""Mikrofona ieraksti"" ārējā mārketinga aktivitātes","Rīga",15/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ''Mikrofona ieraksti'' ir dibināta 1996.gada 17.aprīlī un nodarbojas ar ierakstu producēšanu, izdošanu, licencēšanu, izplatīšanu, mākslinieku menedžēšanu un promociju. Jau daudzus gadus darbojoties jaunajā Baltijas mūzikas tirgū ''Mikrofona ieraksti'' ieguvuši nenovērtējamu pieredzi un ir autoritātes Baltijas mūzikas industrijas cilvēku vidū. ''Mikrofona ierakstiem'' pieder lielākais lokālās mūzikas katologs, kurš satur vairāk kā 360 nosaukumu albumus un singlus, no kuriem vairāki saņēmuši zelta un platīna statusus Latvijā. Ar grupu Brainstorm gūti panākumi vairākās Eiropas valstīs. Daudzi deju mūzikas ieraksti ir licencēti Eiropā un visā pasaulē, tajā skaitā Japānā. 1996.gadā tika parakstīts licences līgums ar kompāniju EMI Records, iegūstot stabilu partneri sadarbībai Baltijā un pasaulē.
 2009.gadā uzņēmums plāno vairākas ārējā mārketinga aktivitātes:
 1) dalība starptautiskajā mūzikas biznesa izstādē ''Popkomm 2009'', 16.-18.septembrī, 2009, Berlīnē, Vācijā. Plānots, ka izstādē piedalīsies vairāk kā 800 dalībnieku no 55 valstīm.
 2) Izstādes apmeklējuma laikā tikšanās ar esošiem un potenciālajiem sadarbības partneriem:
 2.1. Peter Ende president/CEO, EMI Publishing Continental Europe
 2.2. Jan Christiansen - Cuepoint Records
 2.3. Marc de Raaf (Managing Director) ToCo Europe The Netherlands
 2.4. Warner Music Austria, Warner Music Germany, Universal Music Germany un Sony/BMG Germany pārstāvjiem.",10165,4658.61,0,14,"www.micrec.lv"
,16,"TOASTERS","Lambertu iela 34, Mārupes novads, LV-2167","SIA ""TOASTERS"" ārējā mārketinga aktivitātes Lielbritānijas tirgū.","Mārupes novads",19/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ''TOASTERS'' ir dibināts 2006.gadā. 2007.gadā tika izveidota firmas zīme ''ZNAK'', kas darbojas dizaina tapešu ražošanas jomā. 2008.gadā uzsākts eksports uz Lielbritāniju, pateicoties dalībai starptautiskajā izstādē ''Surface designe Show'' Londonā.
 2009.gadā uzņēmums plāno piedalīties starptautiskajā dizaina izstādē ''100% Design London''. Izstādes norise no 24.-27.septembrim. Šī ir Lielbritānijas nozīmīgākā interjera dizaina priekšmetu izstāde, kuru apmeklē arhitekti, dizaineri un sortimentu iepircēji no visas Eiropas.
 Izstādes ietvaros īpaši plānojam prezentēt savu jauno inovatīvo produktu ''Tears Off'' modulāro tapeti, kas ir radīta ar īpašu perforētu dizainu. Izplēšot no tapetēm raksta fragmentus, iespējams radīt savu unikālu sienas dizainu.
 Jaunais produkts ir inovācija tapešu jomā un ir augstu novērtēts jomas nozīmīgākajā dizaina izdevumā ''ID Magazine'' Ņujorkā, kā ''2008.gada Labākais jaunais produkts!'' Kā arī ieguvis pašmāju prestižo ''ADWARDS'' Zelta godalgu, industriālā dizaina kategorijā.",10743.62,5371.81,0,3,"www.znak-life.com"
,17,"TOASTERS","Lambertu iela 34, Mārupes novads, LV-2167","SIA ""TOASTERS"" ārējā mārketinga aktivitātes Lielbritānijas tirgū","Mārupes novads",19/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ""TOASTERS"" ir dibināts 2006.gadā. 2007.gadā tika izveidota firmas zīme ""ZNAK"", kas darbojas dizaina tapešu ražošanas jomā. 2008.gadā uzsākts eksports uz Lielbritāniju, pateicoties dalībai starptautiskajā izstādē ""Surface designe Show"" Londonā.
 2010.gadā uzņēmums plāno piedalīties starptautiskajā dizaina izstādē ""100% Design London"". Izstādes norise no 24.-27.septembrim. Šī ir Lielbritānijas nozīmīgākā un prestižākā interjera dizaina priekšmetu izstāde, kuru apmeklē arhitekti, dizaineri un sortimentu iepircēji no visas Eiropas.
 Izstādes ietvaros plānojam prezentēt savu inovatīvo produktu ""Tears Off"" modulāro tapeti, kas radīta ar īpaši perforētu dizainu.
 ",14688.91,7344.45,0,13,"www.znak-life.com"
,18,"TOASTERS","Lambertu iela 34, Mārupes novads, LV-2167","SIA ""TOASTERS"" ārējā mārketinga aktivitātes Francijas tirgū (2010.gada septembrī)","Mārupes novads",19/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ''TOASTERS'' ir dibināts 2006.gadā. 2007.gadā tika izveidota firmas zīme ''ZNAK'', kas darbojas dizaina tapešu ražošanas jomā. 2008.gadā uzsākts eksports uz Lielbritāniju, pateicoties dalībai starptautiskajā izstādē ''Surface designe Show'' Londonā.
 2010.gadā uzņēmums plāno piedalīties starptautiskajā interjera priekšmetu un izstrādājumu izstādē ''MAISON&OBJET'' Parīzē. Izstādes norise no 2010.gada janvāris, kopējā izstādes platība apmēram 165000m2, paredzami aptuveni  3460 dalībnieki, aptuveni 100000 apmeklētāju, kā arī 990 žurnālistu no visas pasaules.
 Izstādes ietvaros plānojam prezentēt mūsu inovatīvās Tears Off modulārās tapetes, jaunos dizainus, kā arī Baltijas mākslinieku tapešu kolekciju.
 Jaunais produkts ir inovācija tapešu jomā un ir augstu novērtēts jomas nozīmīgākajā dizaina izdevumā ''ID Magazine'' Ņujorkā, kā ''2008.gada Labākais jaunais produkts!'' Kā arī 2009.gadā ieguvis pašmāju prestižo ''ADWARDS'' Zelta godalgu, industriālā dizaina kategorijā.",12571.81,6285.9,0,13,"www.znak-life.com"
,19,"TOASTERS","Lambertu iela 34, Mārupes novads, LV-2167","SIA ""TOASTERS"" ārējā mārketinga aktivitātes Francijas tirgū (2010.gada janvārī)","Mārupes novads",19/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ""TOASTERS"" ir dibināts 2006.gadā. 2007.gadā tika izveidota firmas zīme ""ZNAK"", kas darbojas dizaina tapešu ražošanas jomā. 2008.gadā uzsākts eksports uz Lielbritāniju, pateicoties dalībai starptautiskajā izstādē ""Surface designe Show"" Londonā.
 2010.gadā uzņēmums plāno piedalīties starptautiskajā interjera priekšmetu un izstrādājumu izstādeē ""MAISON&OBJET"" Parīzē. Izstādes norise no 2010.gada janvāra, lopējā izstādes platība apmēram 165000m2, paredzami aptuveni 3460 dalībnieki, aptuveni 100000 apmeklētāju, kā 990 žurnālistu no visas pasaules.
 Izstādes ietvaros plānojam prezentēt mūsu inovatīvās Tears Off modulārās tapetes, jaunos dizainus, kā arī Baltijas mākslinieku tapešu kolekciju.
 Jaunais produkts ir inovācija tapešu jomā un ir augstu novērtēts jomas nozīmīgākajā dizaina izdevumā ""ID Magazine"" Ņujorkā, kā ""2008.Gada Labākais jaunais produkts!"" Kā arī 2009.gadā ieguvis pašmāju prestižo ""ADWARDS"" zelta godalgu, industriālā dizaina kategorijā.",17527.04,8763.52,0,18,"www.znak-life.com"
,20,"IBBA","Stabu iela 35-4a, Rīga, LV-1011","SIA ""IBBA"" ārējā mārketinga aktivitāte - tiešās vizītes Vācijā, Francijā un Anglija, Beļģija","Rīga",19/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ""IBBA"" ir dibināta 2008.gadā un darbojas dizaina pakalpojumu un sieviešu apģērba modelēšanas un izgatavošanas jomā. Ar savām jaunāko sieviešu apģērba kolekciju pavasaris/vasara 2011 uzņēmums 2009.-2010.gadā plāno piedalīties tiešajās vizītēs Berlīnē, Hamburgā, Frankfurtē, Štutgartē Vācijā. 20.oktobris - 3.novembris, 2009.g., Parīzē, Francijā 11.-18.novembrim, 2009.g. un Londonā, Anglijā 5.janvāra - 12.janvārim, 2010.g. Un Brisele, Antverpene, Beļģijā 5.aprīļa - 11.aprīlim, 2010.g. Vizītes ietvaros plānots tikties ar potenciālajiem klientiem - veikaliem, veikalu ķēdēm un modes aģentūrām.",20589.93,10294.96,0,9,"www.baiba.ripa.eu"
,21,"IBBA","Stabu iela 35-4a, Rīga, LV-1011","SIA ""IBBA"" ārējā mārketinga aktivitāte - dalība starptautiskās izstādēs ārvalstīs (izstādes 2011.gadā Vācijā, Dānijā, Anglijā, Francijā)","Rīga",30/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ""IBBA"" ir dibināta 2008.gadā un darbojas dizaina pakalpojumu un sieviešu apģērba modelēšanas un izgatavošanas jomā. Ar savu jaunāko sieviešu apģērba kolekciju rudens/ziema 2011/2012 uzņēmums 2010.gadā plāno piedalīties trijās ikgadējās starptautiskās tekstilrūpniecības izstādēs: PREMIUM - Fashion & Lifestyle Tradeshow 29.janvārī -31.janvārī, 2011, Berlīnē, Vacijā un CPH VISION - Fashion Design RTW 5.februāris - 8.februārim, 2011, Kopenhāgenā, Dānijā un ON/OFF - Designers Collections 20.februāris - 25.februārim, 2011, Londonā, Anglijā,; TRANOI - Womenswear Designer Show 5.marta - 8.martam, 2011, Parīzē, Francijā.
 Ilggadīgi ikgadējās sezonu izstādes norisinās vienā un tajā pašā laikā, bet precīzi datumi nākamajai izstādei tiek izziņoti, kad beidzas iepriekšējā izstāde.",22489.22,11244.61,0,21,"www.baiba.ripa.eu"
,22,"IBBA","Stabu iela 35-4a, Rīga, LV-1011","SIA ""IBBA"" ārējā mārketinga aktivitāte - dalība starptautiskās izstādēs ārvalstīs","Rīga",30/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ""IBBA"" ir dibināta 2008.gadā un darbojas dizaina paklpojumu un sieviešu apģērba modelēšanas un izgatavošanas jomā. Ar savu jaunāko sieviešu apģērba kolekciju pavasaris/vasara 2011 uzņēmums 2010.gadā plāno piedalīties trijās ikgadējās starptautiskās tekstilrūpniecības izstādēs: PREMIUM - Fashion & Lifestyle Tradeshow 18.jūlijā - 20.jūlijā, 2010, Berlīnē, Vācijā un CPH VISION - Fashion Design RTW 6.augusta - 9.augustam, 2010, Kopenhāgenā, Danijā un TRANOI - Womenswear Designer Show 3.oktobris - 6.oktobrim, 2010, Parīzē, Francijā.
 Ilggadīgi ikgadējās sezonu izstādes norisinās vienā un tajā pašā laikā, bet precīzi datumi nākamajai izstādei tiek izziņoti, kad beidzas iepriekšējā izstāde.",21974.35,10987.17,0,15,"www.baiba.ripa.eu"
,23,"IBBA","Stabu iela 35-4a, Rīga, LV-1011","SIA ""IBBA"" ārējā mārketinga aktivitāte - dalība starptautiskās izstādēs ārvalstīs (izstādes 2010.gadā Vācijā un Francijā)","Rīga",30/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ""IBBA"" ir dibināta 2008.gadā un darbojas dizaina pakalpojumu un sieviešu apģērba modelēšanas un izgatavošanas jomā. Ar savu jaunāko sieviešu apģērba kolekciju rudens/ziema 2010/2011 uzņēmums 2010.gadā plāno piedalīties divās ikgadējās starptautiskās tekstilrūpniecības izstādēs: PREMIUM - Fashion&Lifestyle Tradeshow 29.janvārī - 31.janvārī, 2010, Berlīnē, Vācijā un TRANOI - Womenswear Designer Show 5.marta - 8.martam, 2010, Parīzē, Francijā.
 Ilggadīgi ikgadējās sezonu izstādes norisinās vienā un tajā pašā laikā, bet precīzi datumi nākamajai izstādei tiek izziņoti kad beidzas iepriekšējā izstāde.",11289.59,5644.79,0,8,"www.baiba.ripa@eu"
,24,"Jelgavas Tipogrāfija","Langervaldes iela 1, Jelgava, LV-3002","SIA ""Jelgavas Tipogrāfija"" līdzdalība starptautiskās izstādēs","Jelgava",30/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Turpmākajos gados uzņēmums plāno vairākas ārējā mārketinga aktivitātes:
 1. dalība starptautiskā izstādē ''London Book Fair 2009'', kas no 2009.gada 20. līdz 22.aprīlim noritēs Apvienotajā Karalistē.
 2. dalība starptautiskā izstādē ''Goteborg Book Fair 2009'', kas no 2009.gada 24. līdz 27.septembrim  noritēs Zviedrijas Karalistē.
 3. dalība starptautiskā izstādē ''Frankfurter Buchmesse 2009'', kas no 2009.gada 14. līdz 18.oktobrim noritēs Vācijas Fedaratīvajā Republikā.
 4. dalība starptautiskā izstādē ''London Book Fair 2010'', kas no 2010.gada 19. līdz 21.aprīlim noritēs Apvienotajā Karalistē.
 5. dalība starptautiskā izstādē ''Salon international du livre et de la presse 2010'', kas no 2010.gada 21. līdz 24.aprīlim noritēs Šveices Konfederācijā.
 6. dalība starptautiskā izstādē ''Goteborg Book Fair 2010'', kas no 2010.gada 23. līdz 26.septembrim noritēs Zviedrijas Karalistē.
 7. dalība starptautiskā izstādē ''Frankfurter Buchmesse 2010'', kas no 2010.gada 13. līdz 17.oktobrim noritēs Vācijas Federatīvajā Republikā.",38834.51,19417.25,0,16,"-"
,25,"Grindeks","Krustpils iela 53, Rīga, LV-1057","AS ""Grindeks"" dalība starptautiskās izstādēs- ""CPhI Worldwide 2010"" un ""Veselības aizsardzība Baltkrievijā"" 2010. un 2011.","Rīga",30/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Projekta ietvaros AS ""Grindeks"" 2010. un 2011.gadā plāno piedalīties šādās starptautiskās izstādēs:
 1)starptautiskā farmaceitisko risinājumu izstāde ""CPhI Worldwide 2010"", kas norisināsies 2010.gada oktobrī Parīzē, Francijā. Šī izstāde notiek katru gadu kādā no Eiropas valstīm un AS ""Grindeks"" tajā piedalās jau vairākus gadus. Precīzs izstādes norises laiks vēl nav zināms, tas tiks precizēts vēlāk;
 2)starptautiskā specializētā izstāde ""Veselības aizsardzība Baltkrievijā 2010"", kas norisināsies 2010.gada martā Minskā, Baltkrievijā. Šī izstāde notiek katru gadu Baltkrievijā, Minskā un AS ""Grindeks"" tajā piedalās jau vairākus gadus. Precīzs izstādes norises laiks tiek paziņots gadu iepriekš (parasti izstāde notiek martā), tādēļ izstādes norises laiks tiks precizēts vēlāk;
 3)Starptautiskā specializētā izstāde ""Veselības aizsardzība baltkrievijā 2011"", kas norisināsies 2011.gaks precizēts vēlāk.",32330.8,16165.4,0,19,"www.grindeks.lv"
,26,"JLU Technologies","Ilūkstes iela 107/1-16, Rīga, LV-1082","Sudraba pavedienu izstrādājumu realizācijas mērķprogramma uz ārējo tirgu","Rīga",27/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","2009.-2011.g. uzņēmums plāno sekojošas ārējā mārketinga aktivitātes:
 -Piedalīšanos starptautiskajās izstādēs:
 London EDGE, Lielbritānija, 06.09.-08.09.2009.;
 MODAMONT, Francija, 10.02.-13.02.2011.;
 MODA IN, Itālija, 08.09.-11.09.2010.
 Plānots, ka izstādēs piedalīsies vairāk kā 400 zīmoli pārstāvju no 46 valstīm.
 Milānā izstādes ietvaros tiek plānota tikšanos ar potenciālo adīšanas iekārtu izstrādātāju no Itālijas  ""BUSI GIOVANNI S.R.L."", 2009.g., 8.-11.septembrī.",19722,9663.78,0,21,"http://www.lza.lv/scientists/lyashenko.htm"
,27,"Kronus","Rencēnu iela 6b, Rīga, LV-1073","SIA ""KRONUS"" ārējā mārketinga aktivitātes 2010. un 2011.gadam","Rīga",19/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ""KRONUS"" ir dibināta 1995.gadā un  pašreiz ir viens no lielākajiem palešu un palešu bortu ražotājiem Eiropā. Palešu un palešu bortu ražošanas apjoms sastāda aptuveni 85% no visa uzņēmuma apgrozījuma. Papildus uzņēmums nodarbojas ar lietotu palešu un palešu bloku uzpirkšanu, iznomāšanu, remontu, utilizāciju, kā arī kā ražošanas procesa blakusprodukts tiek ražotas arī skaidu briketes. Saviem klientiem uzņēmums spēj nodrošināt ap simts dažādu palešu veidu, tostarp ir gan standarta izmēra paletes, gan paletes, kuras izgatavotas pēc pasūtītājam nepieciešamiem nestandarta izmēriem un rasējumiem.
 Pasliktinoties ekonomiskajai situācijai, ir samazinājies preču pieprasījums Latvijā, kas tiešā mērā iespaido pieprasījumu pēc loģistikas un transportēšanas pakalpojumiem un tādējādi arī pēc preču transportēšanas pakalpojuma, tādēļ, lai uzņēmums varētu sekmīgi turpināt savu saimniecisko darbību, ir nepieciešams apgūt jaunus tirgus, kā arī nostiprināt pozīcijas jau esošajos. Kā instrumentu, lai sasniegtu šos mērķus, SIA ""KRONUS"" ir izvēlējusies piedalīties sekojošās izstādēs ārpus Latvijas:
 1)starptautiskajā specializētā tehnoloģiju izstādē, materiālu un izejvielu iesaiņojumam ""FachPack 2010"", kas norisināsies no 2010.gada 28. līdz 30.septembrim Nirnbergā, Vācijā;
 2)starptautiskajā pakošanas iekārtu un iepakojumu materiālu izstādē ""Interpack PROCESSES AND PACKING 2011"", kas no 2011.gada 12. līdz 18.maijam norisināsies Diseldorfā, Vācijā.",49082.83,24541.41,0,21,"www.kronus.eu"
,28,"Munio","Dzirnavu iela 31-39, Rīga, LV-1010","SIA ""Munio"" ārējā mārketinga aktivitātes (izstādes 2009.gadā Parīzē, 2010.gadā Ņujorkā)","Rīga",19/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ''Munio'' ir dibināta 2007.gadā, un tā darbojas sveču ražošanas nozarē. Uzņēmums ražo Latvijā inovatīvu produktu - unikāla dizaina 100% ekoloģiskās sojas vaska sveces ar Latvijas mežos un pļavās sastopamiem augiem. Pēc pirmā aktīvas darbības gada noslēguma Latvijā uzņēmums ir paplašinājis produkcijas klāstu un plāno uzsākt eksportēšanu.
 2009.g. un 2010.g. uzņēmums plāno vairākas ārējā mārketinga aktivitātes, t.sk. šī projekta ietvaros dalību 2 starptautiskās izstādēs:
 1) interjera aksesuāru izstāde MAISON&OBJET PARIS 2009, 4.-8.septembrī, 2009.gadā Parīzē.
 2) interjera un mēbeļu izstādē ICFF 2010, 15.-18.maijā, 2010.gadā, Ņujorkā.",18122,9061,0,12,"www.muniocandela.com"
,29,"Munio","Dzirnavu iela 31-39, Rīga, LV-1010","SIA ""Munio""ārējā mārketinga aktivitātes (izstādes 2010.gadā Tokijā un Parīzē)","Rīga",19/06/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ""Munio"" ir dibināta 2007.gadā un tā adrbojas svečuražošanas nozarē. Uzņēmums ražo Latvijā inovatīvu produktu - unikāla dizaina 100% ekoloģiskā sojas vaska sveces ar Latvijas mežos un pļavās sastopamiem augiem. Pēc pirmā aktīvas darbības gada noslēguma LAtvijā uzņēmums ir paplašinājis produkcijas klāstu un plāno 2009.gadā uzsākt eksportēšanu.
 2010.gadā uzņēmums plāno vairākas ārējā mārketinga aktivitātes, t.sk., šī projekta ietvaros dalību 2 starptautiskās izstādēs:
 1) interjera un mēbeļu izstādē INTERIOR&LIFESTYLE TOKYO 2010, 2.-4.jūnijā, 2010.gadā, Tokijā.
 2) interjera aksesuāru izstādē MAISON&OBJET PARIS 2010, 3.-7.septembrī, 2010.gadā, Parīzē.",18744.51,9372.25,0,13,"www.muniocandela.com"
