"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
46,"JTS","Peldu iela 7, Jelgava, LV-3002","Fibrolīta akustiskās sistēmas","Aronas pagasts ",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","SIA ""JTS"" pēc izstrādātā parauga plāno ražot jaunu produktu, akustiskos griestu paneļus, kas ir ekoloģisks, elpojošs skaņas-, vibrāciju un siltumizolējošs materiāls mūzikas studiju, izklaides klubu, sporta kompleksu, ofisu apsaimniekotāju, būvnieku un rek",700000,208250,36750,12,
47,"Baltrotors","Institūta iela 1, Salaspils, Salaspils novads, Rīgas rajons, LV-2169","Jaunu industriālu rotatoru ieviešana ražošanā","Salaspils ",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros paredzēts ieviest ražošanā projekta iesniedzēja izstrādātos industriālos virzuļu rotatorus celtniecības un loģistikas nozares vajadzībām. Pateicoties unikālai virzuļa formai, jaunie rotatori nodrošina precīzu apstāšanās stāvokļa fiksācij",744464,221478.04,39084.36,22,"www.baltrotors.lv"
48,"Agora JK","Valdeķu iela 50/5-21, Rīga, LV-1053","Taisnstūrveida polipropilēna iepakojuma ieviešana ražošanā","Rīga",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros plānots ieviest ražošanā projekta iesniedzēja izstrādāto taisnstūrveida iepakojumu no polipropilēna ar sienas biezumu 0,65mm.
 Projekta ietvaros uzņēmums iegādāsies jaunas iekārtas, kas tieši nepieciešamas jaunu tehnoloģiju ieviešnai raž",980000,291550,51450,12,"www.agorajk.lv"
49,"Sadzīves pakalpojumi","Daugavpils 62/66, Rīga, LV-1003","Jaunas tehnoloģijas ieviešana ražošanā","Rīga",15/05/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros paredzēts ieviest ražošanā jaunu tehnoloģiju, kas nodrošinās jaunus pakalpojumus uzņēmuma klientiem:
 1. Tekstilizstrādājumu mazgāšana, žāvēšana, gludināšana, locīšana restorāniem.
 2. Darba apģērbu mazgāšana, žāvēšana, gludināšana, locī",671177.82,199675.39,35236.84,16,
50,"Evopipes","Āgenskalna iela 33, Rīga, LV-1046","Jaunu produktu un tehnoloģiju ieviešana plastmasas cauruļu elektroinstalācijām ražošanā","Jelgava ",15/05/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros paredzēts ieviest ražošanā jaunu inovatīvu produktu - elektroinstalācijas plastmasas cauruli, kuru izmanto ievietošanai betonā - iebetonēšana (iztur ļoti lielas masas slodzi), novietošanai ārējā vidē (korozijizturīgā) un iekštelpās (ugun",1000000,297500,52500,13,"www.evopipes.lv"
51,"DP Plasts","Bauskas iela 33-202, Rīga, LV-1004","Profilēto Putupolistirola plātņu ieviešana ražošanā","Daugavpils ",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros paredzēts ieviest ražošanā inovatīvo un patentēto putupolistirola plātņu frēzēšanas tehnoloģiju, kas ļauj bez atkritumiem, bez putekļiem un ar augstu precizitāti frēzēt putupolistirola blokus, kurus pēc tam var izmantot ēku ārējā un iekš",371500,110521.25,19503.75,4,
52,"Leta","Palasta iela 10, Rīga, LV-1502","LTecH","Rīga",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Pēdējo gadu laikā pieprasījums pēc kvalitatīviem informācijas produktiem ir būtiski audzis, līdz ar to LETA katru gadu ir izstrādājusi jaunus informācijas produktus un attīstījusi esošos produktus.
 Pēdējo gadu laikā ir daudz strādāts pie produkta ""Foto a",103168.24,30692.54,5416.34,11,"www.leta.lv"
53,"Ceļu būvniecības sabiedrība ""IGATE""","Satiksmes iela 7, Jelgava, LV-3007","Jaunu produktu un tehnoloģiju ieviešana asfalta ražošanā","Jelgava ",15/05/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros plānots iegādāties jaunu asfalta ražošanas rūpnīcas iekārtu komplektu, kas nodrošinās ne tikai jauna produkta - jauna kvalitatīva, elastīga un ilgmūžīga asfalta ražošana izmantojot nofrēzēto - veco asfaltu, bet arī jaunas tehnoloģijas ie",1400000,297500,52500,6,"www.cbs-igate.lv"
54,"SIDRABE","Krustpils iela 17, Rīga, LV-1073","Jaunu tehnoloģiju ieviešana augsti tehnoloģisku mašīnu ražošanā","Rīga",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Ruļļu veida (Roll-to-Roll) vakuuma pārklājuma iekārtās centrālo vietu ieņem procesa trumulis, kas paredzēts ruļļa pamatnes (polimēru plēves, metālu folijas, cita lokana materiāla) temperatūras stabilizācijai un procesa gāzu padevei pārklāšanas laikā. Proj",166000,49385,8715,10,"www.sidrabe.com"
55,"Luxico","Maskavas iela 22, Rēzekne, LV-4604","Reklāmas informatīvo stendu ieviešana ražošanā izmantojot kompozītmateriālu vakumformēšanas tehnoloģijas","Rīga",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Projekta ietvaros paredzēts ieviest ražošanā projekta iesniedzēja reklāmas informatīvos stendus.",310000,92225,16275,8,"-"
56,"Balza","""Priedes"", Pelču pagasts, Kuldīgas novads, LV-3301","Jaunas tehnoloģijas ieviešana uzņēmumā","Pelču pagasts",09/02/2009,"Jaunu produktu un tehnoloģiju izstrāde – atbalsts jaunu produktu un tehnoloģiju ieviešanai ražošanā","Uzņēmums gatavojas ieviest ražošanā ""Weinig Gruppe"" uzņēmumu izgudrotās, patentētās tehnoloģijas, ka arī iegādāties ražošanas līnijas ar šo integrēto tehnoloģiju. ",1075864.98,297482.03,52496.84,12,"-"
