"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"Marks M","Dūņu iela 9, Jelgava, LV-3001","SIA ""Marks M"" dalība starptautiskajā mēbeļu izstādē ""Stokholm furniture fair"", Zviedrijā.","Jelgava ",29/01/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ""Marks M"" nodarbojas ar matraču un tapsēto gultu ražošanu.

SIA ""Marks M"" plāno piedalīties lielākajā starptautiskajā Skandināvijas valstu mēbeļu izstādē ""Stokholm furniture fair"", Zviedrijā.","31,350.70","15,675.35",0,2,
2,"Preco","Dravnieku iela 16, Lielvārde, Lielvārdes novads, Ogres rajons, LV-5070","SIA ""Preco"" ārējā mārketinga aktivitātes","Lielvārde ",30/01/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ""Preco"" šī projekta ietvaros plāno piedalīties starptautiskās izstādēs, lai veicinātu savu saražoto produktu - graudu pirmapstrādes iekārtu izplatīšanu ārvalstu tirgos, iegūtu informāciju par ārvalstu tirgus dalībniekiem, kas nākotnē varētu sekmēt SIA ""Preco"" iekļaušnosstarptautiskajās piegāžu ķēdēs, lai varētu izveidot konkurētspējīgu ražošanas uzņēmumu un iegūt tirgus līdera statusu kvadrātveida birstošo kravu bunkuru tirgū gan Latvijā, gan arī iekarot citus Eiropas tirgus ar savu produkciju.
2009.gadā uzņēmums plāno vairākas ārējā mārketinga aktivitātes:
1) Dalība starptautiskā izstādē ""Agrihort"". Izstādes datums 10.02.2009.-14.02.2009. Kijevā, Ukrainā.
2) Dalība starptautiskā izstādē ""AGRA"". Izstāde notiks Plovdivā, Bulgārijā. Izstādes datums: 18.02.2009-22.02.2009.
3) Dalība starptautiskā izstādē ""IndAgra Farm"" Bukarestē, Rumānijā. Izstādes datums: 05.11.2009.-09.11.2009.
4) Dalība starptautiskā izstādē ""Agritechnica 2009"" Hannoverē, Vācijā. Izstādes datums: 08.11.2009.-14.11.2009.","19,294.53","9,647.26",0,10,"www.preco.lv"
3,"VARIS Toys","""Saimes"", Rencēnu pagasts, Valmieras rajons, LV-4232","VARIS Toys dalība starptautiskajās izstādēs 2009, Vācijā","Rencēnu pagasts ",29/01/2009,"Ārējo tirgu apgūšana - ārējais mārketings","VARIS Toys ir augstas kvalitātes koka rotaļlietu ražotājs. Uzņēmums un tā produkti ir ieguvuši vairākus vietējas nozīmes kā arī starptautiskus apbalvojumus gan par ražotajiem produktiem (dažādas produkta dizaina un kvalitāte balvas), gan arī par sasniegumiem eksportā un produkcijas pārdošanā. Aptuveni 90% uzņēmuma produkcijas katru gadu tiek eksportēta uz Norvēģiju, Japānu, Eiropas Savienības dalībvalstīm, Islandi, Turciju un ASV.
Projekta ietvaros uzņēmums plāno piedalīties 2 starptautiskās izstādēs Vācijā, kas abas ir nozaru lielākās izstādes pasaulē.
Izstāde Spielwarnmesse ikgadēji pulcē ap 80 000 apmeklētāju un 2785 dalībnieku, kas ir lielākā darīumu slēgšanas izstāde rotaļlietu tirgū savukārt BioFach pulcē ap 37 000 apmeklētāju un 2100 dalībnieku, kasir lielākā darījumu slēgšanas izstāde ekoloģisko produktu tirgū. Abās izstādēs ~45% apmeklētāju ir mazumtirdzniecības veikali un ~30% produkcijas izplatītāji, kas abas ir galvenās uzņēmuma mērķauditorijas.","22,189.07","11,094.53",0,3,"www.varis.lv"
4,"SAF Tehnika","Ganību dambis 24a, Rīga, LV-1005","A/s ""SAF Tehnika"" dalība starptautiskās izstādēs Vācijā un Krievijā","Rīga",30/01/2009,,"SAF Tehnika dalība izstādē „CeBIT 2009”, kas notiek Hannoverē, Vācijā 2009.gadā no 3.-8.martam. Izstāde CeBIT ir vadošais digitālās pasaules notikums un pasaules lielākā izstāde, kas prezentē jaunākos sasniegumus IT un telekomunikāciu risinājumu nozarē. Galvenā mērķauditorija ir IT nozares pārstāvji, bankas, pakalpojumu sniedzēji, valsts iestādes, kā arī visi, kas ieinteresēti jaunākajos atklājumos.
• SAF Tehnika plāno piedalīties Austrumeiropas reģiona lielākajā izstādē – „Sviaz ExpoComm 2009”, kas norisinās Maskavā, Krievijā 2009.gadā laikā no 12.-15.maijam. Izstāde ir pierādījusi sevi kā spēcīgākā telekomunikāciju un informācijas tehnoloģiju izstāde Krievijā un NVS. Gadu no gada izstādē ir iespējms iepazīties ar jaunākajiem sasniegumiem IT un komunikāciju jomā","51,998.00","25,999.00",0,3,"www.saftehnika.com"
5,"Fitlains","Meža prospekts 49, Jūrmala, LV-2010","SIA ""Fitlains"" dalība starptautiskās izstādēs Itālijā un Krievijā","Jūrmala ",04/02/2009,,"International Wellness Centre „Balans” (SIA „Fitlains”) dalība izstādē „Rimini Wellness 2009”, kas notiek Riminī, Itālijā 2009.gadā no 14.-17.maijam. Izstāde Rimini ir atzīta par vadošo notikumu Wellness pasaulē, kas prezentē jaunākus un labākus sasniegumus skaistumkopšanas un aktīva dzīvesveida jomā. Galvenā mērķauditorija ir uzņēmēji, piegādātāji, apkalpošanas eksperti un potenciālie klienti Wellness industrijā.
 International Wellness Centre „Balans” plāno prezentēt Latviju Austrumeiropas reģiona produktus īpaši slavenā izstādē – „World Class Fitness Convention 2009”, kas norisinās Maskavā, Krievijā 2009.gadā laikā no 22.-24.maijam. World Class ir lielākā fitnes izstāde Krievijā. Šīs izstādes ietvaros apvienojās labākās fitnesa komandas, slaveni sportisti, sporta federācijas un ieinteresēti apmeklētāji","13,309.00","6,654.50",0,3,"www.grateka.lv"
6,"PEPI RER","Parka iela 25, Valka, Valkas rajons, LV-4701","SIA ""PEPI RER"" dalība starptautiskās izstādēs ārvalstīs","Valka ",30/01/2009,,"2009. un 2010.gadā uzņēmums plāno šādas ārējā mārketinga aktivitātes:
1)Dalība starptautiskajā celtniecības un būvniecības nozares uzņēmumu izstādē ""ScandBuild 2009"" no 2009.gada 31.marta līdz 2.aprīlim Kopenhāgenā, Dānijā.
2)Dalība starptautiskajā celtniecības un renovāciju izstādē ""RESTA 2009"" no 2009.gada 7.-10.aprīlim Viļņā, Lietuvā.
3)Dalība starptautiskajā mēbeļu un interjera konstrukciju rūpniecības uzņēmumu izstādē ""Interzum 2009"" no 2009.gada 13.-16.maijam ķelnē, Vācijā.
4)Dalība starptautiskajā grīdas segumu rūpniecības uzņēmumu izstādē ""National Floor Show 2009"" no 2009.gada 8.-10.septembrim Harrogatē, Lielbritānijā.
5)Dalība starptautiskā būvniecības nozares uzņēmumu izstādē ""BATIMAT 2009"" no 2009.gada 2.-7.novembrim Parīzē, Francijā. 
6)Dalība 22.starptautiskajā grīdas segumu rūpniecības nozares uzņēmumu izstādē ""DOMOTEX HANNOVER 2010"" no 2010.gada 16.-19.janvārim Hannoverē, Vācijā.
7)Dalība 6.starptautiskā parketa, lamināta un korķa grīdas segumu rūpniecības nozares uzņēmumu izstādē ""EUROPARKET 2010"" no 2010.gada 25.-27.aprīlim Kortreikā, Beļģijā","44,977.00","22,488.50",0,14,"www.pepirer.lv"
7,"Anna Barons","Krustabaznīcas iela 11 K-21, Rīga, LV-1006","Dalība starptautiskā izstādē ""ABITARE IL TEMPO""","Rīga",30/01/2009,,"Uzņēmums ""Anna Barons"" ir dibināts 2005.gadā un nodarbojas ar augstākās klases mēbeļu un interjera priekšmetu izgatavošanu no augstvērtīgiem un dārgiem materiāliem. Uzņēmuma galvenais mērķtirgus ir Krievija, Itālija, Francija, Beļģija, Nīderlande un Luksemburga. Itālijā un Francijā darbojas produkcijas izplatīšanas pārstāvis.
Uzņēmums koncentrējas uz nišas produktiem, un galvenā produkcijas priekšrocība ir  augsta pievienotā vērtība, jo tiek ražotas nevis lētas tipveida mēbeles, kas pakļautas spēcīgai cenu konkurencei, bet gan inovatīvas mēbeles un aksesuāri. Papildus izstrādājumiem no unikālas kolekcijas ""Natural Living"", ko 2007.gadā radījuši profesionāli Latvijas dizaineri Mareks Birznieks un Ilze Kundziņa, uzņēmums ražo arī visaugstākajām prasībām atbilstošas individuālas mēbeles un aksesuārus pēc pasūtījuma. Ražotne aprīkota ar mūsdienīgām ražošanas iekārtām un pielāgota nelielām produkcijas partijām ar īpaši augstu kvalitāti.
Projekta ietvaros uzņēmums plāno piedalīties ar savu stendu starptautiskajā interjera dizaina izstādē ""ABITARE IL TEMPO"", kas norisināsies 2009.gada 17.-21.septembrī Veronā, Itālijā.","19,958.31","9,979.15",0,5,"www.annabarons.lv"
8,"Mašīnbūves un Metālapstrādes Rūpniecības asociācija","Ezermalas iela 6, Rīga, LV-1006","DALĪBA STARPTAUTISKĀ IZSTĀDĒ ''Z 2009''","Rīga",30/01/2009,,"Rūpniecības izstāde ''Z 2009'', kas norisināsies Leipcigā, Vācijā no 24. līdz 27.februārim 2009.gadā, ir starptautiska rūpniecības izstāde, kurā piedalās vairāku valstu dalībnieki, jo īpaši no austrumu valstīm.
Pēdējos gados ir liela Rietumeiropas valstu sadarbības interese ar Baltijas valstīm. Asociācijas uzdevums ir Latvijas mašīnbūves un metālapstrādes rūpniecības attīstības veicināšana un popularizēšana, kā arī ekonomisko un tirdzniecības sakaru paplašināšana. Līdz ar to Mašīnbūves un Metālapstrādes Rūpniecības asociācija plāno piedalīties ar maziem un vidējiem uzņēmumiem starptautiskā rūpniecības izstādē ''Z 2009'' (Vācija) ar mērķi dot ieguldījumu mazo un vidējo uzņēmumu attīstībā, tās produkcijas atpazīstamībā un lai veicinātu uzņēmējiem profesionālos kontaktus ar citām valstīm un ieiešanu starptautiskajā tirgū. Lai veicinātu produktu atpazīstamību uz izstādi tiks vesti dažādi uzņēmumu eksponāti, uzņēmumu un nozares informatīvie reklāmas materiāli, kurus uz vietas stendā prezentēs gan Mašīnbūves un Metālapstrādes Rūpniecības asociācija, gan paši uzņēmuma pārstāvji, kas labi pārzin savus produktus un uzņēmuma tehnoloģiskās iespējas.","10,000.00","5,000.00",0,4,"www.masoc.lv"
9,"Rinosta Shipping Agency","Ausekļa iela 14-1, Rīga, LV-1010","SIA ""Rinosta Shipping Agency"" ārējā mārketinga aktivitātes 2009.gadā","Rīga",,04/02/2009,"SIA ""Rinosta Shipping Agency""dibināta 1995. gadā un tā darbojas kravu ekspedīciju jomā. Uzņēmusm sniedz plašu spektru pakalpojumus, kas saistīti ar kravu pārvadājumiem ar jūras, dzelzceļu, auto un gaisa transportu, kā rī noliktavas pakalpojumus.
1. Dalība 11. ikgadējajā starptatutiskajā World Cargo Allinace konferencē, Taizemē, Bankokā. Pasākuma ietvaros plānots prezentēt SIA ""Rinosta Shipping Agency""paklapojumus, Latvijas priekšrocības tranzīta pārvadājumiem un nodibināt sadarbības kontaktus.
2. Dadlība 7, ikgadējajā Staruptautiskajā Security Cargo Network konferencē, Losanželosā.Pasākumā ietvaros plānots nodibināt sadarbības kontaktus, prezentēt savu pakalpojumus un Latvijas priekšrocības tranzīta pārvadājumiem.
3. Dalība 14. starptautiskajā kravu pārvadājumu, transporta un loģistikas izstrādē un konferencē TRANSRUSSIA 2009, Maskavā. Pasākuma ietvaros plānots prezentēt SIA ""Rinosta Shipping Agency""paklapojumus, Latvijas priekšrocības tranzīta pārvadājumiem un nodibināt sadarbības kontaktus.
4. Dalība 5.ikgadējajā starptautiskājā World Freight Network konferencē, Kambodžā. Pasākumā ietvaros plānots nodibināt sadarbības kontaktus, prezentēt savu pakalpojumus.
5,Dalība 12. starptautiskajā loģistikas un transporta izstādē TRANSPORT LOGISTIC2009, Vācijā, Pasākuma ietvaros plānots prezentēt SIA ""Rinosta Shipping Agency""paklapojumus, Latvijas priekšrocības tranzīta pārvadājumiem un nodibināt sadarbības kontaktus.","21,274.41","10,211.71",0,3,"rinosta.lv"
10,"V V Stils","Lāčplēša iela 47a, Lielvārde, Lielvārdes novads, Ogres rajons, LV-5070","SIA ""V V Stils"" dalība izstādē ""Usadba 2009""","Lielvārde ",06/02/2009,,"Lai paaugstinātu eksporta apjomus, uzņēmums plāno piedalīties izstādē ""Усадьба 2009"" Ukrainā, Odesā. Prezentējot tur izstrādāto 1 moduļa mazo kempinga mājiņu, kura ir pilnībā iekārtota un apmēbelēta, kā arī uzņēmuma radītos grilus.","12,271.48","5,399.45",0,1,"www.vvs.lv"
