"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"GAMMAPLASTS","Jasmuižas iela 9a, Rīga, LV-1021","Uzņēmuma darbības paplašināšana","Ludza",30/10/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA „GAMMAPLASTS” ir plastmasas iepakojuma ražotājs, kura ražošanas bāze ir izvietota Rīgā. Ņemot vērā plastmasas iepakojuma ražošanas specifiku, produkcijas gala cena lielā mērā pieaug transportējos produkciju lielos attālumos (tālāk par 100km). 
 Lai risinātu šo problēmu tika pieņemts lēmums izveidot jaunu ražošanas iecirkni tieši attālinātajā rajonā transportēšanas izdevumu samazināšanai. Tas ļaus nodrošināt konkurētspējīgus pēc cenas un kvalitātes produkcijas piedāvājumus reģionu patērētājiem. 
 Ražošanas iecirkņa izveidošana īpaši atbalstāmajā teritorijā vienlaikus ļaus risināt arī valsts nozīmes problēmu, veicinot šīs teritorijas attīstību un bezdarba līmeņa mazināšanu.","264,254.30","145,339.86",0,5,"www.gammaplast.lv"
2,"KALVE KANDAVĀ","Lapu iela 5, Kandavas pagasts, Kandavas novads, LV-3120","SIA ""KALVE KANDAVĀ"" darbības paplašināšana un produkcijas dažādošana","Kandava",30/10/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekts SIA ""KALVE KANDAVĀ"" darbības paplašināšana un produkcijas dažādošana"" plānots īstenot 3 mēnešos. Projekta kopējās izmaksas ir LVL 9785.63, projekta kopējās attiecināmās izmaksas LVL 8087.30, no kurām ERAF finansējuma apmērs 55% (LVL 4448.01), projekta kopējās neattiecināmās izmaksas LVL 1698.33.
 Projektā plānotas divas aktivitātes:
 1)iepirkuma plāna sagatavošana un ieviešana LIAA (aktivitātes ietvaros tiks sastādīts iepirkuma plāns un iesniegts LIAA;
 2)līguma slēgšana ar iekārtu piegādātājiem, to piegāde un uzstādīšana (aktivitātes ietvaros tiks sastādīti un noslēgti līgumi ar iekārtu (firmātzāģis RVD FZ30M, biezumēvele RVD B500, skaidu nosūcējs RVD PS300D (2 gab.), granulu prese RVD Gp100, autopadevējs AF 32, asinātājs Holzmann MS6000, asinātājs Holzmann MTY8-70, aukstumkamera 3m x 3m x 2,5m piegādātājiem, par to iegādi un uzstādīšanu Lapu ielā 5, Kandavā, LV-312.
 Īstenojot projekta aktivitātes, projekta rezultāti būs 1 iepirkuma plāns un formātzāģis RVD FZ30 M, biezumēvele RVD B500, skaidu nosūcējs RVD PS300D (2gab.), granulu prese RVD Gp100, autopadevējs AF 32, asinātājs Holzmann MS6000, asinātājs Holzmann MTY8-70, aukstumkamera 3m x 3m x 2.5m.","8,087.30","4,448.01",0,3,"-"
3,"TELLS","Bauskas iela 184, Rīga, LV-1076","Ražošanas iekārtu iegāde SIA ""TELLS"" metālapstrādes ceha modernizācijai","Audriņu pagasts",30/10/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta realizācijas gadījumā, uzņēmums modernizēs metālapstrādes cehu, iegādājoties jaunas, precīzas un ražīgas iekārtas – CNC lentzāģi metāla zāģēšanai; virpošanas darbgaldu; frēzēšanas darbgaldu, CNC virpošanas darbgaldu; liekšanas presi un kombinētās šķēres.
 Uzņēmumam šīs iekārtas ir ļoti nepieciešamas, jo tas ir uzvarējis vairākos iepirkumu konkursos par granulēšanas iekārtu piegādi, kuru ražošanai ir nepieciešamas šīs iekārtas.
 Strādājot ar jaunajām iekārtām, uzņēmums turpinās ražot līdz šim ražotās iekārtas, gan uzsāks jaunu izstrādājumu ražošanu – daudzgalvu lentzāģus un dažādus nestandarta piekarināmos agregātus frontālajiem iekrāvējiem. Uzņēmums jau ir noslēdzis nodomu vienošanos ar Baltkrievijas uzņēmumiem par šīs produkcijas eksportu, kas tādējādi arī atbildīs Latvijas ekonomikas stabilizācijas plānam, kurā akcents tiek likts uz eksporta palielināšanu.
 ","70,000.00","38,500.00",0,6,"www.opilkam.net"
4,"MATSS","Raiņa iela 6, Skrunda, Skrundas novads, LV-3326","Konditorejas izstrādājumu ražošanas iekārtu iegāde","Skrunda",30/10/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta darbība vērsta uz uzņēmuma komercdarbības paplašināšanos, jaunu tirgu apgūšanu un konkurētspējas palielināšanu.
 Projekta realizācijas rezultātā uzņēmums iegādāsies jaunas pārtikas produktu ražošanas iekārtas, to ražošanas jaudas ir savstarpēji saskaņotas un nodrošinās iekārtu optimālu noslodzi. Kā arī nodrošinās ražošanas procesa tālāku automatizāciju, tādējādi nodrošinot saražotās produkcijas vienveidību, nemainīgu kvalitāti, izslēdzot cilvēciskā faktora ietekmi uz gatavo produkciju, nodrošinot izmaksu ekonomiju, racionālu resursu izmantošanu un stabilu neto apgrozījuma pieaugumu – 2012.gadā LVL 2.0 milj.
 ","149,999.87","82,499.92",0,10,"-"
5,"Compaqpeat","""Pūces"", Rucavas pagasts, Rucavas novads, LV-3477","Frēzkūdras ražotnes paplašināšana SIA ""Compaqpeat""","Rucavas pagasts",30/10/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekts: Frēzkūdras ražotnes paplašināšana SIA „Compaqpeat”.
 Projekta mērķis: Uzsākt kūdras maisījumu ražošanu, pielietojot jaunu padeves un izplūdes kūdras maisīšanas iekārtu, radot augstākas pievienotās vērtības produktu, nostiprināt esošās un apgūt jauns pozīcijas tirgū, veicinot SIA „Compaqpeat” komercdarbības attīstību.
 Projekta ietvaros veicamās darbības: ilgtermiņa ieguldījumu veikšana, iegādājoties jaunu padeves un izplūdes kūdras maisīšanas iekārtu, dažādu kūdras maisījumu izgatavošanai.
 Rezultāts: jauns produkts – dažādi kūdras maisījumi.","156,000.00","79,560.00",0,7,"www.compaqpeat.com"
6,"TALSU MELIORATORS","Kasparu iela 8, Stende, Talsu novads, LV-3257","Betonceha modernizācija, uzstādot jaunas ražošanas iekārtas ","Stende",30/10/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta ietvaros ir paredzēts iegādāties un uzstādīt iekārtu komplektāciju, kas nodrošinātu grodu ražošanu (diametrā: 1000mm -1500mm; augstums : 500mm-100mm). Uzstādot jaunās ražošanas iekārtas , tiks izgatavoti grodi ar salaiduma gropēm, kas atvieglotu grodu iestrādi vienam uz otra, un tiks nodrošināta grodu kvalitātes atbilstība ES standartiem, paplašinot preces noietu - valsts, pašvaldību un privātie pasūtījumi. Ar jaunajām ražošanas iekārtām betona rūpnīca spēs nodrošināt līdz pat 48 grodu izgatavošanu vienā maiņā.","49,500.00","27,225.00",0,4,"-"
7,"HANZA BIROJS","Rīgas iela 16-24, Daugavpils, LV-5401","Virtuālais serveris 2009","Līvāni",30/10/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA „HANZA BIROJS” projekta „Virtuālais serveris 2009” ietvaros plāno attīstīt jaunu pakalpojumu – virtuālais serveris, kas veicinātu uzņēmuma konkurētspēju Līvānu novadā, vienlaicīgi samazinot nelabvēlīgu atšķirību starp reģioniem un sekmētu līdzsvarotu valsts teritorijas attīstību. Pakalpojums nodrošinās iespēju klientam attālināti mitināt (izvietot) savus elektroniskos dokumentus, piemēram, mājas lapas (web hosting) vai lietojumprogrammas (application hosting) un tās pilnībā administrēt.","10,000.00","5,500.00",0,2,"-"
8,"Reed Production","""Meži"" , Rucavas pagasts, Rucavas novads, LV-3477","Niedru apstrādes tehnikas iegāde","Rucavas pagasts",30/10/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta ietvaros tiks iegādāta niedru pļaušanas un apstrādes iekārta, kura nodrošinās jumtu segumiem paredzētu niedru ražošanas procesu.
 Pēc projekta īstenošanas projekta iesniedzējs nodarbosies ar eksportspējīga produkta ražošanu, kas būtiski sekmēs komersanta saimnieciskās darbības attīstību, tādējādi radot jaunas darba vietas, nodrošinot komersantam apgrozījuma un peļņas pieaugumu un samazinot nelabvēlīgās atšķirības starp reģioniem un reģionu teritorijām, kā arī sekmējot līdzsvarotu visas valsts attīstību.
 ","98,405.00","54,122.75",0,3,"-"
9,"ARIOLS","Rūpniecības iela 14A, Ludza, Ludzas novads, LV-5701","Ražošanas ēkas būvniecība un iekārtu iegāde","Ludza",30/10/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projektā paredzēts veikt šādas darbības: papildināt esošos ražošanas – sasaldēšanas procesu ar pirms sasaldēšanas un norūdīšanas ražošanas procesu; papildināt esošo ražošanas procesu ar regulāri veiktām laboratorijas analīzēm katrai produkcijas partijai un kravai. Tas nepieciešams, lai nodrošinātu ARIOLS saražotās produkcijas (pelmeņu) augstu kvalitāti un kvalitātes saglabāšanos arī ilgā produkcijas transportēšanas laikā un iekļautos starptautiskā ražošanas-pārdošanas ķēdē, kurā ir ļoti augstas kvalitāte prasības. Ariols projekta ietvaros plāno iegādāties saldēšanas iekārtas un aprīkojumu-pirms sasaldēšanas un norūdīšanas ražošanas procesa nodrošināšanai augstākas kvalitātes produkcijas sagatavošanai; laboratorijas iekārtas regulāru laboratorijas analīžu veikšanai katrai partijai un kravai , lai veiktu regulāru kvalitātes pārbaudi eksportējamai un vietējā tirgū patērējamajai produkcijai. Papildus iekārtu iegādei, Ariols plāno uzbūvēt ražošanas ēku – pirms sasaldēšanas un norūdīšanas ražošanas procesam un ar ražošanu neatraujamam procesam – regulārām laboratorijas analīzēm.
 Ražošanas ēka bez elektrības nevar funkcionēt, līdz ar to projekta ietvaros ir plānots iegādāties arī elektrības iekārtas un aprīkojumu ražošanas ēkas un tajā esošo iekārtu nodrošināšanai ar elektrību.
 ","271,193.33","149,156.33",0,9,"www.ariols.lv"
10,"BEAVERSS","Laimdotas iela 27, Lielvārde, Lielvārdes novads, LV-5070","Uzņēmējdarbības paplašināšana ar automatizētu ķēžu asināšanu","Krapes pagasts",30/10/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Dažādojot uzņēmuma pakalpojumus un produkciju ar jauniem produktiem, uzņēmums projekta aktivitātes ietvaros plāno iegādāties un uzstādīt speciālu ķēžu asināšanas iekārtu.","16,900.00","9,295.00",0,8,"-"
