"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"FUTURE ELECTRONICS","Lielvārdes iela 103-18, Rīga, LV-1084","Dažādu objektu elementsastāva operatīvās analīzes centrs","Līvāni",30/12/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta gaitā paredzēts Līvānos izveidot dažādu objektu elementsastāva operatīvā analīzes centru, iegādājoties tam nepieciešamās iekārtas un aprīkojumu. Tiks piesaistīti un apmācīti vietējie speciālisti. Projekta rezultātā būs ieslējams veikt dažādu materiālu un vielu tehniskās pārbaudes, mērījumus un analīzes.","272,720.00","149,996.00",0,8,"-"
2,"KONVERT PLAST","Parka iela 25, Valka, Valkas novads, LV-4701","Triecienizturīgā plastmasas iepakojuma ražotnes saimnieciskās darbības paplašināšana un produkcijas dažādošana","Valka",04/01/2010,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta mērķis ir ieviest jaunas un Eiropas Savienības standartiem atbilstošu putu polietilēna plēves un profilu ražošanas tehnoloģijas (Putu polietilēna EPE plēves ražošanas līnija un Putu polietilēna EPE profilu ražošanas līnija), kas sekmēs SIA ”Konvert Plast” saimnieciskās darbības paplašināšanos triecienizturīgo plastmasas iepakojumu ražošanas jomā, tādējādi, dažādojot uzņēmuma ražotās produkcijas klāstu, veicinot uzņēmuma konkurētspējas paaugstināšanos starptautiskajā un nacionālajā tirgū, nodrošinot uzņēmuma apgrozījuma un peļņas pieaugumu un radot jaunas labi apmaksātas darba vietas.","165,000.00","85,998.00",0,12,"-"
3,"CAO Alliance","Kuldīgas iela 38a, Rīga, LV-1083","Gumijas segumu ražotnes izveide īpaši atbalstāmajā teritorijā","Kārsava",04/01/2010,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA ""CAO Alliance"" projekta ietvaros plāno iegādāties aprīkojumu gumijas izstrādājumu ražošanai.
Pēc ilgtermiņa ieguldījumu veikšanas tiks uzsākta gumijas flīžu ražošana. Tās paredzēts ražot šādos izmēros: 500x500x40mm, 600x300x40mm, 600x600x40mm; 1000x500x40mm un 1000x1000x40mm. Izstrādājumiem iespējama plaša krāsu izvēle pievienojot attiecīgas papildvielas.
Projekta rezultātā jaunajā ražotnē tiks izveidotas 7 jaunas darba vietas, tādējādi mazinot nelabvēlīgas atšķirības starp reģioniem un reģionu teritorijām, kā arī sekmējot līdzsvarotu valsts attīstību.","258,480.00","142,164.00",0,6,"-"
4,"DAR-VIK","""Cerība 2"", Strupļi, Sokolku pagasts, Viļānu novads, LV-4640","Kokapstrādes ražotnes izveide","Sokolku pagasts",30/12/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA „DAR-VIK” ir jaunizveidots uzņēmums, kurš plāno nodarboties ar kokapstrādi – taras dēļu ražošanu. Uzņēmums projekta ietvaros plāno izveidot ražotni un iegādāties jaunu taras dēļu ražošanas līniju.
Projekta ietvaros SIA „DAR-VIK” veiks sākotnējos ieguldījumus pamatlīdzekļos. Pēc projekta realizācijas tiks ražoti koka taras dēļi. Projekta īstenošanas rezultātā tiks izveidotas 8 jaunas darba vietas, veicināta uzņēmuma attīstība, kas attiecīgi pozitīvi ietekmēs attīstību īpaši atbalstāmajā teritorijā.
","47,700.00","26,235.00",0,3,"-"
5,"Prezentreklāmas aģentūra","Ieriķu iela 67a, Rīga, LV-1084","Prezentmateriālu ražošanas uzņēmējdarbības uzsākšana","Auce",30/12/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta ietvaros sākotnēji tiks sagatavota un veikta iepirkuma procedūra, lai noskaidrotu  izdevīgāko iekārtu piegādātāja piedāvājumu. Pēc tam tiks iegādātas prezentmateriālu ražošanas iekārtas, kas ietvers tekstila apdrukas līniju, divas lāzergravēšanas iekārtas, rakstāmrīku (pildspalvu, zīmuļu) apdrukas iekārtu un digitālās drukas iekārtu. Minetās iekārtas tiks piegādātatas un uzstādītas uzņēmuma jaunajā ražotnē Aucē, Tehnikas ielā 8 un uzsākts ražošanas process.","177,000.00","97,350.00",0,6,"-"
6,"Composite Constructions","Kr.Valdemāra iela 4-9, Rīga, LV-1010","Koksnes-plastmasas kompozītmateriāla spiediena formēšanas līnijas iegāde","Valka",04/01/2010,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA „Composite Constructions” plāno uzsākt saules paneļu atbalsta konstrukciju ražošanu no inovatīva materiāla – koksnes-plastmasas kompozītmateriāla, un tādējādi veikt savu ieguldījumu saules enerģijas iegūšanas tehnoloģiju attīstībā. Projekta īstenošana","280,000.00","149,996.00",0,10,"-"
7,"Profi Jet","Sesku iela 67-107, Rīga, LV-1082","Augstspiediena ūdens sūkņa iegāde kokapstrādes vajadzībām","Kabiles pagasts",04/01/2010,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta ietvaros SIA „Profi Jet” plāno papildināt un modernizēt savā rīcībā esošo kokapstrādes cehu Kuldīgas novadā Kabiles pagastā „Mestri” (kadastra Nr.6258 004 0001). Uzņēmuma ražotie produkti ir zāģmateriāli un perspektīvā arī guļbaļķi. Minēto izstrā","38,000.00","16,340.00",0,3,"-"
8,"Trinity Industry","Ozolciema iela 46 k-l -29, Rīga, LV-1058","SIA ""Trinity Industry"" elektronisko plašu ražotne īpaši atbalstāmajā teritorijā","Medņevas pagasts",04/01/2010,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA „Trinity Industry’ ieviesīs projektu īpaši atbalstāmajā teritorija, lai tajā ar iegādātā aprīkojuma palīdzību izveidotu pilnībā funkcionālu elektronisko plašu ražotni, kurā tiks izveidotas 15 jaunas darba vietas.
Ražotnē uzņēmums ražos tīklu kontrolie","266,760.00","146,718.00",0,6,"-"
9,"BALT CARBON","A.Dombrovska iela 30-81, Rīga, LV-1015","Malkas ražotnes izveide Krāslavas novadā","Kaplavas pagasts",04/01/2010,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta ietvaros paredzēts veikt malkas ražotnes izveidošanu Kaplavā. Tiks iegādāta un uzstādīta ražošanas līnija – zāģēšanas un skaldīšanas līnija, kas ietvers skaldīšanas iekārtas, baļķu rampas ar padeves automātiku, apkures katlu kaltei un malkas kaltes.
Projekta rezultātā paredzēts pārstrādāt koksni un koksnes atkritumus (tajā skaitā būvniecības) produkcijā ar eksporta potenciālu – žāvētas koksnes malkā.
Tiks izstrādāta un ieviesta IT sistēma produkcijas automatizētai kvalitātes kontrolei un marķēšanai – koka mitruma mērīšanas, uzskaites un datu analīzes sistēma.","268,632.42","145,061.50",0,18,"-"
10,"Deis line","Baltā iela 3/9, Rīga, LV-1055","SIA ""Deis line"" jaunas ražotnes izveide","Kalnciems",04/01/2010,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA ”Deis line” ir jaunizveidots uzņēmums, kas uzsāks darbību nozarē – plastmasas iepakojuma ražošana.
Projekta ietvaros tiks izveidota atkritumu maisiņu ražotne īpaši atbalstāmajā teritorijā – Kalnciemā, tādējādi samazinot nelabvēlīgās atšķirības starp reģioniem, kā arī sekmējot līdzsvarotu valsts attīstību. Īstenojot projektu tiks veikts ilgtermiņa ieguldījumi pamatlīdzekļos un iegādātas plēves maisiņu ražošanas iekārtas.
","68,149.20","29,985.64",0,5,"-"
11,"ALMANN","Rigondas gatve 3 - 23, Rīga, LV-1067","Liektu metālizstrādājumu un konstrukciju ražotnes izveide īpaši atbalstāmajā teritorijā","Baltinavas novads",30/12/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Uzņēmums SIA „ALMANN” projekta ietvaros plāno iegādāties modernu metāla liekšanas aprīkojumu, ar kura palīdzību uzņēmums Baltinavas novadā izveidos liektu metālizstrādājumu un konstrukciju ražotni.
Uzņēmums tā rīcībā esošajās telpās Baltinavas novadā izvietos un nodos ekspluatācijā nepieciešamo tehnoloģisko aprīkojumu, lai nekavējoties uzsāktu ražotnes darbību.
Projekta rezultātā jaunajā ražotnē tiks izveidotas 6 jaunas darba vietas, tādējādi mazinot nelabvēlīgas atšķirības starp reģioniem un reģionu teritorijām, kā arī sekmējot līdzsvarotu valsts attīstību.
","252,730.00","139,001.50",0,6,"www.almann.lv"
