"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"Baltransauto termināls","Uriekstes iela 3, Rīga, LV-1005","SIA ""Baltransauto termināls"" dalība specializētajās starptautiskajās loģistikas izstādēs","Rīga",26/01/2010,"Ārējo tirgu apgūšana - ārējais mārketings","Projekta ietvaros ir plānots piedalīties galvenajās ES, NVS valstu un Āzijas reģiona loģistikas un transporta attīstības jautājumiem veltītajās izstādēs, kā ""SITL Europe 2010 Paris"" izstādē Francijā, ""TranssRussia 2010"" izstādē Krievijā, ""Transport-logistic 2020"" izstādē Ķīnā un ""Tranzit-Trans Kazakhstan 2010"" izstādē Kazahstānā un ""Transport-Logistic 2010"" izstādē Baltkrievijā.
Piedāvājot loģistikas risinājumu komplekso paketi, kravu konsolidēšanai, apstrādei un sadalei un piegādei saņēmējiem, mēs varēsim ieinteresēt gan kravu īpašniekus gan arī pārvadātājus. Plānotas ir arī mūsu prezentācijas izstādēs ""transRussia 2010"", ""SITL europe 2010 Paris"", ""Tranzit - Trans Kazahstan 2010"", ""Transport-Logistic 2010"" laikā, kurās tiks pastāstīts par kompānijas jaunumiem, aktualitātēm, tiks prezentēta prāmja līnija ""Liepāja-Lībeka"" ar iespējām to pagarināt un NVS un Āzijas valstīm, kā arī uz Eiropu un citām 3.pasaules valstīm.","61,176.11","29,364.53",0,10,"-"
2,"Forma Machinery","Dārdu iela 3, Drabešu pagasts, Amatas novads, LV-4139","SIA ""Forma Machinery"" dalība starptautiskajā izstādē LESDREVTECH","Drabešu pagasts",26/01/2010,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ""Forma Machinery"" ir nolēmusi piedalīties šajā izstādē, jo tā ir viena no lielākajām šīs nozares izstādēm Austrumeiropā. Paredzams, ka to apmeklēs vairāk kā 20 000 apmeklētāju un savu produkciju prezentēs aptuveni 300 šajā nozarē specializējušies uzņēmumu. Dalība šajā izstādē pavērs plašas iespējas jaunu kontaktu dibināšanai ar potenciālajiem klientiem un sadarbības saišu nostiprināšanai ar jau esošajiem partneriem.","3,614.79","1,807.39",0,3,"www.forma.lv"
3,"BALTIKS EAST","Zilupes 111, Rēzekne, LV-4601","SIA ""Baltiks EAST"" mārketinga aktivitātes eksporta tirgu apgūšanai","Rēzekne",26/01/2010,"Ārējo tirgu apgūšana - ārējais mārketings","Projekta ietvaros plānojam sešas tiešās vizītes pie potenciālajiem klientiem:
Itālijā 2009.gada 7-10.decembrī:
1)Spagheria Bolsi di Maghenzai Giacomo via Dante Alighieri 6, 43017 San Secondo, Parma;
2)LASA 2, Srl VIA Naviglio 130, 24040 (BG);
3)MANIFATTURE NORBERTO PARDINI&FIGLI, SpA Via Radicchi 1, 55041 CAMAIORE (LU) .
ASV 2010.gada 10-18.aprīlī:
1)Julius Koch USA, Inc. 387 Church St., New Bedford, MA 02745
2)New England Ropes, Inc. 848 Airport Rd., Fall River, MA 02720
3)American Manufacturing Co 555 Croton Rd, King of Prussia, PA 19406-3109","6,366.00","3,183.00",0,5,"www.baltikseast.lv"
4,"Grindeks","Krustpils iela 53, Rīga, LV-1057","AS ""Grindeks"" dalība v/a ""Latvijas Investīciju un attīstības aģentūra"" organizētajās tiešajās vizītēs pie ārvalstu sadarbības partneriem 2009. gadā un dalība starptautiskajā konferencē ""12. APIC/CEFIC Eiropas konforence par aktīvām farmaceitiskām vielām""","Rīga",01/02/2010,"Ārējo tirgu apgūšana - ārējais mārketings","Projekta ietvaros tika veiktas šādas ārējo tirgu apgūšanu veicinošas aktivitātes:
1)dalība starptautiskā konferencē ""12.APIC/CEFIC Eiropas konference par aktivām farmaceitiskām vielām"" (Itālija);
2)divas tiešās vizītes pie potenciālā sadarbības partnera Vācijā, kuras laikā notikušas tikšanās ar ""Thymoorgan Pharmazie GmbH"";
3)tiešā vizīte pie potenciālā sadarbības partnera Indijā, kuras laikā notikusi tikšanās ar ""Arch Pharmalabs"";
4)tiešā vizīte pie esošā sadarbības partnera Slovākijā, kuras laikā notikusi tikšanās ar ""Hoechst-Biotika"" (no 01.02.2010 uzņēmums maina nosaukumu uz ""HBM Pharma"" s.r.o.)","8,229.40","4,114.70",0,5,"www.grindeks.lv"
5,"V.O.V.A.","Koku iela 10, Liepāja, LV-3417","SIA ""V.O.V.A."" ārējo tirgu apgūšana 2010.gadā","Liepāja",01/02/2010,"Ārējo tirgu apgūšana - ārējais mārketings","SIA „V.O.V.A.” ir dibināta 1991.gadā, un tā darbojas apakšveļas ražošanas nozarē. Darbības laikā no piecu cilvēku kolektīva firma izaugusi par lielu uzņēmumu, kurā strādā vairāk nekā 250 cilvēku. Uzņēmums ražo sieviešu veļu.
2010.gadā uzņēmums plāno vairā","33,773.37","16,211.21",0,12,"www.vova.lv"
6,"HORTUS Digital","Ropažu iela 44/46-12, Rīga, LV-1006","Uzņēmuma ārējā mārketinga aktivitātes 2010.gada pirmajā pusē","Rīga",01/02/2010,"Ārējo tirgu apgūšana - ārējais mārketings","
Projekta ietvaros uzņēmums piedalīsies dažādās ārējā mārketinga aktivitātēs – tiešajās vizītēs un izstādē. Īstenojot projektu, uzņēmums paaugstinās konkurētspēju un starptautisko atpazīstamību.
","12,417.20","6,208.60",0,4,
7,"RIOT ENGINEERING","Artilērijas iela 40, Rīga, LV-1009","SIA ""Riot Engineering""- ārējā mārketinga aktivitātes","Rīga",26/01/2010,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ""Riot Engineering"" ir dibināta 2008.gada 22.februārī un tās galvenais darbības veids ir inženierdarbības un ar tām saistītas tehnisko konsultāciju sniegšana. Uzņēmums veic video novērošanas programmnodrošinājuma izstrādi, to pārdošanu un konsultāciju ","7,976.21","3,988.10",0,4,"http://www.LuxRiot.com"
8,"GEO200","Dumbrāja iela 18-3, Rīga, LV-1067","Ārējo tirgu apgūšana - dalība izstādē Vācijā","Rīga",01/02/2010,"Ārējo tirgu apgūšana - ārējais mārketings","Pojekta aktivitātes, kuras SIA ""GEO200"" plāno piedalīties: Starptautiskā izstādē internationale Spieltage SPIEL'09, Messe Essen, Vācija","2,082.89","1,041.44",0,3,"www.geo200.com"
9,"Computer Hardware Design","Dzelzavas iela 120i, Rīga, LV-1021","Dalība starptautiskā izstādē CeBIT 2010","Rīga",29/01/2010,"Ārējo tirgu apgūšana - ārējais mārketings","Lai veicinātu uzņēmuma starptautisko atpazīstamību un sekmētu savu produktu eksporta apjoma pieaugumu, SIA ""CHD"" plāno piedalīties izstādē ""CeBIT 2010"", kas notiks no 2.-6.martam 2010.gadā Hannoverā.","10,885.44","5,442.72",0,4,"www.chd.lv"
10,"NJ Studija","Jāņa iela 3, Rīga, LV-1050","SIA ""NJ Studija"" dalība starptautiskajās izstādēs","Rīga",01/02/2010,"Ārējo tirgu apgūšana - ārējais mārketings","Dalība starptautiskajā dizaina apģērba izstādē ""Zip Zone Louvre"", Hotel du Louvre, 172 rue de Rivoli, 75001, Parīzē laikā no 04.10.2009-06.10.2009 un 05.03.2010-08.03.2010. Izstādēs piedalījāmies ar 2010.gada pavasara/vasaras tērpu kolekciju, kā arī pavasara izstādē piedalīsies ar 2010/2011.gada rudens/ziemas apģērbu kolokciju. Kolekcijas var aplūkot uzņēmuma mājas lapā - www.natalijajansone.lv. Izstādes organizatora interneta vietne - www.zipzoneltd.com","5,110.38","2,555.19",0,16,"www.natalijajansone.lv"
11,"Lokis","Rīgas iela 11-11, Liepāja, LV-3401","SIA ""Lokis"" starptautiskās konkurētspējas stiprināšana","Liepāja",26/01/2010,"Ārējo tirgu apgūšana - ārējais mārketings","“SIA “Lokis” starptautiskās konkurētspējas stiprināšana” projekta mērķis ir SIA “Lokis” starptautiskās konkurētspējas stiprināšana Austrumeiropas tirgū. Projekts tiks īstenots 2010.gadā un projekta ietvaros tiks īstenotas četras aktivitātes. 
1.     XXXIY Federālais vairumtirdzniecības gadatirgus 
   “TEXTILLEGPROM”, Maskava, Krievija, 16.02.2010. - 19.02.2010.
2.     Starptautiskā izstāde- gadatirgus “Beltekslegprom”, Minska, Baltkrievija,        
        30.03.2010. - 01.04.2010.
3.      XXXIY Federālais vairumtirdzniecības gadatirgus 
        “TEXTILLEGPROM”, Maskava, Krievija, 21.09.2010. - 24.09.2010.
4.     Starptautiskā izstāde - gadatirgus “Beltekslegprom”, Minska, Baltkrievija,
         06.10.2010. - 08.10.2010.
","14,800.00","7,400.00",0,11,"www.orhideja.lv"
12,"TOPDESIGN BALTIKUM","Dzelzavas iela 23-14, Rīga, LV-1063","Piedalīšanās starptautiskajā izstādē ""Tекстильлегпром"" Maskavā","Rīga",26/01/2010,"Ārējo tirgu apgūšana - ārējais mārketings","Sabiedrība ar ierobežotu atbildību „TOPDESIGN BALTIKUM” piedalīsies XXXIV un XXXV Federālajās gadatirgūs - starptautiskajā izstādē „TЕКСТИЛЬЛЕГПРОМ”, kura notika Maskavā, Krievijā 2010.gada 16., 17., 18., 19.februārī un septembrī (pašlaik precīzi datumi nav zināmi). 
Starptautiskajā izstādē / gadatirgū būs izveidoti 10 specializētie saloni, kuru tematika aptver visas ar tekstilrūpniecību un vieglo rūpniecību saistītās preču grupas savstarpēji saistītās nozarēs – izejvielas, tekstiliekārtas, gatavie apģērbi u.c. Izstādē ieplānoti plaši strukturēti mārketinga pasākumi, semināri, organizētas tikšanās starp nozaru speciālistiem un klientu pārstāvjiem. 
Uzņēmuma stends tiks organizēts starptautiskajā apģērbu un galvassegu salonā paviljonā Nr.75 „SALON OF KNITWEAR” . Izstādi organizē  pieredzējuši organizācijas OOO „РЛП Ярмарка”, ЗАО “Текстильэкспо”, koncerns „Ростекстиль”, u.c. organizācijas.
Latvijas uzņēmums „TOPDESIGN BALTIKUM” piedalīsies starptautiskajā izstādē ar jauno produkciju - sieviešu apģērbu kolekcijām „Pavasaris/Vasara 2010” un „Rudens/Ziema 2010”. Kolekcijās ir izstrādājumi no plāniem trikotāžas materiāliem un adījumiem plašā sortimentā - blūzes, topi, kleitas, džemperi gan ikdienai, gan svinīgiem brīžiem dažādām vecuma grupām. Izstādē tiks prezentēti gandrīz 130 modeļi katrā kolekcijā. 
Kolekcijas veidotāja ir uzņēmuma jaunā dizainere Natalja Vaicahovska, kura ir pabeigusi Rīgas Vieglās Rūpniecības tehnikumu kā modelētāja-konstruktore un ir saņēmusi balvas vairākos starptautiskos apģērbu dizaina konkursos. 
Izstādes sagatavošanas laikā tiks izstrādāti un izgatavoti mārketinga, reklāmas materiāli, slēgti līgumi ar izstādes organizatoriem un organizēts trīs darbinieku komandējumi uz Maskavu darbam izstādē uzņēmuma stendā. 
Pēc izstādes ieplānota projekta dokumentācijas, finanšu pārskata, grāmatvedības sakārtošana un projekta gala pārskata sagatavošana un iesniegšana LIAA.
","15,047.95","7,523.97",0,12,"www.topdesign.lv"
13,"Latvijas Viesnīcu un restorānu asociācija","A.Čaka iela 55-218, Rīga, LV-1011","LVRA dalība starptautiskajās tūrisma izstādēs - gadatirgos","Rīga",01/02/2010,"Ārējo tirgu apgūšana - ārējais mārketings","Projekta ""LVRA dalība starptautiskajā tūrisma izstādēs - gadatirgos"" ietvaros plānots piedalīties 10 starptautiskajās tūrisma izstādēs - gadatirgos.","10,800.00","5,265.00",135,12,"www.hotel.lv"
14,"ChromSword Baltic.HPLC Specialists","Lielā iela 37-13, Mārupes novads, LV-2167","Unikāla HPLC metožu izstrādes programmnodrošinājuma ChromSwordAuto virzība un pozicionēšana ārvalstu tirgos","Rīga",29/01/2010,"Ārējo tirgu apgūšana - ārējais mārketings","Projekta ietvaros plānots apmeklēt sekojošas pasaules vadošās farmācijas un hormatogrāfijas industrijas izstrādes:
1)Analytica 2010, 23-26.marts, Minhene, Vācija;
2)Pittcon 2010, 28 Feb-5.marts, Orlando, Florida, ASV;
3)HPLC 2010, 19-24.jūnijs, Bostona, ASV;
4)28th International symposium of chromatography (Starptautiskais hormatogrāfijas simposijs), Sept 12-16., Valencia, Spānija;
5)Analytica na 2010, 15-17 Septembris, Shanghai, Ķīna;
6)CPhi worldwide, 5-7 Oktobris, 2010, Parīze, Francija","47,863.28","23,931.64",0,11,"-"
