"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"Dimanti Plus","""Dimanti"", Ramatas pagasts, Mazsalacas novads, LV-4216","Koksnes atlikumu briketētāja iegāde kokskaidu brikešu ražošanai ","Ramatas pagasts",01/02/2010,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta ietvaros SIA ""Dimanti Plus"" plāno izveidot kokskaidu brikešu ražotni Valmieras rajonā, Ramatas pagastā, ""Dimanti"", izmantojot ražošanā vietējās kokskaidas un kūdru. Uzņēmuma ražotie produkti būs augstas kvalitātes RUF tipa (ķieģeļu formas) briketes, kas izgatavotas no vietējām izejvielām.
Pēc projekta realizācijas tiks tirgota jauna un eksportspējīga produkcija, kā arī tiks nodrošināta reģiona attīstība un darba vietas apkārtnes iedzīvotājiem. Uzņēmums ir izvēlējies izveidot ražotni Ramatas pagastā, jo šeit ir pieejamas kokskaidas no vietējiem kokapstrādes cehiem.","25,000.00","9,250.00",0,2,"-"
2,"NOOK serviss","Noliktavu iela 10, Vērēmu pagasts, Rēzeknes novads, LV-4604","Metālapstrādes ražotnes paplašināšana un produkcijas dažādošana ","Vērēmu pagasts",01/02/2010,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Uzņēmums paplašinās savu metālapstrādes ražotni iegādājoties augstas veiktspējas, precizitātes, programmējamu liekšanas presi.
Projektā iegādājamā iekārta ļaus ar nelielu energoresursu patēriņu, mazu brāķa īpatsvaru un mazākām izmaksām uzlabot jau ražošanā esošus produktus, kā arī ieviest ražošanā virkni jaunu produktu, piemēram, lielizmēra produktus, ugunsdrošās telpu durvis.
Projekta rezultātā īpaši atbalstāmajā teritorijā tiks izveidotas darba vietas, kurās būs nepieciešama IT kompetence.
","222,758.60","104,696.54",0,6,"-"
3,"SINOTS","""Rukmāri"",  Ziedonis, Līvbērzes pagasts, Jelgavas novads, LV-3003","Drupināšanas līnijas iegāde SIA ""SINOTS""","Ambeļu pagasts",01/02/2010,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta ietvaros paredzēts sabiedrībā „SINOTS”, iegādāties drupināšanas līniju, kas nodrošinās sabiedrību ar tirgū aktuālu galaproduktu tālākai realizācijai – drupinātu laukakmeņu - šķembu maisījumu.Projekts tiks realizēts un SIA „SINOTS” savu saimniecisko darbību veiks pēc adreses - Daugavpils novads, Ambeļu pagasts ""Krastmalas"".Uz šo teritoriju uzņēmumam ir ilgtermiņa nomas tiesības. Plānotais projekta realizācijas termiņš sastādīs 2 mēnešus pēc līguma parakstīšanas ar piegādātāju par drupināšanas līnijas iegādi. Realizējot doto projektu tiks nodrošināta ne tikai uzņēmuma attīstība, bet arī vietējo iedzīvotāju labklājība. Tiks radītas vismaz 2 jaunas darba vietas un viennozīmīgi ieguvējs no tā būs viss Daugavpils novads un arī Latvijas valsts kopumā.","380,000.00","140,600.00",0,3,"-"
4,"Termokoks","Pulkveža Brieža iela 7-309b, Rīga, LV-1010","Datorizētas termokameras iegāde SIA ""Termokoks""","Kārsava",01/02/2010,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta ietvaros paredzēts uzņēmumā „Termokoks”, kas ir jauns uzņēmums, iegādāties datorizētu termokameru, kas nodrošinās uzņēmumu ar pieprasītu galaproduktu pārdošanai – termokoksni jeb termiski apstrādātu kokmateriālu. Projektu plānots īstenot un, līdz ar to arī termokameru uzstādīt uzņēmumam piederošā īpašumā – Kārsavas novads, Kārsava, Baznīcas iela 12. Plānotais projekta realizācijas termiņš sastādīs 5 mēnešus pēc līguma parakstīšanas ar ražotāju/ piegādātāju par termokameras piegādi un uzstādīšanu. Realizējot doto projektu  tiks nodrošināta ne tikai uzņēmuma attīstība, bet arī vietējo iedzīvotāju labklājība. Tiks radītas jaunas darba vietas un viennozīmīgi ieguvējs būs viss Kārsavas reģions un arī Latvijas valsts kopumā.","302,000.00","144,960.00",0,7,"-"
5,"PM GRUPA","Saulgožu iela 27/5-22, Rīga, LV-1055","Gumijas elementu ražotne īpaši atbalstāmajā teritorijā","Mežvidu pagasts",01/02/2010,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA „PM GRUPA” projekta ietvaros plāno iegādāties aprīkojumu tādu gumijas elementu ražošanai kā ātruma vaļņi un triecienbarjeras. Uzņēmums pēc iekārtu iegādes uzsāks gumijas elementu ražošanu īpaši atbalstāmajā teritorijā (ĪAT).
Projekta rezultātā jaunajā ražotnē ĪAT tiks izveidotas 8 jaunas tā sekmējot līdzsvarotu valsts attīstību. 
Izveidotā ražotne ļaus līdz šim importētus gumijas izstrādājumus iegādāties no Latvijas ražotāja, kā arī tos eksportēt. Pie tam šie gumijas izstrādājumi tiks ražoti no 100% pārstrādātas gumijas tā saudzējot apkārtējo vidi.
","258,400.00","142,120.00",0,6,"-"
6,"Nordgran","Dižozolu iela 23, Iecēni,, Cenu pagasts, Ozolnieku novads, LV-3018","Koksnes granulu ražotnes izveide","Susāju pagasts",01/02/2010,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA „Nordgran” ir jaunizveidots uzņēmums, kas plāno nodarboties ar kokapstrādi – kokskaidu granulu ražošanu. Uzņēmums projekta ietvaros plāno izveidot ražotni un iegādāties jaunu kokskaidu granulu ražošanas līniju. 
Projekta ietvaros SIA „Nordgran” veiks sākotnējos ieguldījumus pamatlīdzekļos. Pēc projekta realizācijas tiks ražotas kokskaidu granulas. Projekta īstenošanas rezultātā tiks izveidotas 8 jaunas darba vietas, veicināta uzņēmuma attīstība, kas, savukārt, pozitīvi ietekmēs attīstību īpaši atbalstāmajā teritorijā. 
","49,620.00","26,794.80",0,5,"-"
7,"Janus M","Rīgas iela 45A, Viļāni, Viļānu novads, LV-4650","Esošās saimnieciskās darbības paplašināšana","Viļāni",01/02/2010,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA ""Janus M"" nodarbojas ar nestandarta koka pakešu izgatavošanu. Uzņēmums projekta ietvaros plāno veikt uzņēmuma darbības paplašināšanu un iegādāties pusautomātiskas nestandarta palešu izgatavošanas iekārtas un pneimatiskos naglotājus, līdz ar to paplašinot esošo saimniecisko darbību.
Projekta ietvaros SIA ""Janus M"" piecas pusautomātiskas nestandarta palešu izgatavošanas iekārtas un četrus pneimatiskos naglotājus. Pēc projekta realizācijas tiks ražotas nestandarta paletes. Projekta īstenošanas rezultātā tiks izveidotas divas jaunas darba vietas, veicināta uzņēmuma attīstība, kas savukārt pozitīvi ietekmēs attīstību īpaši atbalstāmajā teritorijā.","33,700.00","18,535.00",0,3,"-"
8,"DUST INC","Volguntes iela 27-38, Rīga, LV-1046","Biomasas brikešu ražotnes izveide īpaši atbalstāmajā teritorijā","Mērdzenes pagasts",01/02/2010,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA „DUST INC” īstenojot šo projektu izveidos modernu biomasas brikešu ražotni, kur lauksaimniecībā neizmantojami biomasas atlikumi tiks pārstrādāti un presēti briketēs, tādējādi ražojot tirgū pieprasītu kurināmo brikešu veidā.
Lai uzsāktu ražošanu, uzņēmums projekta ietvaros iegādāsies aprīkojuma komplektu biomasas brikešu ražošanai. Uzņēmuma rīcībā jau šobrīd ir pieejamas nepieciešamās telpas, lai izvietotu nepieciešamo aprīkojuma komplektu un uzsāktu ražošanu.
Rezultātā tiks izveidotas 16 jaunas darba vietas un sekmēta īpaši atbalstāmās teritorijas attīstība.
","268,000.00","147,400.00",0,6,"-"
9,"BalticEco","Pils rajons 202-7, Jēkabpils, LV-5202","Brikešu ražošanas uzsākšana SIA ""BalticEco""","Varakļānu pagasts",01/02/2010,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Atbalsta pretendents SIA”BalticEco” ir jaunizveidota komercsabiedrība – dibināta 2009.gada novembrī ar mērķi uzsākt koksnes skaidu brikešu ražošanu ar pinn % kay sistēmu. Pirms saimnieciskās darbības uzsākšanas tika veikta tirgus analīze, noskaidrojot produkta pieprasījumu un apzinot tirgus situāciju produkta ražošanas nozarē.
Saimnieciskās darbības uzsākšanai un jauna pakalpojuma piedāvāšanai, komercsabiedrībai nepieciešami pamatlīdzekļi – briketēšanas iekārta. Tikai pilnībā iegādājoties pamatlīdzekļus, iespējams nodrošināt pilnu ražošanas ciklu, nodrošinot gatavās produkcijas izlaidi. Pārējais materiāli tehniskais nodrošinājums komercsabiedrībai ir pieejams.
Projekts tiks īstenots ar pašu kapitālu 289 190.00 LVL apmērā. Finanšu pieejamību apliecina kredītiestādes izziņa.
","239,000.00","119,500.00",0,20,"-"
10,"Exlibrios","Baltā iela 3/9, Rīga, LV-1055","SIA „Exlibrios” jaunas tekstilizstrādājumu ražotnes izveide","Sokolku pagasts",01/02/2010,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA „Exlibrios” līdz šim veiktā saimnieciskā darbība dižķibeles apstākļos kļuvusi nerentabla, tāpēc uzņēmuma vadība pieņēmusi lēmumu kardināli mainīt saimnieciskās darbības veidu un izveidot jaunu tekstilizstrādājumu ražotni īpaši atbalstāmajā teritorijā. 
Uzņēmuma saimnieciskā darbība tiks attīstīta īpaši atbalstāmajā teritorijā, tādejādi samazinot nelabvēlīgās atšķirības starp reģioniem, kā arī sekmējot līdzsvarotu valsts attīstību. Projekta ietvaros tiks veikti ieguldījumi pamatlīdzekļos. Teritorijas attīstību sekmēs arī izveidotās trīs jaunās darba vietas.
","148,636.00","80,263.44",0,5,"-"
