"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"Applied Electronics Labs","Akmeņu iela 47, Ogre, Ogres novads, Ogres rajons, LV-5001","SIA ""Applied Electronics Labs"" dalība 18.starptautiskajā izstādē ""Neatkarīgie strāvas avoti"" Maskavā","Ogre ",04/03/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Šī projekta ietvaros SIA ""Applied Electronics Labs"" plāno piedalīties 18.starptautiskajā izstādē ""Autonomie Strāvas avoti"", kas norisināsies Maskavā, Krievijas Federācijā, no 2009.gada 11. līdz 13.martam, lai demonstrētu Krievijas un Austrumeiropas akumulatoru ražotājiem SIA ""Applied Electronics Labs"" ražotās akumulatoru formēšanas iekārtas.","5,953.85","2,976.92",0,1,"www.batteryformation.com"
2,"Applied Electronics Labs","Akmeņu iela 47, Ogre, Ogres novads, Ogres rajons, LV-5001","SIA ""Applied Electronics Labs"" dalība starptautiskajās izstādēs Āzijā, 2009.gada martā","Ogre ",03/03/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Šī projekta ietvaros SIA ""Applied Electronics Labs"" plāno piedalīties divās izstādēs āzijā - 2.starptautiskajā Bateriju un reciklēšanas izstādē un konferencē IBRX India 2009, kas norisināsies no 3.-5.martam Hyderabad pilsētā, Indijā un Ķīnas Kantonu starptautiskajā bateriju izstādē (CIBF 2009), kas norisināsies Guandong pilsētā Ķīnā no 2009.gada 26.-28.martam.","13,677.63","6,838.81",0,1,"www.batteryformation.com"
3,"EL' Santa","Slokas iela 14-12, Rīga, LV-1048","Dalība izstādē Moscow International Travel&Tourism Exhibition MITT 2009","Rīga",06/03/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Projekta mēŗķis ir dalība izstādē MITT 2009 - Moscow International Travel&Tourism Exhibition. Izstāde paredzēta Maskavā no 2009.gada 18.marta līdz 21.martam.","6,862.00","3,431.00",0,2,"www.elsanta.lv"
4,"Plastic Technologies","Elizabetes iela 41/43, Rīga, LV-1010","SIA ''Plastic Technologies'' ārējā mārketinga aktivitātes","Rīga",06/03/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ''Plastic Technologies'' dibināta 2006.gada augustā ar mērķi ražot dabas šķiedru kompozītus no koksnes šķiedru un polimēru sastāvdaļām. Šo kompozītu ražošanā var izmantot citās nozarēs radušos atkritumus, tostarp koka skaidas un ottreiz pārstrādājamo ","26,578.86","13,289.43",0,4,"www.plastictech.eu"
5,"JZ Microphones","Gaujas iela 30, Mārupes pagasts, Rīgas rajons, LV-2167","JZM dalība ProLight+Sound 2009 izstādē Vācijā","Mārupes pagasts ",25/03/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ""JZ Microphones"" plāno piedalīties satrptautiskā mūzijas instrumentu un skaņu tehnikas produktu izstādē ProLight+Sound 2009, kas notiks Frankfurtē, Vācijā. ProLight+Sound ir viena no lielākajām industrijas izstādēm Eiropā pulcinot vairāk kā 800 dalībn","20,569.00","10,284.50",0,2,"www.jzmic.com"
6,"Rīgas Ziepju Manufaktūra","Lubānas iela 82, Rīga, LV-1073","SIA ""RĪGAS ZIEPJU MANUFAKTŪRA"" ārējā mārketinga aktivitātes","Rīga",13/03/2009,"Ārējo tirgu apgūšana - ārējais mārketings","2009.gada aprīlī sabiedrība plāno sekojošu ārējā mārketinga aktivitāti: dalība starptautiskajā kosmētikas un parfimērijas izstādē ""Cosmoprof 2009"", 3.-6.aprīlī, 2009, Boloņā, Itālijā.
SIA ""RĪGAS ZIEPJU MANUFAKTŪRA"" izstādē prezentēs savus ziepju un aromā","15,697.00","7,848.00",0,1,"www.rigasoap.com"
7,"TVA","Ganību dambis 36-309, Rīga, LV-1005","Dalība 12.starptautiskajā izstādē Transport Logistic 2009","Rīga",20/03/2009,"Ārējo tirgu apgūšana - ārējais mārketings","2009.gadā SIA ""TVA"" plāno piedalīties 12.starptautiskajā loģistikas un transporta izstādē Transport Logistic 2009, 12.-15.maijā, 2009, Minhenē.","12,312.70","5,910.09",0,2,"www.tva.lv"
8,"ZRZ","Dārza iela 25, Ogre, Ogres novads, Ogres rajons, LV-5001","SIA ""ZRZ"" ārējā mārketinga aktivitātes","Ogre ",30/03/2009,"Ārējo tirgu apgūšana - ārējais mārketings","2009.gadā uzņēmums kā ārējā mārketinga aktivitāti plāno dalību starptautiskajā celtniecības un renovācijas izstādē ""RESTA"" 2009.gada 7.-10.aprīlī, Viļņā, Lietuvas izstāžu centrā ""LITEXPO"". Plānots, ka izstādē būs pārstāvēti vairāk kā 650 uzņēmumi no 14 valstīm. SIA ""ZRZ"" izstādē prezentēs auto piederumus un rezerves daļas, kas ražoti no jaunākās tehnoloģijas materiāla LINE-X, kā arī iekārtu un komponentus to ražošanai.","6,417.60","3,208.80",0,1,"www.zrz.lv"
9,"3L","Jāņa Endzelīna iela 5-46, Rīga, LV-1029","SIA ""3L"" ārējā mārketinga aktivitātes - dalība starptautiskās izstādēs","Rīga",13/03/2009,"Ārējo tirgu apgūšana - ārējais mārketings","2009.gadā uzņēmums plāno vairākas ārējā mārketinga aktivitātes. Projekta ietvaros paredzēts:
1)piedalīties izstādē Mos Build - Buildex 2009, kas notiks no 31.marta līdz 4.aprīlīm Maskavā, Krievijā;
2)piedalīties būvniecības un renovācijas izstādē RESTA 2009, kas norisināsies no 7. līdz 10.aprīlim Viļņā, Lietuvā;
3)piedalīties izstādē ""Logi. Fasādes. Jumti. Durvis. 2009"", kas norisināsies no 1. līdz 3.oktobrim Sočos, Krievijā","7,491.31","3,371.08",0,8,"www.3l.lv"
10,"Termoline","Ieriķi, Dārdu iela 7, Amatas pagasts, Amatas novads, Cēsu rajons, LV-4139","SIA ""Termoline"" dalība starptautiskajā izstādē ""Koka māja""","Amatas pagasts",20/03/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Uzņēmums plāno piedalīties 2009. gadā 5. starptautiskajā koka izstrādājuma tehnoloģiju izstādē ""Koka Māja', kas norisināsies no 9.-12. aprīlim Maskavā","14,579.00","7,289.50",0,1,"www.dores.lv"
