"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"PAPĪRFABRIKA ""LĪGATNE""","Pilsoņu iela 1, Līgatne, Līgatnes novads, LV-4110","SIA ""PAPĪRFABRIKA ""LĪGATNE"""" ārējās mārketinga aktivitātes","Līgatne",30/09/2009,"Ārējo tirgu apgūšana - ārējais mārketings","        SIA „PAPĪRFABRIKA „LĪGATNE”” ir dibināta 2000.gadā, un tā darbojas papīra un kartona ražošanas nozarē. Uzņēmums ražo dažāda veida rūpniecisko papīru(Krafts, Testlainers, Flutings, Kartons), mākslas papīru(akvareļu, balto un melno zīmēšanas papīru),biroja papīru, papīra čaulas, kas piemērotas dažādām industrijām (polietilēna, paklāju, papīra, stikla šķiedru u.c. ražotājiem).
         Projekta ietvaros dalība starptautiskajā iepakojuma izstādē „SCANPACK 2009”, kas norisināsies 2009.gadā no 20.-23.oktobrim, Gēteburgā, Zviedrijā. Plānots, ka izstādē piedalīsies vidēji 200 potenciālie sadarbības partneri, kas interesējas par Līgatnes produkciju.
         Projekta ietvaros dalība starptautiskajā izstādē „PAPERWORLD 2010”, kas norisināsies 2010.gadā no 30.janvāra līdz 2.februārim, Frankfurtē pie Mainas, Ludwig-Erhard-Anlage 1, Vācijā. Izstāde “PAPERWORLD 2010” ir viena no pasaules ietekmīgākajām ikgadējām pasaules izstādēm. Pagājušā gadā piedalījās izstādē vairāk kā 2000 uzņēmumu no 60 valstīm, kā arī vairāk kā 44 000 profesionālie apmeklētāji no 156 valstīm. Šādi skaitļi parāda, ka šādas izstādes apmeklējums papīrfabrikai Līgatne ir ļoti svarīgi, jo ir klienti ne tikai no Eiropas, bet arī Ukrainas u.c. valstīm . Šāds izstādes apmeklējums SIA „PAPĪRFABRIKA LĪGATNE”, ļaus satikties ar esošiem partneriem un ieinteresēt līdz 400 jaunus sadarbības partnerus.
 ",10700,5216.25,133.75,5,"www.pf-ligatne.lv"
2,"GEO200","Dumbrāja iela 18-3, Rīga, LV-1067","Dalība starptautiskā izstādē - svarīgs posms jaunā produkta virzīšana ārējā tirgū","Rīga",30/09/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Projekta aktivitātes, kur SIA ""GEO200"" plāno piedalīties:
 1)starptautiskā izstāde SPIELWARENMESSE 2010, International Toys Fair Nurnberg, Vācija",3371.23,1643.46,42.15,4,"www.geo200.com"
3,"Baltic Wood Products","""Inderdeļi - 1"", Siguldas novads, LV-2151","Dalība izstādē ""Celtniecība. Interjers. Mēbeles - 2009""","Siguldas novads",30/09/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Galvenā projekta aktivitāte ir piedalīšanās starptautiskā izstādē ""Celtniecība. Interjers. Mēbeles - 2009"", kas norisināsies no 2009.gada 24.septembra līdz 2009.gada 26.septembrim Kaļiņingradā, Krievijā.
 Uzņēmums SIA ""Baltic Wood Products"" tajā piedalīsies ar jauno produktu - jaunā modeļa, pēc frēžu tipa tehnoloģijām ražotām dārza mājiņām. Tirgus izpētes rezultāti ir pierādījuši, ka Krievija ir neapgūts tirgus attiecīgajam produktam.
 Uzņēmuma mērķis ir pēc izstādes gada periodā palielināt pārdošanu par 90 produktu vienībām uz Krieviju, Poliju un Lietuvu. Lai sasniegtu šo mērķi, izstādē jāizveido kontakti un jāpanāk vienošanās ar vismaz 4 tirdzniecības pārstāvjiem un 6 būvuzņēmējiem. Tāpat arī jāveicina produkta atpazīstamība starp izstādes apmeklētājiem - Kaļiņingradā dzīvojošajiem.",6294.81,3068.71,78.69,4,"-"
4,"NIKOL DJUMON","Krūmu iela 23, Liepāja, LV-3405","SIA ""NIKOL DJUMON"" piedalīšanās starptautiskajā izstādē ","Liepāja",30/09/2009,"Ārējo tirgu apgūšana - ārējais mārketings","2009.gadā uzņēmums plāno sekojošas ārējā mārketinga aktivitātes:
 1)dalība 33.starptautiskajā tekstila, apģērbu, ādas izstrādājumu un ražošanas iekārtu izstādē ""ТЕКСТИЛЬЕГПРОМ 2009"", 22.-25.septembrī, 2009.g. Maskavā. Pagājušā izstādē, kura notika februārī, piedalījās 2000 dalībnieki no 27 valstīm valstīm. Plānots, ka šajā izstādē būs vēl vairāk dalībnieku.
 2)Piedalīšanās veļas ražotāju tirdzniecības misijā uz Maskavu izstādes ""ТЕКСТИЛЬЕГПРОМ 2009"" ietvaros. Tirdzniecības misijas ietvaros tiks organizēta visu tirdzniecības misijas dalībnieku produktu demonstrācija un uzņēmumu individuālās tikšanās ar potenciālajiem sadarbības partneriem.
 Izstādē un produktu demonstrācijā, kura notiks tirdzniecības misijas ietvaros SIA ""NIKOL DJUMON"" prezentēs savu jauno 2010 gada kolekciju.",7804.13,3804.5,97.56,5,"www.nikoldjumon.lv"
5,"Jelgawood","Lauku iela 4, Līvbērzes pagasts, Jelgavas novads, LV-3014","SIA ""Jelgawood"" ārējā mārketinga aktivitātes","Līvbērzes pagasts",30/09/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Svarīgākais 2009.gada mārketinga pasākums ir specializēta starptautiskā izstāde iepakojumu risinājumiem - FachPack. Norises vieta - Nirnberga, Vācijā no 29.09.09 līdz 01.10.2009.
 www.fachpack.de Galvenie izstrādes segmenti: iepakojumu materiāli un iepakojumi, iepakojumu palīgmateriāli, iepakojumu iekārtas, marķēšanas tehnika, iepakojumu otrreizējā pārstrāde, pakalpojumi.",4382,2136.22,54.78,3,"www.jelgawood.lv"
6,"Albert Management","Dzirnavu iela 33, Rīga, LV-1010","SIA ""Albert Management"" ārējā mārketinga aktivitāte - dalība starptautiskajās izstādēs","Rīga",30/09/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Projekta ietvaros plānots piedalīties sekojošās izstādēs:
 1)starptautiskā izstādē WORLD TRAVEL MARKET 2009, Lielbritānijā, Londonā 2009.gada novembrī. Izstādē piedalās vairāk nekā 5000 tūrisma nozares kompānijas no visas pasaules un to apmeklē vairāk nekā 50 000 apmeklētāji;
 2)starptautiskā izstādē -  REISELIV, Norvēģijā, oslo, 2010.gada janvārī. Izstādē piedalās vairāk nekā 1000 tūrisma nozares uzņēmumi no vairāk nekā 60 valstīm;
 3)starptautiskā izstādē - MATKA, Somijā, Helsinkos, 2010.gada janvārī;
 4)starptautiskā izstādē Borza Internationale del Turismo - BIT, Itālijā, Milānā, 2010.gada februārī. Plānots, ka izstādi apmeklēs vairāk nekā 155 000 potenciālo klientu;
 5)starptautiskā izstādē World's Leading Travel Trade Show - ITB, Vācijā, Berlīnē, 2010.gada martā. Regulāri izstādē piedalās vairāk nekā 11 000 tūrisma kompāniju no visas pasaules;
 6)starptautiskā izstādē MITT - Moscow 2010, Krievijā, Maskavā, 2010.gada martā;
 7)starptautiskā izstāde IMEX, Frankfurtē, Vācijā, 2010.gada maijā;
 8)starptautiskā izstādē - WORLD TRAVEL MARKET 2010, Lielbritānijā, Londonā 2010.gada novembrī.",59708.8,29854.4,764.3,12,"www.alberthotel.lv"
7,"Latvijas Viesnīcu un restorānu asociācija","A. Čaka 55-218, Rīga, LV-1011","Viesnīcu un restorānu nozares starptautiskā konference ""Ekonomiskās situācijas ietekme uz viesnīcu & restorānu industriju - krīze vai iespējas""","Rīga",30/09/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Projekta „Viesnīcu &restorānu nozares starptautiskā konference „Ekonomiskās situācijas ietekme uz viesnīcu&restorānu industriju – krīze vai iespējas”” ietvaros paredzēts organizēt starptautisku viesnīcu &restorānu industrijas konferenci „Ekonomiskās situācijas ietekme uz viesnīcu&restorānu industriju – krīze vai iespējas”.
 
 Konferences mērķis – veicināt tūrisma pakalpojuma eksporta pieaugumu un Latvijas viesnīcu un restorānu biznesa attīstību, iepazīstinot viesnīcu un restorānu īpašniekus un vadītājus ar aktuālākajām tendencēm viesnīcu un restorānu industrijā, tai skaitā aktuāliem mārketinga, menedžmenta un sadarbības jautājumiem akcentējot iespējas un jaunus paņēmienus nozares uzņēmumu darba pilnveidošanā un optimizēšanā.
 
 Konferences „Ekonomiskās situācijas ietekme uz viesnīcu&restorānu industriju – krīze vai 
 iespējas” lektori būs pieredzes bagāti viesnīcu un restorānu nozares pārstāvji, kā arī citu valstu 
 viesnīcu un restorānu asociāciju līderi un attiecīgās jomas speciālisti. 
 
 Konferences dalībnieki būs Latvijas naktsmītņu un ēdināšanas uzņēmumu īpašnieki, vadītāji, mārketinga vadītāji.
 ",3482.93,2546.88,65.31,2,"www.hotel.lv"
8,"Attirance","Maskavas iela 322b, Rīga, LV-1063","Dalība starptautiskajā kosmētikas izstādē Cosmoprof Asia, 2009 Honkongā (Ķīnā)","Rīga",30/09/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA „Attirance” svarīga ārējā mārketinga aktivitāte- dalība starptautiskajā kosmētikas izstādē COSMOPROF ASIA Hong Kong, 11-13. novembrī. SIA „Attirance” izstādē prezentēs savu dabīgo kosmētiku , kā arī savu franšīzes koncepciju. ",10280,5011.5,128.5,3,"www.attirance.lv"
9,"Baltrotors","Institūta iela 1, Salaspils, Salaspils novads, LV-2169","Dalība starptautiskajās izstādēs ""Bauma"",""Maskinexpo"",""Euroforest"" un ""Interfost"".","Salaspils",30/09/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Īstenojot projektu, SIA ""Baltrotors"" 2010.gadā piedalīsies starptautiskajās izstādēs ""Bauma"" Vācijā, ""Maskinexpo"" Zviedrijā, ""Euroforest"" Francijā un ""Interforst"" Vācijā. Izstāžu laikā uzņēmums iepazīstinās esošos un potenciālos klientus ar jaunajiem produktiem - GIR un CPR industriālā tipa rotatoriem, kas atbilst populārāko Eiropas tirgū pieejamo pārstrādes tehnikas un metāllūžņu pārkraušanas tehnikas, mežizstrādes un celtniecības mašīnu satvērēju konstruktīvajām īpatnībām un paredzēti darbam pie augstām slodzēm.",25077,12225.03,313.47,11,"www.baltrotors.lv"
10,"Rauzas kompānija","Mārupes iela 1, Rīga, LV-1002","SIA ""Rauzas kompānija"" dalība starptautiskajā arhitektūras un dizaina izstādē ""100% design London""","Jūrmala",30/09/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Projekta ietvaros uzņēmums „Rauzas kompānija” ir paredzējis piedalīties starptautiskā arhitektūras un dizaina izstādē „100% design London”, kas no šī gada 24. līdz 27. septembrim norisināsies Londonā, Lielbritānijā.
 „100% design London” ir viena no prestižākajām arhitektūras, dizaina un interjera profesionāļu izstādēm pasaulē, kas piesaista ievērojamu skaitu vadošo industrijas pārstāvju un arī potenciālo klientu. Uzņēmumam „Rauzas kompānija” piedalīšanās šāda mēroga izstādē ir lieliska iespēja plašākai profesionāļu publikai prezentēt uzņēmuma jaunizveidoto mēbeļu kolekciju „MINT”, kā arī klātienē uzrunāt potenciālos sadarbības partnerus – dizaina mēbeļu izplatīšanas uzņēmumus un gala lietotājus.
 ",11055,5389.31,138.19,4,"www.rauzas.com"
