"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
75,"Kristaleks","Grīvas iela 11/34-6, Rīga, LV-1055","Kompozītu polimērvielas un metālkeramisku pārklājumu izstrāde metāla virsmu aizsardzībai","Rīga",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","Plānots veikt jauna produkta izstrādi - vielu (polimēru) metālu virsmu aizsardzībai un konservācijai. Projekta rezultāts būs polimēra izstrāde, kas iedarbojoties uz metālkeramisku slāni veidos uz metāla virsmas kompozītpārklājumu ""metāls - aizsargslānis - ievadītais polimērs"", tādējādi uzlabojot metāla aizsardzību un izturību.","49,040.00","28,999.54","5,117.58",8,
76,"ITS-2","Avotu iela 10-2, Rīga, LV-1011","Biznesa vadības lietojuma platforma","Rīga",08/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros tiks veikta jauna produkta - biznesa vadības lietojumu platformas - izveide. Produkts būs specializēts tieši biznesa vadības lietojumu ātrai un kvalitatīvai izstrādei un tas tiks realizēts, izmantojot interneta tehnoloģijas, apvienojot un kombinējot šīs jomas jaunākos rīkus, zināšanas un izstrādes metodoloģiju.
 Projketa rezultāts - produkts - būs programmēšanas rīku un tehnoloģiju kopums, kas paredzēts ātrai un kvalitatīvai biznesa lietojumu izstrādei un darbināšanai.","94,720.00","36,230.40","6,393.60",15,"www.its2.lv"
77,"Metrum","Raiņa bulvāris 11, Rīga, LV-1050","SIA ""Metrum"" jaunas meža inventarizācijas tehnoloģijas izstrāde","Rīga",08/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta mērķis ir izstrādāt pricipiāli jaunu meža inventarizācijas tehnoloģiju, kur datu ievākšana tiek nodrošināta ar speciāli aprīkota lidaparāta palīdzību, interesējošo obkejtu tikai  pārlido, bet ievākto datu analīze nodrošināta ar speciālizētas programmatūras palīdzību. Šāda tehnoloģija atrisinās galvenās meža taksācijas problēmas - vērtētāja subjektivitāte, izpildes laiks, cilvēkresursu patēriņš, izmaksas. Lai to izdsarītu vispirms tiks veikts rūpnieciskais pētījums un iegūtas jaunas zināšanas un paņēmieni, uz kuru bāzes tiks realizēta otra projekta daļa - programmatūras eksperimetnālā izstrāde. Projekta veismīgu realizāciju nodrošinās zinātnieku no Latvijas Lauksaimnecības universitātes līdzdalība.","643,962.90","245,056.85","43,245.34",16,"www.metrum.lv"
78,"Madara Cosmetics","Rostokas iela 60-24, Rīga, LV-1029","Augu bioloģiski aktīvās vielas izstrāde","Rīga",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros tiks izstrādāts aktīvo vielu komplekss ar spēcīgu ādu atjaunojošu iedarbību. Projekta ietvaros tiks algoti pētnieki, nomātas nepieciešamās pētniecības iekārtas, kā arī izmantoti ārējo pētnicības institūtu pakalpojumi.
 Proejta rezultāts būs bioloģiski aktīvās vielas (BAV) paraugs.","78,144.85","38,508.10","6,795.56",9,"www.madara-cosmetics.lv"
79,"Data Pro","Valguma iela 5, Rīga, LV-1048","Datu migrācijas metodikas izstrāde","Rīga",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros plānots veikt rūpniecisko pētījumu jaunai tehnoloģijai - datu migrācijas metodes izstrādi. Projekta ietvaros tiks algoti pētnieki, kā arī izmantoti ārēju pētniecības institūtu pakalpojumi. Projekta rezultāts būs datu migrācijas metodika.","77,979.40","25,208.18","4,448.51",9,"www.datapro.lv"
80,"Belss","Elizabetes iela 41/43, Rīga, LV-1010","Solārais modulis siltumenerģijas un elektroenerģijas ražošanai","Rīga",08/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","SIA ""BELSS"" izstrādās rūpniecisko pētījumu, lai piemērotu atjaunojamā energoresursa - saules enerģijas (saules baterijas un saules kolektori) pielāgošanu intensīvai lietošanai Latvijas klimatiskajos apstākļos. ","197,464.94","95,367.95","16,829.65",18,"www.belss.lv"
81,"Interaktīvo Tehnoloģiju Grupa","Krišjāņa Valdemāra iela 100, Rīga, LV-1013","Kompleksā vidē strādājošs CO2 resursu pārvaldības IT risinājums ","Rīga",08/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta rezultāts būs oriģināla koda izveide, programmētas interaktīvas datu bāzes rīki un informācijas pārvaldības platforma, kas kopā radīs ērtu un ar citām resursu pārvaldības sistēmām savietojamu risinājumu.","86,200.00","35,132.95","6,199.95",12,"www.itgrupa.lv"
82,"Molport","Šmerļa iela 3, Rīga, LV-1006","Ķīmisko vielu informācijas apmaiņas portāla izveide","Rīga",08/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros tiks izveidots jauns produkts - Ķīmisko vielu informācijas apmaiņas portāls. Projekta ietvaros tiks algoti pētnieki un programmētāji, lietota nepieciešamā datortehnika un programmatūra, kā arī izmantoti ārēju pētniecības institūciju pakalpojumi, lai veidotu jaunu ķīmijas informācijas semantiku un principiāli jaunas metodes ķīmijas informātikā.","467,700.00","219,484.59","38,732.58",23,"www.molport.com"
83,"Preco","Dravnieku iela 16, Lielvārde, Lielvārdes novads, LV-5070","Jaunas standartizētas graudu kaltes prototipa izstrāde SIA  ""Preco""","Lielvārde",08/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros plānots veikt eksperementālo izstrādni jaunam produktam - standartizētai graudu kaltei. 
 Projekta ietvaros tiks algoti pētnieki, piesasitīts vadošais inženieris-konstruktors no Dānijas uzņēmuma ""Crocus"", kas ir viens no vadošajiem graudu pirmapstrādes iekārtu ražotājiem Eiropā ar lielu pieredzi šo produktu izstrādāšanā un ražošanā. Projektā tiks izmantotas uzņēmuma esošās iekārtas eksperementālā prototipa izstrādei, kā arī tiks izmantots ārējais akreditētās laboratorijas pakalpojums prototipa testēšanai. Projekta rezultāts būs jauna standartizēta graudu kaltes prototips. ","104,500.17","31,088.78","5,486.27",12,"www.preco.lv"
84,"Horus Laboratory","Vīlandes iela 6-1, Rīga, LV-1010","Jaunu termogrāfiskās diagnostikas metožu izpēte","Rīga",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros tiks veikti rūpnieciskie pētījumi, lai noteiktu sakarības starp liela mēroga objektu īpašībām (piem. augsnes mitrums, ūdenstilpņu piesārņojums u.c.) un attiecīgo objektu virsmu izstaroto infrasarkano starojumu spektrā 8-14mkm. Veiksmīgu pētījuma rezultātu gadījumā uzņēmums spēs izveidot Latvijā un ES pieprasītu tālizpētes pakalpojumu procedūras un programmrīkus.","144,120.00","84,391.40","14,892.60",13,"www.horuslab.lv"
85,"Jurmala homes","Zilupes iela 22-53, Rīga, LV-1019","Lielgabarīta pārvietojamās koka mājas izstrāde uz riteņu bāzes pamata","Jūrmala",08/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros tiks izstrādāta detalizēta inženiertehniskā dokumentācija lielgabarīta pārvietojamai koka mājai uz riteņu bāzes pamata, kā arī tiks izgatavots mājas samazināts prototips.","22,400.00","8,568.00","1,512.00",15,"www.jurmalahomes.lv"
86,"Piroķimika","Katoļu iela 35, Rīga, LV-1003","10 litru tilpuma reaktora mikrokapsulēto degšanas flegmatizatoru sērijveida ražošanas tehnoloģijas izstrāde","Rīga",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","10 litru tilpuma reaktora mikrokapsulēto degšanas flegmatizatoru sēriveida ražošanas tehnoloģijas (tehnoloģiskā režīma) izstrāde (aprēķinātā ražība līdz 200 kg/mēn.). Projekta ietvaros tiks piesaistīti pētnieki, iepirktas nepieciešamās iekārtas un nonomātas telpas.","53,653.31","31,919.15","5,632.80",9,"www.pirokimika.lv"
87,"Datorzinību centrs","Pulkveža Brieža iela 4-3, Rīga, LV-1010","Jaunas izstrādes metodikas, tās atbalstošo programmatūras rīku un gatavu atkalizmantojamu komponentu kopas izstrāde jaunu produktu radīšanai","Rīga",08/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","Pētījumi programmatūras izstrādes un IT projektu vadības rīka izveidošanai. Projekta rezultātā tiks izstrādāts programmizstrādes un izstrādes procesa pārvaldības rīks. Rīks sastāvēs no projekta pārvaldes sistēmas ar atbilstošo metadoloģiju un daudzkārt lietojamiem komponentiem - rāmja (framework).
 Rīkā ietvertais tehnoloģiskais process balstīsies uz gatavu vispārēju datu ieguves, apstrādes un reprezentācijas metožu daudzkārtēju izmantošanu vienotā rāmī un ar to saistītu uzņēmuma resursu (laika, tehnoloģiju, zināšanu) pārvaldību starp vairākiem paralēliem projektiem, maksimizējot uzņēmuma inovatīvo tehnoloģiju koplietošanu un attīstīšanu. ","132,901.08","56,528.13","9,975.57",22,"www.dzc.lv"
88,"FMS Software","Kronvalda bulvāris 3/5, Rīga, LV-1010","Aplikācijas servera attīstība efektīvākai IT resursu izmantošanai, izstrādājot automatizētas pārraudzības un slodzes sadales platformu","Rīga",06/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","Informācijas plūsmas intensitāte un apjoms organizāciju informācijas sistēmās katru dienu pieaug, uzņēmumiem un iestādēm attīstot savas IT sistēmas, tiek ieviestas jaunas tenikasvai esošās tiek aivietotas ar jaudīgākām. Tādejādi kļūst arvien svarīgāk nodrošināt aplikāciju serveru spēju efektīvi izmantot IT sistēmu resursus.Projekta ietvaros tiks veikta eksperimentālā izstrāde jaunai tehnoloģijai, kur izpētes darbu un eksperimentāla pilotprojekta izstādes rezutlātā tiks izveidota paplašināmu, uz noslodzi reaģējoša un ērti administrējama datu reprezentācijas un apstrādes platforma. Projekta rezultātā iegūtās zināšanas un pieredze sadalītu un augstas noslodzes aplikāciju risinājumu jomā, kā arī jaunās tehnoloģijas dos iespēju projekta iesniedzējam attīstīt esošās izstādes jaunā līmenī un piesaistīt jaunus klientus.","73,552.45","20,006.26","3,530.52",15,"www.fmssoftware.lv"
89,"Soft Tel","Skolas iela 38-1, Rīga, LV-1010","Multipleksora izstrāde analogo un digitālo interfeisu integrācijai","Rīga",07/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros plānots izstrādāt multiplikatoru analogu un digitālo interfeisu integrācijai. Izstrādātais produkts sastāvēs no uz matemātisko modeļu bāzes izstrādātas elektroniskās shēmas un programmnodrošinājuma, kas nodrošinās iespēju savienot analogās telefonu centrāles ar modernajām digitālajām centrālēm.","74,280.00","39,094.67","6,899.07",8,
90,"AISIS","Krūzes iela 38, Rīga, LV-1002","Palielinātam spiedienam paredzētas tvertnes izstrāde un sertificēšana","Iecavas novads",06/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","Palielinātam spiedienam paredzētas tvertnes tehniskā projekta izstrāde un laboratoriskā pārbaude kritiskajiem mezgliem. ","23,132.39","6,881.88","1,214.45",3,"www.aisis.lv"
91,"LETA","Palasta iela 10, Rīga, LV-1502","Tehnoloģija sabiedrības iesaistei ziņu radīšanā","Rīga",07/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros tiks izstrādāta jauna tehnoloģija sabiedrības iesaistei ziņu radīšanā. Ar šīs tehnoloģijas palīdzību plānots radīt jaunu pakalpojumu - eksperimentāla IT sistēma, ar kuras palīdzību sabiedrības pārstāvji var piedalīties ziņu telpas veidošanā, iesūtot savas ziņas un reportāžas, viedokļu rakstus, video un foto informāciju. Informācijas sistēmu veido lietotāju reģistrācijas modulis un informācijas iesūtīšanas modulis.","117,900.59","35,075.41","6,189.79",15,"www.leta.lv"
92,"Olimps","Turaidas iela 10B, Rīga, LV-1039","Unificētā programmkompleksa prototipa izstrāde","Rīga",08/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros plānots veikt ekperimentālo izstrādi jaunam produktam - unificētam programmkompleksam, kas paredzēts naftas un naftas produktu pārkraušanas un sadales uzņēmumu operatīvās uzskaites vadības automatizācijai. Projekta ietvaros tiks algoti uzņēmuma speciālisti - pētnieks, tehniskais personāls, kā arī paredzēts izmantot pieredzi, kas gūta izstrādājot un ieviešot tehnoloģisko procesu automatizētās vadības sistēmas naftas un naftas produktu pārkraušanas un sadales uzņēmumos. Projekta rezultāts būs unificētā programmkopleksa prototips.","23,384.40","6,956.85","1,227.69",12,"www.olimps.lv"
93,"Matre tehnoloģijas","Peldu iela 7, Jelgava, LV-3002","Ar IEC 61131-3 standartu saderīga programmējama automatizācijas kontroliera izstrāde","Dobele",08/05/2009,"Jaunu produktu un tehnoloģiju izstrāde","Ar IEC 61131-3 standartu saderīga programmējama automatizācijas kontroliera izstrāde.","85,520.00","34,826.73","6,145.90",8,"www.plc.lv"
94,"Hydrogen Power Development","Akmeņu iela 47, Ogre, Ogres novads, LV-5001","Autotransporta degvielas ekonomēšanas sistēmas ""EkoGen"" izstrāde","Ogre",23/04/2009,"Jaunu produktu un tehnoloģiju izstrāde","Projekta ietvaros, veicot rūpniecisko pētījumu un eksperemantālo izstrādni, plānots izstrādāt jaunu produktu - autotransporta degvielas ekonomēšanas, atgāzu emisiju samazināšanas sistēmu ""EkoGen"". Projekta ietvaros tiks algoti pētnieki, iegādāti materiāli, nomātas nepieciešamās pētniecības iekārtas, kā arī izmantoti ārēju pētniecības institūtu pakalpojumi. Projekta rezultāts būs autotransporta degvielas ekonomēšanas, atgāzu emisijas samazināšanas sistēma ""EkoGen"". ","74,400.00","41,183.36","7,267.68",6,
