"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"Finanšu projektu aģentūra","Krišjāņa Valdemāra iela 37-16, Daugavpils, LV-5401","SIA ''Finanšu projektu aģentūra'' uzņēmējdarbības paplašināšanās","Kalkūnes pagasts",30/09/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Kopš 2004.gada SIA ''Finanšu projektu aģentūra'' darbojas grāmatvedības ārpakalpojumu sniegšanas jomā maziem uzņēmumiem. Tāpat sabiedrība piedāvā audita un revīzijas, nodokļu konsultācijas, juridiskos, biznesa plāna izstrādes, tehniski ekonomisko pamatojumu izstrādes un lietvedības pakalpojumus.
 SIA ''Finanšu projektu aģentūra'' veic ārēju grāmatvedības  uzskaiti maziem uzņēmumiem, taču arvien biežākvēršas korporatīvie uzņēmumi, kuriem ir vairākas struktūrvienības un tās atrodas dažādās teritoriālās vienībās. Šādiem uzņēmumiem SIA ''Finanšu projektu aģentūra''  nav iespēju veikt grāmatvedības ārpakalpojumu sniegšanu resursu trūkuma dēļ, kā arī nepieciešams atrast risinājumu kā notiks grāmatvedības pirmsdokumentācijas apmaiņa (korporatīvajiem klientiem grāmatvedības pirmsdokumentācijas apjomi ir ļoti lieli). Lai SIA ''Finanšu projektu aģentūra''  varētu noslēgt jaunus līgumus ar potenciālajiem korporatīvajiem klientiem par grāmatvedības ārpakalpojumu sniegšanu, tādējādi ieviešot jaunu pakalpojumu savā saimnieciskajā darbībā, ir nepieciešams izveidot jaunu struktūrvienību ar darba vietām.
 Projekta ietvaros tiek plānots izveidot jaunu struktūrvienību un ierīkot jaunas darba vietas, iegādājoties nepieciešamās iekārtas (dators, printeris, skeneris, grāmatvedības programmu komplekta licence) un serveris, kurš kalpos kā tīkls starp uzņēmumu un klientiem. Visas plānotās iekārtas tiks iegādātas ar mērķi paplašināt SIA ''Finanšu projektu aģentūra''  saimniecisko darbību, ieviešot jaunu pakalpojumu - grāmatvedības ārpakalpojumu sniegšana attālinātā veidā.
 Projekta rezultātā tiks paplašināta SIA ''Finanšu projektu aģentūra''  saimnieciskā darbība, ieviešot jaunu pakalpojumu - grāmatvedības ārpakalpojumu sniegšana attālinātā veidā korporatīvajiem klientiem, kuriem ir vairākas struktūrvienības un tās atrodas dažādās teritoriālās vienībās. Projekta īstenošanas adrese ir Daugavpils nov., Kalkūnes pag., Muitas iela 1, kurai ir piešķirts īpaši atbalstāmās teritorijas statuss saskaņā ar normatīvajiem aktiem.","3,977.36","2,187.54",0.00,4,"www.fpagentura.lv"
2,"SteinBerg","""Skaidas"", Matkules pagasts, Kandavas novads, LV-3132","Salmu brikešu ražošana","Matkules pagasts",29/09/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SteinBerg ir jauns uzņēmums, kurš ir dibināts 2009. gada 27. jūlijā. Uzņēmuma darbības virziens ir energoresursu ražošana (pārstrādājot salmus tiek iegūtas salmu briketes, kuru pielietošana ir ļoti daudzveidīga- no parasta kurināmā līdz pielitošanai māju karkasu celšanai un mitruma uzsūcoša materiāla izmantošanai.
 Projekta mērķis- izstrādājot un ralizējot projektu, uzsākt uzņēmuma SIA ""SteinBerg"" salmu brikešu ražošanu. Projektā ir paredzētas divas aktivitātes: 1) ieprikuma plāna sagatavošana un iesniegāsana LIAA;
 2) līguma slēgšana ar iekārtu piegādātāju, to piegāde un uzstādīšana. Īstenojot projekta aktivitātes tiktu izstādāts un iesniegts LIAA ieprikuma plāns un noslēgts līgums ar iekārtu - smalcinātājs TOMASSER RB 505 E18 un preses BIOMASSER DUO BS 207 piegādātāju par to iegādi un uzstādīšanu. Projekta kopējās izmaksas ir LVL 33 880.- no kurām 28 000.- ir projketa attiecināmās izmaksas. ","28,000.00","15,400.00",0.00,4,"-"
3,"BMR","'Vardūkļi'', Mārcienas pagasts, Madonas novads, LV-4852","KD-HT zāģmateriālu un ISPM15 standartiem atbilstošo paliktņu ražošana","Bērzaunes pagasts",28/09/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA ''BMR'' plāno uzsākt jaunu darbības veidu un sākt ražot kaltētus zāģmateriālus, žāvētus kamerā - termiski apstrādātus (KD-HT) un ražot visa veida paliktņus atbilstoši ISPM-15 (HT, IPPC, FAO) standartam termiski apstrādātus. Realizējot projektu uzņēmums plāno iegādāties zāģmateriālu žāvēšanas kameras un paliktņu sertificēšanas iekārtas 272 500 LVL vērtībā.","272,500.00","149,875.00",0.00,18,"-"
4,"BALTIC OIL MANAGEMENT","Vecpilsētas iela 19, Rīga, LV-1050","Ražošana - ogļūdeņražu (jēlnaftas) ieguve","Gudenieku pagasts",28/09/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta ietvaros plānots iegādāties ogļūdeņražu izpētes un ieguves licenci, iegādāties ogļūdeņražu (jēlnaftas) ieguves iekārtu, ražot, iegūstot jēlnaftu, un sniegt pakalpojumus Kuldīgas rajona Gudenieku pagasta zemes īpašniekiem, kas ietverti licences laukumā saskaņā ar Ministru kabineta 29.03.2006. rīkojumu Nr.206 ''Par ogļūdeņražu izpētes un ieguves licences laukuma noteikšanu Kuldīgas rajona Gudenieku pagastā''.","249,000.00","136,950.00",0.00,6,"-"
5,"Daugulis & partneri","Zemgales iela 19, Līvāni, Līvānu novads, LV-5316","Konditorejas ražotnes paplašināšana un ražošanas procesa būtiska maiņa Līvānu novadā","Līvāni",29/09/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekt aietvaros paredzēts veikt konditorejas ražotnes darbības paplašināšanu, būtiski pilnveidot ražošanas procesu un uzlabot esošo produktu īpašības. Tiks piegādātas un uzstādītas iekārtas va'feļu apstrādei ar mikroviļņiem pret pelējuma sēni un vafeļu fasēšanai ogļskābās un alkohola gāzes vidē, lai efektīvi  paildzinātu to derīguma termiņu 2-2.5 reizes. Projekta rezultātā iegūtais derīguma termiņa palielinājus ļaus vafeles eksportēt uz Lietuvu un Igauniju.","39,382.20","20,872.56",0.00,9,"www.daugulisunpartneri.com"
6,"PROMTUS","'Jaunriekstiņi'', Viļķenes pagasts, Limbažu novads, LV-4050","Kombinētas grants, laukakmeņu un dolomīta drupināšanas un šķirošanas iekārtas iegāde un uzstādīšana Salacgrīvas lauku teritorijā esošajā karjerā ""Celmiņi""","Salacgrīvas lauku teritorija",30/09/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA ''PROMTUS'' (turpmāk tekstā - PROMTUS vai uzņēmums) īstenos projektu Salacgrīvas lauku teritorijā un iegādāsies kombinētu grants, laukakmeņu un dolomīta drupināšanas un šķirošanas iekārtu, lai pārstrādātu augstāk minētos izejmateriālus par celtniecībā un ceļu būvē izmantojamu gala produkciju.
 Uzņēmums atrodas īpaši atbalstāmajā teritorijā un tas nodrošinās jaunu darba vietu izveidi, mazinot teritorijas ekonomisko atpalicību un veicot ievērojamus nodokļu maksājumus.
 Projekta ieviešana nodrošinās vietējo dabas resursu pārstrādi izmantojamā gala produkcijā.","218,910.00","120,400.50",0.00,6,"-"
7,"JULE","Čiekurkalna 3.šķērslīnija 25-70, Rīga, LV-1026","SIA ""JULE"" ražotnes izveide","Sokolku pagasts",25/09/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA ''JULE'' vairāk kā 9 gadus nodarbojās ar inženiertehnisko darbu veikšanu būvniecības objektos, bet mainoties ekonomiskajai situācijai valstī ir nolēmusi mainīt savu darbības virzienu un uzsākt neelektrisko sadzīves iekārtu ražošanu.
 Projekta ietvaros tiks izveidota ražotne īpaši atbalstāmajā teritorijā, tādējādi samazinot nelabvēlīgās atšķirības starp reģioniem, kā arī sekmējot līdzsvarotu valsts attīstību. Īstenojot projektu tiks veikti ilgtermiņa ieguldījumi pamatlīdzekļos.","92,377.69","50,807.72",0.00,7,"-"
8,"Eko Eksperts","'Dzirnaviņas 1'', Dzirnaviņas, Bērzaunes pagasts, Madonas novads, LV-4853","Elektro sadalņu ražošanas ēkas rekonstrukcija","Bērzaunes pagasts",30/09/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta ietvaros tiks izstrādāts tehniskais projekts esošās elektro sadalņu ražošanas ēkas ''Dzirnaviņas'', ''Dzirnaviņas 1'', Bērzaunes pag., Madonas novadā rekonstrukcijai un veikti rekonstrukcijas darbi, paplašinot elektro sadalņu ražošanas ēkas platību. Tehniskais projekts tiks izstrādāts atbilstoši MK noteikumu 14.08.2001. Nr.370 ''Noteikumi par Latvijas būvnormatīvu LBN 202-01 ''Būvprojekta saturs un noformēšana'''' prasībām. Plānots, kad rekonstrukcijas rezultātā papildus tiks iegūta 750m2 liela platība, kura tiks izmantota SIA ''Eko Eksperts'' ražošanas procesa uzlabošanai, iekārtojot elektro sadalņu ražošanas telpu, noliktavu un gatavās produkcijas fasētavu (precīzs plānoto platību apjoms tiks noteikts pēc tehniskajā projektā paredzētā risinājuma) un jaunas darba vietas. Pēc projekta realizācijas tiks izveidotas 2 jaunas darba vietas.
 Plānotais projekta realizācijas laiks ir no 2009.gada decembra līdz 2011.gada decembrim. Projekta kopējās izmaksas sastāda 243028.50 LVL. Projekta izmaksu finansēšanai tiks izmantoti projekta iesniedzēja paša finanšu resursi.","200,850.00","110,467.50",0.00,24,"-"
9,"WP Energy","Brīvības gatve 204a, Rīga, LV-1039","Šķeldotāja iegāde SIA "" WP Energy""","Rīga",28/09/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta ietvaros paredzēts uzņēmumā ""WP Energy"",kas ir jauns uzņēmums, iegādāties šķelodšanas tehniku - šķeldotāju, kas nodrošinās uzņēmumsu ar pieprasītu galaproduktu pārdosānai - šķeldas kurināmo. Projektu plānots īstenot un līdz ar to arī šķeldošanas tehniku uzstādīt uzņēmumam piederos īpašumā- ""Dārznieki"" Alojas l.t. Alojas novadsā. Plānotais projekta realizācijas termiņš sastādīts 3 mēnešus pēc līguma parakstīšanas ar ražotāju / piegādātāju par šķelodtāja piegādi un uzstādīšanu. Realizējot doto projektu tiks nodrošināta ne tikai uzņēmuma attīstība bet arī vietējo iedzīvotāju labklājība. Tiks radītas jaunas darba vietas un viennozīmīgi ieguvējs no tā būs viss Alojas reģions un arī Latvijas valsts kopumā. ","315,000.00","144,900.00",0.00,6,"-"
10,"Color Tech","'Pamūša 2'', Pamūša, Gailīšu pagasts, Bauskas novads, LV-3931","Metāla žogu un vārtu izgatavošanas un apstrādes uzņēmējdarbības uzsākšana","Svitenes pagasts",25/09/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Lai varētu veiksmīgi izgatavot metāla žogus un vārtus un tos apstrādāt ar speciālu vides izturīgu krāsojumu, nepieciešams iegādāties un uzstādīt speciālu krāsošanas kameru, kas ļaus nodrošināt nepieciešamo ražīgumu.","54,500.00","29,975.00",0.00,8,"-"
