"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"Nomis","Andrupenes iela 53, Malta, Maltas pagasts, Rēzeknes novads, LV-4630","SIA Nomis kokapstrādes ražotnes paplašināšana","Maltas pagasts",30/11/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta mērķis ir modernizēt tehnoloģisko procesu palešu dēlīšu un malkas ražotnē, tādējādi palielinot SIA „Nomis” produktivitāti un apgrozījumu.
Projekta ietvaros tiks iegādāta automatizēta baļķu padeves sistēma (rampa) priekš palešu dēlīšu ražošanas līnijas un malkas skaldāmā mašīna ar automatizēto baļķu padeves sistēmu (rampu). Projekta īstenošana nodrošinās esošo darba vietu saglabāšanu.
Projektu paredzēts īstenot 3 mēnešos. Projekta kopējās izmaksas ir 65 340,00 Ls
","54,000.00","29,700.00",0,3,"-"
2,"TSF D","Raiņa iela 21-01, Daugavpils, LV-5401","Koka skaidu brikešu ražošanas līnijas iegāde","Ūdrīšu pagasts",30/11/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA „TSF D” (turpmāk arī Uzņēmums) tika dibināta 2000.gadā, un tās pamatdarbības veidi ir visu veidu elektroietaišu projektēšana, uzstādīšana un apkalpošana. 2009.gada laikā strauji samazinājās būvniecības darbu apjomi, kā arī būvniecības darbu cenu līmenis, kas negatīvi ietekmē Uzņēmuma apgrozījumu un apdraud pašreizējās komercdarbības stabilitāti. Tāpēc SIA „TSF D” nolēma diversificēt ieņēmumus no saimnieciskās darbības, un par perspektīvu biznesa diversificēšanas un attīstības virzienu uzskata koka skaidu brikešu ražošanu.
Projekta ietvaros Uzņēmums plāno iegādāties jaunu koka skaidu brikešu ražošanas līniju, kas tiks uzstādīta „Alina U”, Ūdrīšu pagastā, Krāslavas novadā. Paredzēts, ka pēc projekta īstenošanas SIA „TSF D” ražos vismaz 378 tonnas koka skaidu brikešu mēnesī, kas tiks pilnībā eksportētas uz Holandi, Beļģiju, Zviedriju un Dāniju. Papildus ieņēmumi no koka skaidu brikešu realizācijas sastādīs ap 30-35 tūkst.latu mēnesī. Bez tam, Uzņēmums pieņems darbā vēl 9-12 darbiniekus, kuri nodrošinās un uzraudzīs visus ar koka skaidu brikešu ražošanu saistītus procesus.","272,500.00","149,875.00",0,14,"-"
3,"Flat Bag","Gleznotāju iela 2, Mežāres, Babītes pagasts, Babītes novads, LV-2101","Papīra iepakojuma maisiņu bez pamatnes ražošanas uzsākšana Kandavā","Kandava",30/11/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta iesniedzējs ir nolēmis uzsākt papīra iepakojuma maisiņu bez pamatnes ražošanu. Maisiņi paredzēti pārtikas un nepārtikas preču iepakošanai tirdzniecības vietās un īslaicīgai pārvietošanai vai uzglabāšanai. Projekta ietvaros plānots iegādāties jaunu papīra iepakojuma maisiņu bez pamatnes ražošanas līniju un to uzstādīt Kandavā. Gala rezultātā tiks iegūts konkurētspējīgs un plaši pieprasīts produkts, kas aizstās šobrīd importēto iepakojumu.","284,635.62","149,974.50",0,10,"-"
4,"ECOFOOD LATVIJA","Jūras iela 15, Aloja, Alojas novads, LV-4064","Dzeramā ūdens ražotnes izveide","Aloja",30/11/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta mērķis uzņēmumam SIA „Ecofood Latvija” ir iegādāties dzeramā ūdens ražošanas un fasēšanas līnijas pilnam darba ciklam ar fasēšanas tilpumiem: 1.ražošanas līnija ar fasēšanas tilpumu no 0.5 līdz 2 litriem, 2.ražošanas līnija ar fasēšanas tilpumu no 5 – 7 litri, lai varētu uzsākt dzeramā ūdens ražošanu.","626,200.00","150,000.00",0,8,"-"
5,"Latvāņi","""Latvāņi"", Bērzaunes pagasts, Madonas novads, LV-4853","Programmvadības darbgalda iegāde","Bērzaunes pagasts",30/11/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta ""Programmvadības darbgalda iegāde"" ietvaros SIA ""Latvāņi"" turpinās modernizēt izveidoto kokzāģētavu. Uzņēmuma mērķis ir efektīvi ražot kvalitatīvus sarežģītas konfigurācijas galdniecības izstrādājumus. Vispirms tiks apzinātas vadošo darbgaldu ražotāju iespējas, izvēlēts piemērotākais darbgalds. Būs nepieciešama nopietna darbinieku apmācība. Pēc darbgalda iegādes darbs tiks ieguldīts nepieciešamo tehnisko zīmējumu un programmatūras izstrādē. Pēc iekārtas pilnīgas palaišanas ekspluatācijā, tiks uzsākta koka izstrādājumu ražošana un tirdzniecība.","271,645.94","149,405.26",0,12,"www.kokapstardesgrupa.lv"
6,"AVE Digital","Atlasa iela 8, Rīga, LV-1026","Lielformāta drukas uzņēmējdarbības uzsākšana","Auce",30/11/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta ietvaros sākotnēji tiks veikta iepirkumu procedūra, lai noskaidrotu izdevīgāko piedāvājumu iekārtas iegādei. Tiks iegādāta lielformāta drukas iekārta, kuras nepieciešamā tehniskā specifikācija tika izstrādāta, konsultējoties ar nozares speciālistiem un kas tiks novietota jaunizveidojamajā poligrāfijas cehā Aucē, Jura Mātera ielā 1a. Ražotnes telpas SIA „AVE Digital” izmanto saskaņā ar noslēgto ilgtermiņa nomas līgumu.","270,000.00","148,500.00",0,6,"-"
7,"S.A.Industry","Peldu iela 7, Jelgava, LV-3002","Plova ražotnes izveide","Kalnciems",30/11/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Plova ražotnes izveide Jelgavas novadā- iekārtu iegāde plova vārīšanai, dzesēšanai, dozēšanai, iesaiņošanai, sasaldēšanai, iepakošanai un marķēšanai.","415,000.00","150,000.00",0,7,"www.saindustry.lv"
8,"Biomehānikas un fizikālo pētījumu institūts","Maskavas iela 22-1, Rēzekne, LV-4604","Biomehānikas un fizikālo pētījumu institūta optiski elektronisko ierīču laboratorijas izveide Madonas novada Mētrienas pagasta ""Saulgriežos""","Mētrienas pagasts",30/11/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projektā paredzēts iegādāties iekārtas optiski elektronisko ierīču laboratorijas izveidei Madonas novada Mētrienas pagasta „Saulgriežos”. Projekta ietvaros tiks izstrādātas, izgatavotas un realizētas specifiskas optiski elektroniskās ierīces, kā arī tiks izveidotas divas jaunas darba vietas īpaši atbalstāmajā teritorijā.","149,992.00","82,495.60",0,6,"www.bufpi.lv"
9,"Papīra Maisiņi","Gaiļezera iela 4-87, Rīga, LV-1079","Papīra iepirkumu maisiņu ar rokturīšiem ražošanas uzsākšana Kandavā","Kandava",30/11/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Uzņēmums ir nolēmis uzsākt papīra iepirkumu maisiņu ar rokturīšiem ražošanu. Maisiņi paredzēti kā iepirkuma maisiņi dažādās tirdzniecības vietās- pārtikas veikalos, apģērbu veikalos, grāmatu veikalos, higiēnas preču veikalos, u.c. Projekta ietvaros plānots iegādāties jaunu papīra iepirkumu maisiņu ar rokturīšiem ražošanas līniju un to uzstādīt Kandavā. Gala rezultātā tiek iegūts konkurētspējīgs produkts ar augstu pievienoto vērtību. ","289,555.25","149,989.61",0,10,"-"
10,"Bimil","Maskavas iela 271-58, Rīga, LV-1063","SIA ""Bimil"" funkcionālās pārtikas produktu pētniecības un ražošanas tehnoloģiju izstrādes centra izveide","Mētrienas pagasts",30/11/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA „Bimil” realizējot projektu „SIA „Bimil” funkcionālās pārtikas produktu pētniecības un ražošanas tehnoloģiju izstrādes centra izveide, plāno iegādāties nepieciešamās iekārtas un aprīkojumu izstrādes centra izveidei. Pēc projekta realizācijas SIA „Bimil” spēs veikt funkcionālo vielu pētījumus, izstrādāt inovatīvus funkcionālās pārtikas produktus un izstrādāt tehnoloģijas šo projektu rūpnieciskai ražošanai. Centra darbība veicinās Madonas novada attīstību, bet jaunie produkti un tehnoloģijas vecinās vietējo uzņēmēju konkurenci ārvalstu tirgos.","53,940.00","29,667.00",0,4,"www.bimil.lv"
