"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"Kurzemes tūrisma asociācija","Baznīcas iela 5, Kuldīga, Kuldīgas novads, LV-3300","Latvijas reģionu tūrisma piedāvājuma virzīšana starptautiskajā tirgū","Kuldīga",30/11/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Projekta „Latvijas reģionu tūrisma piedāvājuma virzīšana starptautiskajā tirgū” mērķis ir sekmēt Latvijas atpazīstamību un tautsaimniecības attīstību, nodrošinot tūrisma nozares pārstāvju dalību starptautiskās tūrisma izstādēs.
Projekta galvenais partneris ir biedrība „Kurzemes tūrisma asociācija”, kas sadarbībā ar 18 partneriem - SIA „Olimpiskais centrs „Ventspils””, SIA „A.A. Mežmalas”, SIA ""Arkana"", SIA „NAOS”, SIA ""TOUCH&TRAVEL"", SIA „DOMINA MANAGEMENT”, SIA „LAIMTŪRE”, SIA „Baltijas Ceļojumu grupa”, SIA ""Rigatur"", SIA „BBH Investments”, SIA „Hotel Jūrmala Spa”, SIA Latvijas-Krievijas kopuzņēmums ""ARBAT RĪGA"", Biedrība „Latvijas Kempingu asociācija”, SIA ""Meeting Tour Travel &SPA Consultants"", SIA „Latvia Tours”, biedrība „Zemgales tūrisma asociācija”, biedrību „Vidzemes Tūrisma asociācija” un biedrību „Latgales reģiona Tūrisma asociācija „Ezerzeme”” piedalīsies šādās starptautiskās tūrisma izstādēs:
1) Brīvdienu tūrisma izstādē „Vakantiebeurs 2010” – Nīderlande;
2) Ziemeļvalstu tūrisma izstādē „Matka 2010” – Somija;
3) Starptautiskā tūrisma un kemperu izstādē „Reisen Hamburg” – Vācija;
4) 19.starptautiskajā tūrisma izstādē „Tourest 2010” – Igaunija;
5) 16.starptautiskajā tūrisma, sporta un atpūtas izstādē „Vivattur 2010” – Lietuva;
6) Pasaules vadošajā tūrisma izstādē „ITB Berlin” – Vācija;
7) 17.starptautiskajā ceļojumu un tūrisma izstādē MITT 2010 – Krievija;
8) Zviedrijas starptautiskajā ceļojumu, tūrisma un konferenču izstādē „Tur 2010” – Zviedrija.
9) 13. starptautiskajā tūrisma pakalpojumu izstādē „Atpūta 2010” – Baltkrievija; 
10) 18.starptautiskajā ceļojumu izstādē „Inwetex  CIS 2010” – Krievija.

Projektu plānots īstenot no 2010.gada janvāra līdz 2010.gada oktobrim.
","114,606.00","57,303.00",0,9,"www.kurzeme.lv"
2,"TENACHEM","Spodrības iela 3, Dobele, Dobeles novads, LV-3701","Dalība izstādē ""Glassbuild America 2009""","Dobele",30/11/2009,"Ārējo tirgu apgūšana - ārējais mārketings","No 2009. gada 30. septembra līdz 2.oktobrim SIA Tenachem piedalījās stikla industrijas izstādē „Glassbuild America2009”, kas ir lielākā specializētā industrijas izstāde Dienvid un Ziemeļ Amerikā. Izstādes norises vieta 2009. gadā- Georgia World Congress Center” , Atlanta, Amerikas Savienotās Valstīs. Katru gadu izstādi apmeklē vairāk kā 9000 nozares profesionāļu, kas uzņēmumam ļauj veidot tiešus kontaktus ar potenciālajiem klientiem, sadarbības partneriem un iespējamajiem produkcijas izplatītājiem, kā arī šī ir iespēja vērot jaunas tendences nozarē, meklēt un veidot risinājumus vienā vietā un laikā sanākot gala patērētājam, ražotājam un piegādātājam. 
Izstādi kopumā apmeklēja 7124 kompāniju pārstāvji, no tām 962 ir starptautiskas kompānijas no 66 citām pasaules valstīm. Papildus informācijas par izstādi pieejama izstādes oficiālajā mājas lapā: www.glassbuldamerica.com
","8,051.05","4,025.52",0,7,"www.tenaglass.com"
3,"RRT","Staiceles iela 13-20, Rīga, LV-1035","Dalība starptautiskajā izstādē SFITEX 2009 ""Apsardze un drošība"" (Sanktpēterburga, Krievija) un starptautiskajā izstādē - forumā ""Drošības tehnoloģijas"" (Maskava, Krievija)","Rīga",30/11/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Plānots piedalīties: 
SFITEX 2009 starptautiskajā izstādē „Apsardze un drošība”(Sanktpēterburga, Krievija) – notiek 2009.gada 17.-20.novembrī;
Starptautiskajā izstādē-forumā „Drošības tehnoloģijas” (Maskavas, Krievija) – notiek 2010.gada 2.-5.februārī.
","6,632.70","3,316.35",0,5,"www.rrt.lv"
4,"Hypnosis Group","Auces iela 8-3, Rīga, LV-1048","SIA ""Hypnosis Group"" ārējā mārketinga aktivitāte - dalība starptautiskās izstādēs ārvalstīs","Rīga",30/11/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA „Hypnosis Group” ir dibināta 2006.gadā un darbojas animācijas, grafiskā dizaina un modes dizaina pakalpojumu jomā.
Projekta ietvaros paredzēts piedalīties starptautiskā modes dizaina izstādē Margin London ar jauno Hypnosis kolekciju apģērbu „Cipari” (angliski „Numbers”), kas 2009.gadā ieguvusi Latvijas dizaineru savienības gada balvu modes dizaina nominācijā (www.design.lv). Apģērbu kolekciju ir izstrādājusi dizainere Agnese Narņicka, kas 2009. gadā ar izcilību ir absolvējusi Latvijas Mākslas akadēmijas maģistratūru. Kolekcija „Cipari” ir Agneses Narņickas diplomdarbs.
Piedalīšanās mērķis ir iekļauties starptautiskajā dizaineru un modes biznesa apritē, nodibināt kontaktus ar iepircējiem un noslēgt līgumus par gatavo izstrādājumu ražošanu un piegādi ārvalstu tirgiem. Visi ražošanas un dizaina izstrādes darbi notiek Latvijā. Izstāde Margin London norisinās jau kopš 2003.gada, un paredzams, ka izstādē piedalīsies vismaz 400 apģērbu zīmolu, vismaz 800 potenciālo klientu uzņēmumu pārstāvji, mediji utt. 
Lai dalība izstādēs būtu iespējama, nepieciešams finansējums, lai segtu ceļa, uzturēšanās un dalības izmaksas izstādei. Stenda izgatavošana nav nepieciešama, jo izstādes organizators nodrošina ar stendam nepieciešamo aprīkojumu un neparedz cita inventāra lietošanu.
Pēc izstādes paredzēts attīstīt izstādes laikā nodibinātos kontaktus un nodrošināt masveida kolekcijas izstrādājumu ražošanu un piegādi ārvalstu pasūtītājiem.","3,080.00","1,540.00",0,4,"www.hypnosisfashion.lv"
5,"Rihards 2","Audupes iela 15/17, Rīga, LV-1030","SIA ""Rihards 2"" dalība starptautiskās izstādēs ārvalstīs un LIAA organizēta dalība starptautiskās izstādēs","Rīga",30/11/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Izstāde ""BYGG REIS DEG 2009"" ir starptautiska izstāde, kas saistīta ar celtniecības nozari un starptautiski atpazīstama, tajā piedalās daudzu valstu uzņēmumi un to pārstāvji, tāpēc SIA ""rihards 2"" ir izvēlējies piedāvāt savu ražojumu - mobilo žogu tieši šajā izstādē.
Izstāde notiks Norvēģijā, Lillestromas pilsētā laikā no 22.09.09. līdz 27.09.2009.","4,678.72","2,292.57",0,7,"www.rihards2.lv"
6,"Education Centre DURBE","Raiņa bulvāris 31-6, Rīga, LV-1050","Education Centre DURBE dalība izstādēs","Rīga",30/11/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Tiek plānots piedalīties divos starptautiskos pasākumos:
1.Starptautiskajā konferencē-gadatirgū ""ICEF Berlin Workshop"", Berlīne, Vācija 1.-4.novembris, 2009, kas tiek organizēta, lai izglītības iestādes varētu satikties ar aģentiem no visas pasaules (izglītības konsultantiem-padomdevējiem, izglītības un tūrisma aģentūrām utml.), kuras piesaista studentus piedāvātajām mācību programmām attiecīgajās izglītības iestādēs.
2.Starptautiskajā izglītības izstādē - kontaktbiržā ""Обраэование и карьера 2009"" Kaļiņingrada, Krievija 29.10. līdz 2.11.2009. Plānots tikties ar Krievijas, Spānijas, Polijas un Vācijas tiešajiem pircējiem un izglītības aģentiem.","5,497.52","2,748.76",0,8,"www.russian.edu.lv; www.piramidastudy.ru; www.durbe.edu.lv"
7,"Agroapgāde","Maskavas iela 451, Rīga, LV-1063","Dalība starptautiskajā izstādē Transrussja 2010 Krievijā","Rīga",30/11/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Akciju sabiedrība ""Agroapgāde"" ir viens no Latvijas vecākajiem un lielākajiem tirgotājiem. Uzņēmums aizņem 19ha platību, kur atrodas tirdzniecības centrs, muitas un loģistikas centrs ar atklāto muitas noliktavu, 34 noliktavas un dzelzceļu tīkls, aprīkots ar iekraušanas-izkraušanas iekārtām.
2010.gadā uzņēmums plāno vairākas ārējā mārketinga aktivitātes un šī projekta ietvaros plāno piedalīties starptautiskajā izstādē Transrussia-2010 Krievijā 2010.gada 27.-30.aprīlī.","9,225.00","4,612.50",0,4,"www.agroapgāde.lv"
8,"ZRF BRIO","Kurzemes prospekts 122-103, Rīga, LV-1069","Dalība izstādē PIR'2009 Maskavā","Rīga",30/11/2009,"Ārējo tirgu apgūšana - ārējais mārketings","Dalība izstādē PIR'2009 Maskavā ar mērķi atrast klientus un partnerus Krievijā. potenciālie klienti: restorānu un bāru īpašnieki un vadītāji. Potenciālie partneri: IT risinājumu piegādātāji restorānu biznesam.","2,282.65","1,112.78",28.54,5,"www.brio.com.lv"
9,"Kurzemes Atslēga 1 ","Kalvenes iela 27, Aizpute, Aizputes novads, LV-3456","A/s ""Kurzemes atslēga 1"" ārējo tirgu apgūšana","Aizpute",30/11/2009,"Ārējo tirgu apgūšana - ārējais mārketings","A/s „Kurzemes Atslēga 1” savu darbību sākusi 1889.gadā. Kopš 1960.gada uzņēmuma pamatprodukcija ir durvju slēdzeņu, durvju un logu viru un furnitūras, logu aizgriežņu, celtniecības stiprinājumu un metālkalumu ražošana.
2009.gadā uzņēmums veicis vairākas ārējā mārketinga aktivitātes:
1.aktivitāte – dalība LIAA organizētajā tirdzniecības misijā un biznesa forumā Azerbaidžānā, 2009.g. 9.- 12.augustā, Latvijas Valsts prezidenta V.Zatlera vizītes ietvaros.
2.aktivitāte – dalība starptautiskā izstādē „BalticBuild’09”, 2009.gada 9.-12.septembrī, Sanktpēterburgā, Krievijā.
Izstādes piedāvājumu papildina dažādi papildprogrammas pasākumi – konferences, semināri, prezentācijas un konkursi, tādējādi piesaistot plašāku profesionāļu un interesentu loku. 8949 m2 ekspozīcijas platībā tika pārstāvēti vairāk nekā 300 uzņēmumi no 11 valstīm. Izstādi apmeklēja 20 961 apmeklētāju.
2010.gadā uzņēmums plāno:
3.aktivitāte – dalība starptautiskā izstādē „Doors & Locks”, 2010.gada 6.-9.aprīlī, Maskavā, Krievijā. Lielākā specializētā izstāde izstādes „MosBuild” ietvaros (23 specializētas celtniecības un interjera izstādes 6 kategorijās). Izstādē piedalās vadošie Krievijas un Eiropas atslēgu un slēdzeņu sistēmu. Durvju rokturu un furnitūras ražotāji un izplatītāji.
","9,174.98","4,587.49",0,8,"www.kal.lv"
10,"B-phone","Ropažu iela 140, Rīga, LV-1006","Dalība starptautiskā izstādē ""Kind und Jugend 2009"" (Vācija) ","Rīga",30/11/2009,"Ārējo tirgu apgūšana - ārējais mārketings","SIA ""B-phone"" (turpmāk tekstā arī Uzņēmums)  šā gada 17.-20.11., ņem dalību starptautiskā bērnu preču izstādē ""Kind und Jugend 2009"", kas norisinās Vācijas pilsētā Ķelnē. Izstāde tiek organizēta bērnu preču nozares pārstāvjiem, t.i., nozares profesionāļiem un nevis gala lietotājiem. Līdz ar to šo izstādi ir pamats uzskatīt par tirgotāju un ražotāju ikgadēju tikšanās vietu. Izstādes dalībnieki pārstāv dažādas pasaules valstis.
Pēc oficiālās informācijas izstādi 2009.gadā apmeklējuši 18000 cilvēku (visu laiku labākais apmeklētības rādītājs, salīdzinoši 2008.gadā 16000 apmeklētāji), no kuriem 80% sastādījuši ārvalstu (ne Vācijas) nozares pārstāvji.
""Kind und Jugend"" ir vadošā Eiropas izstāde bērnu preču nozarē.
Uzņēmums piedalījies šogad otrā izstādē (pirmā bija šā gada maijā Latvijā ""Bērnu pasaule 2009"" un pirmā ārpus Latvijas robežām. Produkts B-phone (bērnu uzraudzības ierīce, kas reaģē uz skaņu, kad bērns pamodies, un ziņo par to uz Jūsu mobilo tālruni. Inovatīvs aizstājējs tradicionālām rācijtipa mazuļu uzraudzības ierīcēm. Ir paredzēts galvenokārt eksporta tirgum, tāpēc dalība augstāk minētā izstādē bijusi ļoti svarīga eksporta veicināšanas aktivitāte.
Uzņēmuma mērķis izstādes laikā - atrast sadarbības partnerus (izplatītājus, vairumtirgotājus, dīlerus) vairākās Eiropas un ārpus Eiropas valstīs. Šis mērķis izpildīts pārliecinoši, jo potenciālie sadarbības partneri ir pat no 30 dažādām pasaules valstīm (tai skaitā Vācija, Nīderlande, Austrālija, Dienvidāfrika, u.c.). Tas vēlreiz apliecina šīs aktivitātes nozīmību Uzņēmuma straujā izaugsmē jau vistuvākajā laikā","4,551.19","1,999.79",0,2,"www.b-phone.eu"
