"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"SILVIKO","Parka iela 4, Valmieras pagasts, Valmieras rajons, LV-4219","SIA ""SILVIKO"" kokapstrādes iekārtu modernizācija","Zilākalna pagasts ",31/07/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA ""Silviko""vēlas modernizēt un paplašināt savu ražotni Valmieras rajona Zilākalna pagastā ""Briede"" iegādājoties Zāģbaļķu frēzēšanas un zāģēšanas integrēts darba galdu komplektu kompleksai zāģmateriālu frēzes un sešu lentu automātiski pozzicionējama lent",133532.76,69437.03,0,4,"-"
2,"KLINTWOOD","Eksporta iela 10-104, Rīga, LV-1045","SIA ""KLINTWOOD"" uzņēmējdarbības paplašināšana","Klintaines pagasts ",31/07/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA ""Klintwood"" projekta mērķis ir saimnieciskās darbības paplašināšana, modernizējot ražošanas procesu. Projekta ietvaros plānots iegādāties programmējamo daudzripzāģmašīnu, kas nodrošinās uzņēmuma funkcijas kvalitātes un apjomu palielināšanu. Projekta realizācijas gaitā tiks veikta tehnoloģiskā procesa racionalizācija, kas samazinās ražošanas izmaksas un laika patēriņa koksnes produkcijas ražošanas ciklā. Modernizācijas rezultātā varēs uzsākt jaunu koksnes (bērza) produktu ražošanu ar citām izmēru dimensijām, kas līdz šim nebija iespējams.",49680,27324,0,7,"www.klintwood.lv"
3,"KRAUSS","Buļļu iela 43/45, Rīga, LV-1067","Kokapstrādes ražošanas procesa būtiska maiņa","Cesvaines lauku teritorija",31/07/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA ""KRAUSS"" nodarbojas ar bērza apaļkoksne pārstrādi. Tiek ražotas mēbeļu un parketa sagataves, kā arī mēbeļu karkasu sagataves un rustikālie grīdas dēļi. Uzņēmums projekta ietvaros plāno veikt ražotās produkcijas ražošanas procesa būtisku maiņu un iegādāties materiālu šķirošanas un transportēšanas līniju, līdz ar to nodrošinot savas ražotās produkcijas pilnu ciklu.
 Projekta īstenošanas rezultātā tiks saglabātas esošās 35 darba vietas un izveidota viena jauna darba vieta, veicināta uzņēmuma attīstība, kas, savukārt, pozitīvi ietekmēs attīstību īpaši atbalstāmajā teritorijā.",46700,25685,0,2,"-"
4,"Ferrums","""Ezerkalni"", Atašienes pagasts, Krustpils novads, LV-5211","Saimnieciskās darbības paplašināšana un esošās produkcijas dažādošana ar jauniem produktiem","Atašienes pagasts",31/07/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta mērķis ir iegādāties jaunas iekārtas, lai varētu uzsākt ražot divus jaunus produktus: auto šķēres tipa pacēlājs un gaisa sausināšanas iekārta saspiestam gaisam. Īstenojot projektu tiks iegādātas nepieciešamās jaunās iekārtas: metāla giljotīnšķēres, siltumnesēja (reaģenta) uzpildīšanas iekārta, smilšu strūklas iekārta, datortehnika un tai atbilstošais programmnodrošinājums. Ar jauniegādātajām iekārtām uzņēmums varēs sniegt papildus jaunus metālapstrādes pakalpojumus.",15757,8666.35,0,3,"-"
5,"NOVOTECH","Dzeņu iela 1-50, Rīga, LV-1021","Ražošanas iekārtu iegāde uzņēmuma saimnieciskās darbības uzsākšanai","Kalkūnes pagasts",31/07/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA ""Novotech"" ir jauns uzņēmums. Projekta ietvaros tiks iegādātas jaunas iekārtas ar mērķi uzsākt jaunu uzņēmuma saimniecisko darbību un izveidot otrreizējās pārstrādes gumijas smelknes izstrādājumu ražotni.
 Uzņēmuma saimnieciskā darbība tiks attīstīta īpaši atbalstāmajā teritorijā, tādējādi samazinot nelabvēlīgās atšķirības starp reģioniem, kā arī sekmējot līdzsvarotu valsts attīstību. Projekta īstenošanas rezultātā tiks izveidotas piecas jaunas darba vietas.",227700,125235,0,8,"-"
6,"RAUKO","Amālijas iela 2, Rīga, LV-1002","Mēbeļu ražotnes paplašināšana","Liepupes pagasts",31/07/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA ""RAUKO"" plāno iegādāties UV lakošanas un krāsošanas līnijas iekārtas, lai nodrošinātu savas saražotās produkcijas (mēbeles) apstrādi (lakošana un krāsošana) ar modernām iekārtām, palielinot ražošanas efektivitāti un kvantitāti. Tas nodrošinās uzņēmuma konkurētspēju eksporta tirgos.",155000,85250,0,7,"www.rauko.lv"
7,"OMTERUM FASĀDES","Meža iela 4-59, Rīga, LV-1048","SIA ""OMTERUM FASĀDES""  saimnieciskās darbības atttīstība","Rudzātu pagasts",31/07/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Īstenojot projektu SIA ""Omterum Fasādes"" paplašinās savu līdzšinējo darbību un sāks papildus nodarboties ar metāla konstrukciju apstrādi un ražošanu, izveidojot ražotni Līvānu novada Rudzātu pagastā.
 Projekta īstenošanas termiņš paredzēts 2 mēneši.
 Projekta mērķis ir izveidot Eiropas Savienības standartiem atbilstošu armatūras stieņu un divpusējo uzgriežņu apstrādes ražotni, tādējādi radot jaunu darba vietu un veicinot uzņēmuma attīstību, nodrošinot uzņēmumam apgrozījuma un peļņas pieaugumu.
 Projekta ietvaros tiks iegādāta metāla armatūras stieņu un divpusējo uzgriežņu apstrādes iekārta - Armatūras vītņgriezis. Uzņēmuma produkcija galvenokārt tiks realizēta tikai juridiskajām personām. Īstenojot projektu uzņēmumā papildus jau 5 šobrīd strādājošajiem darbiniekiem tiks pieņemts darbā vēl 1 darbinieks. SIA ""Omterum Fasādes"" attīstība būs ieguvums arī novada sociālekonomiskajai attīstībai, jo tiks nodarbināti tās iedzīvotāji, maksāti nodokļi un sakārtota ražotnes apkārtējā teritorija.",49688.24,27328.53,0,4,"www.omterum.lv"
8,"Varpa","Kaplava, Kaplavas pagasts, Krāslavas novads, LV-5668","SIA ""Varpa"" konkurētspējas paaugstināšana, paplašinot dārza mēbeļu izstrādājumu sortimentu un samazinot ražošanas izmaksas","Kaplavas pagasts",31/07/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Viens no SIA „Varpa” kokapstrādes galvenajiem kokapstrādes virzieniem ir dārza mēbeļu ražošana. Projekts tiek vērsts uz esošās uzņēmuma saimnieciskās darbības paplašināšanu. Projekta rezultātā tiks paplašināts dārza mēbeļu sortiments. Tiks uzsākta lielu dārza mājiņu ražošana ar sienu biezumu no 28 mm līdz 120 mm. Tādu dārza mājiņu savienošanas detaļām ir nepieciešams izgriezt rievas no četram pusēm (divas pēc biezuma (vertikāli) un divas pēc platuma (horizontāli)) uz viena ass. Šim nolūkam tiks iegādāts četrpusīgs rievu griežamais darbgalds. Lielu dārza mājiņu ražošana ļaus kāpināt uzņēmuma ienākumus un paaugstināt konkurētspēju.
 Uz četrpusīgā rievu griežamā darbgalda izmanto profilnažus, kurus jāasina  pēc tā notrulināšanās (parasti pēc katras darba dienas beigām) vai profila formas izmaiņām. Profilnažu asināšanai tiks iegādāts profilnažu asināšanas darbgalds. Ar šo darbgaldu ir iespējams ne tikai asināt profilnažus, bet arī pašiem izgatavot profilnažus pēc esošiem šabloniem ar nepieciešamo profila konfigurāciju.
 Paplašinot galdniecības izstrādājumu sortimentu ar jaunu lielu dārza mājiņu ražošanu krietni palielināsies slodze uz lentzāģa darbgaldiem. Lentzāģu asināšanu nepieciešams veikt ik pēc četrām pilnas slodzes darba stundām. Dažādu koksnes sugu zāģēšanai ir nepieciešami  dažādi lentzāģa zobu asināšanas leņķi. Turklāt pēc lentzāģa asināšanas ir nepieciešams veikt lentzāģa plātnes velmēšanu, jo velmēšana ir lentzāģu asināšanas procesa neatņemama sastāvdaļa un bez velmēšanas nav iespējams lietot lentzāģi zāģēšanai. Ar velmēšanu tiek sasniegti lentzāģu plātnes līdzenums, taisnums un sasprinzinājuma stāvoklis. Visi šie rādītāji būtiski ietekmē zāģēšanas kvalitāti un lenzāģu kalpošanas laiku. Lentzāģu asināšanas veikšanai paredzēts iegādāties lentzāģu asināšanas un velmēšanas darbgaldus. 
 Lentzāģu un profilnažu asināšanas ieviešana uzņēmumā ļaus samazināt ražošanas izmaksas.
 Pamatojoties uz augstāk minēto, var secināt, ka projekta realizācija ļaus uzņēmumam kāpināt ienākumus  un samazināt ražošanas izmaksas, un tādējādi paaugstināt uzņēmuma rentabilitāti un konkurētspēju.
 
 ",136452.21,73684.19,0,8,"-"
9,"UZKALNS","""Kūkoji"", Viļānu pagasts, Viļānu novads, LV-4650","Kokapstrādes ražotnes paplašināšana","Viļānu pagasts",31/07/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA ""Uzkalns"" nodarbojas ar kokapstrādi un nestandarta koka palešu izgatavošanu. Uzņēmums projekta ietvaros plāno veikt uzņēmuma darbības paplašināšanu un iegādāties taras dēļu ražošanas līniju, līdz ar to nodrošinot savas ražotās produkcijas pilnu ciklu. Projekta ietvaros SIA ""Uzkalns"" iegādāsies jaunu taras dēļu ražošanas līniju. Pēc projekta realizācijas tiks ražoti koka taras dēļi, kuri tiks izmantoti nestandarta koka palešu izgatavošanai . Projekta īstenošanas rezultātā tiks izveidotas sešas jaunas darba vietas, veicināti uzņēmuma attīstība, kas savukārt pozitīvi ietekmēs attīstību īpaši atbalstāmajā teritorijā.",31800,17490,0,3,
10,"Tilpums","Katlakalna iela 9b, Rīga, LV-1073","Tvertņu kalibrēšanas sistēmas iegāde","Stoļerovas pagasts",31/07/2009,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","SIA ""Tilpums"" šī projekta ietvaros plāno paplašināt savu saimniecisko darbību un ieviest jaunu, sertificētu un normatīvajiem aktiem atbilstošu tehnoloģiju, iegādājoties tvertņu mērinstrumentu kalibrēšanas sistēmu. Tiek plānots sadalīt klientus 2 grupās, lai savlaicīgi un kvalitatīvi nodrošinātu atbilstoša un tik ļoti nepieciešamā pakalpojuma sniegšanu. 1.grupa būs klienti, kuriem ir nepieciešams pakalpojumu sniegt izbraucot uz objektu, jo kalibrējamo tvertnu skaitītājus nav iespējams nogādāt uzņēmuma ""Tilpums"" darbu ""ražotnē"". 2.grupa būs klienti, kuri var savus degvielas tvertņu sadales skaitītājus nogādāt pie SIA ""Tilpums"" kalibrēšanas un verifikācijas darbu veikšanai.
 Tādējādi tiks nodrošināta jaunu darba vietu izveide reģionā, samazinātas nelabvēlīgās atšķirības starp reģioniem un sekmēta valsts līdzsvarota attīstība.",322500,145125,0,6,"www.tilpums.lv"
