"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"Plastic Technologies","Dzelzavas iela 25-119, Rīga, LV-1084","Koka plastmasas kompozītmateriālu izstrādājumu ražotnes izveide Bauskā","Bauska ",22/05/2008,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta mērķis - veikt sākotnējās investīcijas ražošanas līnijā jaunu koka - plastmasas kompozītmateriālu izstrādājumu - profilu - ražotnes izveidošanai Bauskā.  Paaugstināt uzņēmuma konkurētspēju un uzsākt jauna produkta ar augstāku pievienoto vērtību ražošanu. Šī projekta ietvaros plāno iegādāties jaunu koka plastmasas kompozītpolimēru profilu ražošanas līniju, to uzstādīt, apdrošināt un uzsākt jaunu produktu ražošanu. Uzņēmums plāno paplašināt savu ražošanas darbību un uzsākt jau gatavu izstrādājumu ražošanu no savām saražotajām granulām.","309,233.76","70,000.00",0.00,13,
2,"SIMOLS","""Sarmas"", Klintaines pagasts, Aizkraukles rajons, LV-5129","SIA ""SIMOLS""stikla apstrādes ražotnes modernizācija un paplašināšana","Klintaines pagasts ",22/05/2008,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta mērķis - modernizēt stikla griešanu un paplašināt piedāvātās produkcijas sortimentu, tādējādi palielinot lietderīgo produkcijas iznākumu, ceļot darba ražigumu, rentabilitāti, apgrozījumu un peļņu. Projekta ietvaros plānots iegādāties divas jaunas stikla apstrādes iekārtas. ","174,600.00","69,840.00",0.00,17,
3,"Reklāmas dizaina darbnīca","Pionieru iela 4, Bauska, Bauskas rajons, LV-3901","Uzņēmuma attīstības un konkurētspējas veicināšana","Bauska ",22/05/2008,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta mērķis - uzņēmuma apgrozījuma un konkurētspējas palielināšana reklāmas dizaina jomā, piedāvājot jaunus reklāmas dizaina iespējas un nodrošinot saņemto pasūtījumu izpildi plānotajos termiņos. Projekta ietvaros plānots iegādāties divas jaunas iekārtas, griezējploteri un digitālo lielformāta drukas printeri. ","16,508.87","6,603.54",0.00,3,
4,"AKORDS-3","Meža iela 2A, Valka, Valkas rajons, LV-4701","Metālapstrādes ražotnes paplašināšana","Valka ",22/05/2008,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta mērķis - modernizēt esošo ražošanu, un palielinot uzņēmuma apgrozījumu. Projekta ietvaros tiks iegādāta jauna metāla griešanas mašīna. Iekārta tiks uzstādīta uzņēmuma ražotnes telpās.  Projekta īstenošanas rezultātā tiks modernizēta esošā darbība, kā arī tiks piedāvāti jauni izstrādājuma veidi. Tiks ražotas sarežģītas metāla konstrukcijas.","142,000.00","56,800.00",0.00,8,
5,"Alūksnes poliklīnika 1","Vidus iela 1, Alūksne, Alūksnes rajons, LV-4301","Alūksnes poliklīnikas modernizācija","Alūksne ",22/05/2008,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta mērķis - nomainīt 3 medicīnas iekārtas ar jaunām, būtiski labākām, tādējādi paaugstinot sniegtā pakalpojuma kvalitāti, ceļot darba ražīgumu, noturot esošos klientus, piesaistot jaunus un kāpinot uzņēmuma apgrozījumu. Projekta ietvaros plānots nomainīt trīs esošas medicīniskās iekārtas ar jaunām ar būstiski labākiem parametriem. Projektu plānots realizēt divos posmos: tiks iegādāta jauna ultrasonogrāfijas iekārta un tiks iegādāts jauns hematoloģiskais analizators un operācijas lampa.","37,100.00","14,840.00",0.00,15,
6,"Nomis","Andrupenes iela 53, Maltas pagasts, Rēzeknes rajons, LV-4630","SIA Nomis kokapstrādes ražotnes paplašināšana","Maltas pagasts ",22/05/2008,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta ietvaros tiks iegādāta jauna palešu dēlīšu ražošanas līnija, attiecīgi tiks rekonstruētas telpas, lai varētu to izvietot, kā arī tiks iegādāts jauns šķeldotājs un uzbūvēts šķeldas ražošanas un gatavās produkcijas glabāšanas telpas. Projekta īstenošanas laikā darbinieki tiks apmācīti darbam ar jaunām iekārtām.Projekta mērķis- paplašināt palešu dēlīšu ražošanu un izveidot šķeldas ražotni, tādējādi palielinot produktivitāti, nodrošinot esošā ražošanas procesā radušos atgriezumu pārstrādi un palielinot uzņēmuma apgrozījumu.","166,625.00","66,650.00",0.00,14,
7,"Zeltiņu Nami","Lielā iela 39-39, Mārupes pagasts, Rīgas rajons, LV-2167","Koksnes šķeldošanas uzņēmējdarbības uzsākšana","Alūksne ",22/05/2008,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta mērķis - iegādājoties šķeldotāju, uzsākt aktīvu uzņēmuma darbību, kāpināt apgrozījumu, sniedzot šķeldošanas pakalpojumus, kā arī pārstrādājot savus izejmateriālus un pārdodot tirgū šķeldu. Projekta ietvaros tiks iegādāts viens mobilais šķeldotājs. ","170,000.00","68,000.00",0.00,22,
8,"Arams","Kļavkalni 1-1, Beļavas pagasts, Gulbenes rajons, LV-4410","Gatavo betona izstrādājumu ražotnes izveidošana","Gulbene ",22/05/2008,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta mērķis - gatavo betona izstrādājumu ražotnes izveidošana, tādējādi dažādojot uzņēmuma saimniecisko darbību un palielinot apgrozījumu ar augstākas pievienotās vērtības produkcijas izgatavošanu. Projekta ietvaros plānots iegādāties 1 jaunu mobilo betona formēšanas iekārtu. Pēc projekta realizācijas uzņēmums sāks ražot dažāda veida gatavos betona izstrādājumus. ","154,384.95","60,210.13",0.00,9,
9,"E.M.B.R.","Liepājas iela 44, Preiļi, Preiļu novads, Preiļu rajons, LV-5301","SIA E.M.B.R. autoservisa sniegto pakalpojumu attīstība","Preiļu novads",22/05/2008,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta mērķis - paplašināt uzņēmuma sniegto pakalpojumu klāstu atbilstoši tirgus pieprasījumam, līdz ar to ceļot gan uzņēmuma konkurētspēju, gan apgrozījumu. Projekta ietvaros tiks iegādāta kompleksa diagnostikas līnija vieglo automašīnu un mikroautobusu bremžu testēšanai, ritošās daļas amortizatoru stāvokļa diognostikai, kā arī riteņu savirzes ātrā pārbaude.","25,859.00","10,343.60",0.00,8,
10,"EVERSS V","Pieniņi, Riebiņu novads, Preiļu rajons, LV-5326","Racionāla augstas kvalitātes kokmateriālu izmantošana SIA ""Everss V""","Riebiņu novads",22/05/2008,"Atbalsts ieguldījumiem sīko un mazo komersantu attīstībā īpaši atbalstāmajās teritorijās","Projekta mērķis - celt darba ražīgumu, uzlabot uzņēmuma rentabilitāti. Ražot kvalitatīvus materiālus galdniecībai un būvniecībai, racionāli izmantojot materiālos resursus, uzlabojot konkurētspēju koka izstrādājumu ražošanā. Projekta ietvaros paredzēts iegādāties automātisko saaudzēšanas līniju un koksnes žāvēšanas iekārtu, tiks apmācīti darbinieki darbam ar jaunajām iekārtām.","92,134.27","36,853.70",0.00,7,
