"Nr.p.k.","Finansējuma saņēmējs","Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
1,"Latvijas Elektrotehnikas un elektronikas rūpniecības asociācija","Dzirnavu iela 93, Rīga, LV-1011","Partnerībā organizētās apmācības elektronikas, elektrotehnikas un telekomunikācijas nozares uzņēmumos nodarbinātiem","Rīga","24.10.2008.","Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai – atbalsts partnerībās organizētām apmācībām","Projekta mērķis ir darbinieku kvalifikācijas celšana un jaunu zināšanu, prasmju un iemaņu apguve.
Projekta ietvaros plānots apmācīt 468 darbiniekus šādās apmācībās: Vispārējā vadītāju apmācība uzņēmuma vadīšanas pamatos; Vispārējā vadītāju apmācība uzņēmuma vadīšanā; Jauno vadītāju attīstības programma „Vadītprasme 1”; Jauno vadītāju attīstības programma „Vadītprasme 2”; Jauno vadītāju attīstības programma „Vadītprasme 3”; Vadītāja profesionāla un personīga izaugsme; vispārējās angļu valodas kurss ar praktiskās biznesa valodas ievirzi; Specializētais vispārējās un lietišķas angļu valodas kurss; Biznesa korespondence; Franču valoda; Zviedru valoda; Spāņu valoda; AutoCAD – plāksnes grafikas paātrinātais kurss.",230901.12,135487.65,0,11,"www.letera.lv"
2,"Pašvaldību ekonomiskās attīstības fonds","Preses iela 2, Ogre, Ogres novads, Ogres rajons, LV-5001","Komercdarbības paplašināšana un kvalifikācijas celšana","Ogre ","24.10.2008.","Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai – atbalsts partnerībās organizētām apmācībām","Projekta mērķis ir darbinieku kvalifikācijas celšana, darbinieku pārkvalifikācija un jaunu zināšanu, prasmju un iemaņu apguve.
Projekta ietvaros plānots apmācīt 20 darbiniekus šādās apmācībās: „Iepirkuma procedūra”, „Likumdošana”, „Mārketings”, „Dizains”, „Informāciju tehnoloģijas”, „Vides aizsardzība un energoefektivitāte”.
",59959,44369.66,0,12,"www.peaf.lv"
3,"Latvijas Informācijas tehnoloģiju klasteris","Skolas iela 11, Rīga, LV-1010","Latvijas IT klastera uzņēmumu speciālistu apmācība moderno informācijas sistēmu un tehnoloģiju pielietošanā konkurētspējas un produktivitātes uzlabošanai","Rīga","24.10.2008.","Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai – atbalsts partnerībās organizētām apmācībām","Projekta mērķis ir darbinieku kvalifikācijas celšana, darbinieku pārkvalifikācija un jaunu zināšanu, prasmju un iemaņu apguve.
Nodarbināto apmācības projektā piedalās 12 klastera uzņēmumi, kopā uz apmācībām piesakot 436 darbiniekus programmās:
1.Informācijas un komunikācijas sistēmu un tehnoloģiju apmācības;
1.1.Informācijas sistēmu izstrāde, administrēšana, uzturēšana, pārvaldība un lietošana;
1.2.Lieto datu bāzu administrēšana un uzturēšana;
1.3.Biznesa pārvaldības sistēmas un infrastruktūra.
2.Uzņēmējdarbības, personālvadības un mārketinga prasmes;
2.1.Efektīvas uzņēmējdarbības attīstīšana;
2.2.Produktivitātes paaugstināšana darbam ar klientiem;
2.3.Inovatīvu un efektīvu mārketinga risinājumu izstrāde un apguve;
2.4.IT un saistīto projektu izstrāde, vadība un ieviešana;
2.5.Kvalitātes vadības sistēmas;
2.6.Darba aizsardzība un energoefektivitāte IT uzņēmumā;
2.7.Starptautiskie finanšu standarti un grāmatvedība;
2.8.Informācijas un vadības sistēmu pilnveidošana.
3.Valodu apmācības;
3.1.Vispārējās angļu valodas kurss ar praktiskās biznesa valodas ievirzi;
3.2.Biznesa korespondence angļu valodā.
",321679.2,189268.29,0,10,"www.is.lv"
4,"WT Terminal","Flotes iela 3a, Rīga, LV-1016","WT Terminal partnerības apmācību projekts","Rīga","26.09.2008.","Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai – atbalsts partnerībās organizētām apmācībām","Projekta mērķis ir darbinieku kvalifikācijas celšana.
Projekta ietvaros plānots apmācīt 103 darbiniekus šādās apmācībās: Ražošanas procesa plānošana un vadība; Ražošanas un piegādes procedūru un procesu risku vadība; Efektīvu pārmaiņu ieviešana ražošanā; DiSC – sevis un citu izpratne un profesionālas pārdošanas prasmes uzņēmuma efektivitātes paaugstināšanai; Latvijas grāmatvedības standarts; Darba drošības dokumentu noformēšanas prasības; Konkurences tiesību apmācību kurss; Datora lietotāju apmācības; Datorprogrammas M3 „Pārdošanas modulis” lietotāju apmācības; Datorprogrammas M3 „Preču iepirkšanas modulis” lietotāju apmācības; Datorprogrammas M3 „Noliktavas darba organizācijas modulis” lietotāju apmācības; Datorprogrammas M3 „Finanšu vadības modulis” lietotāju apmācības; Datorprogrammas M3 IT sistēmas administrēšanas apmācības; Angļu valoda.
",128872.5,72739.7,0,5,"www.wt-terminal.lv"
5,"A.A. Mežmalas","""Mežmalas"", Klintaines pagasts, Aizkraukles rajons, LV-5129","SIA ""A.A. Mežmalas"" un tās partneru darbinieku kvalifikācijas celšana un jaunu zināšanu apguve","Vidzeme","24.10.2008.","Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai – atbalsts partnerībās organizētām apmācībām","Projekta mērķi ir darbinieku kvalifikācijas celšana un jaunu zināšanu, prasmju un iemaņu apguve. Projektā plānotais kopējais apmācāmo darbinieku skaits ir 66. Projektā paredzētās aktivitātes ir:
1) Darba likumdošana un arhivēšana; 
2) Datorprogrammas Bentley MicroStation pamatapmācība;
3) Transportlīdzekļu vadītāju apmācība (C un D kategorija);
4) Efektīva saskarsme ar kolēģi un klientu;
5) Darba plānošana efektīvai mērķu sasniegšanai;
6) Efektīva pārrunu vadība; 
7) Efektīva sadarbība; 
8) Uzņēmuma vērtības un to īstenošana;
9) Darba organizēšana grāmatvedības uzņēmumos;
10) Izmaiņas nodokļu likumdošanā;
11) Būvuzņēmējdarbības finanšu vadīšana;
12) Sanitārtehnisko iekārtu montētājs;
13) Skārdnieka darbi;
14) Projekta darba organizācija būvlaukumā;
15) Projekta komandas vadība;
16) Apdares darbu strādnieks;
17) Rokas lokmetinātājs;
18) Datorprogrammas Microsoft (Word, Excel, AutoCAD, Power Point, Project) prasmju pilnveidošana;
19) Kvalitātes nidrošināšana un vadība;
20) Krūmgrieža, motorzāģa operators;
21) Vadītprasmju pamatkapitāls;
22) Vides pārvaldības sistēmas vadība;
23) Svarīgākie nodokļu (grāmatvedības) un likumdošanas aspekti;
24) Transportlīdzekļu vadītāju apmācība (E kategorija).",131316.94,97174.53,0,14,"www.mezmalaslaivas.lv"
6,"GroGlass","Katlakalna iela 4B, Rīga, LV-1073","Cietvielu tehnoloģiju apmācības Baltic Solar 2008","Rīga","24.10.2008.","Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai – atbalsts partnerībās organizētām apmācībām","Projekta mērķis ir darbinieku kvalifikācijas celšana, darbinieku pārkvalifikācija un jaunu zināšanu, prasmju un iemaņu apguve.
Projekta ietvaros plānots apmācīt 43 darbiniekus šādās apmācības:
•Vakuum-tehnoloģiju apmācības kurss;
•Pusvadītāju elementu ražošanas tehnoloģiju apmācības kurss;
•Optisko elementu ražošanas un pielietošanas kurss;
•Nanomateriālu un nanostruktūru ražošanas tehnoloģiju kurss;
•Ražošanas automatizācijas tehnoloģiju kurss;
•Plāno kārtiņu tehnoloģiju kurss.
",350111,249999.99,0,12,"www.groglas.lv"
7,"Tehprojekts","Ūnijas iela 12, Rīga, LV-1084","Mūsdienu kvalitatīva, precīza un augstražīga metālapstrādes tehnoloģija ar datorvadības (CNC) darbmašīnām","Rīga","27.10.2008.","Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai – atbalsts partnerībās organizētām apmācībām","Projekta mērķis ir darbinieku kvalifikācijas celšana un jaunu zināšanu, prasmju un iemaņu apguve.
Projekta ietvaros plānots apmācīt 44 darbiniekus šādās apmācībās: Materiālmācība (Vadības un inženiertehniskajam personālam); Materiālmācība (Darbgaldi operatoriem un programmētājiem); Materiālmācība (pārējiem darbiniekiem); Instrumenti un aprīkojums (Vadības un inženiertehniskajam personālam); Instrumenti un aprīkojums (Darbgaldi operatoriem un programmētājiem); Instrumenti un aprīkojums (pārējiem darbiniekiem); Mašīnbūves tehnoloģija (Vadības un inženiertehniskajam personālam); Mašīnbūves tehnoloģija (Darbgaldi operatoriem un programmētājiem); Mašīnbūves tehnoloģija (pārējiem darbiniekiem); Darba aizsardzības, ugunsdrošība un vides aizsardzība (Vadības un inženiertehniskajam personālam); Darba aizsardzības, ugunsdrošība un vides aizsardzība (Darbgaldi operatoriem un programmētājiem); Darba aizsardzības, ugunsdrošība un vides aizsardzība (pārējiem darbiniekiem); Kvalitātes vadība (Vadības un inženiertehniskajam personālam); Kvalitātes vadība (Darbgaldi operatoriem un programmētājiem); Kvalitātes vadība (pārējiem darbiniekiem).
",202995,152246.25,0,8,
8,"Latvijas Amatniecības kamera","Amatu iela 5, Rīga, LV-1050","Latvijas Amatniecības kameras biedru kvalifikācijas celšana un jaunu zināšanu apguve","Rīga","27.10.2008.","Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai – atbalsts partnerībās organizētām apmācībām","Projekta mērķis ir darbinieku kvalifikācijas celšana, komercdarbības un darba tirgus attīstība, jaunu zināšanu, prasmju un iemaņu apguve.
Projekta ietvaros plānots apmācīt 488 darbiniekus šādās apmācībās: Amatniecības organizēšana un vadība; Meistara darba organizēšana un vadība; Stilu mācība, dizains un ergonomikas pamati; Autoservisa vadības sistēma; Daiļkrāsošana un virsmu dekoratīvā apdare; Tekstiliju izgatavošanas tehnoloģijas; Jauni risinājumi un tendences būvniecībā; Krāšņu un kamīnu projektēšana un būvniecība; Darba, vides aizsardzība un energoefektivitāte; Biznesa un klientu drošības organizēšana; Pedagoģijas pamati; Saskarsme un pārmaiņu psiholoģija; Datoru lietošana un darbs ar informāciju komunikāciju tehnoloģijām; Ādas apstrāde un izmantošana telpās un automobiļu aprīkojumā; Meistarības pilnveidošana un biznesa attīstības nodrošināšana.
",114597,91677.6,0,16,"www.lak.lv"
9,"Latvijas Informācijas un komunikācijas Tehnoloģijas Asociācija","Raiņa bulvāris 29, Rīga, LV-1459","IKT nozares uzņēmumu darbinieku apmācība efektīvai inovāciju pārvaldībai un konkurētspējas celšanai","Rīga","27.10.2008.","Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai – atbalsts partnerībās organizētām apmācībām","Projekta mērķi ir darbinieku kvalifikācijas celšana un jaunu zināšanau, prasmju un iemaņu apguve. Projekts sagatavots LIKTA kā IKT nozares asociācijā partnerībā ar 8 partneriem - IKT uzņēmumiem, paredzot 327 darbinieku apmācību 27 kursos. Daži darbinieki tiks apmācīti vairākās programmās, kopā projekta ietvaros plānots veikt 338 apmācības. Projektā ietvertie kursi iedalāmi sekojošās mācību programmās: 1) Kvalitātes vadība, 2) Personāla vadība, 3) Komunikācijas prasmes, 4) Tālākizglītotāju apmācība, 5) Projektu vadība sarežģītu un paralēlu un komandu vadībai IKT nozarē, 6) Vides aizsardzība un energoefektivitāte, 7) Lietvedība, 8) Efektīva saskarsme, 9) Produktu vadība, 10) Mārketings, 11) Finansu vadība, 12) Stratēģiskā plānošana.",117810.98,69617.81,0,14,
10,"Latvijas Informācijas un komunikācijas tehnoloģijas asociācija","Raiņa bulvāris 29, Rīga, LV-1459","IKT nozares uzņēmumu darbinieku apmācība jaunākajās tehnoloģijās","Rīga","27.10.2008.","Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai – atbalsts partnerībās organizētām apmācībām","Projekta mērķi ir darbinieku kvalifikācijas celšana un jaunu zināšanu, prasmju un iemaņu apguve. Projekts sagatavots LIKTA kā IKT nozares asociācijā partnerībā ar 14 partneriem – IKT uzņēmumiem, paredzot 291 darbinieku apmācību 39 kursos. Daļa darbinieku tiks apmācīti vairākās programmās, kopā projekta ietvaros plānots veikt 358 apmācības. Projektā ietvertie kursi iedalāmi sekojošās mācību programmās: 1) Microsoft platformu sertificēto speciālistu apmācība, 2) Projektu vadība, 3) Datortīklu drošība, 4) Java programmēšana, 5) Linux administrēšana, 6) Apkārtējās un darba vides ietekme uz uzņēmuma darbību, uzņēmumu energoefektivitātes nodrošināšana, 7) Cisco tīklu tehnoloģijas, 8) Oracle datu bāzu tehnoloģijas, 9) IT pakalpojumu pārvaldība. ",288712.27,166517.87,0,14,"www.likta.lv"
