"Nr.p.k.","Finansējuma saņēmējs",,"Finansējuma saņēmēja juridiskā adrese","Projekta nosaukums","Īstenošanas vieta","Projekta apstiprināšanas datums","Darbības programmas aktivitāte","Kopsavilkums par projekta ietvaros veicamajām darbībām","Projekta kopējās attiecināmās izmaksas","Attiecināmais SF finansējums","Attiecināmais VB finansējums","Projekta īstenošanas laiks (mēn.)","Mājas lapas adrese"
87,"AA Kosmētika","SIA","Kurzemes prospekts 7, Rīga, LV-1067","SIA AA Kosmētika vispārējas apmācības","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Lai veicinātu uzņēmuma veiksmīgu darbību un attīstību, SIA „AA Kosmētika” darbiniekiem nepieciešams paaugstināt zināšanas dažādās jomās.
Projekta ietvaros plānots apmācīt kopā 3 darbiniekus šādās programmās: „Ķermeņa valoda”, „21.gadsimta pārdošanas modelis”, „Profesionālas biznesa procedūras”, „Līdera īpašību attīstība”, „Motivācijas modeļi”, „Biznesa hipnoze”, „Piegādes ķēdes optimizācija”, „Lobijs”, „Spēlmaņu grupa: komunikācija caur emociju frekvencēm”.
Projekta mērķis ir jaunu zināšanu, prasmju un iemaņu apguve.","9,750.00","7,215.00",0,5,"www.deco.lv"
88,"Arčers","SIA","Katlakalna iela 11, Rīga, LV-1073","SIA ""Arčers""darbinieku kvalifikācijas celšana","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Jaunu materiālu un tehnoloģiju ienākšana tirgū, kā arī noturīgi pieaugošais pieprasījums metāla un metāla izstrādājumu ražošanas nozarē, kā arī būvniecības tirgū kopumā rosinājusi uzņēmumu celt darbinieku kvalifikāciju un dot viņiem iespēju iegūt jaunas zināšana, prasmes un iemaņas, lai no drošinātu uzņēmuma un tā darbinieku konkurētspēju.
Projekta ietvaros paredzēts apmācīt 129 darbiniekus šādās programmās:
1.Angļu valoda;
2.Atbildīgais speciālists;
3.AutoCAD 2009;
4.Autoceltņa operators;
5.Autovadītāja kategorija „BE” „CE”;
6.Darba aizsardzība;
7.Datorkursi;
8.Ekskavatora vadītājs;
9.Elektrodrošība;
10.Finanšu menedžments;
11.Grāmatvežu profesionālās kvalifikācijas celšanas kurss;
12.Hidroliskā pacēlāja ar grozu cilvēku celšanai augstumā operators;
13.Kompresora operators;
14.Latviešu valoda;
15.Metinātāja pāratestācija;
16.Pirmā palīdzība;
17.Starptautiskie finanšu pārskati;
18.Ugunsdrošība;
19.Zviedru valoda;
20.Būvniecība;
21.Muitošana;
22.Izaugsmes skola;
23.Loģistikas speciālistu apmācība.","132,360.05","77,931.90",0,24,"www.arcers.lv"
89,"Balticovo","AS","AS ""Balticovo"", Iecavas novads, Bauskas rajons, LV-3913","AS ""Balticovo"" darbinieku prasmju un kvalifikācijas paaugstināšana","Iecavas novads",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Projekta mērķi ir darbinieku kvalifikācijas celšana un jaunu zināšanu, prasmju, iemaņu apguve. Projektā plānotais apmācāmo darbinieku skaits ir 31.  Projektā paredzēto aktivitāšu nosaukumi: Komandas saliedēšanas treniņš; Iekšējā komunikācija uzņēmumā; Laika plānošanas un mērķu uzstādīšanas prasmes; Vadīšanas prasmes; Rezultatīvas pārdošanas prasmes; Stratēģiskā plānošana un iekšējo resursu vadīšana; Prezentācijas un publiskās uzstāšanās prasmes; Konfliktu risināšana un stresa vadīšana; Vadības finanšu plānošana un analīze; Angļu valoda, Navision ievadkurss, Navision finanšu pārvaldība, Navision pārdošana.","106,650.00","56,058.50",0,13,"www.balticova.lv"
90,"BALTIKS EAST","SIA","Zilupes 111, Rēzekne, LV-4603","SIA ""BALTIKS EAST"" darbinieku kvalifikācijas celšana","Rēzekne ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Projekta mērķis: darbinieku kvalifikācijas celšana, jaunu zināšanu, prasmju un iemaņu apguve.
Projekta ietvaros paredzēts apmācīt 31 darbiniekus šādās programmās:
1.Spolēšanas tehnoloģijas un darbs ar spolēšanas iekārtām;
2.Vērpšanas tehnoloģijas un darbs ar vērpšanas iekārtām;
3.Noliktavas operāciju organizēšana izejmateriālu un saražotās produkcijas loģistika;
4.Prasmes darbam ar informācijas un komunikācijas tehnoloģijām;
5.MS Office.","28,996.11","23,196.89",0,15,"www.baltikseast.lv"
91,"Dikļu pils","AS","Dikļu pils, Dikļu pagasts, Valmieras rajons, LV-4223","AS ""Dikļu pils"" darbinieku apmācības jaunu zināšanu, prasmju un iemaņu ieguvei","Dikļu pagasts ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Projekta pieteicēja darbība saistīta ar viesu izmitināšanu un ēdināšanu – Dikļu pils viesnīca.
Uzņēmumam nepieciešami izglītoti, motivēti darbinieki, tāpēc ir plānots apmācīt kopā 36 darbiniekus un paredzētas sekojošas apmācības:
1)vienota komanda viesnīcā – apmeklēs 36 darbinieki (41 akad. stundas);
2)profesionalitāte viesnīcā – apmeklēs 7 darbinieki (11 akad. stundas);
3)saskarsme viesnīcā - apmeklēs 36 darbinieki (82 akad. stundas);
4)viesnīcas vadības sistēma - apmeklēs 16 darbinieki (6 akad. stundas).","22,217.06","17,773.64",0,7,"www.diklupils.lv"
92,"Melker","SIA","Viestura prospekts 95-63, Rīga, LV-1005","SIA ""MELKER"" darbinieku jaunu zināšanu apguve","Ventspils ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","SIA „MELKER” pamatā nodarbojas ar kravu atlikumu izkraušanu no vagoniem un atsevišķām preču piegādēm. Šobrīd tiek plānots palielināt sabiedrības pamatkapitālu ar mērķi nodrošināt saimnieciskās darbības paplašināšanu.  Personāla apmācības nepieciešamas, lai darbinieki apgūtu jaunas zināšanas un pilnveidotos esošā darba, kas, savukārt, nepieciešamas, lai paplašinātu saimniecisko darbību, palielinātu darba produktivitāti un uzņēmums varētu savu saimniecisko darbību veikt efektīvāk.
Projekta ietvaros paredzēts apmācīt 10 darbiniekus šādās programmās:
1.Kvalitātes vadība;
2.Uzņēmējdarbības pamati un mārketings;
3.Datorapmācība;
4.Darba drošība;
5.Nodokļu likumdošana un grāmatvedība;
6.Juridiskā apmācība;
7.Personāla atlase un vadība;
8.Lietvedība.","38,720.00","29,001.00",0,6,"www.melker.lv"
93,"RKF I un A","SIA","Sarmas iela 4, Jelgava, LV-3001","SIA I un A personāla vispārējās apmācības","Rīga",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Projekta mērķis ir jaunu zināšanu, prasmju un iemaņu apguve. Projektā plānotais apmācāmo darbinieku skaits ir 30. Projektā paredzamās aktivitātes ir Pārdot sevi citiem: jauna pārdošanas psiholoģija; Ķermeņa valoda; 21.gs. pārdošanas modelis; Profesionālas biznesa procedūras; Līdera īpašību attīstība; Motivācijas modeļi; Biznesa hipnoze; Piegādes ķēdes optimizācija; Lobijs.","16,815.00","12,443.10",0,5,
94,"T.N.Rozalinde","SIA","Mūrmuižas iela 14a, Valmiera, Valmieras rajons, LV-4201","SIA ""T.N.Rozalinde"" darbinieku kvalifikācijas celšana","Valmieras rajons ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","„T.N.Rozalinde” paplašina un attīsta savu darbību, mērķtiecīgi virzoties no tirdzniecības uzņēmuma Latvijā uz uzņēmumu, kas attīsta, eksportē un izplata produktus visā Baltijā.
Izvērtējot esošo situāciju un uzņēmuma pieredzi, tika nolemts organizēt esošo uzņēmuma darbinieku apmācību dažādās ar pienākumu veikšanu saistītās jomās.
Projekta ietvaros plānots apmācīt 136 darbiniekus.
Ir plānotas šādas apmācības: 
1.Uzstāšanās un prezentācijas prasmes; 2.Komandas piedzīvojumu nometne; 3.Līderība; 4.Prezentēšanas un iebildumu prasmju treniņš; 5.Pārdošanas un klientu apkalpošanas prasmju treniņš; 6.Pārrunu vadīšanas prasme; 7.Pārdošana mazumtirdzniecībā; 8.Vadības pamati; 9.Konflikti un stress; 10.Problēmu risināšanas prasmes; 11.Klientu apkalpošana un serviss; 12.Efektīva komunikācija komandā; 13.Prioritātes un laika plānošana; 14.Konflikti un stress grāmatvežiem; 15.Dzīves līdzsvars; 16.Projektu vadība; 17.Krievu valoda; 18.Angļu valoda; 19.Adobe Photoshop 2. līmenis; 20.Datu analīze MS Excel; 21.MS Access 2. līmenis; 22.Biznesa plānošana; 23.TimeMentor; 24.Koučings kā vadības stils; 25.Pārdošana tīkliem; 26.Klientu tipi – metaprogrammas; 27.Klientu psiholoģiskie tipi; 28.Biznesa plānošanas sesija; 29.Mārketings; 30.Inovatīvā domāšana biznesā; 31.Angļu valoda; 32.Adobe Ilustrator 2.līmenis .","130,357.09","93,290.93",0,23,"www.rozalinde.lv"
95,"Limbažu ceļotājs","SIA","""Meža salas"", Limbažu pagasts, Limbažu rajons, LV-4020","Sabiedrības ar ierobežotu atbildību ""Limbažu ceļotājs"" darbinieku kvalifikācijas celšana","Limbažu pagasts ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Projekta mērķis ir darbinieku kvalifikācijas celšana. Projekta ietvaros plānots apmācīt kopā 9 uzņēmuma darbiniekus šādās apmācībās:
•MS Office 2007;
•Klientu apkalpošana;
•Efektīva saskarsme un komunikācija;
•Menedžments;
•Aktīvā pārdošana;
•ES struktūrfondu piesaiste;
•Biznesa plāni;
•Finanšu plānošana.","20,235.00","14,569.20",0,11,"www.mezasalas.lv"
96,"Regina N","SIA","O.Kalpaka 68/70, Liepāja, LV-3417","SIA ""Regina N"" darbinieku kvalifikācijas celšana","Liepāja ",02/10/2008,"Atbalsts nodarbināto apmācībām komersantu konkurētspējas veicināšanai - atbalsts komersantu individuāli organizētām apmācībām","Jaunu materiālu un tehnoloģiju ienākšana tirgū, palielinošās konkurences ātras attīstības nosacījumos ir nepieciešams SIA ""Regina N"" mārketinga sfēras speciālistu kvalifikācijas paaugstinājums. Jaunu iemaņu un informācijas saņemšana ir nepieciešama eksporta palielinājumam. Sakarā ar augstāk uzskaitīto mēs izvēlējāmies programmmas, kuras pasniedz augstas klases speciālisti, kam ir ir atbilstoša pieredze un zināšanas: Boriss Žalilo, Andrejs Kuliničs, Fjodrs Ragins, Mihails Kolontajs, Sergejs Mordovins. SIA ""Regina N"" izanalizēja un novērtēja atšķirīgu semināru piedāvājumus, ņemot vērā kolēģu pieredzi, mēs secinājām, ka šie semināri ir ļoti rezultatīvi. Darbinieki paaugstinot kvalifikāciju, strādā ar lielu vēlēšanos. Palielinās pārdošanas apjomi, eksports, ceļas konkurētspēja. ","5,280.00","4,224.00",0,6,"www.regina-n.lv"
