Beneficiary,Name of the operation, Allocated public funding_EU- and national co-financing,Subprogram,Operational Program
DIAKONIE-ZENTRUM SALZBURG,Qualifizierung für Beschäftigte,"3,315",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIAKONIE-ZENTRUM SALZBURG,Qualifizierung für Beschäftigte,809,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIAKONISSEN KRANKENHAUS,Qualifizierung für Beschäftigte,"7,811",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIALOG,Qualifizierung für Beschäftigte,"1,313",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIALOG GENTECHNIK,Qualifizierung für Beschäftigte,236,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIALOG GENTECHNIK,Qualifizierung für Beschäftigte,"1,710",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIALOG TELEKOM  GMBH,Qualifizierung für Beschäftigte,832,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIALYSESTATION BREGENZ GMBH,Qualifizierung für Beschäftigte,"1,667",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DICHTOMATIK HANDELSGESELLSCHAFT M.B.H.,Qualifizierung für Beschäftigte,"3,640",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIE BERATER UNTERNEHMENSBERATUNGS GMBH,Wiedereinstieg mit Zukunft Hallein ,"54,711",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIE BLAUE APOTHEKE,Qualifizierung für Beschäftigte,"5,833",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIE HAARSCHNEIDEREI  FRÜHSTÜCK BIRGIT,Qualifizierung für Beschäftigte,"1,396",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"DIE PERLE  NEUE CHANCEN, NEUE WEGE","Die Perle, Neue Chancen – Neue Wege 2007 ","215,700",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIE SCHLOSSER   PERNEGG & BIEDERMANN OEG,Qualifizierung für Beschäftigte,180,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"DIE STEUERBERATER GMBH  JAHN, KENDA, LEBERSORGER, PRÜCKLER",Qualifizierung für Beschäftigte,"2,632",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIE WIENER VOLKSHOCHSCHULEN GMBH,Med Tech Plus Verlängerung,"633,886",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIE WIRTSCHAFTSTREUHÄNDER  DWT STEUERBERATUNG GMBH,Qualifizierung für Beschäftigte,797,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"DIECHLER GERHARD, MAG.",Qualifizierung für Beschäftigte,"1,244",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIESEL 24 INTERNATIONAL  HANDEL & SERVICE GMBH,Qualifizierung für Beschäftigte,"3,120",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIETHARD EMMERICH,Qualifizierung für Beschäftigte,973,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIGDACH - DACHDECKUNGS- ISOLIERUNGS- UND SPENGLEREI GMBH & CO. KG,Qualifizierungsverbund ,443,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIGI REAL HOLDING GMBH,Qualifizierung für Beschäftigte,501,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIMEX ACCORD PROFILE GMBH,Qualifizierung für Beschäftigte,"3,467",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIMMY MANFRED DR.,Qualifizierung für Beschäftigte,100,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIMOCO DIRECT MOBILE COMMUNICATIONS GMBH,Qualifizierung für Beschäftigte,"1,120",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIN-DIETMAR NOCKER FACILITYMANAGEMENT  GMBH,Qualifizierung für Beschäftigte,"4,097",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIN-DIETMAR NOCKER SICHERHEITSTECHNIK GMBH,Qualifizierung für Beschäftigte,"1,097",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DINKHAUSER KARTONAGEN GMBH,Qualifizierungsverbund,"9,079",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIPL.-ING. EHRLICH ROBERT,Qualifizierungsverbund,"1,627",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIPL.-ING. MAYR NORBERT,Qualifizierung für Beschäftigte,"1,200",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIPL.ING. HANNS H. SCHUBERT ZIVILTECHNIKER GMBH,Qualifizierung für Beschäftigte,"2,150",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIPL.ING. HITZINGER GESMBH,Qualifizierung für Beschäftigte,"3,767",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIRECT PRINTER SERVICE GMBH,Qualifizierung für Beschäftigte,247,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIREKTANLAGE.AT AG,Qualifizierung für Beschäftigte,412,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIRNBERGER HAIMO DDR.,Qualifizierung für Beschäftigte,329,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DIW INSTANDHALTUNG GMBH,Qualifizierung für Beschäftigte,"4,643",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DJABER-ANSARI DDR. ANDREAS,Qualifizierung für Beschäftigte,609,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DKFM. ERHARD BOLLENBERGER,Qualifizierung für Beschäftigte,450,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DLG WEIZ  GEMEINN.DIENSTL. GMBH,DLG Weiz Beschäftigungsgesellschaft (dupl),"243,478",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DM DROGERIE-MARKT GMBH,Qualifizierungsverbund,"1,014",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DM DROGERIE-MARKT GMBH,Qualifizierung für Beschäftigte,"67,043",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"DMDC DRUCK-, MEDIEN-, DIGITALCENTER GMBH - DRUCKCENTER KUFSTEIN",Qualifizierungsverbund,384,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DMG EUROPE HOLDING GMBH,Qualifizierung für Beschäftigte,313,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DOBLER GMBH,Qualifizierung für Beschäftigte,380,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DOBLER KARL STEUERBERATUNG,Qualifizierung für Beschäftigte,393,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DOBLER MARGIT,Qualifizierung für Beschäftigte,936,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DOCK-ZYHLARZ DR. RENATE,Qualifizierung für Beschäftigte,458,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DOCUMENTA-TREUHAND GMBH,Qualifizierung für Beschäftigte,697,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DOKTOR WOLFRAM SCHMIDT,Qualifizierung für Beschäftigte,"1,000",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DOMENICOVEREIN ZUR REVITALISIERUNG DES STIFTSGARTENS,DOMENICO Verlängerung,"86,106",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DOMICO GES.M.B.H. & CO KG,Qualifizierung für Beschäftigte,"1,820",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DOMINIK AICHINGER ZT GMBH,Qualifizierung für Beschäftigte,763,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DOMITNER GMBH,Qualifizierung für Beschäftigte,660,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DON GILTEXTILHANDEL GMBH,Qualifizierung für Beschäftigte,"1,268",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DONAU CHEMIE AKTIENGESELLSCHAFT,Qualifizierung für Beschäftigte,"1,857",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DONAU KANOL  GESMBH & CO KG,Qualifizierung für Beschäftigte,"3,609",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DONAU NIEDERÖSTERREICH  TOURISMUS GMBH,Qualifizierung für Beschäftigte,"2,480",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DONAU NIEDERÖSTERREICH  TOURISMUS GMBH,Qualifizierungsverbund,669,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DONAU VERSICHERUNG AG VIENNA INSURANCE GROUP,Qualifizierung für Beschäftigte,"18,705",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DOPPELMAYR SEILBAHNEN GMBH,Qualifizierung für Beschäftigte,"8,306",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DORFGASTEINER BERGBAHNEN AG,Qualifizierungsverbund,133,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DORMA HÜPPE AUSTRIA GMBH,Qualifizierung für Beschäftigte,368,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DORN GMBH & CO,Qualifizierung für Beschäftigte,266,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DORNBIRNER SPARKASSE BANK AG,Qualifizierung für Beschäftigte,"4,609",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DOROTHEUM GMBH & CO KG,Qualifizierung für Beschäftigte,"10,483",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DOUBRAVA GMBH & CO KG,Qualifizierung für Beschäftigte,"1,502",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DOUBRAVA GMBH & CO KG,Qualifizierungsverbund,"2,134",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DPD DIRECT PARCEL DISTRIBUTION AUSTRIA GMBH,Qualifizierung für Beschäftigte,"1,025",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR EIBL JÜRGEN UND DR HULLER  ZAHNÄRZTEZENTRUM STRASS,Qualifizierung für Beschäftigte,"3,615",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. ADOLF KAINRATH  & JOHANN KNAPP BUCHPRÜFUNGS- U. STEUERBERATUNGS OHG,Qualifizierung für Beschäftigte,424,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. AFSANEH REHART,Qualifizierung für Beschäftigte,319,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. AGNES WALTER,Qualifizierung für Beschäftigte,"3,213",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. ALEXANDRA ELLEND-PUCHARSKI,Qualifizierung für Beschäftigte,329,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. ALOIS AUTHERITH AK FÜR KONKURS ERGEE TEXTILGRUPPE GMBH,Qualifizierung für Beschäftigte,"2,653",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. ANDREAS PRANGL-GRÖTZL,Qualifizierung für Beschäftigte,900,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. ANDREAS RATZ KG  BURGGRAFEN APOTHEKE,Qualifizierung für Beschäftigte,770,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. ANN M. WINKLER,Qualifizierung für Beschäftigte,"3,335",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. BACHNER HELGE,Qualifizierung für Beschäftigte,600,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. BARBIERI GABRIELE,Qualifizierung für Beschäftigte,395,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. BERND FRANK,Qualifizierung für Beschäftigte,192,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. BERNHARD RHOMBERG,Qualifizierung für Beschäftigte,"4,053",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. BERNT STRICKNER  RECHTSANWALT,Qualifizierung für Beschäftigte,521,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. BURGER FELICIA,Qualifizierung für Beschäftigte,"4,224",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. CAITHAML WOLFGANG,Qualifizierung für Beschäftigte,865,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. CHRISTIAN BUCHSTEINER,Qualifizierung für Beschäftigte,167,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. CHRISTIAN PICHLER,Qualifizierung für Beschäftigte,"1,402",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. CHRISTIAN SANTNER,Qualifizierung für Beschäftigte,"1,880",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. CHRISTIAN SCHWAIGER,Qualifizierung für Beschäftigte,"2,200",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. CHRISTIANE MOSER,Qualifizierung für Beschäftigte,319,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. CHRISTIANE STOKREITER-EBNER,Qualifizierung für Beschäftigte,460,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. CHRISTINE MAURITSCH,Qualifizierung für Beschäftigte,"1,547",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. CHRISTINE RIESS  DR. BRUNO BERNREITNER,Qualifizierung für Beschäftigte,436,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. CLAUDIA AICHINGER-PFANDL,Qualifizierung für Beschäftigte,297,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. CLAUDIA MAYER RIECKH,Qualifizierung für Beschäftigte,250,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. CLAUDIA WALTER,Qualifizierung für Beschäftigte,"3,200",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. DIETER USNER,Qualifizierung für Beschäftigte,224,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. DIETMAR GOLLONITSCH,Qualifizierung für Beschäftigte,400,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. DOCZI MARIA,Qualifizierung für Beschäftigte,329,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. DORIS STEINHUBER,Qualifizierung für Beschäftigte,310,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. DRSATA EVA,Qualifizierung für Beschäftigte,362,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. ECKERSBERGER,Qualifizierung für Beschäftigte,"2,553",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. ELISABETH HOLZHAUSER,Qualifizierung für Beschäftigte,"1,376",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. ELKE LASCHKA-KLOIBER,Qualifizierung für Beschäftigte,"1,000",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. ERICH LOY,Qualifizierung für Beschäftigte,493,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. ERNST KÖLE,Qualifizierung für Beschäftigte,220,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. ERWIN ACHTER,Qualifizierung für Beschäftigte,"2,523",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. ERWIN HARTINGER,Qualifizierung für Beschäftigte,"1,771",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. EUGEN OTTO GMBH,Qualifizierung für Beschäftigte,558,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. EVA FROSCH,Qualifizierung für Beschäftigte,"2,523",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. EVA GOMSI,Qualifizierung für Beschäftigte,735,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. EVA POSCH RECHTSANWALT,Qualifizierung für Beschäftigte,440,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"DR. EVELINE SCHODERBÖCK,  DR. ROBERT SCHODERBÖCK",Qualifizierung für Beschäftigte,"1,273",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. EXENBERGER LEONHARD,Qualifizierung für Beschäftigte,"1,920",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. F. BYLOFF- DR. E. CLAR  PRAXISGEMEINSCHAFT,Qualifizierung für Beschäftigte,587,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. FINGER REINHARD,Gesundheit/Pflege,"2,840",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. FLUCKINGER THOMAS,Qualifizierung für Beschäftigte,509,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. FRANZ FEURSTEIN GESELLSCHAFT M.B.H.,Qualifizierung für Beschäftigte,"7,048",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. FRANZ HOFBAUER - MASSEVERWALTER,Qualifizierung für Beschäftigte,251,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. FRIDRICH KLAUS,Qualifizierung für Beschäftigte,"1,365",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. FRIEDRICH STEINBÖCK,Qualifizierung für Beschäftigte,"1,543",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. FRITZ MICHAEL HUEMER,Qualifizierung für Beschäftigte,387,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. GABL MARKUS,Qualifizierung für Beschäftigte,"2,093",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. GABRIELE UND DR. ARMIN WATZER,Qualifizierung für Beschäftigte,"1,587",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. GEORG HAIMEL,Qualifizierung für Beschäftigte,"1,920",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. GERALD WÜNSCHER,Qualifizierung für Beschäftigte,587,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. GERHARD ROCH,Qualifizierung für Beschäftigte,400,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. GERHARD WALLNER,Qualifizierung für Beschäftigte,374,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. GERTRUD GROßAUER,Qualifizierung für Beschäftigte,587,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. GISELA ENDREDI,Qualifizierung für Beschäftigte,362,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. GOTTFRIED KAISER,Qualifizierung für Beschäftigte,"4,604",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. GUNTER GRANNER,Qualifizierung für Beschäftigte,"2,757",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. GÜNTHER SENONER & PARTNER,Qualifizierung für Beschäftigte,"3,749",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. HACKL MANUEL ORDINATION,Qualifizierung für Beschäftigte,342,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. HAIDEGGER ANDREAS,Qualifizierung für Beschäftigte,"2,093",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
DR. HANNER ILSE,Qualifizierung für Beschäftigte,"1,880",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
