Beneficiary,Name of the operation, Allocated public funding_EU- and national co-financing,Subprogram,Operational Program
"Arbeitsmarktservice, 5020 Salzburg , Auerspergstraße 67a",0TH - Technische Hilfe,"37,340",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 8021 Graz , Babenbergerstraße 33 ",0TH - Technische Hilfe - Abwicklungsunterstützung AMS Steiermark,"39,587",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 8021 Graz , Babenbergerstraße 33 ",BMN - learn forever - Computerkurse f. lernungewohnte Frauen,"47,479",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 9020 Klagenfurt , Rudolfsbahngürtel 42",0TH - Technische Hilfe-QfB,"31,490",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 9020 Klagenfurt , Rudolfsbahngürtel 42",QBB - Qualifizierungsberatung Kärnten,"47,616",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
"Arbeitsmarktservice, 6010 Innsbruck , Andreas Hofer-Straße 44",0TH - Technische Hilfe Tirol,"49,681",Arbeitsmarktservice – OP Beschäftigung ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
'CONNECTA' SERVICEGESELLSCHAFT FÜR SELBSTÄNDIGE VERMITTLER GMBH,Qualifizierung für Beschäftigte,"2,047",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
1.LUNGAUER WIRTSCHAFTSVEREIN,Qualifizierung für Beschäftigte,"2,102",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
11ER NAHRUNGSMITTELGMBH,Qualifizierung für Beschäftigte,"5,633",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
1ST MOBILE HANDELS GMBH,Qualifizierung für Beschäftigte,"2,773",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
2F-LEUCHTEN GESMBH & CO KG,Qualifizierung für Beschäftigte,525,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
3E HANDELS- UND DIENSTLEISTUNGS AG,Qualifizierung für Beschäftigte,"1,370",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
3P GEOTECHNIK ZT GMBH,Qualifizierung für Beschäftigte,165,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
4 YOUGEND VEREIN,Qualifizierung für Beschäftigte,"1,520",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
4EVER YOUNG AT  GEMEINNÜTZIGE KOMMUNIKATIOS GMBH.,Heinrich Harrer Museum goes digital 2007,"114,192",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
5-TÄLER GMBH,Qualifizierung für Beschäftigte,768,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A & P ALTENWOHN- UND PFLEGEHEIM ERRICHTUNGS- UND VERTRIEBSGESMBH,Qualifizierung für Beschäftigte,613,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A TEC PRODUCTION & SERVICES GMBH,Qualifizierung für Beschäftigte,416,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A+B+L STEUERBERATUNG OG,Qualifizierung für Beschäftigte,"1,916",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A-PLUS  ARBEITSPROJEKTENTWICKLUNGS GMBH,Qualifizierung für Beschäftigte,947,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A-TOP  SERVICE & TRADE GESMBH,Qualifizierung für Beschäftigte,226,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A-TYPISCH,Qualifizierung für Beschäftigte,"1,267",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A. BURGHOFER  GASTRONOMIEBETRIEB GMBH,Qualifizierung für Beschäftigte,245,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A. HAUSMANN GESELLSCHAFT M.B.H.,Qualifizierung für Beschäftigte,"1,950",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A. JAEGER WIRTSCHAFTSPRÜFUNGS- U. STEUERBERATUNGS GMBH,Qualifizierung für Beschäftigte,949,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A. KLAUSS EISEN- U. BAUMARKT GMBH,Qualifizierung für Beschäftigte,150,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A. LOACKER KONFEKT GMBH,Qualifizierungsverbund,146,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A. ROHE' GESELLSCHAFT M.B.H.,Qualifizierung für Beschäftigte,"1,273",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A. SOCHOR & CO GESELLSCHAFT M.B.H.,Qualifizierung für Beschäftigte,493,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A. Ö. KRANKENHAUS DER ELISABETHINEN KLAGENFURT GMBH,Qualifizierung für Beschäftigte,"13,349",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A.C. NIELSEN GES.M.B.H.,Qualifizierung für Beschäftigte,"2,610",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A.M.I. AGENCY FOR MEDICAL  INNOVATIONS,Qualifizierung für Beschäftigte,769,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A.S.A. ABFALL SERVICE AG,Qualifizierung für Beschäftigte,753,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A.S.T ALU-SYSTEM-TECHNIK GMBH,Qualifizierung für Beschäftigte,544,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A.Ö. DIAKONISSEN KRANKENHAUS  SCHLADMING,Qualifizierung für Beschäftigte,"11,963",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A.Ö. KRANKENHAUS  ST. JOSEF BRAUNAU GMBH,Qualifizierung für Beschäftigte,"6,563",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A3 WIRTSCHAFTSVERLAG GMBH,Qualifizierung für Beschäftigte,"9,333",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
A4 BUSINESS SOLUTIONS GMBH,Qualifizierung für Beschäftigte,"3,525",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AAA INSURANCE BROKERS  VERSICHERUNGSMAKLER GMBH,Qualifizierung für Beschäftigte,"1,333",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AAC WIRTSCHAFTSPRÜPFUNGS  UND STEUERBERATUNGSGESMBH,Qualifizierung für Beschäftigte,"1,088",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AAT ABWASSER- UND ABFALLTECHNIK GMBH. & CO.,Qualifizierung für Beschäftigte,170,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AB MIKROELEKTRONIK GMBH,Qualifizierung für Beschäftigte,"8,509",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ABATEC ELECTRONIC AG,Qualifizierungsverbund,526,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ABATEC ELECTRONIC AG  ENTWICKLUNG UND FERTIGUNG,Qualifizierung für Beschäftigte,"2,340",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ABATEC ELECTRONIC AG  ENTWICKLUNG UND FERTIGUNG,Qualifizierung für Beschäftigte,"1,090",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ABATEC ELECTRONIC GMBH,Qualifizierung für Beschäftigte,260,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ABB AG,Qualifizierung für Beschäftigte,"15,626",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ABB AG,Qualifizierung für Beschäftigte,"1,923",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ABBRUZZESE KEG -  VIENNA INFO BROKERS,Qualifizierung für Beschäftigte,"3,300",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ABC LANDESDIREKTION FÜR KÄRNTEN UND OSTTIROL INH. FRANZ WEIKINGER,Qualifizierung für Beschäftigte,574,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ABC MARKETS B2B  COMMUNICATION SERVICE GMBH,Qualifizierung für Beschäftigte,486,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ABEK GMBH,Qualifizierung für Beschäftigte,938,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ABEL & ABEL,Qualifizierung für Beschäftigte,"1,273",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ABERG-HINTERTHAL  BERGBAHNEN AG,Qualifizierungsverbund,"1,302",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ABERGER SOFTWARE GMBH.,Qualifizierung für Beschäftigte,367,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ABF  INDUSTRIELLE AUTOMATION GESMBH,Qualifizierung für Beschäftigte,"1,400",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ABF-ARBEITSINITIATIVE FÜR DEN BEZIRK FELDKIRCH,Qualifizierung für Beschäftigte,"1,267",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ABL TECHNIC  BOGENSBERGER GMBH,Qualifizierung für Beschäftigte,320,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ABLEIDINGER ING. JOHANN,Qualifizierung für Beschäftigte,"4,667",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ABS BONIFER  SPEDITONS GMBH&COKG,Qualifizierung für Beschäftigte,"4,192",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ABSENGER-DR. RATHAUSKY  STEUERBERATUNGSGMBH,Qualifizierung für Beschäftigte,"1,467",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ABTENAU-TREUHAND STEUERBERATUNGS GESMBH,Qualifizierung für Beschäftigte,580,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ABZ AUSBILDUNGSZENTRUM  DES WR. ROTEN KREUZES GMBH,Qualifizierung für Beschäftigte,"1,163",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ABZ AUSTRIA,Qualifizierung für Beschäftigte,"585,205",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
AC2T RESEARCH GMBH,Qualifizierung für Beschäftigte,307,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ACAMP AG,Qualifizierung für Beschäftigte,"2,013",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ACC AUSTRIA GMBH,Qualifizierungsverbund ,"9,058",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ACCEDO AUSTRIA GMBH,Qualifizierung für Beschäftigte,"3,000",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ACCOR HOTELBETRIEBS GMBH,Qualifizierung für Beschäftigte,"3,631",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ACCOR HOTELBETRIEBSGESMBH YOUTHOTEL LINZ,Qualifizierung für Beschäftigte,"1,286",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ACCURATA STEUERBERATUNGS  GMBH. & CO KG,Qualifizierung für Beschäftigte,"1,422",Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
ACHIM LIVIU,Qualifizierung für Beschäftigte,577,Arbeitsmarktservice – OP Beschäftigung Betriebe ,"Operationelles Programm Beschäftigung Österreich 2007-2013, All Priorities"
