datum_objave_potrditve,op,naziv,status,vir,posrednisko_telo_razpisovalec_organ_upravljanja,razpisana_potrjena_vrednost,naziv_upravicenca,naziv_operacije,regija,leto_dodelitve_sredstev,visina_dodeljenih_sredstev,visina_izplacanih_sredstev,opomba
16.8.2010,RČV,Javni razpis za spodbujanje razvoja nevladnih organizacij in civilnega dialoga za obdobje 2010-2012,JR, ,MJU,4.886.685 €,,,,,,,
12.8.2010,RČV,Uvedba elektronskega dokumentacijskega sistema v Zavodu RS za zaposlovanje,NP, ,MDDSZ,1.955.590 €,Zavod RS za zaposlovanje,Uvedba elektronskega dokumentacijskega sistema v Zavodu RS za zaposlovanje,,2010,1.955.590 €,,
10.8.2010,RČV,Javnega razpisa za sofinanciranje izvajanja enotnih regijskih štipendijskih shem za šolsko/študijsko leto 2010/2011,JR, ,MDDSZ,5.000.000 €,,,,,,,
9.8.2010,RČV,"Javni razpis za izbor operacij ""Sofinanciranje profesionalnega usposabljanja strokovnih delavcev v vzgoji in izobraževanju za prepoznavanje in preprečevanje nasilja v letih od 2010 do 2012",JR, ,MŠŠ,1.063.250 €,,,,,,,
6.8.2010,RR,Javni razpis za razvoj kompetenčnih centrov v obdobju 2010-2013,JR,"Ur. l. RS, št. 64/2010",MVZT,45.284.677 €,,,,,,,
5.8.2010,RČV,Javni razpis za sofinanciranje vzpostavitve in delovanja kompetenčnih centrov za razvoj kadrov za obdobje od 2010 do 2013,JR,"Ur. l. RS, št. 64/2010",MDDSZ,2.750.000 €,,,,,,,
30.7.2010,RR,Javni razpis za pridobitev sredstev evropskega sklada za regionalni razvoj – ESRR Razvojni centri slovenskega gospodarstva,JR,"Ur. l. RS, št. 62/2010",MG,185.274.533 €,,,,,,,
27.7.2010,RČV,Nacionalna koordinacijska točka za vseživljenjsko karierno orientacijo,NP, ,MDDSZ,971.084 €,Zavod RS za zaposlovanje,Nacionalna koordinacijska točka za vseživljenjsko karierno orientacijo,,2010,971.084 €,,
23.7.2010,RR,Javni razpis za sofinanciranje promocije turistične ponudbe tematskih turističnih proizvodov na nacionalni ravni v letu 2010 in 2011,JR,"Ur. l. RS, št. 59/2010",MG,1.000.000 €,,,,,,,
9.7.2010,RR,"Javni razpis za za pridobitev sredstev Evropskega sklada za regionalni razvoj – ESRR - Projekt gradnja, upravljanje in vzdrževanje odprtega širokopasovnega omrežja elektronskih komunikacij v lokalni skupnosti",JR,"Ur. l. RS, št. 54/2010",MVZT,37.130.613 €,,,,,,,
2.7.2010,RR,Javni razpis za izbor operacij za sofinanciranje investicij v športno – rekreacijsko infrastrukturo – III,JR,"Ur. l. RS, št. 54/2010",MŠŠ,9.400.000 €,Mestna občina Ljubljana,Večnamenski nogometni stadion Stožice,Osrednjeslovenska,2010,9.386.149 €,,
30.6.2010,RČV,Javni razpis za sofinanciranje razvoja in izvajanja dejavnosti kariernih centrov v visokem šolstvu,JR,Ur.l.RS št. 55/2010,"Ministrsvo za visoko šolstvo, znanost in tehnologijo",2.430.000 €,,,,,,,
30.6.2010,ROPI,»Celovita oskrba severovzhodne Slovenije s pitno vodo – SZ Slovenske gorice«,NP,OU,MOP,19.849.670 €,"Občine: Lenart
 Sveta Trojica v Slovenskih goricah, Sveti Jurij v Slovenskih goricah, Duplek, Pesnica, Kungota, Šentilj, Sveta Ana, Benedikt, Cerkvenjak, Gornja Radgona in Mestna občina Maribor",»Celovita oskrba severovzhodne Slovenije s pitno vodo – SZ Slovenske gorice«,,2010,15.599.033 €,,
17.6.2010,ROPI,"Izgradnja avtocestnega odseka Pluskva-Ponikve
(Avtocesta A2; Bič-Hrastje)",NP/J,EK,MzP,123.936.375 €,DARS d.d.,"Izgradnja avtocestnega odseka Pluskva-Ponikve
(Avtocesta A2; Bič-Hrastje)",,2010,87.342.690 €,,
9.6.2010,RČV,Spodbujanje enakih možnosti in socialne vključenosti,JR, ,MDDSZ,8.000.000 €,,,,,,,
9.6.2010,RČV,Sofinanciranje izobraževalnih programov za dvig ravni pismenosti in Projektno učenje za mlajše odrasle od 2010 do 2013,JR, ,MŠŠ,11.023.600 €,,,,,,,
8.6.2010,RČV,Vzpostavitev izvedbenih pogojev za izkustveno izobraževanje za trajnosti razvoj,JR,Ur.l.RS št. 47/2010,MŠŠ,2.400.000 €,,,,,,,
8.6.2010,RČV,"Javni razpis za izbor operacij Oblikovanje strokovnih podlag kot prispevek dejavnikov zagotavljanja kakovosti znanja in socialne kohezivnosti v vzgojno-izobraževalnem sistemu""",JR,Ur.l.RS št. 47/2010,MŠŠ,980.000 €,,,,,,,
8.6.2010,RČV,Vseživljensko učenje - usposabljanje za vodenje šol in vrtcev,NP, ,MŠŠ,1.097.700 €,Šola za ravnatelje,Vseživljensko učenje - usposabljanje za vodenje šol in vrtcev,Gorenjska,2010,1.097.700 €,,
2.6.2010,RČV,"Dvig socialnega in kulturnega kapitala v okoljih, kjer živijo predstavniki romske skupnosti",JR,Ur.l.RS št. 47/2010,MŠŠ,3.900.000 €,,,,,,,
28.5.2010,RR,Javni razpis za sofinanciranje aktivnosti regionalnih destinacijskih organizacij,JR,Ur.l.RS št. 42/2010,MG,4.200.000 €,,,,,,,
25.5.2010,ROPI,Nadgradnja sistema za spremljanje in analiziranje vodnega okolja v Sloveniji,NP/J,EK,MOP,32.962.821 €,"Ministrstvo za okolje in prostor
(Agencija RS za okolje)",Nadgradnja sistema za spremljanje in analiziranje vodnega okolja v Sloveniji,,2010,32.696.547 €,,
21.5.2010,ROPI,Javni razpis za sofinanciranje individualnih sistemov ogrevanja na lesno biomaso za leti 2010 in 2011 (KNLB 2),JR,Ur.l. št. 40/2010,MG,4.400.000 €,,,,,,,
21.5.2010,ROPI,"Javni razpis za sofinanciranje daljinskega ogrevanja na lesno biomaso za leta 2010, 2011 in 2012 (DOLB 2)",JR,Ur.l. št. 40/2010,MG,6.000.000 €,,,,,,,
30.4.2010,RR,"Javni razpis za sofinanciranje prenove in obnove, celostne revitalizacije in modernizacije kulturnih spomenikov v lasti občin",JR,Ur.l.RS št. 34/2010,MK,,Občina Vipava,Obnova rezidenčnega poslopja Lantherijeve graščine,Goriška,2010,3.000.000 €,,
30.4.2010,RR,"Javni razpis za sofinanciranje prenove in obnove, celostne revitalizacije in modernizacije kulturnih spomenikov v lasti občin",JR,Ur.l.RS št. 34/2010,MK,,Mestna občina Maribor,Mariborski grad – obnova in adaptacija za muzej,Podravska,2010,3.000.000 €,,
30.4.2010,RR,"Javni razpis za sofinanciranje prenove in obnove, celostne revitalizacije in modernizacije kulturnih spomenikov v lasti občin",JR,Ur.l.RS št. 34/2010,MK,,Občina Krško,Celostna prenova gradu Rajhenburg,Posavska,2010,3.000.000 €,,
30.4.2010,RR,"Javni razpis za sofinanciranje prenove in obnove, celostne revitalizacije in modernizacije kulturnih spomenikov v lasti občin",JR,Ur.l.RS št. 34/2010,MK,,Mestna občina Celje,Celovita prenova Knežjega dvorca Celje – 3 faza (sanacija komunikacijskega stolpa in zahodnega trakta,Savinjska,2010,1.968.817 €,,
19.3.2010,RR,Javni razpis za pridobitev sredstev Evropskega sklada za regionalni razvoj (ESRR) - Obnova in posodobitev planinskih postojank,JR,Ur.l.RS št. 22/2010,MG,1.500.000 €,,,,,,,
16.3.2010,RČV,Spodbujanje zaposlovanja iskalcev prve zaposlitve na področju socialnega varstva - Pripravniki,NP, ,MDDSZ,10.103.569 €,Socialna zbornica Slovenije,Spodbujanje zapslovanja iskalcev prve zaposlitve na področju socialnega varstva - Pripravniki,,2010,10.103.569 €,,
12.2.2010,RČV,Priprava konceptualnih osnov za dograjevanje sistema vzgoje in izobraževanja,NP, ,MŠŠ,650.000 €,,,,,,,
5.2.2010,ROPI,"Energetska sanacija stavb pravnih oseb javnega prava s področja zdravstva, katerih ustanovitelj je RS in so v pristojnosti Ministrstva za zdravje ter opravljajo zdravstveno dejavnost na sekundarni in/ali terciarni ravni",JR,Ur.l. št. 8/2010,MG,,Splošna bolnišnica Izola,Izboljšanje toplotne izolacije ovoja zgradbe SB Izola,Obalno-kraška regija,2010,6.282.900 €,,
5.2.2010,ROPI,"Energetska sanacija stavb pravnih oseb javnega prava s področja zdravstva, katerih ustanovitelj je RS in so v pristojnosti Ministrstva za zdravje ter opravljajo zdravstveno dejavnost na sekundarni in/ali terciarni ravni",JR,Ur.l. št. 8/2010,MG,,SB Murska Sobota,Energetska sanacija objektov Murska Sobota,Pomurska regija,2010,4.830.845 €,,
5.2.2010,ROPI,"Energetska sanacija stavb pravnih oseb javnega prava s področja zdravstva, katerih ustanovitelj je RS in so v pristojnosti Ministrstva za zdravje ter opravljajo zdravstveno dejavnost na sekundarni in/ali terciarni ravni",JR,Ur.l. št. 8/2010,MG,,UKC Maribor,Energetska sanacija objektov in naprav v UKC Maribor,Podravska regija,2010,4.523.807 €,,
5.2.2010,ROPI,"Energetska sanacija stavb pravnih oseb javnega prava s področja zdravstva, katerih ustanovitelj je RS in so v pristojnosti Ministrstva za zdravje ter opravljajo zdravstveno dejavnost na sekundarni in/ali terciarni ravni",JR,Ur.l. št. 8/2010,MG,,Splošna bolnišnica Novo mesto,Zmanjšanje porabe energije v SB Novo mesto,JV Slovenija,2010,3.884.502 €,,
5.2.2010,ROPI,"Energetska sanacija stavb pravnih oseb javnega prava s področja zdravstva, katerih ustanovitelj je RS in so v pristojnosti Ministrstva za zdravje ter opravljajo zdravstveno dejavnost na sekundarni in/ali terciarni ravni",JR,Ur.l. št. 8/2010,MG,,SB dr. Franca Derganca Nova Gorica,"Energetska sanacija stavb pravnih oseb javnega prava s področja zdravstva, katerih ustanovitelj je RS in so v pristojnosti MZ ter opravljajo zdravstveno dejavnost na sekundarni in/ali terciarni ravni",Goriška regija,2010,3.857.668 €,,
5.2.2010,ROPI,"Energetska sanacija stavb pravnih oseb javnega prava s področja zdravstva, katerih ustanovitelj je RS in so v pristojnosti Ministrstva za zdravje ter opravljajo zdravstveno dejavnost na sekundarni in/ali terciarni ravni",JR,Ur.l. št. 8/2010,MG,,Splošna bolnišnica Jesenice,Energetska sanacija objektov SB Jesenice,Gorenjska regija,2010,3.315.101 €,,
5.2.2010,ROPI,"Energetska sanacija stavb pravnih oseb javnega prava s področja zdravstva, katerih ustanovitelj je RS in so v pristojnosti Ministrstva za zdravje ter opravljajo zdravstveno dejavnost na sekundarni in/ali terciarni ravni",JR,Ur.l. št. 8/2010,MG,,UKC Ljubljana - Hospital,Energetska sanacija posteljnega objekta (Hospitala) UKC Ljubljana,Osrednjeslovenska regija,2010,3.178.573 €,,
5.2.2010,ROPI,"Energetska sanacija stavb pravnih oseb javnega prava s področja zdravstva, katerih ustanovitelj je RS in so v pristojnosti Ministrstva za zdravje ter opravljajo zdravstveno dejavnost na sekundarni in/ali terciarni ravni",JR,Ur.l. št. 8/2010,MG,,Splošna bolnišnica Celje,Energetska sanacija objektov v SB Celje,Savinjska regija,2010,2.942.761 €,,
5.2.2010,ROPI,"Energetska sanacija stavb pravnih oseb javnega prava s področja zdravstva, katerih ustanovitelj je RS in so v pristojnosti Ministrstva za zdravje ter opravljajo zdravstveno dejavnost na sekundarni in/ali terciarni ravni",JR,Ur.l. št. 8/2010,MG,,Bolnišnica Slovenj Gradec,Energetska sanacija objektov SB Slovenj Gradec,Koroška regija,2010,2.719.233 €,,
5.2.2010,ROPI,"Energetska sanacija stavb pravnih oseb javnega prava s področja zdravstva, katerih ustanovitelj je RS in so v pristojnosti Ministrstva za zdravje ter opravljajo zdravstveno dejavnost na sekundarni in/ali terciarni ravni",JR,Ur.l. št. 8/2010,MG,,UKC Ljubljana - stara pediatrija,Izvedba energetske učinkovitosti v stari pediatrični kliniki v Ljubljani,Osrednjeslovenska regija,2010,2.605.556 €,,
5.2.2010,ROPI,"Energetska sanacija stavb pravnih oseb javnega prava s področja zdravstva, katerih ustanovitelj je RS in so v pristojnosti Ministrstva za zdravje ter opravljajo zdravstveno dejavnost na sekundarni in/ali terciarni ravni",JR,Ur.l. št. 8/2010,MG,,Splošna bolnišnica dr. Jožeta Potrča,Trajnostna raba energije v SB dr.Jožeta Potrča Ptuj,Podravska regija,2010,2.363.057 €,,
5.2.2010,ROPI,"Energetska sanacija stavb pravnih oseb javnega prava s področja zdravstva, katerih ustanovitelj je RS in so v pristojnosti Ministrstva za zdravje ter opravljajo zdravstveno dejavnost na sekundarni in/ali terciarni ravni",JR,Ur.l. št. 8/2010,MG,,Bolnišnica Sežana,Izvedba energetske učinkovitosti v Bolnišnici Sežana,Obalno-kraška regija,2010,2.203.074 €,,
5.2.2010,ROPI,"Energetska sanacija stavb pravnih oseb javnega prava s področja zdravstva, katerih ustanovitelj je RS in so v pristojnosti Ministrstva za zdravje ter opravljajo zdravstveno dejavnost na sekundarni in/ali terciarni ravni",JR,Ur.l. št. 8/2010,MG,,Psihiatrična klinika Ljubljana,"Energetska sanacija enote za prolongirano psihiatrijo (A+B), kuhinje, upravne stavbe in enote za rehabilitacijo (E)",Osrednjeslovenska regija,2010,1.992.338 €,,
5.2.2010,ROPI,"Energetska sanacija stavb pravnih oseb javnega prava s področja zdravstva, katerih ustanovitelj je RS in so v pristojnosti Ministrstva za zdravje ter opravljajo zdravstveno dejavnost na sekundarni in/ali terciarni ravni",JR,Ur.l. št. 8/2010,MG,,Bolnišnica Topolšica,Energetska sanacija stavb Bolnišnice Topolšica,Savinjska regija,2010,1.962.227 €,,
5.2.2010,ROPI,"Energetska sanacija stavb pravnih oseb javnega prava s področja zdravstva, katerih ustanovitelj je RS in so v pristojnosti Ministrstva za zdravje ter opravljajo zdravstveno dejavnost na sekundarni in/ali terciarni ravni",JR,Ur.l. št. 8/2010,MG,,Splošna bolnišnica  Brežice,"Trajnostna raba energije, Energetska sanacija stavb A,B,C, D,E,F in G SB Brežice",Spodnjeposavska regija,2010,1.392.174 €,,
5.2.2010,ROPI,"Energetska sanacija stavb pravnih oseb javnega prava s področja zdravstva, katerih ustanovitelj je RS in so v pristojnosti Ministrstva za zdravje ter opravljajo zdravstveno dejavnost na sekundarni in/ali terciarni ravni",JR,Ur.l. št. 8/2010,MG,,Bolnišnica za ginekologijo in porodništvo Postojna,Izvedba energetske učinkovitosti v Bolnišnici za ženske bolezni in porodništvo Postojna,Notranjsko-kraška regija,2010,1.096.762 €,,
5.2.2010,ROPI,"Energetska sanacija stavb pravnih oseb javnega prava s področja zdravstva, katerih ustanovitelj je RS in so v pristojnosti Ministrstva za zdravje ter opravljajo zdravstveno dejavnost na sekundarni in/ali terciarni ravni",JR,Ur.l. št. 8/2010,MG,,Onkološki inštitut Ljubljana,Izvedba energetske učinkovitosti v OI Ljubljana,Osrednjeslovenska regija,2010,839.582 €,,
5.2.2010,ROPI,"Energetska sanacija stavb pravnih oseb javnega prava s področja zdravstva, katerih ustanovitelj je RS in so v pristojnosti Ministrstva za zdravje ter opravljajo zdravstveno dejavnost na sekundarni in/ali terciarni ravni",JR,Ur.l. št. 8/2010,MG,,Ortopedska bolnišnica Valdoltra,Energetska sanacija stavb v Ortopedski bolnišnici Valdoltra,Obalno-kraška regija,2010,661.671 €,,
5.2.2010,ROPI,"Energetska sanacija stavb pravnih oseb javnega prava s področja zdravstva, katerih ustanovitelj je RS in so v pristojnosti Ministrstva za zdravje ter opravljajo zdravstveno dejavnost na sekundarni in/ali terciarni ravni",JR,Ur.l. št. 8/2010,MG,,Psihiatrična bolnica Vojnik,Energetska sanacija objektov znotraj kompleksa JZ PB Vojnik,Savinjska regija,2010,519.258 €,,
5.2.2010,ROPI,"Energetska sanacija stavb pravnih oseb javnega prava s področja zdravstva, katerih ustanovitelj je RS in so v pristojnosti Ministrstva za zdravje ter opravljajo zdravstveno dejavnost na sekundarni in/ali terciarni ravni",JR,Ur.l. št. 8/2010,MG,,Univerzitetni rehabilitacijski inštitut RS Soča,Bazenski del s spremljajočimi prostori - Energetska sanacija in trajnostna gradnja stavb,Osrednjeslovenska regija,2010,420.995 €,,
29.1.2010,RR,Javni poziv za predložitev vlog za sofinanciranje operacij iz naslova prednostne usmeritve »Regionalni razvojni programi« razvojne prioritete »Razvoj regij« OP krepitve regionalnih razvojnih potencialov 2007-2013 za obdobje 2010-2012,JR,Ur.l.RS št. 7/2010,SVLR,203.226.681 €,,,,,,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Sveti Tomaž,"Modernizacija občinskih cest LC 302-021, JP 802-341 in JP 802-131 v občini Sveti Tomaž",Podravje,2010,500.000 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Mestna občina Koper,Vodovod Hliban   Padovani,Obalno-kraška,2010,500.000 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Kostanjevica Na Krki,Obrtna cona Kostanjevica na Krki   1. faza,Posavje,2010,500.000 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Rogatec,"Preureditev vodooskrbe (Hum na Sutli - HR) v občini Rogatec   izgradnja vodohrana 250m3, vodohrana 25m3, črpališča ter pripadajočih cevovodov",Savinjska,2010,498.333 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Rogatec,Posodobitev obmejnih lokalnih ceste v občini Rogatec,Savinjska,2010,495.833 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Brežice,Sanacija lokalne ceste 024140 Čatež   Terme Čatež,Posavje,2010,486.762 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Črenšovci,Rekonstrukcija lokalne ceste JP 55150 in JP 551451 na odseku Žižki center   61/3 Murska Sobota   Lendava,Pomurje,2010,460.773 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Mestna občina Koper,Izvedba kanalizacije v naselju Šmarje   območje 4,Obalno-kraška,2010,434.480 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Kozje,"Rekonstrukcija LC 181100, odsek 181101",Savinjska,2010,415.765 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Majšperk,LC Žetale   Vabča vas,Podravje,2010,392.718 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Makole,Obnova cest v naselju Makole,Podravje,2010,375.715 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Semič,Rekonstrukcija kategorizirane lokalne ceste LC 255011 odsek Metlika   Krvavčji Vrh in kategorizirane javne poti JP 870401 odsek Krvavčji Vrh 1 s pločnikom in javno razsvetljavo Krvavčji vrh,JV Slovenija,2010,297.865 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Dornava,Rekonstrukcija lokalne ceste 076101 Dornava   Mezgovci,Podravje,2010,291.896 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Zavrč,"Rekonstrukcija LC 483 051 ""Goričak   meja RH, odsek Borak   Hrženjak",Podravje,2010,285.741 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Turnišče,Modernizacija javne poti 931230 Gomilica,Pomurje,2010,274.996 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Kozje,Rekonstrukcija JP 681530,Savinjska,2010,240.000 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Turnišče,Modernizacija javne poti 930150 Renkovci,Pomurje,2010,239.825 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Rogaška Slatina,Rekonstrukcija LC 356011,Savinjska,2010,230.694 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Zavrč,"Preplastitev LC 102 101 ""Cirkulane   Turški vrh""",Podravje,2010,229.583 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Videm,Modernizacija in rekonstrukcija ceste JP 956871 Soviče Repišče,Podravje,2010,212.888 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Majšperk,Modernizacija LC 240090 Slape   Ptujska Gora in JP 740900 Slape   Peskov breg,Podravje,2010,204.762 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Semič,Izgradnja kanalizacije in čistilne naprave Krvavčji Vrh,JV Slovenija,2010,184.985 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Ormož,Modernizacija občinske ceste Sp. Ključarovci   Runeč,Podravje,2010,183.256 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Cirkulane,"LC 102201 in JP 483091 ""Grebenska cesta Brezovec   Florjan""",Podravje,2010,178.659 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Kozje,"Rekonstrukcija LC 181100, odsek 181102 in JP 681390",Savinjska,2010,175.000 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Ljutomer,"Rekonstrukcija lokalne ceste LC 223041 Stročja vas   Razkrižje, odsek Pristava   Mota",Pomurje,2010,174.940 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Markovci,Rekonstrukcija javne poti JP 832890 Sobetinci   Strelci,Podravje,2010,153.141 €,,
31.12.2009,RR,"Tretji javni razpis za izbor operacij prednostne usmeritve »Razvoj obmejnih območij s Hrvaško« v okviru Operativnega programa krepitve regionalnih razvojnih potencialov za obdobje 2007-2013, razvojne prioritete »Razvoj regij«",JR,Ur.l.RS št. 1/2010,SVLR,,Občina Središče ob Dravi,Modernizacija lokalne ceste LC 302-191 Godeninci   Preseka,Podravje,2010,135.134 €,,
