BENEFICIARIO,TIPO DE OPERACION,GASTO PUBLICO
AGORA HOTELS SL,Mejorar la empleabilidad de las personas desempleadas,"96,57"
AGORA PATRIMONIAL SL,Mejorar la empleabilidad de las personas desempleadas,"200,66"
"AGORA PUBLICIDAD. COMUNICACION Y MARKETING, S.L.",Mejorar la empleabilidad de las personas desempleadas,"623,37"
AGORA RECURSOS HUMANOS SL,Mejorar la empleabilidad de las personas desempleadas,"1.266,73"
"AGORA RELACIONAL, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.689,91"
AGORA SA D ASSESSORAMENT I SERVEIS,Mejorar la empleabilidad de las personas desempleadas,"5.439,49"
"AGORA SISTEMES, SL",Mejorar la empleabilidad de las personas desempleadas,"903,02"
AGORA SOLUTIONS SA,Mejorar la empleabilidad de las personas desempleadas,"5.682,87"
AGORA SUMINISTROS SL,Mejorar la empleabilidad de las personas desempleadas,"772,30"
AGORA SYSTEMS SA,Mejorar la empleabilidad de las personas desempleadas,"833,37"
"AGORA TASACIONES Y VALORACIONES, S.A.",Mejorar la empleabilidad de las personas desempleadas,"265,60"
AGORA TELECOM SL,Mejorar la empleabilidad de las personas desempleadas,"855,54"
"AGORA-4, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.769,93"
"AGORALINGUA, SL",Mejorar la empleabilidad de las personas desempleadas,"500,00"
"AGORANET 2000, SL",Mejorar la empleabilidad de las personas desempleadas,"982,15"
"AGORASPORT, S.A.",Mejorar la empleabilidad de las personas desempleadas,"1.528,69"
"AGOSMI CALZADO,S.L.",Mejorar la empleabilidad de las personas desempleadas,"493,24"
"AGOSOFLOR, SL",Mejorar la empleabilidad de las personas desempleadas,"506,67"
"AGOSTO 2006,S.L.",Mejorar la empleabilidad de las personas desempleadas,"2.545,13"
AGOTE-BATURONE SL,Mejorar la empleabilidad de las personas desempleadas,"31,08"
AGOTZAINA SL,Mejorar la empleabilidad de las personas desempleadas,"2.354,92"
"AGP INGENIEOS ANDALUCIA,S.L.",Mejorar la empleabilidad de las personas desempleadas,"155,52"
AGP WINE Y SPIRITS GROUP SLU,Mejorar la empleabilidad de las personas desempleadas,"993,24"
"AGPER ASSOCIATS, SL",Mejorar la empleabilidad de las personas desempleadas,"226,65"
AGPI INGENIERIA Y SERVICIOS SL,Mejorar la empleabilidad de las personas desempleadas,"348,84"
AGPOGRAF SA,Mejorar la empleabilidad de las personas desempleadas,"1.316,64"
AGR ASESORES SL,Mejorar la empleabilidad de las personas desempleadas,"35,41"
AGR GESTION SL,Mejorar la empleabilidad de las personas desempleadas,"1.031,87"
"AGR MACHINE COMUNICACION,S.L.",Mejorar la empleabilidad de las personas desempleadas,"3.509,74"
"AGRA@ASOCIADOS SERVICIOS INTEGRALES, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.664,39"
AGRACONSA EMPRESA CONSTRUCTORA SA,Mejorar la empleabilidad de las personas desempleadas,"1.456,31"
"AGRADE INGENIERIA Y PLANEAMIENTO, S.L.",Mejorar la empleabilidad de las personas desempleadas,"193,55"
AGRADE SA,Mejorar la empleabilidad de las personas desempleadas,"1.117,20"
"AGRALCA FARCARN,SLU",Mejorar la empleabilidad de las personas desempleadas,"1.299,80"
"AGRALIA FERTILIZANTES, S.L.",Mejorar la empleabilidad de las personas desempleadas,"592,61"
"AGRAMENTIS, SL",Mejorar la empleabilidad de las personas desempleadas,"529,87"
AGRARIA AGUILARENSE SOC COOP LTDA,Mejorar la empleabilidad de las personas desempleadas,"526,64"
AGRARIA CASA DEL RIO SDAD COOP,Mejorar la empleabilidad de las personas desempleadas,"353,28"
AGRARIA DE FOMENTO Y MEDIO AMBIENTE SL,Mejorar la empleabilidad de las personas desempleadas,"93,24"
AGRARIA I RAMADERA DEL PALLARS DE SORT S COOP C LTDA,Mejorar la empleabilidad de las personas desempleadas,"183,00"
AGRARIA I SECCIO DE CREDIT LA BORGENCA SCCL,Mejorar la empleabilidad de las personas desempleadas,"1.900,00"
" AGRARIA PLANA DE VIC I SECCIOO DE CREDIT, SCCL.",Mejorar la empleabilidad de las personas desempleadas,7369.99
AGRARIA ROVIPER SL,Mejorar la empleabilidad de las personas desempleadas,"266,68"
AGRARIA SANTBOIANA S COOP LTDA,Mejorar la empleabilidad de las personas desempleadas,"1.345,77"
"AGRATA-99, SL",Mejorar la empleabilidad de las personas desempleadas,"1.200,00"
AGRATORI SL,Mejorar la empleabilidad de las personas desempleadas,"1.016,45"
AGRAYCER SL,Mejorar la empleabilidad de las personas desempleadas,"1.053,18"
AGRECO GALIZA SL,Mejorar la empleabilidad de las personas desempleadas,"1.186,34"
AGREDA AUTOMOVIL SA,Mejorar la empleabilidad de las personas desempleadas,"1.082,81"
"AGREDA INGENIERIA Y CONSULTING, S.L.",Mejorar la empleabilidad de las personas desempleadas,"115,67"
AGREGADOR DE CONTENIDOS CALORYFRIOO SA,Mejorar la empleabilidad de las personas desempleadas,"1.204,11"
AGREGACION NACIONAL DE FUNDACIONES PARA LA PROMOCION DE,Mejorar la empleabilidad de las personas desempleadas,"1.689,19"
 AGREGADURIA NAVAL Y AEREA DE BRASIL,Mejorar la empleabilidad de las personas desempleadas,"273,85"
AGRESSO SPAIN S.L.,Promotion del espiritu empresarial y de la adaptabilidad de las empresas y Refuerzo del nivel de competencia,"172.706,95"
AGRESSO SPAIN SL,Mejorar la empleabilidad de las personas desempleadas,"4.365,52"
AGRIBAL CB,Mejorar la empleabilidad de las personas desempleadas,"200,66"
AGRIBERIA NUTRICION VEGETAL S.L.,Mejorar la empleabilidad de las personas desempleadas,"219,98"
AGRIBIZA SA,Mejorar la empleabilidad de las personas desempleadas,"1.900,00"
AGRICAS CB,Mejorar la empleabilidad de las personas desempleadas,"393,08"
AGRICENTRO MARTINEZ SL,Mejorar la empleabilidad de las personas desempleadas,"849,45"
AGRICENTRO PEREZ RODRIGUEZ S.L.L.,Mejorar la empleabilidad de las personas desempleadas,"266,68"
AGRICENTRO SALAMANCA SL,Mejorar la empleabilidad de las personas desempleadas,"1.266,73"
AGRICENTRO TALAVERA SAL,Mejorar la empleabilidad de las personas desempleadas,"41,28"
AGRICHEM SA,Mejorar la empleabilidad de las personas desempleadas,"1.382,73"
"AGRICOLA ACEVEDO, SL",Mejorar la empleabilidad de las personas desempleadas,"984,44"
AGRICOLA ALONSO GARCIA SL,Mejorar la empleabilidad de las personas desempleadas,"653,31"
AGRICOLA BASCUNANA SL,Mejorar la empleabilidad de las personas desempleadas,"1.266,73"
AGRICOLA BERGA SL,Mejorar la empleabilidad de las personas desempleadas,"1.459,94"
AGRICOLA BLANCO SL,Mejorar la empleabilidad de las personas desempleadas,"1.266,73"
AGRICOLA CACHEDA SL,Mejorar la empleabilidad de las personas desempleadas,"127,47"
"AGRICOLA CALVO,S.L.",Mejorar la empleabilidad de las personas desempleadas,"888,33"
AGRICOLA CAMPOCOR CB,Mejorar la empleabilidad de las personas desempleadas,"1.700,00"
AGRICOLA CARMI C.B.,Mejorar la empleabilidad de las personas desempleadas,"1.900,00"
AGRICOLA CASTEL-RUIZ SA,Mejorar la empleabilidad de las personas desempleadas,"11,10"
"AGRICOLA CIPRIANO SANCHEZ E HIJOS, SA",Mejorar la empleabilidad de las personas desempleadas,"1.182,65"
"AGRICOLA COLORIN, SL",Mejorar la empleabilidad de las personas desempleadas,"635,08"
AGRICOLA COSTA CALETA SA,Mejorar la empleabilidad de las personas desempleadas,"3.362,13"
AGRICOLA CUELLAR SA,Mejorar la empleabilidad de las personas desempleadas,"1.206,73"
AGRICOLA D ALBATARREC I SECCIO DE CREDIT SCCL,Mejorar la empleabilidad de las personas desempleadas,"79,96"
"AGRICOLA DE CABRERA DE MAR, SCCL",Mejorar la empleabilidad de las personas desempleadas,"333,30"
AGRICOLA DE COMERCIALIZACION SAT N 9487,Mejorar la empleabilidad de las personas desempleadas,"3.366,71"
AGRICOLA DE LA RIVA SL,Mejorar la empleabilidad de las personas desempleadas,"1.237,16"
"AGRICOLA DE MONTARGULL,SA",Mejorar la empleabilidad de las personas desempleadas,"599,96"
AGRICOLA DEL HIDALGO SA,Mejorar la empleabilidad de las personas desempleadas,"1.900,00"
AGRICOLA DEL ORBIGO SL,Mejorar la empleabilidad de las personas desempleadas,"693,33"
AGRICOLA DEL RIOMANCE SL,Mejorar la empleabilidad de las personas desempleadas,"903,23"
AGRICOLA DURCAL SL,Mejorar la empleabilidad de las personas desempleadas,"1.893,33"
"AGRICOLA EL BOSQUE, SL",Mejorar la empleabilidad de las personas desempleadas,"7.766,11"
"AGRICOLA EL PROGRES-GARBI, S.COOP.C.LTDA",Mejorar la empleabilidad de las personas desempleadas,"330,52"
AGRICOLA FIRO SL,Mejorar la empleabilidad de las personas desempleadas,"1.000,00"
AGRICOLA GANADERA BJ ARAGON SL,Mejorar la empleabilidad de las personas desempleadas,"991,62"
AGRICOLA GANADERA SANTA MARINA SA,Mejorar la empleabilidad de las personas desempleadas,"1.100,00"
AGRICOLA GINETE SL,Mejorar la empleabilidad de las personas desempleadas,"550,70"
AGRICOLA GOMEZ GONZALEZ SL,Mejorar la empleabilidad de las personas desempleadas,"124,39"
AGRICOLA I CAIXA AGR.I SECC.CREDIT LA SELVA DEL CAMP-CO,Mejorar la empleabilidad de las personas desempleadas,"2.008,98"
"AGRICOLA I S.C. DE LA SERRA D ALMOS,SCCL",Mejorar la empleabilidad de las personas desempleadas,"1.493,24"
AGRICOLA I SECCIO DE CRED.DE MARGALEF SCCL,Mejorar la empleabilidad de las personas desempleadas,"136,31"
