"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"TURBO REPARACION Y MANTENIMIENTO INTERNACIONAL, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.077,82"
"TURBO-3 TRIDIESEL COMERCIAL SA","Mejorar la empleabilidad de las personas desempleadas","1.266,73"
"TURBOL SL","Mejorar la empleabilidad de las personas desempleadas","538,76"
"TURBOS Y CAMBIOS DE CASTILLA Y LEON S.L.","Mejorar la empleabilidad de las personas desempleadas","260,00"
"TURBOS Y EQUIPOS DIESEL SA","Mejorar la empleabilidad de las personas desempleadas","1.041,18"
"TURCAFI 2006, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.137,85"
"TURCIVIDANES, S.L.","Mejorar la empleabilidad de las personas desempleadas","13,33"
"TURCO ESPAÑOLA SA","Mejorar la empleabilidad de las personas desempleadas","886,58"
"TURCOLECCION S.L.","Mejorar la empleabilidad de las personas desempleadas","343,48"
"TURDA POOL, S.L.","Mejorar la empleabilidad de las personas desempleadas","595,59"
"TURDIESEL SL","Mejorar la empleabilidad de las personas desempleadas","1.345,77"
"TURECAMBIO , S.L.","Mejorar la empleabilidad de las personas desempleadas","380,00"
"TURESMA, S.L.","Mejorar la empleabilidad de las personas desempleadas","406,56"
"TUREST SL","Mejorar la empleabilidad de las personas desempleadas","546,68"
"TURGUT,S.L.","Mejorar la empleabilidad de las personas desempleadas","1.299,80"
"TURHOTEL SA","Mejorar la empleabilidad de las personas desempleadas","1.500,00"
"TURIA 2005 SILLERIA S.L.","Mejorar la empleabilidad de las personas desempleadas","1.900,00"
"TURIAPLAS CREACIONES,S.L","Mejorar la empleabilidad de las personas desempleadas","549,95"
"TURIATEL SL","Mejorar la empleabilidad de las personas desempleadas","1.396,57"
"TURIGORGCS SERVEIS, S.L.","Mejorar la empleabilidad de las personas desempleadas","780,02"
"TURIMAGEN PROYECTO GLOBAL, S.L.","Mejorar la empleabilidad de las personas desempleadas","573,62"
"TURIMAS SA","Mejorar la empleabilidad de las personas desempleadas","200,00"
"TURINA 2000 SL","Mejorar la empleabilidad de las personas desempleadas","1.345,77"
"TURIN-CAR, SA","Mejorar la empleabilidad de las personas desempleadas","1.269,83"
"TURIND OR SL","Mejorar la empleabilidad de las personas desempleadas","3.734,71"
"TURING ASESORES, SL","Mejorar la empleabilidad de las personas desempleadas","159,36"
"TURINI TRANSPORTES Y ALMACENAJES SL","Mejorar la empleabilidad de las personas desempleadas","200,00"
"TURINTER SA","Mejorar la empleabilidad de las personas desempleadas","1.485,07"
"TURINVECAN 2000, S.L.","Mejorar la empleabilidad de las personas desempleadas","330,46"
"TURISFERR VIAJES SL","Mejorar la empleabilidad de las personas desempleadas","1.733,30"
"TURISJAVEA SL","Mejorar la empleabilidad de las personas desempleadas","221,33"
"TURISME D INTERIOR ES JARDI, SL","Mejorar la empleabilidad de las personas desempleadas","1.576,59"
"TURISMES EL BAIX SL","Mejorar la empleabilidad de las personas desempleadas","1.542,21"
"TURISMES GIRONA, SA","Mejorar la empleabilidad de las personas desempleadas","92,07"
"TURISMO CAMPO Y MAR INICIATIVAS SA","Mejorar la empleabilidad de las personas desempleadas","3.303,10"
"TURISMO CANARIO INTERNACIONAL SA","Mejorar la empleabilidad de las personas desempleadas","94,44"
"TURISMO DE INVIERNO SA","Mejorar la empleabilidad de las personas desempleadas","2.092,03"
"TURISMO DE RUSIA S.L.","Mejorar la empleabilidad de las personas desempleadas","129,85"
"TURISMO EDUCACION AMBIENTAL Y SERVICIOS, SA","Mejorar la empleabilidad de las personas desempleadas","1.828,60"
"TURISMO EN PLAYAS Y SIERRA DE CADIZ, S.L.L.","Mejorar la empleabilidad de las personas desempleadas","400,00"
"TURISMO INTERIOR SA","Mejorar la empleabilidad de las personas desempleadas","323,31"
"TURISMO LUDICO MEDIOAMBIENTAL, SL","Mejorar la empleabilidad de las personas desempleadas","1.255,49"
"TURISMO RECEPTIVO DE ALBACETE, S.A.","Mejorar la empleabilidad de las personas desempleadas","141,66"
"TURISMO RIBAGORZANO SA","Mejorar la empleabilidad de las personas desempleadas","866,71"
"TURISMO RURAL SIERRA DE SAN PEDRO SL","Mejorar la empleabilidad de las personas desempleadas","265,58"
"TURISMO SABINAR, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.023,11"
"TURISMO Y ACTIVIDADES DE GESTION SL","Mejorar la empleabilidad de las personas desempleadas","1.199,90"
"TURISMO Y ARQUITECTURA RURAL SL","Mejorar la empleabilidad de las personas desempleadas","428,39"
