BENEFICIARIO,TIPO DE OPERACIÓN,GASTO PUBLICO,
MARES TELECOMUNICACIONES SL,Mejorar a empleabilidad de las personas desempleadas,"342,32",,
"MARESFA, SL",Mejorar a empleabilidad de las personas desempleadas,"1.525,91",,
MARESMAN 21 SL,Mejorar a empleabilidad de las personas desempleadas,"196,57",,
"MARESMAR, SL",Mejorar a empleabilidad de las personas desempleadas,"2.163,08",,
"MARESME BICIS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"84,86",,
"MARESME ELECTRICITAT I SISTEMES, SL",Mejorar a empleabilidad de las personas desempleadas,"859,91",,
"MARESME MOTORS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"613,21",,
"MARESME PROPERTIES,S.L.",Mejorar a empleabilidad de las personas desempleadas,"686,48",,
"MARESME VIDEO, SL",Mejorar a empleabilidad de las personas desempleadas,"465,67",,
"MARESPUGA 36, SL",Mejorar a empleabilidad de las personas desempleadas,"396,60",,
"MARETEJA SUPERMARKET, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.155,40",,
"MARETERRA 2003, S.L.",Mejorar a empleabilidad de las personas desempleadas,"2.896,57",,
"MARETONE BACKUP REMOTO, S.L.",Mejorar a empleabilidad de las personas desempleadas,"368,91",,
MAREU HOTELES ESPANA SL,Mejorar a empleabilidad de las personas desempleadas,"116,66",,
"MAREUS MARCAM, S.L.",Mejorar a empleabilidad de las personas desempleadas,"673,26",,
MAREVA CARPINTERIA SL,Mejorar a empleabilidad de las personas desempleadas,"1.833,26",,
MAREVI SA,Mejorar a empleabilidad de las personas desempleadas,"2.264,80",,
"MAREXTEL EMPRESAS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.318,78",,
MAREXTEL EXTREMADURA SL,Mejorar a empleabilidad de las personas desempleadas,"528,86",,
"MAREXTEL JUGUETES, S.L",Mejorar a empleabilidad de las personas desempleadas,"611,49",,
MAREY & FERNANDEZ CB,Mejorar a empleabilidad de las personas desempleadas,"428,50",,
"MAREZALDI, S.L.U.",Mejorar a empleabilidad de las personas desempleadas,"159,36",,
"MAR-FANURVI, SL",Mejorar a empleabilidad de las personas desempleadas,"963,27",,
MARFEL IBERICA SA,Mejorar a empleabilidad de las personas desempleadas,"2.559,50",,
"MARFELUX,S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.899,80",,
"MARFENI ESTRUCTURAS TUBULARES,S.L.",Mejorar a empleabilidad de las personas desempleadas,"211,04",,
"MARFER PRINCIPADO, S.L.",Mejorar a empleabilidad de las personas desempleadas,"935,00",,
"MARFER SERVICIOS EXTREMENOS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.570,37",,
"MARFETRANS 2006,S.L.",Mejorar a empleabilidad de las personas desempleadas,"2.017,68",,
"MARFI SUPERMERCADOS,S.L.",Mejorar a empleabilidad de las personas desempleadas,"4.291,54",,
"MARFIL & RAMONEDA CONSULTING, SL",Mejorar a empleabilidad de las personas desempleadas,"463,27",,
MARFIL CB,Mejorar a empleabilidad de las personas desempleadas,"1.345,77",,
MARFIL GASTRONOMIA SL UNIPERSONAL,Mejorar a empleabilidad de las personas desempleadas,"488,89",,
"MARFIL, 13, S.L.",Mejorar a empleabilidad de las personas desempleadas,"244,82",,
"MARFIL-DEN, SL",Mejorar a empleabilidad de las personas desempleadas,"219,54",,
"MARFINA BUS, SA",Mejorar a empleabilidad de las personas desempleadas,"7.383,96",,
"MARFISH 21, SL",Mejorar a empleabilidad de las personas desempleadas,"177,10",,
MARFIT SPORT SL,Mejorar a empleabilidad de las personas desempleadas,"4.848,36",,
"MARFRAMARK, SL",Mejorar a empleabilidad de las personas desempleadas,"133,20",,
MARFREY SL,Mejorar a empleabilidad de las personas desempleadas,"517,68",,
"MARFROST LOGISTICA, SL",Mejorar a empleabilidad de las personas desempleadas,"415,54",,
"MARFROST, SL",Mejorar a empleabilidad de las personas desempleadas,"942,89",,
"MARFUL 2006, S.L.",Mejorar a empleabilidad de las personas desempleadas,"384,83",,
"MARFUR OBRAS Y REFORMAS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"2.892,16",,
MARGA DIFUSION MODA SL,Mejorar a empleabilidad de las personas desempleadas,"3.853,58",,
MARGA GOMA SA,Mejorar a empleabilidad de las personas desempleadas,"496,57",,
MARGA GORDILLO Y ASOCIADOS SL,Mejorar a empleabilidad de las personas desempleadas,"353,28",,
MARGA MOBILIARI DE CUINA SL,Mejorar a empleabilidad de las personas desempleadas,"1.204,50",,
MARGA NOVAS SL UNIPERSONAL,Mejorar a empleabilidad de las personas desempleadas,"2.976,63",,
MARGA RIOJA SL,Mejorar a empleabilidad de las personas desempleadas,"1.017,81",,
"MARGALIA 06, S.L.",Mejorar a empleabilidad de las personas desempleadas,"181,34",,
"MARGANNE HISTORIES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"382,48",,
MARGAR ARQUITECTOS. SLP,Mejorar a empleabilidad de las personas desempleadas,"136,33",,
"MARGAR CONSULTORES DE DIAGNOSTICO POR IMAGEN, S.L.",Mejorar a empleabilidad de las personas desempleadas,"2.360,00",,
MARGARET-ROSE SL,Mejorar a empleabilidad de las personas desempleadas,"1.677,41",,
MARGARIDA AUDITORES ACUSTICOS SL,Mejorar a empleabilidad de las personas desempleadas,"566,66",,
MARGARITA ARGUIMBAU SL,Mejorar a empleabilidad de las personas desempleadas,"975,00",,
MARGARITA ASESORES SL,Mejorar a empleabilidad de las personas desempleadas,"154,03",,
"MARGARITA CAMACHO, SL",Mejorar a empleabilidad de las personas desempleadas,"435,03",,
MARGARITA MARCH BOSCH SA,Mejorar a empleabilidad de las personas desempleadas,"742,18",,
"MARGARITA RAMIA DE CAP Y ANTONIO PLANAS RAMIA, CB",Mejorar a empleabilidad de las personas desempleadas,"653,99",,
MARGARITAS 4 C.B.,Mejorar a empleabilidad de las personas desempleadas,"326,64",,
"MARGAZAL, S.L.U.",Mejorar a empleabilidad de las personas desempleadas,"1.345,77",,
MARGELLINO. SL,Mejorar a empleabilidad de las personas desempleadas,"993,24",,
MARGEM PELUQUEROS S.L.,Mejorar a empleabilidad de las personas desempleadas,"525,87",,
MARGEN 3 SL,Mejorar a empleabilidad de las personas desempleadas,"1.560,01",,
MARGEN CB,Mejorar a empleabilidad de las personas desempleadas,"689,39",,
MARGEN MULTIMEDIA SL,Mejorar a empleabilidad de las personas desempleadas,"2.715,58",,
MARGEN REAL ESTRUCTURAS SL,Mejorar a empleabilidad de las personas desempleadas,"83,25",,
"MARGIL, COMUNITAT DE BENS",Mejorar a empleabilidad de las personas desempleadas,"966,60",,
"MARGILU, S.L.",Mejorar a empleabilidad de las personas desempleadas,"2.311,34",,
"MARGINEDA I PALLAS ASSOCIATS, SL",Mejorar a empleabilidad de las personas desempleadas,"208,92",,
MARGOAUTO S.L.,Mejorar a empleabilidad de las personas desempleadas,"246,68",,
MARGOLARI SL,Mejorar a empleabilidad de las personas desempleadas,"50,00",,
MARGOLIN SL,Mejorar a empleabilidad de las personas desempleadas,"361,38",,
MARGOMEZ SL,Mejorar a empleabilidad de las personas desempleadas,"703,29",,
MARGOMTER SL,Mejorar a empleabilidad de las personas desempleadas,"253,18",,
"MARGON CONSULTORA INMOBILIARIA, S.L.U.",Mejorar a empleabilidad de las personas desempleadas,"511,21",,
"MARGON SISTEMS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"5.731,55",,
MARGONDIS,Mejorar a empleabilidad de las personas desempleadas,"7.823,18",,
MARGONDIS SL,Mejorar a empleabilidad de las personas desempleadas,"280,00",,
MARGONLUZ SL,Mejorar a empleabilidad de las personas desempleadas,"1.900,00",,
MARGRADE SL,Mejorar a empleabilidad de las personas desempleadas,"302,20",,
MARGUELLO REYES PIZZA SL,Mejorar a empleabilidad de las personas desempleadas,"8.511,58",,
MARGUTSA LOGISTICA Y TRANSPORTE SA,Mejorar a empleabilidad de las personas desempleadas,"796,57",,,
"MARHABA VIATGES A LA CARTA, SL",Mejorar a empleabilidad de las personas desempleadas,"473,26",,,
"MARHOSTEL DISTRIBUCIONES, SL",Mejorar a empleabilidad de las personas desempleadas,"1.900,00",,,
"MARHUER SHOES,S.L.UNIPERSONAL",Mejorar a empleabilidad de las personas desempleadas,"9,99",,,
MARI CARMEN H VALERO SL,Mejorar a empleabilidad de las personas desempleadas,"200,00",,,
MARI GASPAR SL,Mejorar a empleabilidad de las personas desempleadas,"693,27",,,
MARI I SOUCASE SL,Mejorar a empleabilidad de las personas desempleadas,"1.100,00",,,
MARI MAYANS IMPORT EXPORT SL,Mejorar a empleabilidad de las personas desempleadas,"1.586,58",,,
MARI PRATS RAFAEL MARI PRATS JOSE CB,Mejorar a empleabilidad de las personas desempleadas,"233,73",,,
"MARI Y PEPI, COM.B.",Mejorar a empleabilidad de las personas desempleadas,"455,06",,,
"MARIA ADELAIDA ACHOTEGUI ATUCHA,MARIA BEGONA LOPEZ EZCU",Mejorar a empleabilidad de las personas desempleadas,"637,47",,,
MARIA ALINO MOLL SL,Mejorar a empleabilidad de las personas desempleadas,"623,11",,,
"MARIA AMAYA OYARZABAL ARRIETA Y OTRA,C.B.",Mejorar a empleabilidad de las personas desempleadas,"5,31",,,
MARIA ANGELES ALVAREZ 2000 SL,Mejorar a empleabilidad de las personas desempleadas,"1.199,85",,,
MARIA ANGELES ECHEVARRIA GABICA ALDECOA-MIREN ELIXABETE,Mejorar a empleabilidad de las personas desempleadas,"1.350,46",,,
MARIA ANGELES FRESNO GRANDIVAL Y TRES MAS,Mejorar a empleabilidad de las personas desempleadas,"676,59",,,
MARIA ANGELES MANZANERO CALVO Y OTRA C.B.,Mejorar a empleabilidad de las personas desempleadas,"610,00",,,
MARIA ANGELICA CRAVERO ARBERAS Y CAROLINA SELLA CRAVERO,Mejorar a empleabilidad de las personas desempleadas,"470,00",,,
MARIA ANGELS CARRERAS SL,Mejorar a empleabilidad de las personas desempleadas,"1.180,45",,,
"MARIA ANTONIA LOPEZ GIMENEZ; EUGENIO FRADE LOPEZ, C.B.",Mejorar a empleabilidad de las personas desempleadas,"768,46",,,
"MARIA ANTONIA SUAREZ GARCIA, CB",Mejorar a empleabilidad de las personas desempleadas,"268,90",,,
"MARIA ANTONIA VILCHEZ PLATA Y OTRO, C.B.",Mejorar a empleabilidad de las personas desempleadas,"1.800,00",,,
MARIA ARANZAZU ARENAS OLLERO Y DOS MAS,Mejorar a empleabilidad de las personas desempleadas,"6.275,98",,,
"MARIA ARANZAZU AYA DURZ Y VANESA MARTINEZ GARCIA, C.B.",Mejorar a empleabilidad de las personas desempleadas,"720,04",,,
"MARIA ARRANZ ANTIGUEDADES, SL",Mejorar a empleabilidad de las personas desempleadas,"703,55",,,
"MARIA ASCENSION MACHO Y MARIA ARANZAZU LOPEZ, C.B.",Mejorar a empleabilidad de las personas desempleadas,"2.093,24",,,
"MARIA ASCENSION MICHELENA PERURENA Y OTRO, C.B.",Mejorar a empleabilidad de las personas desempleadas,"337,50",,,
"MARIA ASUNCION ESTEBAN VIDAL, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.601,72",,,
MARIA ASUNCION FERNANDEZ ECHEVARRIA-ANDONE CARRACEDO FE,Mejorar a empleabilidad de las personas desempleadas,"262,50",,,
MARIA ASUNCION PARDO RUIZ-ANA MARIA PARDO RUIZ,Mejorar a empleabilidad de las personas desempleadas,"1.076,62",,,
"MARIA BASILISA ALVAREZ RODRIGUEZ, MARIA JESUS MENDEZ FR",Mejorar a empleabilidad de las personas desempleadas,"1.291,46",,,
"MARIA BELEN Y MARIA DOLORES CARAVACA INIESTA, COM.B.",Mejorar a empleabilidad de las personas desempleadas,"207,17",,,
MARIA C.B.,Mejorar a empleabilidad de las personas desempleadas,"418,29",,,
MARIA CACERES E HIJOS CB,Mejorar a empleabilidad de las personas desempleadas,"733,30",,,
"MARIA CAMARA I ASSOCIATS CORREDORIA D ASSEG., S.L.",Mejorar a empleabilidad de las personas desempleadas,"242,50",,,
"MARIA CANDELA,S.L.",Mejorar a empleabilidad de las personas desempleadas,"963,20",,,
"MARIA CARBONELL IZQUIERDO,S.L.",Mejorar a empleabilidad de las personas desempleadas,"99,90",,,
MARIA CARMEN ALONSO ESTURO- ICIAR FERNANDEZ IZQUIERDO,Mejorar a empleabilidad de las personas desempleadas,"1.798,89",,,
MARIA CARMEN GARCIA VIELBA Y FELISA GARCIA VIELBA CB,Mejorar a empleabilidad de las personas desempleadas,"656,51",,,
MARIA CARMEN HERNANDO SERRANO Y OTRA MAS,Mejorar a empleabilidad de las personas desempleadas,"666,53",,,
MARIA CARMEN IBARRA ARRANZ-MARIA MAUROLAGOITIA IBARRA C,Mejorar a empleabilidad de las personas desempleadas,"670,51",,,
"MARIA CARMEN ITURBE LINZOAIN Y OTRA, C.B.",Mejorar a empleabilidad de las personas desempleadas,"232,53",,,
MARIA CARMEN LOPEZ DEL CASTILLO LUCECA SL,Mejorar a empleabilidad de las personas desempleadas,"666,70",,,
MARIA CARMEN MUÑOZ QUIROS-ISABEL MARIA MUÑOZ QUIROS-PED,Mejorar a empleabilidad de las personas desempleadas,"266,79",,,
"MARIA CARMEN PINTUELES ALONSO;JOSE MIGUEL OLIVAR,COM.B.",Mejorar a empleabilidad de las personas desempleadas,"1.095,81",,,
MARIA CARMEN RODRIGUEZ ROMERO SL,Mejorar a empleabilidad de las personas desempleadas,"2.970,01",,,
MARIA CARMEN Y ADELAIDAD HERNANZ ALCAIDE C.B.,Mejorar a empleabilidad de las personas desempleadas,"635,08",,,
"MARIA CASAS BIOLOGA, SL",Mejorar a empleabilidad de las personas desempleadas,"903,02",,,
MARIA CLEDERA JIMENEZ Y JUANA SEGADO CLEDERA COM.B.,Mejorar a empleabilidad de las personas desempleadas,"1.800,00",,,,
"MARIA COVADONGA GLEZ. LENZA Y MANUEL A. PEREZ, C.B.",Mejorar a empleabilidad de las personas desempleadas,"769,83",,,,
MARIA CREMADES SL,Mejorar a empleabilidad de las personas desempleadas,"772,02",,,,
MARIA CRISTESCU SL,Mejorar a empleabilidad de las personas desempleadas,"1.038,76",,,,
MARIA CRISTINA FINCA SANTA MARIA SL,Mejorar a empleabilidad de las personas desempleadas,"577,50",,,,
MARIA CRUZ MARTIN NIETO-JORGE ORTEGA SANZ,Mejorar a empleabilidad de las personas desempleadas,"956,16",,,,
MARIA CRUZ VECILLA RIVELLES ANA MARIA RIVELLES ROVIRA P,Mejorar a empleabilidad de las personas desempleadas,"1.700,00",,,,
MARIA DE LOS ANGELES PEIRO PEREZ SL,Mejorar a empleabilidad de las personas desempleadas,"499,90",,,,
"MARIA DE LUJAN, SL",Mejorar a empleabilidad de las personas desempleadas,"505,22",,,,
MARIA DE MAR DE VILLA S.L.U.,Mejorar a empleabilidad de las personas desempleadas,"132,22",,,,
"MARIA DEL CARMEN ALBURQUERQUE TORTOSA, JOSE SANDOVAL FE",Mejorar a empleabilidad de las personas desempleadas,"2.022,60",,,,
MARIA DEL CARMEN BELLO GONZALEZ SL,Mejorar a empleabilidad de las personas desempleadas,"585,52",,,,
MARIA DEL CARMEN LOPEZ GONZALEZ Y OTROS CB,Mejorar a empleabilidad de las personas desempleadas,"1.386,47",,,,
MARIA DEL CARMEN PASCUAL GALVEZ SL,Mejorar a empleabilidad de las personas desempleadas,"416,11",,,,
MARIA DEL CARMEN PRIETO Y CIA CB,Mejorar a empleabilidad de las personas desempleadas,"493,45",,,,
"MARIA DEL CARMEN Y JOEBA BELMONTE CANDAL, C.B.",Mejorar a empleabilidad de las personas desempleadas,"1.009,28",,,,
MARIA DEL CRISTO ORAN GARCIA SL,Mejorar a empleabilidad de las personas desempleadas,"479,44",,,,
MARIA DEL MAR BOLADO COMPONENTES SL,Mejorar a empleabilidad de las personas desempleadas,"2.933,10",,,,
MARIA DEL MAR NAVARRO VIGUERAS Y OTRA COM. B.,Mejorar a empleabilidad de las personas desempleadas,"1.425,00",,,,
"MARIA DEL PILAR HERNANDO LOPEZ Y OTRA, C.B.",Mejorar a empleabilidad de las personas desempleadas,"391,91",,,,
MARIA DEL PILAR PONCE ROMUALDO-JOSE JOAQUIN PONCE ROMUA,Mejorar a empleabilidad de las personas desempleadas,"188,88",,,,
MARIA DIET SL,Mejorar a empleabilidad de las personas desempleadas,"1.133,28",,,,
"MARIA DOLORES CARTES TORTA Y MARIA MER.VIDAL ROSALES,CB",Mejorar a empleabilidad de las personas desempleadas,"66,60",,,,
MARIA DOLORES GIL VINUESA Y OTRO C.B,Mejorar a empleabilidad de las personas desempleadas,"1.000,00",,,,
"MARIA DOLORES Y MARIA JOSEFA ANDRES GOMEZ, C.B.",Mejorar a empleabilidad de las personas desempleadas,"1.345,77",,,,
"MARIA DURAN, SL",Mejorar a empleabilidad de las personas desempleadas,"691,72",,,,
"MARIA ELVIRA FERRANDO MALLEN Y MN T.DOLIU BARCELO, CB",Mejorar a empleabilidad de las personas desempleadas,"1.009,28",,,,
MARIA ESTIBALIZ URRUTIA ERENO-SONIA SILVA TEMPRANO-RUTH,Mejorar a empleabilidad de las personas desempleadas,"1.425,00",,,,
MARIA EUGENIA CURRAS SL,Mejorar a empleabilidad de las personas desempleadas,"470,99",,,,
"MARIA FECHORIA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"2.072,83",,,,
"MARIA FRAGA, SL",Mejorar a empleabilidad de las personas desempleadas,"1.266,56",,,,
"MARIA GONZALEZ & MARCELO GARRIDO, SL",Mejorar a empleabilidad de las personas desempleadas,"1.223,33",,,,
MARIA GRACIA GARCIA FERNANDEZ Y JOSE RAMON ISANTA GARCI,Mejorar a empleabilidad de las personas desempleadas,"741,34",,,,
MARIA GRAZIA BARBER Y MN TERESA FUSTER FDEZ-DELGADO C.B,Mejorar a empleabilidad de las personas desempleadas,"318,37",,,,
MARIA ISABEL JODRA LUQUE Y OTROS CB,Mejorar a empleabilidad de las personas desempleadas,"6.192,80",,,,
"MARIA ISABEL, RAUL GONZALEZ RAMOS CB",Mejorar a empleabilidad de las personas desempleadas,"690,08",,,,
MARIA JESUS ALZAA IRAZOLA-ANGEL CINOS JUANES,Mejorar a empleabilidad de las personas desempleadas,"259,36",,,,
"MARIA JESUS BATISTA FERNANDEZ,MN ANGELES GONZALEZ, C.B.",Mejorar a empleabilidad de las personas desempleadas,"17,76",,,,
MARIA JESUS BRAN SL,Mejorar a empleabilidad de las personas desempleadas,"944,33",,,,
MARIA JESUS CAJIDE MEJUTO-RAMONCAJIDE MEJUTO Y JOSE ANT,Mejorar a empleabilidad de las personas desempleadas,"297,47",,,,
MARIA JESUS DE LA HOZ MONSALVE SL,Mejorar a empleabilidad de las personas desempleadas,"103,84",,,,
MARIA JESUS E HIJOS SL,Mejorar a empleabilidad de las personas desempleadas,"265,60",,,,
MARIA JESUS TABOADA NOVO Y OTRA SL,Mejorar a empleabilidad de las personas desempleadas,"656,67",,,,
"MARIA JOSE ALMANSA BALSALOBRE Y OTRO,C.B.",Mejorar a empleabilidad de las personas desempleadas,"547,73",,,,
"MARIA JOSE BELLEZA Y BIENESTAR, S.L.",Mejorar a empleabilidad de las personas desempleadas,"649,95",,,,
MARIA JOSE ECHAVE MARTICORENA Y CIA CB,Mejorar a empleabilidad de las personas desempleadas,"1.501,86",,,,
"MARIA JOSE GOMEZ ESCUER,S.L.U.",Mejorar a empleabilidad de las personas desempleadas,"1.900,00",,,,
MARIA JOSE MORENO FERRER SL,Mejorar a empleabilidad de las personas desempleadas,"1.425,00",,,,
MARIA JOSE PESTANA YANES ADMINISTRACION DE FINCAS SL UN,Mejorar a empleabilidad de las personas desempleadas,"1.186,38",,,,
MARIA LINA ESCALANTE SL,Mejorar a empleabilidad de las personas desempleadas,"1.345,77",,,,
MARIA LLANOS SNNCHEZ GNMEZ,Mejorar a empleabilidad de las personas desempleadas,"258,48",,,,
MARIA LUISA AGUEDA JIMENO Y BENITA AGUEDA JIMENO CB,Mejorar a empleabilidad de las personas desempleadas,"1.086,67",,,,
MARIA LUISA CUNARRO SANTIAGO-LORENA GARDUNO VILLAR C.B.,Mejorar a empleabilidad de las personas desempleadas,"53,12",,,,
"MARIA LUISA GUZMAN, S.L.",Mejorar a empleabilidad de las personas desempleadas,"920,79",,,,
MARIA LUISA LAZARENO GARCIA SL,Mejorar a empleabilidad de las personas desempleadas,"1.692,04",,,,
"MARIA LUISA R.FLORISTAS,S.L.",Mejorar a empleabilidad de las personas desempleadas,"668,12",,,,
MARIA LUISA RUIZ CORTADI-PEDRO MARIA RUIZ CORTADI,Mejorar a empleabilidad de las personas desempleadas,"19,98",,,,
MARIA LUISA SANCHEZ GALLEGO Y OTRO; C.B. (RUIZ SANCHEZ),Mejorar a empleabilidad de las personas desempleadas,"354,15",,,,
MARIA LUISA TUR SERRA Y MARIA JOSE TUR SERRA CB,Mejorar a empleabilidad de las personas desempleadas,"832,50",,,,
MARIA LUZ SUAREZ MUNOS SL,Mejorar a empleabilidad de las personas desempleadas,"2.635,49",,,,
MARIA MERCE BORRULL S.L.,Mejorar a empleabilidad de las personas desempleadas,"750,00",,,,
"MARIA MERCEDES RAIDO IGLESIAS Y OTRA, C.B.",Mejorar a empleabilidad de las personas desempleadas,"141,68",,,,
MARIA MILAGROS MOLINA DORADO E IVAN DARIO SL,Mejorar a empleabilidad de las personas desempleadas,"248,85",,,,
"MARIA MONTSERRAT VILLA TARNO Y EMILIA CUETO TARNO, CB",Mejorar a empleabilidad de las personas desempleadas,"51,06",,,,
MARIA MUNIZ CENTRO DE BELLEZA SL,Mejorar a empleabilidad de las personas desempleadas,"1.900,00",,,
MARIA NARVAEZ MUÑOZ SL,Mejorar a empleabilidad de las personas desempleadas,"853,18",,,
MARIA NATIVIDAD AMUNDARAIN URQUIJO-MARIA SOLEDAD MONTOU,Mejorar a empleabilidad de las personas desempleadas,"94,43",,,
MARIA NIEVES RIBAS BONET JAIME RIBAS SOLER JOSEFA RIBAS,Mejorar a empleabilidad de las personas desempleadas,"290,40",,,
"MARIA PAZ BERNAOLA ITURBE, MAGDALENA Y MARIA NATIVIDAD",Mejorar a empleabilidad de las personas desempleadas,"1.239,51",,,
MARIA PAZ RAFAELA PEREZ-YARZA Y OTROS; C.B.,Mejorar a empleabilidad de las personas desempleadas,"945,96",,,
MARIA PILAR JUBIERRE SL,Mejorar a empleabilidad de las personas desempleadas,"432,04",,,
MARIA PILAR MONJE GARCIA-JOSE MANUEL BARREIRO LOPEZ-C.B,Mejorar a empleabilidad de las personas desempleadas,"2.387,88",,,
MARIA PILAR MOSCOSO SANCHEZ MARIA CARMEN GONZALEZ ARROY,Mejorar a empleabilidad de las personas desempleadas,"1.896,46",,,
"MARIA PILAR PUENTE DE LAS CUEVAS 000559364G, SLNE",Mejorar a empleabilidad de las personas desempleadas,"1.060,09",,,
MARIA PILAR Y PEDRO PALACIOS BUENO C.B,Mejorar a empleabilidad de las personas desempleadas,"618,56",,,
MARIA POVEDA SL,Mejorar a empleabilidad de las personas desempleadas,"1.221,71",,,
"MARIA QUETGLAS, ASSESSORIA, SL",Mejorar a empleabilidad de las personas desempleadas,"476,55",,,
MARIA RAQUEL MEIS MORANTE-MARIA JOSE MEIS MORANTE,Mejorar a empleabilidad de las personas desempleadas,"1.156,86",,,
"MARIA RECIO, SL",Mejorar a empleabilidad de las personas desempleadas,"1.531,88",,,
"MARIA REIG GURREA, FCO. JAVIER BEAMONTE NAVAS Y JUAN RE",Mejorar a empleabilidad de las personas desempleadas,"984,51",,,
MARIA RIPOLL MALONDRA Y BEATRIZ LLABRES RIPOLL CB,Mejorar a empleabilidad de las personas desempleadas,"69,98",,,
"MARIA ROCHAS, SL",Mejorar a empleabilidad de las personas desempleadas,"708,30",,,
MARIA ROSA BARRIENTOS SL,Mejorar a empleabilidad de las personas desempleadas,"1.014,00",,,
MARIA S CB,Mejorar a empleabilidad de las personas desempleadas,"53,12",,,
MARIA SOLEDAD GONZALEZ CABRERA SAL,Mejorar a empleabilidad de las personas desempleadas,"1.607,57",,,
MARIA SONIA CARRIO ROSELLO,Mejorar a empleabilidad de las personas desempleadas,"1.440,23",,,
MARIA TERESA ANO S.L.,Mejorar a empleabilidad de las personas desempleadas,"2.075,32",,,
MARIA TERESA BRUGUES PUJOL Y MARIA ASUNCION SERRA CAPEL,Mejorar a empleabilidad de las personas desempleadas,"7.747,13",,,
MARIA TERESA CAMPO SL,Mejorar a empleabilidad de las personas desempleadas,"809,99",,,
MARIA TERESA ELIZALDE ZABALA S.L.,Mejorar a empleabilidad de las personas desempleadas,"110,97",,,
MARIA TERESA Y RAMIRO TRANSPORTES M.T.R. SL,Mejorar a empleabilidad de las personas desempleadas,"644,55",,,
"MARIA VICTORIA NAVARRO, Y TRES MNS",Mejorar a empleabilidad de las personas desempleadas,"701,16",,,
MARIA VILANA BLANQUER / DANIEL ASENSI BLANQUER,Mejorar a empleabilidad de las personas desempleadas,"193,60",,,
"MARIA Y COVADONGA PLAZA SECADES, CB",Mejorar a empleabilidad de las personas desempleadas,"1.062,45",,,
MARIA ZAMBRANO NUMERO 50 SL,Mejorar a empleabilidad de las personas desempleadas,"531,30",,,
MARIA ZAYAS SA,Mejorar a empleabilidad de las personas desempleadas,"1.020,00",,,
"MARIA,PURA Y FLORA CASCOS SANTAOLARIA CB",Mejorar a empleabilidad de las personas desempleadas,"1.024,47",,,
MARIACHI-SUR SL,Mejorar a empleabilidad de las personas desempleadas,"1.192,49",,,
MARIAJU UNO SL,Mejorar a empleabilidad de las personas desempleadas,"881,79",,,
MARIALUM SL,Mejorar a empleabilidad de las personas desempleadas,"1.311,18",,,
MARIAN COMPLEMENTOS Y DECORACION SL,Mejorar a empleabilidad de las personas desempleadas,"576,08",,,
MARIAN SIGNES MUDANZAS INTERNACIONALES SL,Mejorar a empleabilidad de las personas desempleadas,"653,96",,,
MARIANA COMPLEMENTOS DE DISENO SL,Mejorar a empleabilidad de las personas desempleadas,"1.345,77",,,
"MARIANAO XXI, S.L.",Mejorar a empleabilidad de las personas desempleadas,"881,08",,,
"MARIANGE, SL",Mejorar a empleabilidad de las personas desempleadas,"1.345,77",,,
MARIANO BLANCO SL,Mejorar a empleabilidad de las personas desempleadas,"212,49",,,
MARIANO CARRASCOSO SA,Mejorar a empleabilidad de las personas desempleadas,"2.031,20",,,
MARIANO ESCUDERO SL,Mejorar a empleabilidad de las personas desempleadas,"159,98",,,
MARIANO GALAN Y ASOCIADOS CORREDURIA DE SEGUROS SL,Mejorar a empleabilidad de las personas desempleadas,"345,09",,,
MARIANO GONZALEZ MENOR SL,Mejorar a empleabilidad de las personas desempleadas,"800,04",,,
"MARIANO HERNANDEZ ARQUITECTO, S.L.",Mejorar a empleabilidad de las personas desempleadas,"398,99",,,
"MARIANO JUEZ, SL",Mejorar a empleabilidad de las personas desempleadas,"323,21",,,
MARIANO LUQUE CARPINTERIA S.L.,Mejorar a empleabilidad de las personas desempleadas,"1.060,61",,
MARIANO OTALORA SA,Mejorar a empleabilidad de las personas desempleadas,"2.672,20",,
MARIANO RILLO SA,Mejorar a empleabilidad de las personas desempleadas,"353,28",,
"MARIANO ROMERO, SL",Mejorar a empleabilidad de las personas desempleadas,"774,41",,
"MARIANO ROSIQUE-ASESORES, SL",Mejorar a empleabilidad de las personas desempleadas,"2.220,44",,
MARIANO SAEZ SA,Mejorar a empleabilidad de las personas desempleadas,"2.549,27",,
MARIANO SERVITRANS SL,Mejorar a empleabilidad de las personas desempleadas,"929,97",,
MARIANO VELA SANZ SL,Mejorar a empleabilidad de las personas desempleadas,"1.190,48",,
MARIANOGILMARTINEZ Y ASOCIADOS SL,Mejorar a empleabilidad de las personas desempleadas,"2.713,79",,
MARIANT CB,Mejorar a empleabilidad de las personas desempleadas,"424,98",,
MARIASAN SHOES SL UNIPERSONAL,Mejorar a empleabilidad de las personas desempleadas,"587,88",,
