BENEFICIARIO,TIPO DE OPERACIÓN,GASTO PUBLICO,
"MANTENIMIENTOS INTEGRALES DE LUGO, S.L.",Mejorar a empleabilidad de las personas desempleadas,"150,00",
MANTENIMIENTOS INTEGRALES DEL BESAYA SL,Mejorar a empleabilidad de las personas desempleadas,"6.516,64",
"MANTENIMIENTOS INTEGRALES ESTEBAN, S.L.",Mejorar a empleabilidad de las personas desempleadas,"134,55",
MANTENIMIENTOS INTEGRALES EXTREMENOS SL,Mejorar a empleabilidad de las personas desempleadas,"4.060,00",
"MANTENIMIENTOS INTEGRALES IGUAZU, SL",Mejorar a empleabilidad de las personas desempleadas,"1.800,00",
MANTENIMIENTOS INTEGRALES NAVALES SLL,Mejorar a empleabilidad de las personas desempleadas,"35,40",
MANTENIMIENTOS INTEGRALES TURIA S.L.,Mejorar a empleabilidad de las personas desempleadas,"2.942,34",
MANTENIMIENTOS JAI-PE SL,Mejorar a empleabilidad de las personas desempleadas,"977,40",
MANTENIMIENTOS LEBRERO SL,Mejorar a empleabilidad de las personas desempleadas,"602,01",
"MANTENIMIENTOS LEGAIN, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1.166,32",
MANTENIMIENTOS MANISA SL,Mejorar a empleabilidad de las personas desempleadas,"274,45",
MANTENIMIENTOS RAFAEL SL,Mejorar a empleabilidad de las personas desempleadas,"35,52",
MANTENIMIENTOS SELIMA SL,Mejorar a empleabilidad de las personas desempleadas,"1.699,90",
"MANTENIMIENTOS SIDON, SCL",Mejorar a empleabilidad de las personas desempleadas,"455,52",
MANTENIMIENTOS SOLVE SL,Mejorar a empleabilidad de las personas desempleadas,"1.064,43",
"MANTENIMIENTOS TERMICO Y CLIMATIZACION OCANA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"233,30",
MANTENIMIENTOS VECUSA SL,Mejorar a empleabilidad de las personas desempleadas,"22,50",
MANTENIMIENTOS VILA-REALS.L.,Mejorar a empleabilidad de las personas desempleadas,"1.794,17",
