BENEFICIARIO,TIPO DE OPERACION,GASTO PUBLICO
CENTRE CATALA D ASSESSORAMENT SA,Mejorar la empleabilidad de las personas desempleadas,"1.241,84"
CENTRE CATALA DEL PEN CLUB ASSOCIACIO DESCRIPTORS,Mejorar la empleabilidad de las personas desempleadas,"1.425,00"
"CENTRE CATALA DNESTUDIS TECNICS I ADMINISTRATES, SL",Mejorar la empleabilidad de las personas desempleadas,"1.345,77"
"CENTRE CATALA SOLIDARITAT, FUNDACIO PRIVADA",Mejorar la empleabilidad de las personas desempleadas,"2.454,11"
CENTRE CEL ANTERIOR SL,Mejorar la empleabilidad de las personas desempleadas,"803,23"
"CENTRE CIALRESTAURA.CASTELLDEFELS,SL",Mejorar la empleabilidad de las personas desempleadas,"129,83"
CENTRE CLINIC VETERINARI DE LLEIDA I DEL SEGRIA SL,Mejorar la empleabilidad de las personas desempleadas,"65,03"
"CENTRE COMERCIAL DE L EIXAMPLE CONSELL DE CENT-BRUC, SL",Mejorar la empleabilidad de las personas desempleadas,"363,17"
CENTRE COMERCIAL PELEGRI SL,Mejorar la empleabilidad de las personas desempleadas,"1.331,55"
"CENTRE COMPTABLE DE L EMPORDA, SL",Mejorar la empleabilidad de las personas desempleadas,"738,35"
CENTRE COMPTABLE ESTACIO SL,Mejorar la empleabilidad de las personas desempleadas,"354,15"
"CENTRE D ACTIVITATS LUDIQUES PIRINENQUES, SL",Mejorar la empleabilidad de las personas desempleadas,"379,92"
"CENTRE D ACTIVITATS PROFESSIONALS DEL VALLES, SL",Mejorar la empleabilidad de las personas desempleadas,"700,00"
"CENTRE D ASSESSORAMENT I FINQUES, SL",Mejorar la empleabilidad de las personas desempleadas,"920,79"
"CENTRE D AVENNOS TERAPEUTICS DR. TAHER ABBAS,S.L.",Mejorar la empleabilidad de las personas desempleadas,"700,00"
"CENTRE D ENSENYAMENT MUSICAL DE BARCELONA, SL",Mejorar la empleabilidad de las personas desempleadas,"700,00"
"CENTRE D ENSENYAMENT SANTA COLOMA, SA",Mejorar la empleabilidad de las personas desempleadas,"4.476,28"
"CENTRE D ENSENYAMENTS ESPECIALITZATS, SL",Mejorar la empleabilidad de las personas desempleadas,"1.206,47"
"CENTRE D ESTETICA DONNA, SL",Mejorar la empleabilidad de las personas desempleadas,"866,67"
"CENTRE D ESTETICA UMINA, SRL",Mejorar la empleabilidad de las personas desempleadas,"646,33"
"CENTRE D ESTIMULACIO INTELNLIGENCIA MATERIA GRIS,S.L.",Mejorar la empleabilidad de las personas desempleadas,"214,63"
CENTRE D ESTUDI I TRACTAMENT DE DISLEXIA MONTSERRAT EST,Mejorar la empleabilidad de las personas desempleadas,"850,00"
"CENTRE D ESTUDI LAMBDA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"970,80"
"CENTRE D ESTUDIS CATALUNYA CEDESCA, SL",Mejorar la empleabilidad de las personas desempleadas,"111,53"
CENTRE D ESTUDIS DE LA CONSTRUCCIO I ANALISI DE MATERIA,Mejorar la empleabilidad de las personas desempleadas,"216,65"
CENTRE D ESTUDIS DE PERFECCIONAMENT PROFESSIONAL 1 SL,Mejorar la empleabilidad de las personas desempleadas,"1.133,28"
"CENTRE D ESTUDIS DE SEGURETAT VIAL ES CASTELL, SL",Mejorar la empleabilidad de las personas desempleadas,"1.200,00"
CENTRE D ESTUDIS DEMOGRAFICS CONSORCIO CON PERSONALIDAD,Mejorar la empleabilidad de las personas desempleadas,"243,29"
CENTRE D ESTUDIS EL LLAPIS SL,Mejorar la empleabilidad de las personas desempleadas,"456,91"
"CENTRE D ESTUDIS EXIT PROFESIONAL, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.149,78"
CENTRE D ESTUDIS I IDIOMES MANBRIEL SL,Mejorar la empleabilidad de las personas desempleadas,"718,37"
CENTRE D ESTUDIS MUSICALS ESPECIALITZATS SL,Mejorar la empleabilidad de las personas desempleadas,"481,62"
"CENTRE D ESTUDIS POLITECNICS,S L",Mejorar la empleabilidad de las personas desempleadas,"2.438,12"
CENTRE D ESTUDIS TARONGER SL,Mejorar la empleabilidad de las personas desempleadas,"323,44"
CENTRE D INFORMACIO I DOCUMENTACIO INTERNACIONALS A BAR,Mejorar la empleabilidad de las personas desempleadas,"1.171,13"
"CENTRE D INTERMEDIACIO DE L HABITATGE, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.249,95"
"CENTRE D INTERVENCIO PSICOLOGICA EDUCAM, S.L",Mejorar la empleabilidad de las personas desempleadas,"63,74"
CENTRE D INVESTIGACIO I TRACTAMENT SA,Mejorar la empleabilidad de las personas desempleadas,"2.959,42"
"CENTRE D OBRA GRAFICA JOSEP GUINOVART,S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.125,00"
"CENTRE D ODONTOLOGIA INTEGRADA DE LA SEGARRA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"175,90"
"CENTRE D OSTEOPATIA I FISIOTERAPIA, SL",Mejorar la empleabilidad de las personas desempleadas,"1.345,77"
"CENTRE DE AUTORENTAT VINAROS, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.900,00"
"CENTRE DE CALCUL CADAQUES, SL",Mejorar la empleabilidad de las personas desempleadas,"1.274,94"
CENTRE DE CALCUL OLIVA SL,Mejorar la empleabilidad de las personas desempleadas,"252,61"
"CENTRE DE CAPACITACIO D ESTETICA CRISTINA SORLI, SL",Mejorar la empleabilidad de las personas desempleadas,"2.398,05"
CENTRE DE COMPTES BALAGUER SA,Mejorar la empleabilidad de las personas desempleadas,"1.900,00"
"CENTRE DE DIA I SERVEIS NOUS AVIS, S.C.C.L.",Mejorar la empleabilidad de las personas desempleadas,"26,64"
"CENTRE DE DIA NORAY, SL",Mejorar la empleabilidad de las personas desempleadas,"837,50"
CENTRE DE DIA TREVOL SCCL,Mejorar la empleabilidad de las personas desempleadas,"1.899,90"
"CENTRE DE EDUCACIO INFANTIL RIPOLLET, SL",Mejorar la empleabilidad de las personas desempleadas,"3.634,91"
CENTRE DE EDUCACIO INFANTIL XIU-XIU SL,Mejorar la empleabilidad de las personas desempleadas,"1.133,28"
"CENTRE DE FISIOTERAPIA LES PEDRERES, SL",Mejorar la empleabilidad de las personas desempleadas,"525,88"
"CENTRE DE FISIOTERAPIA URGELL, SL",Mejorar la empleabilidad de las personas desempleadas,"683,40"
"CENTRE DE FORMACIN AULA 7, SL",Mejorar la empleabilidad de las personas desempleadas,"51,06"
"CENTRE DE FORMACIO DE PARDINYES,SL",Mejorar la empleabilidad de las personas desempleadas,"495,81"
CENTRE DE FORMACIO DE PERRUQUERIA I ESTETICA-PARC ESTUD,Mejorar la empleabilidad de las personas desempleadas,"481,56"
CENTRE DE FORMACIO DEL TAXI SL,Mejorar la empleabilidad de las personas desempleadas,"1.596,57"
"CENTRE DE FORMACIO I ESTUDIS DE GIRONA, SL",Mejorar la empleabilidad de las personas desempleadas,"3.689,76"
"CENTRE DE FORMACIO IDIOMES VERSAILLES, SL",Mejorar la empleabilidad de las personas desempleadas,"63,72"
"CENTRE DE FORMACIO LLOC D ESTUDI, S.L.",Mejorar la empleabilidad de las personas desempleadas,"343,19"
CENTRE DE FORMACIO OCUPACIONAL LA PAPERERA,Mejorar la empleabilidad de las personas desempleadas,"216.587,76"
CENTRE DE FORMACIO PROFESIONAL I OCUPACIONAL NURIA VILE,Mejorar la empleabilidad de las personas desempleadas,"1.451,93"
"CENTRE DE FORMACIO TERRA ALTA,SL",Mejorar la empleabilidad de las personas desempleadas,"28,32"
"CENTRE DE GESTIO I SERVEIS ACFIS,SL",Mejorar la empleabilidad de las personas desempleadas,"918,40"
"CENTRE DE GESTIO MEDIAMBIENTAL, SL",Mejorar la empleabilidad de las personas desempleadas,"104,44"
CENTRE DE GESTIO PIRIZ SL,Mejorar la empleabilidad de las personas desempleadas,"398,99"
CENTRE DE GESTIONS GIRONA SL,Mejorar la empleabilidad de las personas desempleadas,"2.033,10"
"CENTRE DE GOLF SANT CEBRIA, SL",Mejorar la empleabilidad de las personas desempleadas,"286,67"
"CENTRE DE JARDINERIA EL RACN DEL JARDINER, S.L.",Mejorar la empleabilidad de las personas desempleadas,"689,91"
CENTRE DE JARDINERIA I PAISAJISME QUERCUS SL,Mejorar la empleabilidad de las personas desempleadas,"1.425,00"
"CENTRE DE JARDINERIA SANT NARCIS, SL UNIPERSONAL",Mejorar la empleabilidad de las personas desempleadas,"4.944,27"
"CENTRE DE JARDINERIA SEIMA, SL",Mejorar la empleabilidad de las personas desempleadas,"363,17"
CENTRE DE JARDINERIA SILS SA,Mejorar la empleabilidad de las personas desempleadas,"56,64"
CENTRE DE MANTENIMENT ALIMENTARI. SL,Mejorar la empleabilidad de las personas desempleadas,"165,00"
"CENTRE DE MECANITZACIO,S.L.",Mejorar la empleabilidad de las personas desempleadas,"99,97"
"CENTRE DE MEDICINA HOMEOPATICA I BIOLOGICA, SL",Mejorar la empleabilidad de las personas desempleadas,"2.991,31"
CENTRE DE NEGOCIS UFANA ECOMERCATS SL,Mejorar la empleabilidad de las personas desempleadas,"2.394,64"
"CENTRE DE PLANTES OCHEDA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"3.253,60"
"CENTRE DE PREVENCIO I TRACTAMENT ANOREXIA I BULIMIA, SL",Mejorar la empleabilidad de las personas desempleadas,"982,15"
CENTRE DE RECERCA I INFORMACIO EN CONSUM,Mejorar la empleabilidad de las personas desempleadas,"99,99"
"CENTRE DE RECUPERACIO FISIOMED,SL",Mejorar la empleabilidad de las personas desempleadas,"832,25"
CENTRE DE RECUPERACIO FUNCIONAL CUBELLES SL,Mejorar la empleabilidad de las personas desempleadas,"258,48"
CENTRE DE REHABILITACIO I LLENGUATGE SL,Mejorar la empleabilidad de las personas desempleadas,"906,90"
"CENTRE DE REHABILITACIO SANT ANTONI ABAT, SL",Mejorar la empleabilidad de las personas desempleadas,"649,27"
"CENTRE DE RENTAT CATALUNYA 2005, SL",Mejorar la empleabilidad de las personas desempleadas,"433,30"
"CENTRE DE SALUT DE LA COLUMNA VERTEBRAL, SL",Mejorar la empleabilidad de las personas desempleadas,"1.992,74"
"CENTRE DE SALUT I BELLESA VICTORIA, SL",Mejorar la empleabilidad de las personas desempleadas,"708,30"
CENTRE DE SANITAT AVICOLA DE CATALUNYA,Mejorar la empleabilidad de las personas desempleadas,"3.201,78"
"CENTRE DE SERVEIS DENTALS VILA-SECA, SL",Mejorar la empleabilidad de las personas desempleadas,"787,69"
CENTRE DE SOFT INTEGRAL SL,Mejorar la empleabilidad de las personas desempleadas,"755,59"
"CENTRE DENTAL ABAC, SL",Mejorar la empleabilidad de las personas desempleadas,"796,56"
