"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"EORO SERVICIOS Y GESTION INTEGRAL SL","Mejorar la empleabilidad de las personas desempleadas","929,97"
"EOS ESTUDIO 41, S.L.","Mejorar la empleabilidad de las personas desempleadas","741,96"
"EOS RISQ ESPANA CORREDURIA DE SEGUROS Y REASEGUROS SA","Mejorar la empleabilidad de las personas desempleadas","1.362,23"
"EOTALGRUP, SL","Mejorar la empleabilidad de las personas desempleadas","1.313,02"
"EP HEALTH MARKETING, SL","Mejorar la empleabilidad de las personas desempleadas","3.561,02"
"EP SERVICIOS INTEGRALES DE GESTION SA","Mejorar la empleabilidad de las personas desempleadas","1.546,66"
"EPADECHE SL","Mejorar la empleabilidad de las personas desempleadas","89,91"
"EPATEC SL","Mejorar la empleabilidad de las personas desempleadas","828,69"
"EPAYDA SA","Mejorar la empleabilidad de las personas desempleadas","432,03"
"EPC ASSESORS LEGALS I TRIBUTARIS, SL","Mejorar la empleabilidad de las personas desempleadas","207,74"
"EPCJ ASESORES CONSULTORES SL","Mejorar la empleabilidad de las personas desempleadas","1.660,75"
"EPD SL","Mejorar la empleabilidad de las personas desempleadas","84,99"
"EPE S SOBRINO SL","Mejorar la empleabilidad de las personas desempleadas","355,58"
"EPES INDUSTRIAS GRAFICAS SL","Mejorar la empleabilidad de las personas desempleadas","483,25"
"EPHEMERIS INMOBILIARIA S.L.","Mejorar la empleabilidad de las personas desempleadas","946,75"
"EPICA LABORAL CANARIAS_S L","Mejorar la empleabilidad de las personas desempleadas","181,78"
"EPICENTER MALAGA SL","Mejorar la empleabilidad de las personas desempleadas","544,32"
"EPICO, SA","Mejorar la empleabilidad de las personas desempleadas","1.650,00"
"EPICOM SA","Mejorar la empleabilidad de las personas desempleadas","2.991,14"
"EPIDOR SA","Mejorar la empleabilidad de las personas desempleadas","4.314,03"
"EPIFANIO CAMPO SL","Mejorar la empleabilidad de las personas desempleadas","1.339,96"
"EPILA PARADA SL","Mejorar la empleabilidad de las personas desempleadas","1.117,31"
"EPILMASTER CANTABRIA SL","Mejorar la empleabilidad de las personas desempleadas","2.620,71"
"EPILTEC DEPILACION MEDICA. S.L.","Mejorar la empleabilidad de las personas desempleadas","1.688,09"
"EPIS ARCHANDA, SL","Mejorar la empleabilidad de las personas desempleadas","2.299,92"
"EPISA INGENIERIA SL","Mejorar la empleabilidad de las personas desempleadas","1.160,03"
"EPISER, SL","Mejorar la empleabilidad de las personas desempleadas","2.031,02"
"EPIZOILA SL","Mejorar la empleabilidad de las personas desempleadas","70,83"
"EPLAN ESPANA SA","Mejorar la empleabilidad de las personas desempleadas","132,19"
"EPOCHE AND ESPRI, S.L.","Mejorar la empleabilidad de las personas desempleadas","995,61"
"EPORA TEXTIL SL","Mejorar la empleabilidad de las personas desempleadas","1.420,32"
"EPORTALES BUSINESS CONSULTING SL","Mejorar la empleabilidad de las personas desempleadas","396,67"
"EPOTAM SOFTWARE, S.L.","Mejorar la empleabilidad de las personas desempleadas","600,03"
"EPOXIPLAST, SL","Mejorar la empleabilidad de las personas desempleadas","59,02"
"EPPENDORF IBERICA SL","Mejorar la empleabilidad de las personas desempleadas","1.463,77"
"EPRI SA","Mejorar la empleabilidad de las personas desempleadas","126,61"
"EPRIM BUSINESS CONSULTING SA","Mejorar la empleabilidad de las personas desempleadas","927,81"
"EPROM FORMACION SL","Mejorar la empleabilidad de las personas desempleadas","51,92"
"EPROMEXTSL","Mejorar la empleabilidad de las personas desempleadas","563,79"
"EPROVISA PROMOTORA GALLEGA SA","Mejorar la empleabilidad de las personas desempleadas","283,31"
"EPSILON ABOGADOS S L","Mejorar la empleabilidad de las personas desempleadas","722,79"
"EPSILON EMPRESA DE PRODUCTOS Y SERVICIOS PARA LA INTEGR","Mejorar la empleabilidad de las personas desempleadas","886,58"
"EPSILON PRIMA, SA","Mejorar la empleabilidad de las personas desempleadas","49,58"
"EPSILON SERVICIOS DE INGENIERIA 2006,S.L.","Mejorar la empleabilidad de las personas desempleadas","1.108,34"
"EPSILON TECHNOLOGIES, SL","Mejorar la empleabilidad de las personas desempleadas","1.272,55"
"EPSYLON DECORACION SL","Mejorar la empleabilidad de las personas desempleadas","682,24"
"EPTA CLINIC SL","Mejorar la empleabilidad de las personas desempleadas","212,49"
"EPTA IBERIA SA","Mejorar la empleabilidad de las personas desempleadas","363,56"
"EPTRON SA","Mejorar la empleabilidad de las personas desempleadas","8.186,67"
"EPV NORTE ASESORES CONSULTORES SAL","Mejorar la empleabilidad de las personas desempleadas","899,52"
"EQ2B CONSULTING TECNOLOGICO, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.198,94"
"EQA CERTIFICADOS I MAS D MAS I SL","Mejorar la empleabilidad de las personas desempleadas","1.633,69"
"EQMED GRUPO INGENIERO CONSULTOR, SL","Mejorar la empleabilidad de las personas desempleadas","134,55"
"EQU VET SL","Mejorar la empleabilidad de las personas desempleadas","720,11"
"EQUAL LLABERIA, SL","Mejorar la empleabilidad de las personas desempleadas","384,84"
"EQUALID SOLUTIONS, S.L.","Mejorar la empleabilidad de las personas desempleadas","463,30"
"EQUALMAS 5,S.L.","Mejorar la empleabilidad de las personas desempleadas","3.940,15"
"EQUICENTRE URGELL-PIRINEUS, S.L.","Mejorar la empleabilidad de las personas desempleadas","50,01"
"EQUIFAB, SL","Mejorar la empleabilidad de las personas desempleadas","206,67"
"EQUIGESTION SL","Mejorar la empleabilidad de las personas desempleadas","134,55"
"EQUILAB SA","Mejorar la empleabilidad de las personas desempleadas","1.912,79"
"EQUILATERAL SA","Mejorar la empleabilidad de las personas desempleadas","687,05"
"EQUILIBRADOS MUELLES Y EQUIPOS INDUSTRIALES, SL","Mejorar la empleabilidad de las personas desempleadas","1.610,00"
"EQUILIBRADOS TECNICOS SA","Mejorar la empleabilidad de las personas desempleadas","269,13"
"EQUILIBRIO ENERGNTICO NATURAL SL UNIPERSONAL","Mejorar la empleabilidad de las personas desempleadas","338,00"
"EQUILIBRIO URBANO, S.L.","Mejorar la empleabilidad de las personas desempleadas","400,02"
"EQUILIT QUIROMASAJE,S.L.","Mejorar la empleabilidad de las personas desempleadas","233,69"
"EQUIMODAL SL","Mejorar la empleabilidad de las personas desempleadas","244,46"
"EQUIN GESTION PARKING SISTEMAS SL","Mejorar la empleabilidad de las personas desempleadas","6.510,47"
"EQUIN SA","Mejorar la empleabilidad de las personas desempleadas","1.124,44"
"EQUINER E.I.A. SL","Mejorar la empleabilidad de las personas desempleadas","838,96"
"EQUINOCCIO COMPANIA DE COMERCIO EXTERIOR SL","Mejorar la empleabilidad de las personas desempleadas","613,84"
"EQUINOCCIO VIAJES SAL","Mejorar la empleabilidad de las personas desempleadas","478,08"
"EQUINOX PINTURA Y DECORACION, S.L.","Mejorar la empleabilidad de las personas desempleadas","483,39"
"EQUINSE SA","Mejorar la empleabilidad de las personas desempleadas","1.900,00"
"EQUIP BARCELONA 92 SL","Mejorar la empleabilidad de las personas desempleadas","559,52"
"EQUIP D INTERPRETS, S.L.","Mejorar la empleabilidad de las personas desempleadas","839,30"
"EQUIP TATJER, SL","Mejorar la empleabilidad de las personas desempleadas","716,67"
"EQUIP-3000, SA","Mejorar la empleabilidad de las personas desempleadas","4.018,97"
"EQUIPA COMUNICACION Y MARKETING,S.L.","Mejorar la empleabilidad de las personas desempleadas","571,27"
"EQUIPACION INTEGRAL DE OFICINAS EXTREMENAS; SL","Mejorar la empleabilidad de las personas desempleadas","16,52"
"EQUIPACIONES LABORALES J P T SL","Mejorar la empleabilidad de las personas desempleadas","1.088,20"
"EQUIPAMENTS J. VIDAL, SL","Mejorar la empleabilidad de las personas desempleadas","714,44"
"EQUIPAMENTS PER AL BANY PEIPE, S.L.","Mejorar la empleabilidad de las personas desempleadas","236,09"
"EQUIPAMIENTO DE BARES SL","Mejorar la empleabilidad de las personas desempleadas","3.219,98"
"EQUIPAMIENTO DISENO Y MOBILIARIO DE OFICINAS C-L SL","Mejorar la empleabilidad de las personas desempleadas","1.023,31"
"EQUIPAMIENTO INDUSTRIAL MAHER SL","Mejorar la empleabilidad de las personas desempleadas","335,50"
"EQUIPAMIENTO INSTITUCIONAL SA","Mejorar la empleabilidad de las personas desempleadas","4.558,05"
"EQUIPAMIENTO INTEGRAL DE OFICINAS SL","Mejorar la empleabilidad de las personas desempleadas","1.302,29"
"EQUIPAMIENTO Y DECORACION 2000 SL","Mejorar la empleabilidad de las personas desempleadas","184,14"
"EQUIPAMIENTOS AMBIENTALES SL","Mejorar la empleabilidad de las personas desempleadas","2.092,02"
"EQUIPAMIENTOS AVANZADOS S.L.","Mejorar la empleabilidad de las personas desempleadas","1.900,00"
"EQUIPAMIENTOS BORMAR,S.L.","Mejorar la empleabilidad de las personas desempleadas","9.758,55"
"EQUIPAMIENTOS CASTELLANOS SL","Mejorar la empleabilidad de las personas desempleadas","150,00"
"EQUIPAMIENTOS CLINICOS Y GERIATRICOS SL","Mejorar la empleabilidad de las personas desempleadas","813,36"
"EQUIPAMIENTOS DE OFICINA LOM SL","Mejorar la empleabilidad de las personas desempleadas","728,86"
"EQUIPAMIENTOS DEPORTIVOS SA","Mejorar la empleabilidad de las personas desempleadas","1.483,25"
"EQUIPAMIENTOS DEPORTIVOS Y DE OCIO SA","Mejorar la empleabilidad de las personas desempleadas","1.899,90"
"EQUIPAMIENTOS DOMESTICOS SL","Mejorar la empleabilidad de las personas desempleadas","1.254,80"
"EQUIPAMIENTOS EOLICOS SL","Mejorar la empleabilidad de las personas desempleadas","1.483,87"
"EQUIPAMIENTOS ESCENICOS TELART SL","Mejorar la empleabilidad de las personas desempleadas","593,24"
"EQUIPAMIENTOS FAMILIAR Y SERVICIOS SA","Mejorar la empleabilidad de las personas desempleadas","957,80"
"EQUIPAMIENTOS FARRAN, SL","Mejorar la empleabilidad de las personas desempleadas","300,00"
"EQUIPAMIENTOS GYMTECH, S.L.","Mejorar la empleabilidad de las personas desempleadas","220,45"
"EQUIPAMIENTOS HOSTELEROS CALATAYUD SL","Mejorar la empleabilidad de las personas desempleadas","793,14"
"EQUIPAMIENTOS HOSTELEROS DEL SUR S.L.","Mejorar la empleabilidad de las personas desempleadas","926,48"
"EQUIPAMIENTOS INDUSTRIALES Y AGRICOLAS SL","Mejorar la empleabilidad de las personas desempleadas","262,05"
"EQUIPAMIENTOS J2 SL","Mejorar la empleabilidad de las personas desempleadas","1.900,00"
"EQUIPAMIENTOS METALURGICOS E INDUSTRIALES, SL","Mejorar la empleabilidad de las personas desempleadas","424,96"
"EQUIPAMIENTOS POLIVALENTES,S.L.","Mejorar la empleabilidad de las personas desempleadas","136,91"
"EQUIPAMIENTOS TECNICOS COMERCIALES SA","Mejorar la empleabilidad de las personas desempleadas","2.057,76"
"EQUIPAMIENTOS VIMAR, SL","Mejorar la empleabilidad de las personas desempleadas","4.671,96"
"EQUIPAMIENTOS Y SEGURIDAD DEPORTIVA SL","Mejorar la empleabilidad de las personas desempleadas","1.426,51"
"EQUIPAMOVIL LLEVANT SL","Mejorar la empleabilidad de las personas desempleadas","750,00"
"EQUIPAT TEAMWEAR,SL","Mejorar la empleabilidad de las personas desempleadas","2.125,55"
"EQUIPCERAMIC, SA","Mejorar la empleabilidad de las personas desempleadas","5.118,87"
"EQUIPDRAULIC, SL","Mejorar la empleabilidad de las personas desempleadas","1.123,01"
"EQUIPE CERAMICASS.L.","Mejorar la empleabilidad de las personas desempleadas","266,68"
"EQUIPER, SL","Mejorar la empleabilidad de las personas desempleadas","511,09"
"EQUIPMENT TRANSFER INGENIERIA, S.L.","Mejorar la empleabilidad de las personas desempleadas","2.252,33"
"EQUIPO 4D Y ASOCIADOS SL","Mejorar la empleabilidad de las personas desempleadas","418,37"
"EQUIPO 56, SL","Mejorar la empleabilidad de las personas desempleadas","139,96"
"EQUIPO A & REDES, SL","Mejorar la empleabilidad de las personas desempleadas","2.375,00"
"EQUIPO CB","Mejorar la empleabilidad de las personas desempleadas","940,21"
"EQUIPO COMERCIAL SA","Mejorar la empleabilidad de las personas desempleadas","1.543,33"
"EQUIPO CONSULTOR ASESORES SL","Mejorar la empleabilidad de las personas desempleadas","1.029,29"
"EQUIPO D.R.T. SA","Mejorar la empleabilidad de las personas desempleadas","2.479,07"
"EQUIPO DE ANALISTAS SOCIECONOMICOS SL","Mejorar la empleabilidad de las personas desempleadas","1.900,00"
"EQUIPO DE CINE ESPECTACULOS Y PRODUCCIONES CULTURALES S","Mejorar la empleabilidad de las personas desempleadas","1.818,62"
"EQUIPO DE CONSULTORES ALAMO CONSULTING GROUP,S.L.U. -T-","Mejorar la empleabilidad de las personas desempleadas","709,11"
"EQUIPO DE ESTUDIOS URBANISTICOS SL","Mejorar la empleabilidad de las personas desempleadas","472,50"
"EQUIPO DE GESTION PARA PYMES SL","Mejorar la empleabilidad de las personas desempleadas","495,82"
"EQUIPO DE INNOVACION EDUCATIVA S COOP MAD","Mejorar la empleabilidad de las personas desempleadas","585,53"
"EQUIPO DE OBRAS, LUZ, AGUA Y GAS, SL","Mejorar la empleabilidad de las personas desempleadas","260,27"
"EQUIPO DE PROSPECCIONES SA","Mejorar la empleabilidad de las personas desempleadas","1.274,94"
"EQUIPO DE TECNICOS DE TRANSPORTE Y TERRITORIO PROYECTOS","Mejorar la empleabilidad de las personas desempleadas","2.790,80"
"EQUIPO DE TECNICOS EN TRANSPORTE Y TERRITORIO SA","Mejorar la empleabilidad de las personas desempleadas","4.181,48"
"EQUIPO EDUCATIVO INTEGRAL, S.L.","Mejorar la empleabilidad de las personas desempleadas","11.446,89"
"EQUIPO FUNAMBULA SLL","Mejorar la empleabilidad de las personas desempleadas","611,89"
"EQUIPO GRAFICO DEDALUS SL","Mejorar la empleabilidad de las personas desempleadas","462,77"
"EQUIPO HUMANO DE DISENO SL","Mejorar la empleabilidad de las personas desempleadas","900,00"
"EQUIPO IMPULSO MARKETING, SL","Mejorar la empleabilidad de las personas desempleadas","1.345,77"
"EQUIPO MECANO SL","Mejorar la empleabilidad de las personas desempleadas","1.013,37"
"EQUIPO MEDICO DE OBSTETRICIA Y GINECOLOGIA SL","Mejorar la empleabilidad de las personas desempleadas","3.643,79"
"EQUIPO MEDICO VERGE PERZ,S.L.","Mejorar la empleabilidad de las personas desempleadas","746,62"
"EQUIPO MIRA M, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.617,23"
"EQUIPO MIXTO SPORT, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.039,96"
"EQUIPO PERICIAL SL","Mejorar la empleabilidad de las personas desempleadas","1.800,00"
"EQUIPO POSTAL SL","Mejorar la empleabilidad de las personas desempleadas","4.807,13"
"EQUIPO PROFESIONAL DE INTERVENCION COMUNITARIA SL","Mejorar la empleabilidad de las personas desempleadas","2.230,65"
"EQUIPO SIETE CONSULTORES SL","Mejorar la empleabilidad de las personas desempleadas","1.076,58"
"EQUIPO SINGULAR, SL","Mejorar la empleabilidad de las personas desempleadas","1.623,00"
"EQUIPO TECNICO DE MONTAJES, SL","Mejorar la empleabilidad de las personas desempleadas","763,27"
"EQUIPO TIC XXI SL","Mejorar la empleabilidad de las personas desempleadas","1.834,59"
"EQUIPO VETERINARIO 24 HORAS S.L.","Mejorar la empleabilidad de las personas desempleadas","938,42"
"EQUIPOL DE SEGURIDAD Y CRISIS, SL","Mejorar la empleabilidad de las personas desempleadas","297,21"
"EQUIPOMODA SL","Mejorar la empleabilidad de las personas desempleadas","2.289,93"
"EQUIPOS AUDIVISUALES GENERALES INSTALACIONES SL","Mejorar la empleabilidad de las personas desempleadas","15,03"
"EQUIPOS DE ASESORIA E INVESTIGACION SA","Mejorar la empleabilidad de las personas desempleadas","4.331,43"
"EQUIPOS DE CALDERERIA, SA","Mejorar la empleabilidad de las personas desempleadas","996,57"
"EQUIPOS DE CIMENTACIONES ARAGON,S.L.","Mejorar la empleabilidad de las personas desempleadas","1.220,23"
"EQUIPOS DE CONTROL RENTAVISION SL","Mejorar la empleabilidad de las personas desempleadas","29,97"
"EQUIPOS DE MONEDAS TELEFONICOS, SL","Mejorar la empleabilidad de las personas desempleadas","1.284,35"
"EQUIPOS DE NUESTRA SEﾄORA","Mejorar la empleabilidad de las personas desempleadas","872,93"
"EQUIPOS DE OFICINA DE TARRAGONA SA","Mejorar la empleabilidad de las personas desempleadas","786,67"
"EQUIPOS DE OFICINA MADRID CINCO SL","Mejorar la empleabilidad de las personas desempleadas","637,47"
"EQUIPOS DE SOPLADO AUTOMATICO, SAL","Mejorar la empleabilidad de las personas desempleadas","1.513,25"
"EQUIPOS DE TELECOMUNICACION OPTOELECTRONICOS SA","Mejorar la empleabilidad de las personas desempleadas","1.403,18"
"EQUIPOS DESCANSO MAREL, S.L.","Mejorar la empleabilidad de las personas desempleadas","733,20"
"EQUIPOS E INSTALACIONES DE ENVASADOS SL","Mejorar la empleabilidad de las personas desempleadas","287,72"
"EQUIPOS E INSTALACIONES DE SEGURIDAD SL","Mejorar la empleabilidad de las personas desempleadas","1.133,39"
"EQUIPOS EDYCEL EXPIM,S.L.","Mejorar la empleabilidad de las personas desempleadas","450,95"
"EQUIPOS FERROVIARIOS, S.L.","Mejorar la empleabilidad de las personas desempleadas","213,32"
"EQUIPOS INBEAT, SL","Mejorar la empleabilidad de las personas desempleadas","888,86"
"EQUIPOS INDUSTRIALES DE MANUTENCION SA","Mejorar la empleabilidad de las personas desempleadas","6.765,01"
"EQUIPOS MARCACASTELLON SL","Mejorar la empleabilidad de las personas desempleadas","203,05"
"EQUIPOS MECANICOS AUTOMOCION SL","Mejorar la empleabilidad de las personas desempleadas","2.141,59"
"EQUIPOS MECANICOS MURCIA, SL","Mejorar la empleabilidad de las personas desempleadas","1.443,19"
"EQUIPOS MEDINA SL","Mejorar la empleabilidad de las personas desempleadas","1.327,03"
"EQUIPOS NORNAVAL, S.L.","Mejorar la empleabilidad de las personas desempleadas","602,06"
"EQUIPOS OFIMATICOS SL","Mejorar la empleabilidad de las personas desempleadas","169,98"
"EQUIPOS PARA MANUTENCION Y OBRAS, SA","Mejorar la empleabilidad de las personas desempleadas","1.046,62"
"EQUIPOS TECNICOS PARA EL AGUA AQUAFLEX,S.L.","Mejorar la empleabilidad de las personas desempleadas","415,57"
"EQUIPOS TELEFONICOS DE COMUNICACION SL","Mejorar la empleabilidad de las personas desempleadas","2.809,60"
"EQUIPOS TERRESTRES, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.143,09"
"EQUIPOS Y COMPONENTES INFORMATICOS DE LAS ISLAS BALEARE","Mejorar la empleabilidad de las personas desempleadas","854,67"
"EQUIPOS Y CONSTRUCCIONES ELECTRICAS, SL","Mejorar la empleabilidad de las personas desempleadas","2.358,81"
"EQUIPOS Y SERVICIOS ALBEA TECNO ALBEA SA","Mejorar la empleabilidad de las personas desempleadas","1.496,67"
"EQUIPOS Y SERVICIOS DEL NORDESTE, SL","Mejorar la empleabilidad de las personas desempleadas","200,00"
"EQUIPOS Y SERVICIOS VALAVI,S.L.","Mejorar la empleabilidad de las personas desempleadas","1.066,30"
"EQUIPOS Y SERVICIOS XEROGRAFICOS SL","Mejorar la empleabilidad de las personas desempleadas","422,59"
"EQUIPOS Y SISTEMAS DE PROTECCINN LABORAL Y SEGURIDAD,SL","Mejorar la empleabilidad de las personas desempleadas","208,82"
"EQUIPOS Y SISTEMAS SA","Mejorar la empleabilidad de las personas desempleadas","1.173,39"
"EQUIPOSUR-MEDIO AMBIENTE Y MOBILIARIO ANDALUCIA, S.L","Mejorar la empleabilidad de las personas desempleadas","239,04"
"EQUIPS DE SEGURETAT I PROTECCIO INDIVIDUAL SL","Mejorar la empleabilidad de las personas desempleadas","295,12"
"EQUIPS I SUMINISTRES D OFICINA, SL","Mejorar la empleabilidad de las personas desempleadas","597,66"
"EQUIPSIS WORK,S.L.","Mejorar la empleabilidad de las personas desempleadas","1.114,89"
"EQUIP-VIC, SL","Mejorar la empleabilidad de las personas desempleadas","2.645,28"
"EQUIS CAMPO DE CRIPTANA CB","Mejorar la empleabilidad de las personas desempleadas","665,69"
"EQUIS EQUIS ELE COMUNICACION, SL","Mejorar la empleabilidad de las personas desempleadas","568,94"
"EQUISAN INSTALACIONES HIPICAS, S.L.","Mejorar la empleabilidad de las personas desempleadas","396,57"
"EQUISAT CLM SL","Mejorar la empleabilidad de las personas desempleadas","1.764,18"
"EQUISERVI-COMERCIAL, PROYECTOS Y SERVICIOS TECHNICOS SL","Mejorar la empleabilidad de las personas desempleadas","1.228,85"
"EQUITACION MERES S.L.","Mejorar la empleabilidad de las personas desempleadas","604,84"
"EQUITAL CLUB ESCUELA DE EQUITACION ALICANTINA","Mejorar la empleabilidad de las personas desempleadas","850,00"
"EQUITEX ASESORES DE EMPRESA SL","Mejorar la empleabilidad de las personas desempleadas","716,65"
"EQUITY & LAW INSURANCE BROKER SL","Mejorar la empleabilidad de las personas desempleadas","361,23"
"EQUITY LABOUR ABOGADOS SLL","Mejorar la empleabilidad de las personas desempleadas","2.259,62"
"EQUITY POINT HOLDING EMPRESARIAL,S.L.","Mejorar la empleabilidad de las personas desempleadas","491,09"
"EQUITY RESIDENCIAL,S.A.","Mejorar la empleabilidad de las personas desempleadas","566,64"
"EQUITY SOLUTIONS, SL","Mejorar la empleabilidad de las personas desempleadas","1.350,00"
"EQUIURBE SLL","Mejorar la empleabilidad de las personas desempleadas","1.659,06"
"EQUIVALE CAPITAL, S.L.","Mejorar la empleabilidad de las personas desempleadas","48,84"
"EQUMEDIA XL SA","Mejorar la empleabilidad de las personas desempleadas","1.345,77"
"EQUOCIO 2000 SL","Mejorar la empleabilidad de las personas desempleadas","440,00"
"EQUS SALAMANCA S.L.","Mejorar la empleabilidad de las personas desempleadas","5.266,10"
"EQUUS RIDING SHOP SL","Mejorar la empleabilidad de las personas desempleadas","1.225,35"
"EQUYFRIO SL","Mejorar la empleabilidad de las personas desempleadas","1.836,53"
"EQUYMELT SL","Mejorar la empleabilidad de las personas desempleadas","306,50"
"ER BACKSPIN PUBLICIDAD SL","Mejorar la empleabilidad de las personas desempleadas","2.399,44"
"ER TERMAGI, S.L.","Mejorar la empleabilidad de las personas desempleadas","163,80"
"ERA BIOTECH,S.A.","Mejorar la empleabilidad de las personas desempleadas","351,76"
"ERA COMUNICACION S.L.L.","Mejorar la empleabilidad de las personas desempleadas","141,66"
"ERA EMPRENDIMIENTOS, S.L.","Mejorar la empleabilidad de las personas desempleadas","831,05"
"ERA PARDIA, SL","Mejorar la empleabilidad de las personas desempleadas","795,65"
"ERA PLANTECH, SL","Mejorar la empleabilidad de las personas desempleadas","433,30"
"ERA PRODUCCIONES MUSICALES, S.L.","Mejorar la empleabilidad de las personas desempleadas","336,46"
"ERA SOLUCIONES,S.L.","Mejorar la empleabilidad de las personas desempleadas","408,83"
"ERABAUD BELONME S.L.","Mejorar la empleabilidad de las personas desempleadas","407,25"
"ERA-HOUSE 2000, SL","Mejorar la empleabilidad de las personas desempleadas","738,41"
"ERAIKATZ ERAIKUNTZA, S.L.","Mejorar la empleabilidad de las personas desempleadas","4.180,76"
"ERAIKI LANAK SL","Mejorar la empleabilidad de las personas desempleadas","288,81"
"ERAIKI OBRAS SL","Mejorar la empleabilidad de las personas desempleadas","126,67"
"ERAIKIN ERAIKETAK SL","Mejorar la empleabilidad de las personas desempleadas","183,25"
"ERAKUS ARQUITECTURA DE INTERIORES SA","Mejorar la empleabilidad de las personas desempleadas","2.359,94"
"ERALIS INVERSIONES SL","Mejorar la empleabilidad de las personas desempleadas","1.503,92"
"ERALTA AUTOMOCION SLL","Mejorar la empleabilidad de las personas desempleadas","1.900,00"
"ERAM CALZADOS, S.L.","Mejorar la empleabilidad de las personas desempleadas","966,67"
"ERAMAT COMPOSITES PLASTICOS SL","Mejorar la empleabilidad de las personas desempleadas","750,78"
"ERARCO MULTIMEDIA,S.L.","Mejorar la empleabilidad de las personas desempleadas","849,92"
"ERAS DEL BOSQUE SA","Mejorar la empleabilidad de las personas desempleadas","600,00"
"ERASMIL-MANTENIMIENTOS SL","Mejorar la empleabilidad de las personas desempleadas","315,45"
"ERASMUS BRUIN CAFE SL","Mejorar la empleabilidad de las personas desempleadas","1.041,18"
"ERASMUS RESTAURACION, S.L.","Mejorar la empleabilidad de las personas desempleadas","4,72"
"ERASO Y GARCIA RIPA SL","Mejorar la empleabilidad de las personas desempleadas","293,42"
"ERATIC SA","Mejorar la empleabilidad de las personas desempleadas","666,60"
"ERAYBA COSMETICS SA","Mejorar la empleabilidad de las personas desempleadas","509,94"
"ERBAUERTROPIK, SL","Mejorar la empleabilidad de las personas desempleadas","963,24"
"ERBE ECOTECNOLOGIA SL","Mejorar la empleabilidad de las personas desempleadas","800,04"
"ERBE SISTEMAS SL","Mejorar la empleabilidad de las personas desempleadas","30,68"
"ERBEDO JARDINERIA Y PAISAJISMO S.L.","Mejorar la empleabilidad de las personas desempleadas","604,68"
"ERCA INGENIEROS, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.444,89"
"ERCAZAMA, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.504,69"
"ERCER DISENO CONSTRUCCION E INSTALACIONES SL","Mejorar la empleabilidad de las personas desempleadas","1.886,63"
"ERCHIGA LOGISTICA ANDALUCIA SL","Mejorar la empleabilidad de las personas desempleadas","184,14"
"ERCILLA VISION SL","Mejorar la empleabilidad de las personas desempleadas","89,71"
