"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"A.DES.ECON.SOCIO-CULT. VALLES ALHAMA 
LIN","Mejorar la empleabilidad de las personas desempleadas","29.417,47"
"AFAMER CORREDOR DEL EBRO","Mejorar la empleabilidad de las personas desempleadas","48.505,58"
"ARAG-ASAJA","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","24.718,84"
"ASOCIACIÓN DE CASAS RURALES DE LA 
RIOJA","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","32.088,86"
"ASOCIACIÓN DE TÉCNICOS SUPERIORES DE 
LA RIOJA ATESCO","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","153.234,00"
"ASOCIACIÓN LABORAL","Mejorar la empleabilidad de las personas desempleadas","11.318,30"
"AYUNT.ARNEDO","Mejorar la empleabilidad de las personas desempleadas","48.540,70"
"AYUNT.ARNEDO","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","7.865,09"
"AYUNT.LOGROÑO","Mejorar la empleabilidad de las personas desempleadas","236.001,98"
"AYUNT.LOGROÑO","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","198.679,38"
"AYUNT.RINCON DE SOTO","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","9.708,47"
"BESTCATERING S.L.","Apoyo a la gestión de los programas operativos","635,58"
"C.S.I.F. DE LA RIOJA","Mejorar la empleabilidad de las personas desempleadas","65.436,00"
"COLEGIO OFICIAL DE ARQUITECTOS DE LA 
RIOJA","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","12.409,67"
"CONSULT MANAGEMENT & TRAINING 
TECHNOLOGIE","Apoyo a la gestión de los programas operativos","55.060,23"
"EXCMO AYUNTAMIENTO DE CALAHORRA","Mejorar la empleabilidad de las personas desempleadas","108.139,85"
"FUNDACIÓN DESARROLLO Y TURISMO","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","7.200,00"
"FUNDACIÓN LABORAL DE LA CONSTRUCCIÓN","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","42.679,66"
"IDOM INGENIERIA Y CONSULTORA S.A.","Apoyo a la gestión de los programas operativos","6.000,00"
"IDOM INGENIERIA Y CONSULTORIA S.A.","Apoyo a la gestión de los programas operativos","11.199,80"
"LA RIOJA TURISMO S.A.","Apoyo a la gestión de los programas operativos","1.057,86"
"SERVICIO RIOJANO DE EMPLEO (UNIDAD DE 
EMPLEO)","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","386.124,36"
"SINDICATO TRABAJADORES ADMON.RIOJANA","Mejorar la empleabilidad de las personas desempleadas","187.974,75"
"SINDICATO TRABAJADORES ADMON.RIOJANA","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","18.215,68"
"UNIÓN DE COOPERATIVAS DE TRABAJO 
ASOCIADO DE LA RIOJA UCOTAR","Mejorar la empleabilidad de las personas desempleadas","54.939,20"
