"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"IRITEK DISEÑO Y DELINEACION, S.L.","Mejorar la empleabilidad de las personas desempleadas","2.151,22"
"IRIUM CONSULTING SL","Mejorar la empleabilidad de las personas desempleadas","518,84"
"IRIX GALICIA, SL","Mejorar la empleabilidad de las personas desempleadas","1.453,28"
"IRIZA SA","Mejorar la empleabilidad de las personas desempleadas","655,14"
"IRKA TECNOLOGIAS, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.900,00"
"IRLA CB","Mejorar la empleabilidad de las personas desempleadas","2.434,06"
"IRM INSTALACIONES Y MONTAJES, SL","Mejorar la empleabilidad de las personas desempleadas","575,58"
"IRMA COMPLEMENTOS DECORATIVOS SL","Mejorar la empleabilidad de las personas desempleadas","1.808,76"
"IRMA JIMENEZ ASOCIADOS, S.L.","Mejorar la empleabilidad de las personas desempleadas","89,72"
"IRMANT ALJARAFE SL","Mejorar la empleabilidad de las personas desempleadas","103,33"
"IRMAOS SOUSA COMERCIO INTERNACIONAL SL","Mejorar la empleabilidad de las personas desempleadas","174,72"
"IRME SA","Mejorar la empleabilidad de las personas desempleadas","96,57"
"IRMSCHER S.A.E.","Mejorar la empleabilidad de las personas desempleadas","600,03"
"IRNEMA 47 SL","Mejorar la empleabilidad de las personas desempleadas","703,13"
"IROGERG PROMOCIONES, SL","Mejorar la empleabilidad de las personas desempleadas","1.345,77"
"IROKO FILMS SL","Mejorar la empleabilidad de las personas desempleadas","1.496,57"
"IROKOVET SLL","Mejorar la empleabilidad de las personas desempleadas","543,35"
"IROL SERVICIOS INTEGRALES S.L.","Mejorar la empleabilidad de las personas desempleadas","904,62"
"IRONCASA, S.L.","Mejorar la empleabilidad de las personas desempleadas","593,33"
"IRONGATE, SL","Mejorar la empleabilidad de las personas desempleadas","1.566,64"
"IRONIG,S.L","Mejorar la empleabilidad de las personas desempleadas","1.274,90"
"IRONIUM SL","Mejorar la empleabilidad de las personas desempleadas","623,21"
"IRONLUX GROUP 2003,S.A.","Mejorar la empleabilidad de las personas desempleadas","1.900,00"
"IRONMATRIC SL","Mejorar la empleabilidad de las personas desempleadas","133,34"
"IRONMEN SA","Mejorar la empleabilidad de las personas desempleadas","400,00"
"IRONTEC INTERNET Y SISTEMAS SOBRE GNU LINUX S.L.","Mejorar la empleabilidad de las personas desempleadas","1.791,19"
"IROSTEL RECUBRIMIENTOS PLASTICOS SL","Mejorar la empleabilidad de las personas desempleadas","239,86"
"IRPOL SA","Mejorar la empleabilidad de las personas desempleadas","4.812,65"
"IRQ COMPUTER MADRID SL","Mejorar la empleabilidad de las personas desempleadas","250,25"
"IRRADIA INGENIERIA SOLAR, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.872,23"
"IRRATI LIBREA KULTUR ELKARTEA","Mejorar la empleabilidad de las personas desempleadas","351,24"
"IRRIMON SUR SL","Mejorar la empleabilidad de las personas desempleadas","500,00"
"IRRIVERENZA JACLE, S.L.","Mejorar la empleabilidad de las personas desempleadas","906,62"
"IRSA-INSTALADORES REUNIDOS SA","Mejorar la empleabilidad de las personas desempleadas","343,33"
"IRSON EMPRESARIAL, SL","Mejorar la empleabilidad de las personas desempleadas","708,27"
"IRTA HOOK PENISCOLA 2006,SL","Mejorar la empleabilidad de las personas desempleadas","410,48"
"IRU ARGUI INSTALACIONES ELECTRICAS,S.L.L.","Mejorar la empleabilidad de las personas desempleadas","1.240,02"
"IRU COSMETICA SL","Mejorar la empleabilidad de las personas desempleadas","303,37"
"IRU ESTACIONES DE SERVICIO SL","Mejorar la empleabilidad de las personas desempleadas","1.944,13"
"IRU GESTIO PRODUCCIO, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.187,53"
"IRU INSTALACIONES Y REFORMAS VERTICALES CASTELLON S.L.","Mejorar la empleabilidad de las personas desempleadas","759,95"
"IRU LANA OBRAS Y SERVICIOS SL","Mejorar la empleabilidad de las personas desempleadas","1.700,00"
"IRU OFFICE Y HOME,S.L.","Mejorar la empleabilidad de las personas desempleadas","509,58"
"IRU PELUQUEROS SL","Mejorar la empleabilidad de las personas desempleadas","80,24"
"IRU VEHICULOS INDUSTRIALES SL","Mejorar la empleabilidad de las personas desempleadas","1.080,00"
"IRUA TECH INDUSTRIES SL","Mejorar la empleabilidad de las personas desempleadas","3.796,54"
"IRUALBA XXI, S.L.","Mejorar la empleabilidad de las personas desempleadas","787,50"
"IRUDEBI DIARCO, S.L","Mejorar la empleabilidad de las personas desempleadas","266,61"
"IRULEKU SL","Mejorar la empleabilidad de las personas desempleadas","356,51"
"IRUMAR CONSULTING SL","Mejorar la empleabilidad de las personas desempleadas","1.324,44"
"IRUME TALDEA SL","Mejorar la empleabilidad de las personas desempleadas","691,12"
"IRUN BOCATA SL","Mejorar la empleabilidad de las personas desempleadas","1.246,15"
"IRUN STOCKS, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.128,53"
"IRUNA 200, SL","Mejorar la empleabilidad de las personas desempleadas","1.203,33"
"IRUNA KUSTOM,S.L","Mejorar la empleabilidad de las personas desempleadas","491,06"
