BENEFICIARIO,TIPO DE OPERACIÓN,"GASTO
PÚBLICO"
2003 DENTAL FAMILY SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
4 PLUS INGENIEROS Y ARQUITECTOS SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
ABACO PROJECT MANAGEMENT SLU,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.750,00"
ABBACO BEBE SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
ABOLENGO INTERIORES SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","14.362,50"
ABRIL SA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","10.000,00"
AC MUÑOZ LIMPIEZAS SLU,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
ACADEMIA DIDACTICA SL,Mejorar la empleabilidad de las personas desempleadas,"79.504,26"
ACADEMIA LATINA SL,"Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","4.113,10"
ACAPERSA 1997 SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
ACCESOS WEB ALTERNATIVOS AWA SL,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","29.000,00"
ACCIONA FACILITY SERVICES SA,"Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","840,00"
ACCIONA FACILITY SERVICES SA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","60.000,00"
ACEITES LA CANAL SA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ACEITES MIRALLES, SLU","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ACEROS Y CONSTRUCCIONES ESPINOSA, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.000,00"
