"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"AFINCAS ADLISUR SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.750,00"
"AFR DREHAS SL EN CONSTITUCION","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.500,00"
"AGAPE SIGLO XXI","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"AGENCIA COMERCIAL FEDERICO SAN","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"AGENCIA DE LA PROPIEDAD INMOBI","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"AGENCIA DE SEGUROS TEJERA MART","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.197,50"
"AGENCIA PUBLICIDAD JORMAR SL","Mejorar la empleabilidad de las personas desempleadas","4.750,00"
"AGRICENTRO SANTA BARBARA SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"AGRICOLA ARROYO MACIAS,S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"AGRICOLA GUADALHORCE SL","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","20.008,70"
"AGRICULTURA INGENIERIA TECNICA","Mejorar la empleabilidad de las personas desempleadas","2.625,00"
"AGRO INDUSTRIAL CANTISANO E HI","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.750,00"
"AGROALBERTO SCA","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","109,68"
"AGROBIO SL","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","160,50"
"AGROBROKER ANTEQUERA SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"AGROCOLOR SL","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","1.190,00"
"AGROECOLOGICA ALCAPARED SLL EN","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","9.300,00"
