"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"3000 INFORMATICA, S.L.","Mejorar la empleabilidad de las personas desempleadas","27.117,00"
"3000 INFORMATICA, S.L.","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","3.795,00"
"7 DIAS JUMILLA SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.100,00"
"A,SANCHEZ ASESORES TRIBUTARIOS,S.L","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.700,00"
"ABOGADOS Y ECONOMISTAS INDEPENDIENT","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
"ACADEMIA CENTRO MURCIA, SL","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","4.622,40"
"ACADEMIA MANUEL PEDRERO SL","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","17.894,96"
"ACTIVIDADES DEPORTIVAS Y DE INSERCI","Mejorar la empleabilidad de las personas desempleadas","21.823,27"
"ACTIVIDADES DEPORTIVAS Y DE INSERCIÓN 
S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","61.847,19"
"ACTIVIDADES DIVERSAS FINANCIERAS FA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
"ADFINSUR ADMINISTRACION DE FINCAS S","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.700,00"
"ADHESIVOS ORCAJADA SA LABORAL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
"AFAPEDIS ASOC FAMILIARES DE PERSONA","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","4.978,59"
"AGENCIA DE DESARROLLO LOCAL Y EMPLE","Favorecer la integración social y laboral de las personas inmigrantes","3.556,38"
"AGENCIA DE DESARROLLO LOCAL Y EMPLE","Mejorar la empleabilidad de las personas desempleadas","4.501,35"
"AGENCIA DE DESARROLLO LOCAL Y EMPLE","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","14.225,54"
"AGUAS DE SANALCO,SLU","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","7.200,00"
"AGUILAS TURISMO BUS SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
"AISLAMIENTOS LORCA SLL","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.400,00"
"AISLANET MURCIA 2007, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.400,00"
