BENEFICIARIO,TIPO DE OPERACIÓN,PO FSE ADAPTABILIDAD Y EMPLEO
LABORATORIOS DERMOCOSMETICOS SA,Mejorar a empleabilidad de las personas desempleadas,"538,29"
"LABORATORIOS DIAFARM, SA",Mejorar a empleabilidad de las personas desempleadas,"18.170,13"
LABORATORIOS DIASA PHARMA SA,Mejorar a empleabilidad de las personas desempleadas,"1.109,99"
LABORATORIOS DIESEL JOSE LARA BONILLA SL,Mejorar a empleabilidad de las personas desempleadas,"193,28"
LABORATORIOS E INDUSTRIAS NORIEGA SL,Mejorar a empleabilidad de las personas desempleadas,"245,53"
LABORATORIOS E PORTALES SL,Mejorar a empleabilidad de las personas desempleadas,"500,53"
LABORATORIOS ECONATUR SL,Mejorar a empleabilidad de las personas desempleadas,"422,66"
LABORATORIOS EFFIK SA,Mejorar a empleabilidad de las personas desempleadas,"2.133,61"
LABORATORIOS ERN SA,Mejorar a empleabilidad de las personas desempleadas,"2.555,23"
LABORATORIOS EXPANSCIENCE SA,Mejorar a empleabilidad de las personas desempleadas,"1.974,08"
"LABORATORIOS FARMACEUTICOS ARABIS, SL",Mejorar a empleabilidad de las personas desempleadas,"3.214,63"
LABORATORIOS FARMACEUTICOS GUERBET SA,Mejorar a empleabilidad de las personas desempleadas,"1.484,98"
LABORATORIOS FARMACEUTICOS LOGOGEN SA,Mejorar a empleabilidad de las personas desempleadas,"7.687,13"
LABORATORIOS FARMACEUTICOS MEDIXFARMA SL,Mejorar a empleabilidad de las personas desempleadas,"393,29"
LABORATORIOS FARMACEUTICOS ROVI SA,Mejorar a empleabilidad de las personas desempleadas,"7.493,54"
LABORATORIOS FARMACEUTICOS VALOMED SA,Mejorar a empleabilidad de las personas desempleadas,"5.622,92"
"LABORATORIOS FERQUISA, S.A.",Mejorar a empleabilidad de las personas desempleadas,"236,67"
"LABORATORIOS FONTALBA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"279,92"
LABORATORIOS FORENQUI SA,Mejorar a empleabilidad de las personas desempleadas,"400,00"
