nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
AUTORIDAD PORTUARIA DE LAS PALMAS,PUNTO INSP FRONTERIZA (PIF) Y RECINTO ADUANERO HABILITADO ARRECIFE,"932.000,00",932000.00,"388.601,99",388601.99,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3031)IC11.pdf
AUTORIDAD PORTUARIA DE LAS PALMAS,P. INSPECCIÓN FRONT (PIF) Y RECINTO ADUANERO HABILIT PTO ROSARIO,"958.000,00",958000.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3031)IC11.pdf
AUTORIDAD PORTUARIA DE LAS PALMAS,EMISARIO SUBMARINO EN EL PUERTO DE ARINAGA,"2.293.356,82",2293356.82,"2.071.844,42",2071844.42,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3031)IC11.pdf
AUTORIDAD PORTUARIA DE LAS PALMAS,MUELLE DE CRUCEROS EN EL PUERTO DE ARRECIFE (1ª fase A),"15.562.038,98",15562038.98,"2.102.881,47",2102881.47,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3031)IC11.pdf
AUTORIDAD PORTUARIA DE LAS PALMAS,P. INSPECCIÓN FRONT (PIF) Y RECINTO ADUANERO HABILIT PTO ROSARIO,"958.000,00",958000.00,"425.145,79",425145.79,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3031)IC11.pdf
AUTORIDAD PORTUARIA DE LAS PALMAS,PUNTO INSP FRONTERIZA (PIF) Y RECINTO ADUANERO HABILITADO ARRECIFE,"932.000,00",932000.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3031)IC11.pdf
AUTORIDAD PORTUARIA DE SANTA CRUZ DE TENERIFE,AMPLIACIÓN ESTACIÓN MARÍTIMA DE SAN SEBASTIÁN DE LA GOMERA,"2.091.539,02",2091539.02,"300.746,50",300746.50,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3031)IC11.pdf
AUTORIDAD PORTUARIA DE SANTA CRUZ DE TENERIFE,INSTALACIÓN FOTOVOLTAICA PARA LA ESTACIÓN MARÍTIMA ACTUAL DEL PUERTO DE S/C LA PALMA,"299.033,28",299033.28,"277.884,50",277884.50,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3031)IC11.pdf
AUTORIDAD PORTUARIA DE SANTA CRUZ DE TENERIFE,AMPLIACIÓN ESTACIÓN MARÍTIMA DEL PUERTO DE STA CRUZ DE LA PALMA,"1.286.645,71",1286645.71,"1.278.668,50",1278668.50,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3031)IC11.pdf
AEROPUERTOS ESPAÑOLES Y NAVEGACIÓN AÉREA (MF),A.T.R.P. NUEVA CALLE DE SALIDA RAPIDA EN CABECERA 21,"112.275,00",112275.00,"101.146,91",101146.91,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3031)IC11.pdf
AEROPUERTOS ESPAÑOLES Y NAVEGACIÓN AÉREA (MF),A.T.C.V. DE LA OBRA REMODELACION DEL SISTEMA ELECTRICO Y CONTROL DE GESTION,"407.862,00",407862.00,"28.333,50",28333.50,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3031)IC11.pdf
