"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO",,
"FLIX TRAMONTANA SL EN CONSTITUCION","Mejorar la empleabilidad de las personas desempleadas","797,82",,
"FLO-FLY DECORACION, SL","Mejorar la empleabilidad de las personas desempleadas","342,65",,
"FLOC 1853,S.L.","Mejorar la empleabilidad de las personas desempleadas",628,,
"FLOC-9, SL","Mejorar la empleabilidad de las personas desempleadas","648,06",,
"FLOCARBUS SL","Mejorar la empleabilidad de las personas desempleadas","2289,97",,
"FLOGONGRAN SL","Mejorar la empleabilidad de las personas desempleadas","1126,87",,
"FLOMARSAN SL","Mejorar la empleabilidad de las personas desempleadas","1433,33",,
"FLOMEYCA SA","Mejorar la empleabilidad de las personas desempleadas","677,8",,
"FLOMITEC SL","Mejorar la empleabilidad de las personas desempleadas","949,95",,
"FLOOR COAT, SL","Mejorar la empleabilidad de las personas desempleadas","1329,97",,
"FLOOR TECNOLOGIES PUL AND CRIS, S.L.","Mejorar la empleabilidad de las personas desempleadas","1060,09",,
"FLOORWOOD SYSTEM SL","Mejorar la empleabilidad de las personas desempleadas","753,72",,
"FLOOVER WORLD, S.L.U. (EN CONSTITUCION)","Mejorar la empleabilidad de las personas desempleadas","424,98",,
"FLOPARK TARIMAS, SL","Mejorar la empleabilidad de las personas desempleadas","538,26",,
"FLOPEGALLO, SL","Mejorar la empleabilidad delas personas desempleadas","822,5",,
"FLOPINT SL","Mejorar la empleabilidad delas personas desempleadas","313,33",,
"FLOR DE ARBIA, S.L.","Mejorar la empleabilidad delas personas desempleadas","579,92",,
"FLOR DE IFACH, S.L.","Mejorar la empleabilidad delas personas desempleadas","602,06",,
"FLOR DE LIS PELUQUEROS SL","Mejorar la empleabilidad delas personas desempleadas","203,02",,
"FLOR DE LOTO SA","Mejorar la empleabilidad delas personas desempleadas",3800,,
"FLOR DE LYS PATRIMONIAL SLL","Mejorar la empleabilidad delas personas desempleadas","2092,45",,
"FLOR DE SAL CATERING, S.L.","Mejorar la empleabilidad delas personas desempleadas","351,79",,
"FLOR INCA, SL.","Mejorar la empleabilidad delas personas desempleadas","3586,66",,
"FLOR MADEGAR, SL","Mejorar la empleabilidad delas personas desempleadas","1752,02",,
"FLORABELLA HORTICULTURA SL","Mejorar la empleabilidad delas personas desempleadas","3496,66",,
"FLORAFRICA SL","Mejorar la empleabilidad delas personas desempleadas","4196,07",,
"FLORAL, C.B.","Mejorar la empleabilidad delas personas desempleadas","935,43",,
"FLORALI RESTAURANTE SL","Mejorar la empleabilidad delas personas desempleadas","2233,35",,
"FLORAMA ARTE FLORAL SL","Mejorar la empleabilidad delas personas desempleadas","886,58",,
"FLORAZAR SA","Mejorar la empleabilidad delas personas desempleadas","623,33",,
"FLOREAL MOTORS, SL","Mejorar la empleabilidad delas personas desempleadas","1064,43",,
"FLOREAL Y ALVAREZ, SL","Mejorar la empleabilidad delas personas desempleadas","757,72",,
"FLOREC PLUS SL","Mejorar la empleabilidad delas personas desempleadas","776,32",,
"FLORECE Y PROSPERA SL","Mejorar la empleabilidad delas personas desempleadas","1350,39",,
"FLORENCIA ARAGONES SUAREZ Y CUATRO CB","Mejorar la empleabilidad delas personas desempleadas","977,32",,
"FLORENCIA MARCO SL","Mejorar la empleabilidad delas personas desempleadas","2397,48",,
"FLORENCIANO SL","Mejorar la empleabilidad delas personas desempleadas","1095,26",,
"FLORENCIO ARANDILLA SA","Mejorar la empleabilidad delas personas desempleadas","3404,27",,
"FLORENCIO FONT CANAL SA","Mejorar la empleabilidad delas personas desempleadas","942,03",,
"FLORENCIO OLIVERAS SA","Mejorar la empleabilidad delas personas desempleadas","5009,01",,
"FLORENCIO OTERO SL","Mejorar la empleabilidad delas personas desempleadas","1698,38",,
"FLORENCIO PARERA I AMPARO RIBAS, CB","Mejorar la empleabilidad delas personas desempleadas","1089,32",,
"FLORENCIO SANCHEZ SA","Mejorar la empleabilidad delas personas desempleadas",628,,
"FLORENCIO SUESCUN CONSTRUCCIONES SL","Mejorar la empleabilidad delas personas desempleadas","493,33",,
"FLORENTIA TRADE 2002, SL","Mejorar la empleabilidad delas personas desempleadas","606,66",,
"FLORENTINO BORREGA RAPOSO,SL.","Mejorar la empleabilidad delas personas desempleadas","453,28",,
"FLORENTINO CASTANAR SL","Mejorar la empleabilidad delas personas desempleadas","1458,75",,
"FLORENTINO CB","Mejorar la empleabilidad delas personas desempleadas","4524,87",,
"FLORENTINO COLECCION SL","Mejorar la empleabilidad delas personas desempleadas","14989,44",,
"FLORENTINO FERNANDEZ SA","Mejorar la empleabilidad delas personas desempleadas","6361,93",,
"FLORENTINO GARCIA Y ASOCIADOS SL","Mejorar la empleabilidad delas personas desempleadas","2365,17",,
"FLORENTINO GIL CHACON E HIJOS SL","Mejorar la empleabilidad delas personas desempleadas","268,72",,
"FLORENTINO REGALADO Y ASOCIADOS, S.L.","Mejorar la empleabilidad delas personas desempleadas","1361,76",,
"FLORENTINO Y MANUEL LOPEZ GONZALEZ -JORGE MENDO CHAVER","Mejorar la empleabilidad delas personas desempleadas","1366,6",,
"FLORENZA & DURAN ASSESSORS, SL","Mejorar la empleabilidad delas personas desempleadas","2267,28",,
"FLORES ARNAIZ CB","Mejorar la empleabilidad delas personas desempleadas","1060,06",,
"FLORES ARNAL, S.L.","Mejorar la empleabilidad delas personas desempleadas",1800,,
"FLORES AZALEA SL","Mejorar la empleabilidad delas personas desempleadas","708,3",,
"FLORES BELTRAN, SL","Mejorar la empleabilidad delas personas desempleadas","995,08",,
"FLORES CARMEN S.C.A.","Mejorar la empleabilidad delas personas desempleadas","1009,28",,
"FLORES CASTILLON; SL","Mejorar la empleabilidad delas personas desempleadas","1627,68",,
"FLORES DE LEBRIJA SL","Mejorar la empleabilidad delas personas desempleadas",190,,
"FLORES DON ZOILO SL","Mejorar la empleabilidad delas personas desempleadas","1546,44",,
"FLORES FELA-LLISO SL","Mejorar la empleabilidad delas personas desempleadas","512,34",,
"FLORES FERRER, SL","Mejorar la empleabilidad delas personas desempleadas",1425,,
"FLORES FRESCAS CADA DIA SL","Mejorar la empleabilidad delas personas desempleadas","1266,73",,
"FLORES GARCIA, SL","Mejorar la empleabilidad delas personas desempleadas","1343,41",,
"FLORES HIDALGO PANADERIA SL","Mejorar la empleabilidad delas personas desempleadas","121,6",,
"FLORES INDUSTRIA DE CERRAJERIA TECNICA SL","Mejorar la empleabilidad delas personas desempleadas","1638,38",,
"FLORES LUENGO SL","Mejorar la empleabilidad delas personas desempleadas","767,3",,
"FLORES MONTOYA ASESORES LEVANTE ALMERIENSE, S.L.","Mejorar la empleabilidad delas personas desempleadas","82,08",,
"FLORES SABON, S.L. UNIPERSONAL","Mejorar la empleabilidad delas personas desempleadas","1345,77",,
"FLORES SANCHEZ LEON SL","Mejorar la empleabilidad delas personas desempleadas","68,88",,
"FLORES SAVIA NUEVA SL","Mejorar la empleabilidad delas personas desempleadas","2434,21",,
"FLORES TOXAL SL","Mejorar la empleabilidad delas personas desempleadas","808,78",,
"FLORES VALLES SA","Mejorar la empleabilidad delas personas desempleadas","4366,08",,
"FLORES Y MASCOTAS ROPAL SL","Mejorar la empleabilidad delas personas desempleadas","622,68",,
"FLORES Y PLANTAS EL DETALLE SL","Mejorar la empleabilidad delas personas desempleadas","63,75",,
"FLORES Y PLANTAS GIJON SL","Mejorar la empleabilidad delas personas desempleadas","400,02",,
"FLORES Y PLANTAS JOCAMA,S.L.","Mejorar la empleabilidad delas personas desempleadas","264,39",,
"FLORES Y PLANTAS NEREA S L","Mejorar la empleabilidad delas personas desempleadas","1680,11",,
"FLORES, CEREMONIAS Y BANQUETES, S.L.","Mejorar la empleabilidad delas personas desempleadas","2621,36",,
"FLORESTE 2005,SL","Mejorar la empleabilidad delas personas desempleadas","857,04",,
"FLORIA DISEﾄO SA","Mejorar la empleabilidad delas personas desempleadas","875,57",,
"FLORIA-99 SL","Mejorar la empleabilidad delas personas desempleadas","1676,59",,
"FLORIA, SL","Mejorar la empleabilidad delas personas desempleadas","323,21",,
"FLORIAN Y MIHAIL, COM. B.","Mejorar la empleabilidad delas personas desempleadas","793,24",,
"FLORIBAS, CB","Mejorar la empleabilidad delas personas desempleadas","243,17",,
"FLORIDA CENTRE DE FORMACION COOP V.","Mejorar la empleabilidad delas personas desempleadas",1900,,
"FLORIDA CHAPA Y PINTURA SL","Mejorar la empleabilidad delas personas desempleadas",750,,
"FLORIDA COURIER SL","Mejorar la empleabilidad delas personas desempleadas","814,5",,
"FLORIDA DE RESTAURACIO, SL","Mejorar la empleabilidad delas personas desempleadas","7561,26",,
"FLORIDA DEL DUERO, SL","Mejorar la empleabilidad delas personas desempleadas","380,11",,
"FLORIDA HOGAR YECLA, S.L.","Mejorar la empleabilidad delas personas desempleadas","4493,93",,
"FLORIDA JARDIN SA","Mejorar la empleabilidad delas personas desempleadas",1200,,
"FLORIDA LAB SL","Mejorar la empleabilidad delas personas desempleadas","3332,23",,
"FLORIDA NORTE SL","Mejorar la empleabilidad delas personas desempleadas","344,68",,
"FLORIDA PUNCH, SL","Mejorar la empleabilidad delas personas desempleadas","837,61",,
"FLORIDAMAR SL","Mejorar la empleabilidad delas personas desempleadas",800,,
"FLORIDITA BILBAO, SA","Mejorar la empleabilidad delas personas desempleadas","173,34",,
"FLORIMAR DEL MARESME, SL","Mejorar la empleabilidad delas personas desempleadas","876,59",,
"FLORISTERIA ADELA SL","Mejorar la empleabilidad delas personas desempleadas","423,46",,
"FLORISTERIA COSTA ADEJE, S.L.","Mejorar la empleabilidad delas personas desempleadas","415,2",,
"FLORISTERIA EMI SL","Mejorar la empleabilidad delas personas desempleadas","671,58",,
"FLORISTERIA ES BALADRE CB","Mejorar la empleabilidad delas personas desempleadas","1366,95",,
"FLORISTERIA FERNANDO HIJO SL","Mejorar la empleabilidad delas personas desempleadas","318,38",,
"FLORISTERIA FLORESTA SL","Mejorar la empleabilidad delas personas desempleadas","1995,47",,
"FLORISTERIA FUCSIA DEL CONDADO SL","Mejorar la empleabilidad delas personas desempleadas","522,19",,
"FLORISTERIA HERBOLARIO LOS TULIPANES, C.B.","Mejorar la empleabilidad delas personas desempleadas","357,86",,
"FLORISTERIA JARDIN DE SALA SL","Mejorar la empleabilidad delas personas desempleadas","767,3",,
"FLORISTERIA LA ALAMEDA SL","Mejorar la empleabilidad delas personas desempleadas","356,61",,
"FLORISTERIA LA TIJA, S.L.U.","Mejorar la empleabilidad delas personas desempleadas","643,19",,
"FLORISTERIA MARIOLA SL","Mejorar la empleabilidad delas personas desempleadas","506,29",,
"FLORISTERIA MIMOSA GARDEN CENTER CB","Mejorar la empleabilidad delas personas desempleadas","996,57",,
"FLORISTERIA MIRASIERRA SL","Mejorar la empleabilidad delas personas desempleadas","1788,93",,
"FLORISTERIA OCAFLOR CB","Mejorar la empleabilidad delas personas desempleadas","1274,94",,
"FLORISTERIA PILAR CB.","Mejorar la empleabilidad delas personas desempleadas","106,22",,
"FLORISTERIA RUIZ, SL","Mejorar la empleabilidad delas personas desempleadas","1474,81",,
"FLORISTERIA SILVIA MUﾄOZ, S.L.U.","Mejorar la empleabilidad delas personas desempleadas","403,81",,
"FLORISTERIA TORRENS,S.L.","Mejorar la empleabilidad delas personas desempleadas","144,55",,
"FLORITA Y ROU SL","Mejorar la empleabilidad delas personas desempleadas","776,74",,
"FLORITUR S.A.","Mejorar la empleabilidad delas personas desempleadas","8032,67",,
"FLORMA SA","Mejorar la empleabilidad delas personas desempleadas","1270,19",,
"FLORS ANTON RAMON, SL","Mejorar la empleabilidad delas personas desempleadas","168,79",,
"FLORS CATALA SL","Mejorar la empleabilidad delas personas desempleadas","2027,35",,
"FLORS I MOBLES CORBERA,S.L.","Mejorar la empleabilidad delas personas desempleadas","83,25",,
"FLORS NOE GERMANS, SL","Mejorar la empleabilidad delas personas desempleadas","283,25",,
"FLORS ROSET, SL","Mejorar la empleabilidad delas personas desempleadas","232,5",,
"FLORS SALCEDO SL","Mejorar la empleabilidad delas personas desempleadas","1093,24",,
"FLORS SANMARTINET, S.L.","Mejorar la empleabilidad delas personas desempleadas","209,99",,
"FLORSALI SL","Mejorar la empleabilidad delas personas desempleadas","1896,57",,
"FLORTI VE ALQUILERES, SL","Mejorar la empleabilidad delas personas desempleadas","5009,82",,
"FLORVI PINTURAS S.L.","Mejorar la empleabilidad delas personas desempleadas","28,32",,
"FLOS INVERSORA SL","Mejorar la empleabilidad delas personas desempleadas","1329,16",,
"FLOSACAR SL","Mejorar la empleabilidad delas personas desempleadas","1343,41",,
"FLOTA DE PESCA SL","Mejorar la empleabilidad delas personas desempleadas","1153,28",,
"FLOTAMUR SL","Mejorar la empleabilidad delas personas desempleadas","1013,2",,
"FLOUN TRADE, S.L.","Mejorar la empleabilidad delas personas desempleadas",1800,,
"FLOUR WORLD, SL","Mejorar la empleabilidad delas personas desempleadas","70,83",,
"FLOW IBERICA CORTE CON AGUA ALTA","Mejorar la empleabilidad delas personas desempleadas","666,6",,
"FLOW MM & C S.L.","Mejorar la empleabilidad delas personas desempleadas","1966,78",,
"FLOW VACUUM, S.L.","Mejorar la empleabilidad delas personas desempleadas","1386,58",,
"FLOWERS INSURANCE, S.L.","Mejorar la empleabilidad delas personas desempleadas","620,92",,
"FLOWERSOIN, S.L.","Mejorar la empleabilidad delas personas desempleadas",1000,,
"FLOWSERVE SA","Mejorar la empleabilidad delas personas desempleadas","4300,15",,
"FLOWSERVE SPAIN SA","Mejorar la empleabilidad delas personas desempleadas","722,46",,
"FLOYMA SOC COOP","Mejorar la empleabilidad delas personas desempleadas","666,63",,
"FLUCARENT, SL","Mejorar la empleabilidad delas personas desempleadas",1200,,
"FLUDINOX AUTOMATIZACION SL","Mejorar la empleabilidad delas personas desempleadas","1086,72",,
"FLUE SL","Mejorar la empleabilidad delas personas desempleadas",1500,,
"FLUELEC EIGRA SA","Mejorar la empleabilidad delas personas desempleadas","1275,72",,
"FLUENTIA SL","Mejorar la empleabilidad delas personas desempleadas","574,03",,
"FLUID CONSULTING, SLL","Mejorar la empleabilidad delas personas desempleadas","738,83",,
"FLUID CONTROL SA","Mejorar la empleabilidad de las personas desempleadas","696,67",,
"FLUID EMPORDA, SL","Mejorar la empleabilidad de las personas desempleadas","423,31",,
"FLUID HANDLING TECHNOLOGY, SA","Mejorar la empleabilidad de las personas desempleadas",600,,
"FLUIDMECANICA","Promociﾗn del espﾒritu empresarial y de la adaptabilidad de las empresas y Refuerzo del nivel de competencia","12608,52",,
"FLUIDO Y MANTENIMIENTO FLYMAN SL","Mejorar la empleabilidad de las personas desempleadas","591,08",,
"FLUIDTECNIC SA","Mejorar la empleabilidad de las personas desempleadas",850,,
"FLUIDTECNIK, SL","Mejorar la empleabilidad de las personas desempleadas","526,63",,
"FLUINSA, FLUIDOS INSTALACIONES Y SANEAMIENTOS SL","Mejorar la empleabilidad de las personas desempleadas",1220,,
"FLUITECNIK SA","Mejorar la empleabilidad de las personas desempleadas","12298,51",,
"FLUITRONIC SL","Mejorar la empleabilidad de las personas desempleadas","1331,32",,
"FLUK FASHION LUUK, S.L.","Mejorar la empleabilidad de las personas desempleadas","325,05",,
"FLUME SL","Mejorar la empleabilidad de las personas desempleadas","3688,56",,
"FLUMENPORC, SL","Mejorar la empleabilidad de las personas desempleadas","155,47",,
"FLUOR, SA","Mejorar la empleabilidad de las personas desempleadas","20361,17",,
"FLUORESCENCIA Y ELECTRONICA SL","Mejorar la empleabilidad de las personas desempleadas","708,3",,
"FLUVIUM CAPITAL, S.A.","Mejorar la empleabilidad de las personas desempleadas",3800,,
"FLY PACK SERVICIOS AEREOS, S.L.","Mejorar la empleabilidad de las personas desempleadas","134,55",,
"FLY TRUCK, S.L.","Mejorar la empleabilidad de las personas desempleadas","1264,44",,
"FLYHARD PRODUCCIONS, SL","Mejorar la empleabilidad de las personas desempleadas","1860,45",,
"FLYING IMAGES, S.L.","Mejorar la empleabilidad de las personas desempleadas","675,79",,
"FLYKITCHEN, SL","Mejorar la empleabilidad de las personas desempleadas","833,41",,
"FLYMETOTHEMOON, S.L.","Mejorar la empleabilidad de las personas desempleadas","1491,2",,
"FLYP SOFTWARE, SL","Mejorar la empleabilidad de las personas desempleadas","1266,73",,
"FLYTECH SA","Mejorar la empleabilidad de las personas desempleadas","1652,7",,
"FM CELUQUIMICO, S.L.","Mejorar la empleabilidad de las personas desempleadas","339,93",,
"FM FORMACION ELCHE, SL","Mejorar la empleabilidad de las personas desempleadas","1345,77",,
"FMA_PARADOS","Promociﾗn del espﾒritu empresarial y de la adaptabilidad de las empresas y Refuerzo del nivel de competencia",236640,,
"FMC FOODTECH, SL","Mejorar la empleabilidad de las personas desempleadas","3452,16",,
"FMC FORET, SA","Mejorar la empleabilidad de las personas desempleadas","528,92",,
"FMI DIVISION IMPORT S.L.","Mejorar la empleabilidad de las personas desempleadas","398,37",,
"FMK HYDRAULIC SUPPLIES, SLL","Mejorar la empleabilidad de las personas desempleadas","389,91",,
"FMN SUPPORT SPAIN, SL","Mejorar la empleabilidad de las personas desempleadas","96,76",,
"FMS ACTIVA, SL","Mejorar la empleabilidad de las personas desempleadas","466,6",,
"FMV","Promociﾗn del espﾒritu empresarial y de la adaptabilidad de las empresas y Refuerzo del nivel de competencia",15600,,
"FMV_PARADOS","Promociﾗn del espﾒritu empresarial y de la adaptabilidad de las empresas y Refuerzo del nivel de competencia",234000,,
"FMX AUDIOPRODUCCIONES SL","Mejorar la empleabilidad de las personas desempleadas","1806,64",,
"FOA AMBIENTAL SL","Mejorar la empleabilidad de las personas desempleadas","488,41",,
"FOA SOLUTIONS SL","Mejorar la empleabilidad de las personas desempleadas","286,58",,
"FOAM SYSTEM PLUS, S.L.","Mejorar la empleabilidad de las personas desempleadas","1079,79",,
"FOAMIZADOS PETREL SL","Mejorar la empleabilidad de las personas desempleadas",40,,
"FOAMLAND SL","Mejorar la empleabilidad de las personas desempleadas","17,5",,
"FOAP SA","Mejorar la empleabilidad de las personas desempleadas","1345,77",,
"FOC I SEGURETAT, SL","Mejorar la empleabilidad de las personas desempleadas","670,92",,
"FOC MOTORS, SL","Mejorar la empleabilidad de las personas desempleadas","103,33",,
"FOCA EDICIONES Y DISTRIBUCIONES GENERALES SL","Mejorar la empleabilidad de las personas desempleadas","1080,82",,
"FOCAGAS SL","Mejorar la empleabilidad de las personas desempleadas","229,97",,
"FOCALIA CONSULTING SL","Mejorar la empleabilidad de las personas desempleadas","1244,68",,
"FOCALIN SL","Mejorar la empleabilidad de las personas desempleadas","331,13",,
"FOCCUSS AZAFATAS SLU","Mejorar la empleabilidad de las personas desempleadas","723,98",,
"FOCER SA","Mejorar la empleabilidad de las personas desempleadas","1233,33",,
"FOCMISA INSTALACIONES, S.L.","Mejorar la empleabilidad de las personas desempleadas","379,92",,
"FOCOPRO, SL","Mejorar la empleabilidad de las personas desempleadas","3652,78",,
"FOCOVERDI SL","Mejorar la empleabilidad de las personas desempleadas","1046,62",,
"FOCSANI CALZADOS SL, EN CONSTITUCION","Mejorar la empleabilidad de las personas desempleadas","977,43",,
"FOCUS APARCAMIENTOS URBANOS SL","Mejorar la empleabilidad de las personas desempleadas","427,3",,
"FOCUS DREI NOBEKA S.L.","Mejorar la empleabilidad de las personas desempleadas",1900,,
"FOCUS EDICIONES SL","Mejorar la empleabilidad de las personas desempleadas","4321,83",,
"FOCUS IBERIA MARKETING & IT-RESEARCH, SL","Mejorar la empleabilidad de las personas desempleadas","1353,27",,
"FOCUS MEDIA, SL","Mejorar la empleabilidad de las personas desempleadas","1507,97",,
"FOCUS SPORT SL","Mejorar la empleabilidad de las personas desempleadas","415,35",,
"FOCUSCAN SL","Mejorar la empleabilidad de las personas desempleadas","1266,6",,
"FOCUSECONOMICS SL","Mejorar la empleabilidad de las personas desempleadas","374,15",,
"FODERTEL, SL","Mejorar la empleabilidad de las personas desempleadas","888,16",,
"FOFANALA, SL","Mejorar la empleabilidad de las personas desempleadas","1690,48",,
"FOGAR SERVICIOS INMOBILIARIOS S.L","Mejorar la empleabilidad de las personas desempleadas","2283,25",,
"FOGO DEL MESTRE-RESTAURAMENT SL","Mejorar la empleabilidad de las personas desempleadas","2326,47",,
"FOGON ASADOR MOLINA SL","Mejorar la empleabilidad de las personas desempleadas","326,64",,
"FOGON SL","Mejorar la empleabilidad de las personas desempleadas","325,82",,
"FOGONS I ART, SL","Mejorar la empleabilidad de las personas desempleadas","247,89",,
"FOGUEL SA","Mejorar la empleabilidad de las personas desempleadas","1981,89",,
"FOGWILL AND FOGWILL SL","Mejorar la empleabilidad de las personas desempleadas","877,72",,
"FOIES GRAS ET GASTRONOMIE SL","Mejorar la empleabilidad de las personas desempleadas","733,3",,
"FOIMA SA","Mejorar la empleabilidad de las personas desempleadas","1296,67",,
"FOINGEST SL","Mejorar la empleabilidad de las personas desempleadas",1900,,
"FOINPEDEMUR, S.L.","Mejorar la empleabilidad de las personas desempleadas","373,31",,
"FOISA LEVANTE SA","Mejorar la empleabilidad de las personas desempleadas","2372,74",,
"FOISA MEDITERRANEO SA","Mejorar la empleabilidad de las personas desempleadas","386,06",,
"FOISA, SA","Mejorar la empleabilidad de las personas desempleadas","3816,05",,
"FOIX DE SARRIA, SL","Mejorar la empleabilidad de las personas desempleadas","4,48",,
"FOLCH SA","Mejorar la empleabilidad de las personas desempleadas","1166,34",,
"FOLCH-ARZO-TIDO SL","Mejorar la empleabilidad de las personas desempleadas",400,,
"FOLDER PAPELERIAS SA","Mejorar la empleabilidad de las personas desempleadas","2459,96",,
"FOLDOVER SL","Mejorar la empleabilidad de las personas desempleadas","155,82",,
"FOLEX INTERNATIONAL SL","Mejorar la empleabilidad de las personas desempleadas","229,97",,
"FOLGAR RESTAURACIONES NAVALES E INDUSTRIALES S.L.","Mejorar la empleabilidad de las personas desempleadas","3556,67",,
"FOLGUERA-VICENT SL","Mejorar la empleabilidad de las personas desempleadas",495,,
"FOLIA CONSULTORES SL","Mejorar la empleabilidad de las personas desempleadas","270,23",,
"FOLIE S CREACIONES SL","Mejorar la empleabilidad de las personas desempleadas","2061,62",,
"FOLTER BACH, SL","Mejorar la empleabilidad de las personas desempleadas","1345,77",,
"FOMACION Y SERVICIOS IGNASI&SONIA,S.L.","Mejorar la empleabilidad de las personas desempleadas","476,29",,
"FOMAR PINTURES I RECOBRIMENTS, SL","Mejorar la empleabilidad de las personas desempleadas","1883,12",,
"FOMBELLIDA GONZALEZ, S.L.","Mejorar la empleabilidad de las personas desempleadas","773,37",,
"FOMDISA EXTREMADURA SA","Mejorar la empleabilidad de las personas desempleadas",1900,,
"FOMENT CULTURAL I ARTISTIC DE SANT JOAN DESPI","Mejorar la empleabilidad de las personas desempleadas","1014,59",,
"FOMENT D ESPORTS DE TONA","Mejorar la empleabilidad de las personas desempleadas","1345,77",,
"FOMENT DE LA GASTRONOMIA CB","Mejorar la empleabilidad de las personas desempleadas","133,34",,
"FOMENT DE LA REHABILITACIN URBANA DE MANRESA, SA","Mejorar la empleabilidad de las personas desempleadas","1349,95",,
"FOMENT DE LES ARTS DECORATIVES","Mejorar la empleabilidad de las personas desempleadas","1345,77",,
"FOMENT DE TERRASSA, SA","Mejorar la empleabilidad de las personas desempleadas","685399,1",,
"FOMENT DEL TREBALL COL.LECTIU, SL","Mejorar la empleabilidad de las personas desempleadas",1900,,
"FOMENT TARGARI","Mejorar la empleabilidad de las personas desempleadas","625,01",,
"FOMENTO ANDINO S.L.","Mejorar la empleabilidad de las personas desempleadas","104,97",,
"FOMENTO BENICASIM SA","Mejorar la empleabilidad de las personas desempleadas","490,96",,
"FOMENTO CULTURAL Y ARTISTICO","Mejorar la empleabilidad de las personas desempleadas","1612,92",,
"FOMENTO DE AGRICULTURA INDUSTRIA Y COMERCIO DE GANDIA","Mejorar la empleabilidad de las personas desempleadas","1267,83",,
"FOMENTO DE CENTROS COMERCIALES Y AREAS DE SEVICIOS SA","Mejorar la empleabilidad de las personas desempleadas","266,68",,
"FOMENTO DE CENTROS DE ENSENANZA DE ARAGON SA","Mejorar la empleabilidad de las personas desempleadas","2545,76",,
"FOMENTO DE CENTROS DE ENSENANZA SA","Mejorar la empleabilidad de las personas desempleadas","30081,97",,
"FOMENTO DE CONSTRUCCIONES Y CONTRATAS SA","Mejorar la empleabilidad de las personas desempleadas","39015,2",,
"FOMENTO DE CONSTRUCCIONES Y SERVICIOS SA","Mejorar la empleabilidad de las personas desempleadas","757,88",,
"FOMENTO DE CONTRATAS Y OBRAS SL","Mejorar la empleabilidad de las personas desempleadas","1345,77",,
"FOMENTO DE DESARROLLOS URBANOS SA","Mejorar la empleabilidad de las personas desempleadas","394,28",,
"FOMENTO DE ESTUDIOS INMOBILIARIOS, SA","Mejorar la empleabilidad de las personas desempleadas",700,,
"FOMENTO DE FRANQUICIAS SL","Mejorar la empleabilidad de las personas desempleadas","1266,73",,
"FOMENTO DE INICIATIVAS CORUNESAS, S.L.","Mejorar la empleabilidad de las personas desempleadas","328,84",,
"FOMENTO DE INVERSIONES LEVANTINA SL","Mejorar la empleabilidad de las personas desempleadas","1266,73",,
"FOMENTO DE LA PRODUCCION, SL","Mejorar la empleabilidad de las personas desempleadas","3533,78",,
"FOMENTO DE LA PROPIEDAD Y DE PATENTES SA","Mejorar la empleabilidad de las personas desempleadas","1833,34",,
"FOMENTO DE PARTICIPACIONES EMPRESARIALES SL","Mejorar la empleabilidad de las personas desempleadas","1009,28",,
"FOMENTO DE PROTECCION Y SEGURIDAD SAL","Mejorar la empleabilidad de las personas desempleadas","4593,78",,
"FOMENTO DE PROTECCION Y SERVICIOS SL","Mejorar la empleabilidad de las personas desempleadas","679,92",,
"FOMENTO DE TECNICAS EXTREMENAS SL","Mejorar la empleabilidad de las personas desempleadas","333,35",,
"FOMENTO DEL HABITO A LA EXPORTACION RACIONAL SL","Mejorar la empleabilidad de las personas desempleadas",2130,,
"FOMENTO DEL MEDIO AMBIENTE SL","Mejorar la empleabilidad de las personas desempleadas","446,62",,
"FOMENTO DEL RECREATIVOS MRA SL","Mejorar la empleabilidad de las personas desempleadas",1900,,
"FOMENTO DEL TRABAJO NACIONAL","Mejorar la empleabilidad de las personas desempleadas","1359,84",,
"FOMENTO DIEZ PRIETO SL","Mejorar la empleabilidad de las personas desempleadas","1168,7",,
"FOMENTO EDUCATIVO DE MOSTOLES SA","Mejorar la empleabilidad de las personas desempleadas","708,3",,
"FOMENTO EMPRESA CALIDAD SL","Mejorar la empleabilidad de las personas desempleadas","101,52",,
"FOMENTO EMPRESARIAL DE MURCIA SL","Mejorar la empleabilidad de las personas desempleadas","646,88",,
"FOMENTO EMPRESARIAL Y TECNOLOGICO SL","Mejorar la empleabilidad delas personas desempleadas","1114,37",,
"FOMENTO ENSENANZA MEDIA SA","Mejorar la empleabilidad delas personas desempleadas",2700,,
"FOMENTO GANADERO EXTREMENO SA","Mejorar la empleabilidad delas personas desempleadas","1892,02",,
"FOMENTO GEOTECNICO DE CONSTRUCCIONES, S.L.","Mejorar la empleabilidad delas personas desempleadas","101,9",,
"FOMENTO INMOBILIARIO DEL MEDITERRANEO SA","Mejorar la empleabilidad delas personas desempleadas","769,66",,
"FOMENTO MEDICO INMOBILIARIO, SL","Mejorar la empleabilidad delas personas desempleadas","48,43",,
"FOMENTO MERIDIONAL SL","Mejorar la empleabilidad delas personas desempleadas","1657,38",,
"FOMENTO URBANISTICO MARE NOSTRUM, S.A.","Mejorar la empleabilidad delas personas desempleadas","1751,81",,
"FOMENTO URBANO BACOA, S.L.","Mejorar la empleabilidad delas personas desempleadas","473,35",,
"FOMENTO Y DESARROLLO AGRICOLA SL","Mejorar la empleabilidad delas personas desempleadas","70,83",,
"FOMENTO Y DESARROLLO CONSULTORES SL","Mejorar la empleabilidad delas personas desempleadas","3220,92",,
