"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO",,
"FERNANDEZ DUQUE MOISES 000928671V S.L NE","Mejorar la empleabilidad de las personas desempleadas","2679,41",,
"FERNANDEZ E BASTN XESTION INMOBILIARIA, S.L.","Mejorar la empleabilidad de las personas desempleadas",1090,,
"FERNANDEZ ESPESO, L ; FERNANDEZ ESPESO,C; COM.B.","Mejorar la empleabilidad de las personas desempleadas","9,44",,
"FERNANDEZ GARCIA,M.T;FERNANDEZ GARCIA,S;COM.B.","Mejorar la empleabilidad de las personas desempleadas","867,01",,
"FERNANDEZ GARGANTILLA DISTRIBUCIONES SA","Mejorar la empleabilidad de las personas desempleadas",920,,
"FERNANDEZ GOMEZ CB","Mejorar la empleabilidad de las personas desempleadas","566,64",,
"FERNANDEZ GONZALEZ,H. Y PEREZ GATON,R.I;C.B.","Mejorar la empleabilidad de las personas desempleadas","1897,46",,
"FERNANDEZ GRELA SA","Mejorar la empleabilidad de las personas desempleadas",1900,,
"FERNANDEZ GUILLEN CB","Mejorar la empleabilidad delas personas desempleadas","174,04",,
"FERNANDEZ HERNANDEZ ABOGADOS, S.L.","Mejorar la empleabilidad delas personas desempleadas",1800,,
"FERNANDEZ ILARRAZA ABOGADOS, S.L.","Mejorar la empleabilidad delas personas desempleadas","1274,94",,
"FERNANDEZ IRIONDO HIERROS, S.L.","Mejorar la empleabilidad delas personas desempleadas","1339,89",,
"FERNANDEZ JOVE SA","Mejorar la empleabilidad delas personas desempleadas","131,05",,
"FERNANDEZ LIRIA, SL","Mejorar la empleabilidad delas personas desempleadas","1733,35",,
"FERNANDEZ LOBATO SL","Mejorar la empleabilidad delas personas desempleadas","347,04",,
"FERNANDEZ LOPEZ CARLOS Y ENRIQUE CB","Mejorar la empleabilidad delas personas desempleadas","925,49",,
"FERNANDEZ LOPEZ, LISARDO 000110538R S.L.N.E.","Mejorar la empleabilidad delas personas desempleadas","186,47",,
"FERNANDEZ MALDONADO, JORGE 001028503G,S.L.N.E.","Mejorar la empleabilidad delas personas desempleadas","635,29",,
"FERNANDEZ MAYO OKIDEGIA, S.L.","Mejorar la empleabilidad delas personas desempleadas","177,08",,
"FERNANDEZ MOLINA REBECA Y MOLINA BECERRO MARIA","Mejorar la empleabilidad delas personas desempleadas","343,33",,
"FERNANDEZ MOLINA, OBRAS Y SERVICIOS, SA","Mejorar la empleabilidad delas personas desempleadas","1204,11",,
"FERNANDEZ MORILLO Y ASOCIADOS SL","Mejorar la empleabilidad delas personas desempleadas","3008,87",,
"FERNANDEZ MUEBLISTAS SA","Mejorar la empleabilidad delas personas desempleadas",222,,
"FERNANDEZ OCANA SEGUROS SL","Mejorar la empleabilidad delas personas desempleadas","519,38",,
"FERNANDEZ OLAGUE JESUS Y JOSE MARIA","Mejorar la empleabilidad delas personas desempleadas","2280,84",,
"FERNANDEZ OTERO M CARMEN Y REGO OTERO ARMANDO","Mejorar la empleabilidad delas personas desempleadas","551,18",,
"FERNANDEZ RIBADEO SL","Mejorar la empleabilidad delas personas desempleadas","903,04",,
"FERNANDEZ RIVERA S.C.","Mejorar la empleabilidad delas personas desempleadas","666,7",,
"FERNANDEZ RODRIGUEZ ARMANDO MANUEL GREGORIO Y GABRIEL C","Mejorar la empleabilidad delas personas desempleadas",1900,,
"FERNANDEZ RODRIGUEZ MONICA ANGELES 001103877K SLNE","Mejorar la empleabilidad delas personas desempleadas","2174,94",,
"FERNANDEZ ROSILLO Y COMPANIA SL","Mejorar la empleabilidad delas personas desempleadas","2545,83",,
"FERNANDEZ SALCEDO & ASOCIADOS SL L","Mejorar la empleabilidad delas personas desempleadas","1683,25",,
"FERNANDEZ SANTACRUZ ANGEL, CLARA, JUAN CARLOS Y MARIA T","Mejorar la empleabilidad delas personas desempleadas","1345,77",,
"FERNANDEZ SECADURAS SL","Mejorar la empleabilidad delas personas desempleadas","412,63",,
"FERNANDEZ SERVICIOS JURIDICOS, S.L.","Mejorar la empleabilidad delas personas desempleadas","285,68",,
"FERNANDEZ SOTO SANJOSE VILLOSLADA, S.L","Mejorar la empleabilidad delas personas desempleadas","92,08",,
"FERNANDEZ SUMAY SL","Mejorar la empleabilidad delas personas desempleadas","410,81",,
"FERNANDEZ TALLER DE CALDERERIA Y MECANICA INDUSTRIAL SL","Mejorar la empleabilidad delas personas desempleadas",1660,,
"FERNANDEZ TTAACC, S.A.","Mejorar la empleabilidad delas personas desempleadas",500,,
"FERNANDEZ UGEDO Y CHAVES SC","Mejorar la empleabilidad delas personas desempleadas","649,23",,
"FERNANDEZ VEGA, DAVID 001138435E, S.L.N.E.","Mejorar la empleabilidad delas personas desempleadas","221,93",,
"FERNANDEZ VELAZQUEZ SLP","Mejorar la empleabilidad delas personas desempleadas","427,28",,
"FERNANDEZ VIDAL LUCIA Y FERNANDEZ VIDAL COVADONGA, C.B.","Mejorar la empleabilidad delas personas desempleadas",435,,
"FERNANDEZ VILLALBA PARRA SLL","Mejorar la empleabilidad delas personas desempleadas","1326,44",,
"FERNANDEZ VILLARROEL S.L.","Mejorar la empleabilidad delas personas desempleadas","1133,28",,
