"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"SALA D ARMES MONTJUIC","Mejorar la empleabilidad de las personas desempleadas","453,24"
"SALA DE ARTE VANDYCK SL","Mejorar la empleabilidad de las personas desempleadas","205,41"
"SALA DE DESFER 1 MAGATZEM FRIGORIFIC J.VINAS,SA","Mejorar la empleabilidad de las personas desempleadas","189,91"
"SALA DE ESPECTACULOS CARACOL, SL","Mejorar la empleabilidad de las personas desempleadas","99,15"
"SALA DE FIESTAS RAMALLOSA 2000 S.L.","Mejorar la empleabilidad de las personas desempleadas","101,27"
"SALA EL CID SL","Mejorar la empleabilidad de las personas desempleadas","373,26"
"SALA FERRER SA","Mejorar la empleabilidad de las personas desempleadas","1.283,33"
"SALA FLORES Y PLANTAS SL","Mejorar la empleabilidad de las personas desempleadas","1.109,99"
"SALA FORESTAL SL","Mejorar la empleabilidad de las personas desempleadas","3.800,00"
"SALA GEST SL","Mejorar la empleabilidad de las personas desempleadas","192,39"
"SALA HERMANOS IMPORT SL","Mejorar la empleabilidad de las personas desempleadas","466,69"
"SALA I DOSAIGNES SL","Mejorar la empleabilidad de las personas desempleadas","793,24"
"SALA MOLIERE, S.L.","Mejorar la empleabilidad de las personas desempleadas","1.217,14"
"SALA ROCIERA LAS MARISMAS S.L.","Mejorar la empleabilidad de las personas desempleadas","666,70"
"SALA SOLE SA","Mejorar la empleabilidad de las personas desempleadas","400,00"
"SALA TRIANGULO SL","Mejorar la empleabilidad de las personas desempleadas","2.745,90"
"SALA VERTICE SL","Mejorar la empleabilidad de las personas desempleadas","1.732,96"
"SALA VORS, SL","Mejorar la empleabilidad de las personas desempleadas","690,68"
"SALA Y HERRERA SLL","Mejorar la empleabilidad de las personas desempleadas","179,42"
"SALA Y TIMOR,S.L.","Mejorar la empleabilidad de las personas desempleadas","661,08"
"SALAD EXPRESS S.L.","Mejorar la empleabilidad de las personas desempleadas","5.846,04"
"SALADAR DEL GALLOTIA ATLANTICA SL","Mejorar la empleabilidad de las personas desempleadas","1.017,59"
"SALADAUTO SL","Mejorar la empleabilidad de las personas desempleadas","496,57"
"SALADBAR 21 SL","Mejorar la empleabilidad de las personas desempleadas","1.133,39"
"SALADOS COMUNICACIO,S.L.","Mejorar la empleabilidad de las personas desempleadas","212,52"
"SALADURIES JAUME ROVIRA, CB","Mejorar la empleabilidad de las personas desempleadas","212,46"
"SALAFER 2006, S.L","Mejorar la empleabilidad de las personas desempleadas","789,91"
"SALAINCAR SL","Mejorar la empleabilidad de las personas desempleadas","146,62"
"SALAMAN STONE SL","Mejorar la empleabilidad de las personas desempleadas","80,28"
"SALAMANA MOTOR, SL","Mejorar la empleabilidad de las personas desempleadas","226,54"
"SALAMANA, SL","Mejorar la empleabilidad de las personas desempleadas","1.345,77"
"SALAMANCA CLIMA SL","Mejorar la empleabilidad de las personas desempleadas","656,61"
"SALAMANCA DE TRANSPORTES SA","Mejorar la empleabilidad de las personas desempleadas","6.491,80"
"SALAMANCA ENVASES Y EMBALAJES S.L.","Mejorar la empleabilidad de las personas desempleadas","115,51"
"SALAMANCA MERCADO C.B.","Mejorar la empleabilidad de las personas desempleadas","230,23"
"SALAMANCA PIZZA S SL","Mejorar la empleabilidad de las personas desempleadas","8.296,64"
"SALAMANCA SELECCION GRUPO INMOBILIARIO SL","Mejorar la empleabilidad de las personas desempleadas","33,04"
"SALAMANCA SERVICIOS INMOBILIARIOS HERNANDEZ MARTIN S.L.","Mejorar la empleabilidad de las personas desempleadas","1.473,94"
"SALAMANCA TOUR, S.L.","Mejorar la empleabilidad de las personas desempleadas","860,55"
"SALAMANCA VISION,S.L.","Mejorar la empleabilidad de las personas desempleadas","3.678,44"
"SALAMANDRA BCN, SL","Mejorar la empleabilidad de las personas desempleadas","1.192,31"
"SALAN MENENDEZ E; RODRIGUEZ GLEZ.A.;C.B.","Mejorar la empleabilidad de las personas desempleadas","1.100,70"
"SALANDELUES SL","Mejorar la empleabilidad de las personas desempleadas","1.740,98"
