"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"A. T. LA REALDA, S. L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.250,00"
"A.I.T. CONSULTORES ARAGON, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.250,00"
"ABC DANZA, S.C","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","389,49"
"ACADEMIA CLARION S.COOP.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
"ACADEMIA MARCO S.A.","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","18.750,00"
"ACADEMIA MARCO S.A.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","23.165,03"
"ACADEMIA TECNICA OSCENSE SL","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","24.584,00"
"ACS CONSULTORES, S.C.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.250,00"
"ADADE ZARAGOZA S.L.","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","12.137,95"
"ADADE ZARAGOZA, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.500,00"
"ADDOK COMUNICACION GLOBAL, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.575,00"
"ADIFE ASOC PARA EL DESARROLLO DE","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","63.721,50"
"AFES ASESORIA, S.C.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.500,00"
"AG ERIKSON LABORATORIOS CONSULTORIA, 
S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.500,00"
"AGENCIA ARAGONESA DE NOTICIAS, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"AGROALIMENTARIA DE TERUEL, S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"AGRUP DE ESTUDIOS ZARAGOZA, SL","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","10.687,50"
"AGRUP DE ESTUDIOS ZARAGOZA, SL","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","20.330,01"
"AGRUPACION DE S. A. T. GRUPO ARCOIRIS","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.500,00"
"AILAN DESARROLLO TECNICO, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.187,50"
"AIRES DE TERUEL, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.250,00"
"ALBADA, S.COOP.LTDA.","Desarrollar el potencial humano en el ámbito de la investigación y la innovación","116,00"
"ALCAMPO, SA","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","431,60"
"ALGOZA DISTRIBUCIONES, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","937,50"
"ALIAGA ALIMENTACION, S. L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.250,00"
"ALIANZA CRISTIANA DE JOVENES DE LA","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","24.871,32"
"ALIMENTACION HERFE, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.750,00"
"ALJATA 2008, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.250,00"
"ALO HUESCA, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.250,00"
"ALQUILER DE VEHICULOS MONCAYO, SL","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","751,00"
"ALUTEAM ESPAÑA, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.750,00"
"AMBITO INMOBILIARIO Y DE GESTION, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.250,00"
"AMES TAMARITE, S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.250,00"
"ANA, BIARGE BALDELLOU, SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.500,00"
"ANDRES FERRER E HIJOS, S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.500,00"
"AON GIL Y CARVAJAL, SA","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.080,00"
"AQUAFISIO, S. L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.500,00"
"ARAGON 04, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.375,00"
"ARAGON DIGITAL, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.125,00"
"ARAGONESA DE ADUANAS Y SERVICIOS, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.500,00"
"ARAGONESA DE REPRODUCCIONES 
GRÁFICAS, SA","Desarrollar el potencial humano en el ámbito de la investigación y la innovación","232,58"
"AREBER, S. L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.250,00"
"AREX PROYECTOS DE INGENIERIA S.L.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","8.000,00"
"ARGAEX PIRAMIDE 2006, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.500,00"
"AROLEN, S. L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.125,00"
"ASEBIN, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.125,00"
"ASECONT 2000, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.500,00"
"ASEMVAL HUESCA, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.125,00"
"ASESCO, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.500,00"
"ASESORAMIENTO Y GESTION IDES S.L.L.","Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas","10.000,00"
"ASESORIA ACTUEL, S. L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.250,00"
"ASESORIA ALVIRA, S.L.U.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.125,00"
"ASESORIA BALLESTA, S.C.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.500,00"
"ASESORIA EMPRESARIAL BINEFAR, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.125,00"
"ASESORIA POLO, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.125,00"
"ASISTENCIA DOMICILIARIA MEDICA 
INTEGRAL, SL","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","5.900,00"
"ASOC ARAGONESA COOP Y SOCIEDADES","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","19.170,00"
"ASOC ARAGONESA ENTIDADES PERSONAS D","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","5.835,00"
"ASOC DE INDUSTRIALES AIC","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","8.700,00"
"ASOC GUAYENTE","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","22.405,56"
"ASOC JOVENES EMPRESARIOS ZARAGOZA","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","11.923,09"
"ASOC PARA LA INTEGRACION PERSONAS","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","48.450,00"
"ASOC PROMOCION E INSERCION PROFESIO","Fomento de la cooperación transnacional e interregional","34.000,00"
"ASOC PROMOCION E INSERCION PROFESIO","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","20.050,20"
"ASOC PROMOCION E INSERCION PROFESIO","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","66.515,00"
"ASOC PROMOCION GITANA ZARAGOZA","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","10.000,00"
"ASOC TUTELAR ASIST DEFICIENTES PSIQ","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","11.370,35"
"ASOC. DE INDUSTRIALES DE CUARTE, 
CADRETE Y MARIA HUERVA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","937,50"
"ASOC. EMPR. INTERSECTORIAL DE LOS 
MONEGROS","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.125,00"
"ASOC. SEGUIMIENTO Y APOYO A PRESOS","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","8.000,00"
"ASOC.PROV.EMPRESARIAL FONTANERIA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.125,00"
"ASOC.RECREATIVA CULTURAL 
MONTISONENSE SANTA BARBARA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","750,00"
"ASOCIACION CULTURAL Y MUSICAL DE LA 
BALL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.465,00"
"ASOCIACION DE PARALITICOS CEREBRALES 
(ASPACE)","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","33.750,00"
"ASOCIACION GANADEROS CRIADORES 
PORCINO PROVINCIA DE TERUEL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.375,00"
"ASOCIACION OSCENSE PRO SALUD MENTAL 
(ASAPME)","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.165,40"
"ASTRONAUTA PRODUCCIONES S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","5.580,00"
"ATADI","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","60.000,00"
"AUDIO VIDEO RACCORD SL","Mejorar la adecuación de las organizaciones a las necesidades del mercado de trabajo","138,50"
"AUDITORES MEDIOAMBIENTALES NATURA, 
S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.250,00"
"AUTOESCUELA PEGASUS S.A.","Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","22.950,00"
"AUTOPRECISION, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.125,00"
"AYUNTAMIENTO DE ZARAGOZA. CASA DE LA 
MUJER","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","1.222,62"
"AYUNTAMIENTO DE ZARAGOZA. CASA DE LA 
MUJER","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","47.454,18"
"AYUNTAMIENTO DE ZUERA ZARAGOZA","Fomento de pactos, redes y asociaciones y apoyo a las iniciativas locales para el empleo y 
la inclusión","42.784,99"
"AZUARA YUSTE S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","750,00"
"BACLIAGUA, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.125,00"
"BAR EL FARO, S.C.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.125,00"
"BARCELO LOSTES, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.612,50"
"BARLOVENTO COMUNICACIÓN S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","9.440,79"
"BARO DENTAL, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"BCN TUROLIA, S. L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.250,00"
"BEGALISA 2010, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.500,00"
"BELEN GARCIA Y PILI IBAÑEZ, S. C.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.500,00"
"BELLVIS GONZALEZ, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.919,75"
"BEMSA, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"BENATRANS MENSAJEROS, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.500,00"
"BIEFFE MEDITAL, S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","19.950,00"
"BINGAZAR, S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.250,00"
"BLASCO & BAGÜES, S.C.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.250,00"
"BODEN PAVIMENTOS, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.500,00"
"BRAVAS UTEBO 3000 S.L.L.","Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas","12.500,00"
"BREAKING TIME, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","937,50"
"BW CAPNORTH BARBASTRO S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.250,00"
"CA IT MANAGEMENT SOLUTIONS SPAIN S.A.U","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","10.336,00"
"CAPYCUA EQUIPO CREATIV, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.250,00"
"CARITAS DIOCESANA BARBASTRO MONZON","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","14.000,00"
"CARITAS DIOCESANA HUESCA","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","11.000,00"
"CARITAS DIOCESANA TERUEL","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","34.099,12"
"CARLIN S & M, S. C.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.250,00"
"CARLIN SAGASTA, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.250,00"
