nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
LA SALA CAFE CLUB C.B.,LA SALA CAFE-CLUB C.B.,"71.275,57",71275.57,"71.275,57",71275.57,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
LUIS MARTINEZ NAVAS,LUIS MARTINEZ NAVAS,"2.581,98",2581.98,"2.581,98",2581.98,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
LUIS MORENO NARANJO,LUIS MORENO NARANJO,"23.486,57",23486.57,"23.486,57",23486.57,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
LUZ MARINA SOLER GARCIA,LUZ MARINA SOLER GARCIA,"37.121,38",37121.38,"37.121,38",37121.38,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
"M. DE HOYOS, S.L.","M. DE HOYOS, S.L.","5.558,55",5558.55,"5.558,55",5558.55,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
Mª DEL MAR MEDINILLA ROLDAN,MARIA DEL MAR MEDINILLA ROLDAN,"52.109,41",52109.41,"52.109,41",52109.41,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
MANUEL ALONSO GUERRERO,MANUEL ALONSO GUERRERO,"3.497,03",3497.03,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
MARGARITA CAPILLA LUQUE,MARGARITA CAPILLA LUQUE,"8.969,67",8969.67,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
MARIA DEL CARMEN BARRIENTOS MARISCAL,MARIA DEL CARMEN BARRIENTOS MARISCAL,"16.371,04",16371.04,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
MARIBEL NARANJO MUÑOZ,MARIBEL NARANJO MUÑOZ,"9.262,94",9262.94,"9.262,94",9262.94,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
MILAGROS MARIA DOMINGUEZ JIMENEZ,MILAGROS MARIA DOMINGUEZ JIMENEZ,"3.887,30",3887.30,"3.887,30",3887.30,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
MONICA PEREZ MOLINA,MONICA PEREZ MOLINA,"10.468,15",10468.15,"10.468,15",10468.15,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
"MSL SOFTWARE, S.L.",SISTEMA DE INFORMACION PARA COLEGIOS PYMES,"3.341,72",3341.72,"3.341,72",3341.72,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
MUEBLES Y COCINAS CEUTA S.L.,MUEBLES Y COCINAS CEUTA S.L.,"1.755,00",1755.00,"1.755,00",1755.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3035)CE11.pdf
