"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"AMMS 26, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ANAS ASESORIA S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ANCEPABE, S.L.L","Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas","23.050,38"
"ANESMO DID, S.L.","Mejorar la empleabilidad de las personas desempleadas","22.500,00"
"ANSA TOURS, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ANSOLA Y DONOSO, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ANTONIO BRAVO AGRO, S.A.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ANTONIO BRAVO, S.A.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ANTONIO HAUT, S.L.","Mejorar la empleabilidad de las personas desempleadas","15.000,00"
"ANTUNEZ ESTACION DE SERVICIOS, S.L.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"APARATOS Y COSMETICA MARYFA, S.L.","Mejorar la empleabilidad de las personas desempleadas","15.000,00"
"APLIMOEX SL","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"APROSUBA 1","Mejorar la empleabilidad de las personas desempleadas","37.500,00"
"APROSUBA 3","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","207.287,52"
"APROSUBA 5","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","141.097,44"
"APROSUBA 8 C.E.E. PONCE DE LEON","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ARAUJO CORCHADO CONSTRUCCIONES, S.L.","Mejorar la empleabilidad de las personas desempleadas","15.000,00"
"ARCADIE EXTREMADURA S.A.","Mejorar la empleabilidad de las personas desempleadas","73.500,00"
"ARCO GERIATRICO,S.L.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"AREX, C.B.","Mejorar la empleabilidad de las personas desempleadas","10.000,00"
"ARGON LUX S.L.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"ARIDOS LA DEHESA DE QUINTANA, S.A.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"ARMERÍA CARRIL GARCÍA, S.L.","Mejorar la empleabilidad de las personas desempleadas","4.250,00"
"ARO CONSULTORES Y PROYECTOS, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ARQUEPEC, S.L.","Mejorar la empleabilidad de las personas desempleadas","5.660,00"
"ARRIMOBEL, S.L.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"ARTURO GIRALT SL","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ARTURO Y RAIMUNDO SC","Mejorar la empleabilidad de las personas desempleadas","10.000,00"
"ASADOR EXTREMEÑO S.L.U.","Mejorar la empleabilidad de las personas desempleadas","4.250,00"
"ASADORES DOAVE, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ASAMBLEA PROV.CRUZ ROJA ESPAÑOLA","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ASERREXSA","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ASESORA DE ELECTRONICA Y 
TELECOMUNICACIONES, S.A.L","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"ASESORAMIENTO TRIBUTARIO Y LABORAL 
DOLMEN, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ASESORIA CACEREÑA GRUPO 4, S.L.","Mejorar la empleabilidad de las personas desempleadas","5.187,50"
"ASESORIA DON BENITO, S.L.L","Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas","18.100,00"
"ASESORIA EXTREMEÑA GABEX S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ASESORIA FERNANDEZ MURO, S.L.","Mejorar la empleabilidad de las personas desempleadas","15.000,00"
"ASESORIA GARLAN S.L.L.","Mejorar la empleabilidad de las personas desempleadas","4.250,00"
"ASESORIA HIPOLITO VAZQUEZ, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ASESORIA INTEGRAL EXTREMEÑA S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ASESORIA LABORAL ALONSO SANCHEZ, S.L.","Mejorar la empleabilidad de las personas desempleadas","13.500,00"
"ASESORIA LAS SIETE SILLAS S,L.L.","Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas","10.000,00"
"ASESORIA MILLAN AGUZA, S.L.L.","Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas","10.000,00"
"ASESORIA RAFAEL ROMERO, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ASETEX INGENIEROS C.B.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"ASOC. DE FAMILIARES DE ALZHEIMER DE 
EXTREMADURA (A.F.A.E.X.)","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ASOC. DE LA PEQUEÑA Y MEDIANA EMPRESA","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ASOC. MIAJADEÑA DE AYUDA AL 
TOXICOMANO","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ASOC. PRO MINUSVALIDOS PSIQUICOS VERA","Mejorar la empleabilidad de las personas desempleadas","4.250,00"
"ASOCIACION AFEDIBA","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","20.000,00"
"ASOCIACION CULTURAL LAS TRES RANAS","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ASOCIACION DE CHAROLES DE ESPAÑA","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ASOCIACION DE INSTALADORES 
ELECTRICISTAS DE BADAJOZ","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ASOCIACION DE JOVENES EMPRENDEDORES 
DE EXTREMADURA","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ASOCIACION DE PADRES Y MADRES DEL 
TALLER OCUPACIONAL (A.P.T.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","137.412,00"
"ASOCIACION DE TIEMPO LIBRE EN 
EXTREMADURA","Mejorar la empleabilidad de las personas desempleadas","34.250,00"
"ASOCIACION FORMACION EMPLEO MUJERES 
A. RURAL","Mejorar la empleabilidad de las personas desempleadas","97.500,00"
"ASOCIACION LOCAL DE RADIO-TAXI DE 
BADAJOZ","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ASOCIACION PEÑABLANCA","Mejorar la empleabilidad de las personas desempleadas","19.232,50"
"ASTERPOLEX, S.L.","Mejorar la empleabilidad de las personas desempleadas","15.000,00"
"ATELEX, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ATHIC LAVAGE,S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"ATREX DISEÑO, S.C.","Mejorar la empleabilidad de las personas desempleadas","9.000,00"
"ATRIUM ABOGADOS, S.L.","Mejorar la empleabilidad de las personas desempleadas","11.750,00"
"AUDIEXT GLOBAL S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"AUDIOVISUALES LAS VEGAS, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"AUDITORIA INFORMATICA DEL GAS, S.L.","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"AUTO REPARACIONES FINAR S. COOP. 
ESPECIAL","Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas","22.829,22"
"AUTO REPARACIONES FINAR, S. COOP.","Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas","10.000,00"
"AUTOESCUELA ALCON, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"AUTOESCUELA CAMPOS, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"AUTOESCUELA PUNTO DE PARTIDA, S.L.L.","Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas","23.100,00"
"AUTOMOCION MONTE-BEJAR EXTREMADURA, 
S.L.","Mejorar la empleabilidad de las personas desempleadas","13.500,00"
"AUTOMOCIÓN PORRO,S.L.L.","Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas","38.160,11"
"AUTOMOCION RAMOS S.A.","Mejorar la empleabilidad de las personas desempleadas","15.000,00"
"AUTOMOCIONES HNOS MELLADO SL","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"AUTOMOVILES FERGAR, S.L.","Mejorar la empleabilidad de las personas desempleadas","13.500,00"
"AUTOMOVILES GARCIA E HIJOS, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"AUTOMOVILES VEGA, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"AUTONIVELANTES GUADIANA S.L.","Mejorar la empleabilidad de las personas desempleadas","13.500,00"
"AUTOSERVICIO GLORIA, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"AUTOSERVICIO HERNANDEZ DEL POZO, S.L.","Mejorar la empleabilidad de las personas desempleadas","22.500,00"
"AUTOSERVICIO LA ESTACION, C.B.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"AUTOSUR C.B.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"AVELINO ROMERO NIETO C.B.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"AYALA UNION, C.B.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"AYTO. DE CACERES","Mejorar la empleabilidad de las personas desempleadas","443.520,00"
"AYTO. DE DON BENITO","Mejorar la empleabilidad de las personas desempleadas","264.320,00"
"AYTO. DE PLASENCIA","Mejorar la empleabilidad de las personas desempleadas","286.720,00"
"AYTO. DE VILLANUEVA DE LA SERENA","Mejorar la empleabilidad de las personas desempleadas","295.680,00"
"AYUDA SOCIAL DE MAYORES S.L.","Mejorar la empleabilidad de las personas desempleadas","52.500,00"
"AYUNTAMIENTO BADAJOZ","Mejorar la empleabilidad de las personas desempleadas","703.360,00"
"AYUNTAMIENTO DE BADAJOZ","Mejorar la empleabilidad de las personas desempleadas","393.250,00"
"A-Z ARCHIVO Y DOCUMENTACION SUROESTE 
SL","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"AZUANET C.B.","Mejorar la empleabilidad de las personas desempleadas","10.000,00"
"AZULEJOS Y GRES JOSE LUIS GONZALEZ, S.L.","Mejorar la empleabilidad de las personas desempleadas","11.750,00"
"BACHATA SWING ORQUESTA","Mejorar la empleabilidad de las personas desempleadas","6.000,00"
"BADAVOX RED DE CAMPOS, S.L.L","Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas","10.000,00"
"BAENA Y GOMEZ C.B.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"BAEZA Y FONTAN, S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"BALLDEPAULA, S.L.","Mejorar la empleabilidad de las personas desempleadas","15.000,00"
"BALNEARIO DE ALANGE S.A.","Mejorar la empleabilidad de las personas desempleadas","13.500,00"
"BAÑOS Y SALUD S.L.","Mejorar la empleabilidad de las personas desempleadas","15.640,00"
"BAR RAMIREZ S.L.","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
"BARRANQUERO OBRAS Y SERVICIOS 2000, 
S.L.","Mejorar la empleabilidad de las personas desempleadas","22.500,00"
"BAR-RESTAURANTE ONEROM, S.C.","Mejorar la empleabilidad de las personas desempleadas","4.250,00"
"BEEFVAM, S.L.","Mejorar la empleabilidad de las personas desempleadas","12.000,00"
"BELLA PIEDRA, S.L.","Mejorar la empleabilidad de las personas desempleadas","15.000,00"
"BENEPLAS, SL","Mejorar la empleabilidad de las personas desempleadas","5.000,00"
"BENIGNO BARRERO, S.L.","Mejorar la empleabilidad de las personas desempleadas","4.250,00"
"BESTAFF SL","Mejorar la empleabilidad de las personas desempleadas","7.500,00"
