BENEFICIARIO,TIPO DE OPERACIÓN,"GASTO
PÚBLICO"
ASOCIACIÓN M.E.P.I.,"Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","61.000,00"
CEME-CEOE,Mejorar la empleabilidad de las personas desempleadas,"9.767,07"
CEME-CEOE,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","7.146,54"
"CENTRO DE FORMACIÓN M-3,S.L.",Mejorar la empleabilidad de las personas desempleadas,"43.357,20"
"CENTRO DE FORMACIÓN M-3,S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","22.807,76"
"CENTRO DE NEGOCIO Y ASESORAMIENTO 
MELILLA,S.L.","Evaluación, estudios, información y comunicación","10.803,00"
CIUDAD AUTÓNOMA DE MELILLA,Apoyo a la gestión de los programas operativos,"26.459,96"
CIUDAD AUTÓNOMA DE MELILLA,"Evaluación, estudios, información y comunicación","2.157,68"
CIUDAD AUTÓNOMA DE MELILLA,"Favorecer la conciliación entre la vida laboral y personal y Impulsar la igualdad de 
oportunidades ","143.829,00"
CRUZ ROJA ESPAÑOLA EN MELILLA,Mejorar la empleabilidad de las personas desempleadas,"24.654,29"
"DIGITAL MELILLA, S.L.",Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas,"9.600,00"
"EL ALCAZAR, CB","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","21.587,30"
"FUNDACIÓN EMPRESA UNIVERSIDAD DE 
GRANADA",Mejorar la empleabilidad de las personas desempleadas,"29.437,89"
"FUNDACIÓN ESCUELA HISPANO ARABE DIETA 
MEDITERRANEA",Mejorar la empleabilidad de las personas desempleadas,"444.820,08"
"FUNDACIÓN ESCUELA HISPANO ARABE 
MEDITERRANEA",Mejorar la empleabilidad de las personas desempleadas,"329.426,34"
"HOSSEINES H Y H, S.L.",Mejorar la empleabilidad de las personas desempleadas,"25.222,70"
"HOSSEINES H Y H, SLL",Mejorar la empleabilidad de las personas desempleadas,"25.024,26"
"íA SOFT ARAGÓN, S.L.",Apoyo a la gestión de los programas operativos,"5.775,00"
"INSTITUTO DE FORMACIÓN Y ESTUDIOS 
SOCIALES",Mejorar la empleabilidad de las personas desempleadas,"17.704,74"
"INSTITUTO DE FORMACIÓN Y ESTUDIOS 
SOCIALES","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.083,06"
"LA JABONERÍA, C.B.",Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas,"7.000,00"
"NOVATECH SISTEMAS DE INFORMACIÓN, S.L.",Apoyo a la gestión de los programas operativos,"7.150,00"
"NOVATECH SISTEMAS DE INFORMACIÓN, SL",Mejorar la empleabilidad de las personas desempleadas,"15.735,97"
"NOVATECH SISTEMAS DE INFORMACIÓN,S.L.",Apoyo a la gestión de los programas operativos,"8.000,00"
ORGANISMO INTERMEDIO,Fomentar el apoyo al trabajo por cuenta propia y la creación de empresas,"24.500,00"
ORGANISMO INTERMEDIO,Mejorar la empleabilidad de las personas desempleadas,"24.912,76"
PROYECTO MELILLA,"Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.700,41"
"PROYECTO MELILLA, S.A.",Apoyo a la gestión de los programas operativos,"112.241,88"
"PROYECTO MELILLA, S.A.","Evaluación, estudios, información y comunicación","906,53"
"PROYECTO MELILLA, S.A.",Mejorar la adecuación de las organizaciones a las necesidades del mercado de trabajo,"58.051,14"
"PROYECTO MELILLA, S.A.","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","46.268,59"
"PROYECTO MELILLA,S.A.",Apoyo a la gestión de los programas operativos,"2.886,62"
