BENEFICIARIO,TIPO DE OPERACION,GASTO PUBLICO
MOMAJUMASL,Mejorar la empleabilidad de las personas desempleadas,93.26
MOMA TEATRE SL,Mejorar la empleabilidad de las personas desempleadas,1900
"MOMAYCA, SL",Mejorar la empleabilidad de las personas desempleadas,3050.05
"MOMBLIN, S.L.",Mejorar la empleabilidad de las personas desempleadas,1207.8
"MOMCAM-2006, S.L.",Mejorar la empleabilidad de las personas desempleadas,1197.43
MOMEN TRADING SPORT SL,Mejorar la empleabilidad de las personas desempleadas,311.08
MOMENTOS RESTAURACION S.L,Mejorar la empleabilidad de las personas desempleadas,105
"MOMENTUM GABINET D ENGINYERIA,S.L._(CONSTITUCION)",Mejorar la empleabilidad de las personas desempleadas,408.43
MOMENTUM TASK FORCE SL,Mejorar la empleabilidad de las personas desempleadas,973.85
"MOMIBA, SAL",Mejorar la empleabilidad de las personas desempleadas,1900
MOMIX CB,Mejorar la empleabilidad de las personas desempleadas,450.95
"MOMOKIDS, S.L.",Mejorar la empleabilidad de las personas desempleadas,661.08
MOMPEAN Y MATEO SL,Mejorar la empleabilidad de las personas desempleadas,1266.73
MOMPLE RENT A CAR SL,Mejorar la empleabilidad de las personas desempleadas,1125
"MOMPLET Y TAMAYO REHAB.Y CONSTRUCC.OBRAS NUEVAS,S.L.",Mejorar la empleabilidad de las personas desempleadas,1023.31
MOMPO SPORT SL,Mejorar la empleabilidad de las personas desempleadas,239.03
MOMPO Y PENARANDA SL,Mejorar la empleabilidad de las personas desempleadas,511.71
MOMP-SALES SL,Mejorar la empleabilidad de las personas desempleadas,4880.53
MON CAROLA SL,Mejorar la empleabilidad de las personas desempleadas,153.46
"MON CUBIC, SL",Mejorar la empleabilidad de las personas desempleadas,1005.69
"MON DE FOC, SL",Mejorar la empleabilidad de las personas desempleadas,462.74
"MON GRAFIC 2000, SL",Mejorar la empleabilidad de las personas desempleadas,956.16
MON HIPOTECARI SL,Mejorar la empleabilidad de las personas desempleadas,2.36
"MON IBER ROCS, S.L.",Mejorar la empleabilidad de las personas desempleadas,622.24
MON INFORMATIC FORMACIO SL,Mejorar la empleabilidad de las personas desempleadas,493.42
"MON PELUT VILANOVA,S.L. EN CONSTITUCION",Mejorar la empleabilidad de las personas desempleadas,212.48
MON PETIT 2006 SL,Mejorar la empleabilidad de las personas desempleadas,826.64
"MON RESTAURACIO CASTELLASSA,S.L.",Mejorar la empleabilidad de las personas desempleadas,774.16
"MON SOLUCIONS, SLL",Mejorar la empleabilidad de las personas desempleadas,567.16
"MON T S, SL",Mejorar la empleabilidad de las personas desempleadas,26883.68
MON UNIC SL,Mejorar la empleabilidad de las personas desempleadas,680.02
"MON VERTICAL, SL",Mejorar la empleabilidad de las personas desempleadas,276.59
MON VETERINARI SL,Mejorar la empleabilidad de las personas desempleadas,936.69
"MON&PER 2004, SL",Mejorar la empleabilidad de las personas desempleadas,400
MONACAL MORRAZO,Promocion del espiritu empresarial y de la adaptabilidad de las empresas y Refuerzo del nivel de competencia,893.86
MONACAL MORRAZO.,Promocion del espiritu empresarial y de la adaptabilidad de las empresas y Refuerzo del nivel de competencia,689.46
MONACO ALIMENTARIA SA,Mejorar la empleabilidad de las personas desempleadas,530.55
MONACO CERAMICAS.L.,Mejorar la empleabilidad de las personas desempleadas,1048.26
MONACO FOODS SL,Mejorar la empleabilidad de las personas desempleadas,748.42
"MONACO SERVICIOS INTEGRALES, S.L.",Mejorar la empleabilidad de las personas desempleadas,65.51
"MONACOR ESPANA, SA",Mejorar la empleabilidad de las personas desempleadas,2614.07
"MONALCO, SL",Mejorar la empleabilidad de las personas desempleadas,4372.22
"MONASTERI DE L ALMASSERA & JUVIMA, S.L.",Mejorar la empleabilidad de las personas desempleadas,184.14
MONASTERIO DE BOLTANA SL,Mejorar la empleabilidad de las personas desempleadas,186.62
"MONASTERIO LOS BOLICHES, S.L.U.",Mejorar la empleabilidad de las personas desempleadas,636.63
"MONASTERIO PAZ, S.L.",Mejorar la empleabilidad de las personas desempleadas,762.93
MONASTERIO ROCAMADOR SA,Mejorar la empleabilidad de las personas desempleadas,4918.68
"MONASTERIO TORTOLES DE ESGUEVA, S.A.",Mejorar la empleabilidad de las personas desempleadas,1033.32
