"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"AGROCINEGETICA MODELO S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.100,00"
"AGROLOPEZ ARANDA S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"AGROPECUARIA CARMELDO S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"AGROPECUARIA HERRAN S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"AGRUP. EMPRESA. COMPRAS DEL BIERZO","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.700,00"
"AGRUPESCA S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","10.000,00"
"AGUA Y BALNEARIO DE CORCONTE S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","7.000,00"
"AGUADO Y GALIANO S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"AGUAS DE GREDOS S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.200,00"
"AGUAS DE SANTOLIN S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.800,00"
"AIR BIERZO S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.700,00"
"AIRES CASTILLA Y LEON,S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.600,00"
"AIRES DE GREDOS S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","25.800,00"
"ALACAI S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"ALACRAN S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","12.000,00"
"ALAMO GIL ALBERTO DEL Y ESCALERA","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ALARWOOL S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"ALBA DISMELEC, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"ALBAICIN S.C.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"ALBA-MACREL GROUP, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.300,00"
"ALBEA MARKET,S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"ALBERSANTI S.L.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.800,00"
"ALBIE S.A.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","1.245,48"
"ALCA INFORMOBIL S.L.","Mejorar la empleabilidad de las personas desempleadas","23.295,19"
"ALCA INFORMOBIL S.L.","Promoción del espíritu empresarial y de la adaptabilidad de las empresas y Refuerzo del 
nivel de competencia","8.357,17"
"ALCALSER 2000 S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.500,00"
"ALCAR COMPONENTES ELECTR. S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","7.641,30"
"ALCOGAR S.C.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","242,44"
"ALDEA C.B.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ALDEA SUMINISTROS HOSTELERIA S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","2.234,01"
"ALECOP,S.COOP.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","940,76"
"ALESA INFORMATICA S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","1.599,72"
"ALFA SORIA,SL","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.000,00"
"ALFER S.A.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"ALFREDO MARTIN SEVILLANO S.L.U.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.000,00"
"ALGOGAR EUROPA S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","330,60"
"ALGONFER S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.200,00"
"ALICONFRE S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","486,49"
"ALIMENTACION ALEX S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","3.900,00"
"ALIMENTACION LA BODEGA S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.750,00"
"ALKAPAVI S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.302,00"
"ALLIANZ CIA DE SEGUROS Y REASEGUROS SA","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","1.551,88"
"ALMA VINOS UNICOS S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.400,00"
"ALMACEN DE RECAMBIOS PAHER S.A.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","406,00"
"ALMACEN DE RELOJERIA OTERO,S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","5.500,00"
"ALMACENES BENIGNO GARCIA CUESTA S.L","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.600,00"
"ALMACENES CAMARA, S. A.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","397,45"
"ALMACENES EL ANZUELO S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","2.025,00"
"ALMACENES HERMANOS MARTIN TELLO S.L","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.500,00"
"ALMACENES REVITEX S.L","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","6.000,00"
"ALMACENES TEJEDOR S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","594,24"
"ALMACENES Y HARINAS CARBAJO S.L.","Promover reformas en los sistemas de educación y formación que fomenten la 
empleabilidad yaprendizaje","59,89"
"ALMAJAL TURISMO S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","4.800,00"
"ALMAPARA,C.B.(BAR JERO)","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","9.500,00"
"ALMAZAN CLASSICO S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","25.050,00"
