nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
JUNTA DE EXTREMADURA,OBR0801069-REFORMAS VARIAS EN CP NTRA. SRA. DE GUADALUPE DE BURGUILLOS DEL CERRO,"299.435,60",299435.60,"299.435,60",299435.60,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OBR0801070-REFORMAS VARIAS EN C.P. SAGRADO CORAZÓN DE JESÚS DE OLIVA DE MÉRIDA,"357.849,64",357849.64,"27.647,39",27647.39,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OBR0801071-ADAPTACIÓN ANTIGUAS DEPENDENCIAS INFANTIL C.P. ORTEGA Y GASSET. PARA ALBERGAR EQUIPO ORIENTACIÓN EDUCATIVA Y PSICOPEDAGOGICA DE ALMENDRALEJO,"125.077,34",125077.34,"83.946,04",83946.04,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,MCON0801055-REDACCIÓN PROYECTO OBRAS: REFORMAS VARIAS CP FERNANDO EL CATÓLICO EN MADRIGALEJO,"3.438,74",3438.74,"3.438,74",3438.74,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OBR0801072-REFORMA INTEGRAL DE ASEOS. CARPINTERÍAS EXTERIORES Y PERSIANAS DEL C.P. VIRGEN DE MONFRAGÜE DE TORREJÓN EL RUBIO,"57.729,48",57729.48,"57.729,48",57729.48,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OBR0801073-REFORMAS VARIAS EN EL E.H. SAN VICENTE DE CABEZA DEL BUEY,"58.703,82",58703.82,"58.703,62",58703.62,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,CON0801009-REDACCIÓN DE PROYECTO Y ESTUDIO SEGURIDAD Y SALUD DE LAS OBRAS DE REAGRUPAMIENTO DEPENDENCIAS ESCOLARES EN C.P. NTRA. SRA. DE LA O DE NAVAS DEL MADROÑO,"29.998,76",29998.76,"29.998,76",29998.76,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,OBR0801077-REFORMAS VARIAS EN EL C.P. SAN PEDRO DE ALCÁNTARA,"53.210,09",53210.09,"53.210,09",53210.09,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,MCON0801059-REDACCIÓN DE PROYECTO Y ESTUDIO SEGURIDAD Y SALUD DE LAS OBRAS: CP NTRA. SRA. VIRGEN DE GUADALUPE EN HIGUERA LA REAL,"12.000,00",12000.00,"12.000,00",12000.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
JUNTA DE EXTREMADURA,MCON0801005-REDACCION PROYECTO CP GARCIA SIÑERIZ MIAJADAS,"11.971,20",11971.20,"11.971,20",11971.20,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/%283630%29EX26.pdf
