nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,ADQUISICIÓN E INSTALACIÓN DE EQUIPAMIENTO DE CULTIVO DE PLANTAS EN CONDICIONES CONTROLADAS,"496.975,00",496975.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,"UNIDAD ""PALDEN"": MICROSCOPÍA DE COMPARACIÓN Y ALTA RESOLUCIÓN EN PALINOLOGÍA Y DENDROCRONOLOGÍA","155.662,72",155662.72,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,SISTEMA DE INDENTACIÓN PARA MEDIDAS DE MICRODUREZA Y MICRORAYADO,"156.136,00",156136.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,MEDIDA DE FLUORESCENCIA Y ABSORVANCIA EN EL INFRAROJO CERCANO DE NANOSTUBOS DE CARBONO DE CAPA ÚNICA SEMICONDUCTORES.,"101.732,00",101732.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,ESTRATEGIAS DE FUNCIONALIZACION BASADAS EN LA ACTIVACION DE ENLACES CH,"145.200,00",145200.00,"145.200,00",145200.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,DESARROLLO DE TECNOLOGIAS AVANZADAS PARA LA CONCENTRACION/DESTRUCCION DE COMPUESTOS ORGANICOS ATMOSFERICOS DE ALTA TOXICIDAD EN PROCESOS DE GENERACION DE ENERGIA.,"96.703,20",96703.20,"96.703,20",96703.20,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,PROCESOS ENANTIOSELECTIVOS CATALIZADOS POR COMPLEJOS DE METALES DE TRANSICION,"135.520,00",135520.00,"135.520,00",135520.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,PRODUCCION DE HIDROGENO CON CAPTURA DE CO2 POR REFORMADO DE CH4 CON TRANSPORTADORES SOLIDOS DE OXIGENO,"203.280,00",203280.00,"197.181,60",197181.60,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,PIPERIDINAS Y PIRROLIDINAS POLISUSTITUIDAS ENANTIOMERICAMENTE PURAS. SINTESIS APLICACIONES EN CATALISIS ASIMETRICA.,"61.710,00",61710.00,"54.304,80",54304.80,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,REACCIONES DE ACTIVACION DE ENLACES C-H Y ACOPLAMIENTO C-C Y C-HETEROATOMO PROMOVIDAS POR COMPLEJOS DE METALES DE TRANSICION,"394.460,00",394460.00,"347.124,80",347124.80,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,ESTRATEGIAS PARA EL DESARROLLO DE NUEVOS SENSORES LAMINARES DE FLUORESCENCIA CON TRANSDUCCION POR FIBRA OPTICA PARA LA DETECCION GENERAL Y ESPECIFICA DE ANALITOS,"99.220,00",99220.00,"87.313,60",87313.60,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,PROCESOS SELECTIVOS DE ACTIVACION DE ENLACES CH A TRAVES DE COMPLEJOS METALICOS Y SUS APLICACIONES,"108.900,00",108900.00,"95.832,00",95832.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,COMPLEJOS DISCRETOS Y AGREGADOS MOLECULARES DE INTERES EN CATALISIS HOMOGENEA Y CIENCIA DE MATERIALES,"211.145,00",211145.00,"185.807,60",185807.60,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,"CATALIZADORES ENANTIOSELECTIVOS INMOVILIZADOS: EFECTOS DE SUPERFICIE, APLICACION A NUEVAS REACCIONES Y SISTEMAS MULTITAREA","212.839,00",212839.00,"187.298,32",187298.32,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,RETENCION DE SO2 CON SORBENTES CALCICOS DURANTE LA OXICOMBUSTION EN LECHO FLUIDIZADO,"131.043,00",131043.00,"115.317,84",115317.84,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,WATER SOLUBLE COMPOUNDS. PROPERTIES AND APPLICATIONS,"144.474,00",144474.00,"127.137,12",127137.12,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,MONOLITOS DE CARBONO PARA APLICACIONES MEDIOAMBIENTALES: CAPTURA DE MERCURIO CON SORBENTES REGENERABLES,"78.650,00",78650.00,"69.212,00",69212.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,ESTUDIO DEL COMPORTAMIENTO DE COMBUSTIBLES SOLIDOS PULVERIZADOS EN CONDICIONES DE OXI-COMBUSTION,"131.890,00",131890.00,"127.933,30",127933.30,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,TRANSFORMACION DE LA MATERIA MINERAL DEL CARBON EN OXI-COMBUSTION: EFECTO SOBRE LA ESCORIFICACION Y EL ENSUCIAMIENTO.,"121.000,00",121000.00,"117.370,00",117370.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,SIMULACION NUMERICA DE UNA PILA DE COMBUSTIBLE POLIMERICA MEDITANTE METODOS DE RETICULA PARA LA ECUACION DE BOLTZMANN,"55.660,00",55660.00,"53.990,20",53990.20,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3028)AR11.pdf
