BENEFICIARIO,TIPO DE OPERACION,GASTO PUBLICO
TAU CONSULTORA AMBIENTAL SL,Mejorar la empleabilidad de las personas desempleadas,297.50
TAU DISENO SA,Mejorar la empleabilidad de las personas desempleadas,384.36
TAU INGENIERIA SOLAR SL,Mejorar la empleabilidad de las personas desempleadas,"6,674.63"
"TAU VENTURE SERVICES, SL",Mejorar la empleabilidad de las personas desempleadas,"1,345.77"
"TAUCIAT, S.L.",Mejorar la empleabilidad de las personas desempleadas,"8,805.67"
"TAUIT MAR, S.L.",Mejorar la empleabilidad de las personas desempleadas,171.75
TAULA ASESORES SL,Mejorar la empleabilidad de las personas desempleadas,"1,045.90"
TAULA DE JOVES DEL DISTRICTE DE SANT ANDREU,Mejorar la empleabilidad de las personas desempleadas,14.16
TAULA DE LLIRIA SL,Mejorar la empleabilidad de las personas desempleadas,958.55
"TAULELL DECORA, C.B",Mejorar la empleabilidad de las personas desempleadas,637.44
TAULELL SA,Mejorar la empleabilidad de las personas desempleadas,"5,093.30"
TAULELLS ZARAGOZA COOP. V,Mejorar la empleabilidad de las personas desempleadas,"2,419.75"
TAULI 2007 SL,Mejorar la empleabilidad de las personas desempleadas,533.36
TAUMACO TALLER CREATIVO EN MARKETING Y COMUNICACION SL,Mejorar la empleabilidad de las personas desempleadas,"1,307.95"
TAURO ALIMENTACION DEL SUR SL,Mejorar la empleabilidad de las personas desempleadas,"2,329.47"
"TAURO SERVICIOS GENERALES, S.L.",Mejorar la empleabilidad de las personas desempleadas,284.57
TAURODELTA SA,Mejorar la empleabilidad de las personas desempleadas,752.61
TAUROMAQUIA SL,Mejorar la empleabilidad de las personas desempleadas,451.38
"TAURUM FOODS MEDITERRANEO,S.A.",Mejorar la empleabilidad de las personas desempleadas,44.84
TAUSTE GANADERA SA,Mejorar la empleabilidad de las personas desempleadas,"1,266.73"
"TAUSTE SOLAR,S.L.",Mejorar la empleabilidad de las personas desempleadas,820.02
"TAUXING VALVERDE, SL",Mejorar la empleabilidad de las personas desempleadas,726.64
TAUXINOR SL,Mejorar la empleabilidad de las personas desempleadas,619.98
TAV ARQUITECTOS SL,Mejorar la empleabilidad de las personas desempleadas,305.73
"TAVAMO, S.A.",Mejorar la empleabilidad de las personas desempleadas,"1,975.73"
TAVAR SL,Mejorar la empleabilidad de las personas desempleadas,"1,300.00"
TAVARATAXI SL,Mejorar la empleabilidad de las personas desempleadas,759.94
TAVARUA OUTDOOR SL,Mejorar la empleabilidad de las personas desempleadas,220.83
"TAVASER ALIMENTACION Y RESTAURACION, S.L.",Mejorar la empleabilidad de las personas desempleadas,901.91
"TAVE SABATERIES, SL",Mejorar la empleabilidad de las personas desempleadas,415.51
TAVER RIEGOS S.L.,Mejorar la empleabilidad de las personas desempleadas,"1,366.51"
TAVERA BROKERS CORREDURIA DE SEGUROS SL,Mejorar la empleabilidad de las personas desempleadas,435.00
TAVERNA MAS MARTA SL UNIPERSONAL,Mejorar la empleabilidad de las personas desempleadas,"1,869.71"
"TAVERNES -1, S.L.",Mejorar la empleabilidad de las personas desempleadas,302.19
"TAVERNES GUILA, SL",Mejorar la empleabilidad de las personas desempleadas,950.00
TAVIAJE SUR AUTO-TAXI SL,Mejorar la empleabilidad de las personas desempleadas,"6,101.75"
"TAVIART CARLET,S.L.",Mejorar la empleabilidad de las personas desempleadas,"1,266.73"
"TAVIC, SL",Mejorar la empleabilidad de las personas desempleadas,"1,266.54"
