BENEFICIARIO,TIPO DE OPERACION,GASTO PUBLICO
0111,Mejorar la empleabilidad de las personas desempleadas,"3.600,78"
"1 BOLO, 2 BOLOS, 3 BOLOS ..., SL",Mejorar la empleabilidad de las personas desempleadas,"31,79"
1 EXEQUATOR SL,Mejorar la empleabilidad de las personas desempleadas,"1.421,33"
1 KILO Y CUARTO SL,Mejorar la empleabilidad de las personas desempleadas,"2.993,62"
"10 FEDAN INMO-SERVICIOS, SL",Mejorar la empleabilidad de las personas desempleadas,"271,49"
10 GAS INSTALACIONES SL,Mejorar la empleabilidad de las personas desempleadas,"73,26"
10 KILOS MENOS SALUD S.L.,Mejorar la empleabilidad de las personas desempleadas,"1.345,77"
"100 GRASU ALIMENTARIA,S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.274,93"
"100 OJOS CREACCION AURIOVISUAL, SL",Mejorar la empleabilidad de las personas desempleadas,"212,49"
"100 PELUQUERIAS,SL",Mejorar la empleabilidad de las personas desempleadas,"1.303,86"
"100 PO 100 MAR, S.L.",Mejorar la empleabilidad de las personas desempleadas,"495,81"
"100 POR 100 VIVIENDA,S.L.",Mejorar la empleabilidad de las personas desempleadas,"779,13"
"103 TODD-AO ESTUDIOS, SL",Mejorar la empleabilidad de las personas desempleadas,"33,30"
11 MESS RECAMBIOS SL,Mejorar la empleabilidad de las personas desempleadas,"637,47"
11811 NUEVA INFORMACION TELEFONICA SA UNIPERSONAL,Mejorar la empleabilidad de las personas desempleadas,"957,83"
12 PASOS CENTRO DE TRATAMIENTO S.L.,Mejorar la empleabilidad de las personas desempleadas,"1.647,53"
"121PV LOGISTICS,S.L.",Mejorar la empleabilidad de las personas desempleadas,"585,24"
"14 PIES AUDIOVISUAL, SL",Mejorar la empleabilidad de las personas desempleadas,"526,46"
14096843FRIKI SL,Mejorar la empleabilidad de las personas desempleadas,"659,94"
1550 MDL CB,Mejorar la empleabilidad de las personas desempleadas,"491,59"
"16 DE JULIO FORN DE CAMPOS,S.L.",Mejorar la empleabilidad de las personas desempleadas,"106,20"
19 POLZADES SL,Mejorar la empleabilidad de las personas desempleadas,"1.402,22"
1900 CB,Mejorar la empleabilidad de las personas desempleadas,"850,00"
