nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
"ARTELORE HOME, S.A","PRONUE 07 - ARTELORE HOME, S.A.","5.977,77",5977.77,"4.572,77",4572.77,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
"ARTEPAN, S.A.","SAIATU 08 - ARTEPAN, S.A.","12.450,00",12450.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
"ARTEPAN, S.A.",PROMECO 07 - ARTEPAN S.A.,"7.575,00",7575.00,"7.575,00",7575.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ARTEPAN S.A.,ARTEPAN S.A.,"16.407,22",16407.22,"16.407,22",16407.22,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
"ARTESANÍA GALFARSORO, S.A.","SAIATU 08 - ARTESANÍA GALFARSORO, S.A.","2.400,00",2400.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASCENE AGRUPACION CONSORCIOS EXPORTACION,ASCENE AGRUPACION CONSORCIOS EXPORTACION,"27.364,00",27364.00,"27.364,00",27364.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASECOEX S.L.,ASECOEX S.L.,"12.921,56",12921.56,"12.921,56",12921.56,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
"ASEMENDI GESTIÓN EMPRESARIAL, S.L.","SAIATU 08 - ASEMENDI GESTIÓN EMPRESARIAL, S.L.","2.538,00",2538.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
ASISTENCIA TECNOLOGICA MEDIOAMBIENTAL SA,ASISTENCIA TECNOLOGICA MEDIOAMBIENTAL SA,"29.562,50",29562.50,"29.562,50",29562.50,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
"ASITEC SERVICIOS INFORMÁTICOS INTEGRALES, S.L.","SAIATU 08 - ASITEC SERVICIOS INFORMÁTICOS INTEGRALES, S.L.","12.900,00",12900.00,"0,00",0.00,2009,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3044)EU11.pdf
