BENEFICIARIO,TIPO DE OPERACIÓN,"GASTO
PÚBLICO"
"A + 2, C.B.",Mejorar la empleabilidad de las personas desempleadas,"2.673,00"
"A PRIETO MIER, S.L.UNIPERSONAL",Mejorar la empleabilidad de las personas desempleadas,"607,91"
"A.C.G. INGENIERIA, S.A.",Mejorar la empleabilidad de las personas desempleadas,"4.104,00"
A.G.S. HOGAR S.L.,Mejorar la empleabilidad de las personas desempleadas,"1.432,06"
"A.P. DE PERSONAS CON DISCAPACIDAD 
INTELECTUAL"" FRATERNIDAD""","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","2.880,00"
"ABACO ESTUDIOS Y PROYECTOS, S.L.",Mejorar la empleabilidad de las personas desempleadas,"173,40"
"ABOCOMPRI, S.A.",Mejorar la empleabilidad de las personas desempleadas,"13.500,00"
"ABOGADOS R Y A , C.B.",Mejorar la empleabilidad de las personas desempleadas,"2.531,40"
"ACADEMIA ASIS, CB",Mejorar la empleabilidad de las personas desempleadas,"5.303,40"
"ACE EDICIONES PUBLICIDAD DISEÑO, S.L.",Mejorar la empleabilidad de las personas desempleadas,"2.961,76"
"ACOTHERM MANTENIMIENTOS, S.L.",Mejorar la empleabilidad de las personas desempleadas,"2.396,02"
"ACTIVIDADES DIVERSAS DE PELUQUERIA, SL",Mejorar la empleabilidad de las personas desempleadas,"2.896,50"
"ACUSTICA Y MEDIOAMBIENTE, S.L.",Mejorar la empleabilidad de las personas desempleadas,"6.400,80"
"ADAMLAB, S.L.","Proponer oportunidades de integración social y laboral a las personas con discapacidad y 
en riesgo de exclusión","3.120,00"
"ADIABATICA, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.440,00"
"ADIBER TECNOLOGIA, S.L.","Promoción del empleo estable y de calidad y difusión de formas Innovadoras de 
organización laboral ","1.200,00"
"ADMINISTRACIONES ACEBAL, S.L.",Mejorar la empleabilidad de las personas desempleadas,"2.595,60"
"ADMINISTRACIONES AUGE, S.L.",Mejorar la empleabilidad de las personas desempleadas,"2.400,00"
"ADMINISTRACIONES FERCO, S.L.",Mejorar la empleabilidad de las personas desempleadas,"4.179,60"
"ADOBE PROFET, SL",Mejorar la empleabilidad de las personas desempleadas,"13.500,00"
