BENEFICIARIO,TIPO DE OPERACION,GASTO PUBLICO
ALOE PLAYA SL,Mejorar la empleabilidad de las personas desempleadas,"1.409,61"
ALOFERTON.S.LL,Mejorar la empleabilidad de las personas desempleadas,"51,46"
ALOGAR GESTION RESIDENCIAL SL,Mejorar la empleabilidad de las personas desempleadas,"600,00"
ALOGARSA GARCIA SL,Mejorar la empleabilidad de las personas desempleadas,"39.335,24"
ALOGRA G7 SL,Mejorar la empleabilidad de las personas desempleadas,"722,45"
ALOGRAF SL,Mejorar la empleabilidad de las personas desempleadas,"212,49"
ALOGRANT LUJO SL,Mejorar la empleabilidad de las personas desempleadas,"1.817,78"
"ALOHA CREACIONES, S.L.",Mejorar la empleabilidad de las personas desempleadas,"1.500,00"
ALOHA DISCOS SL,Mejorar la empleabilidad de las personas desempleadas,"2.533,20"
"ALOHA-FLOR, S.L.",Mejorar la empleabilidad de las personas desempleadas,"506,66"
ALOJA COMUNICACION SL,Mejorar la empleabilidad de las personas desempleadas,"336,07"
ALOJAMIENTO RURAL DE FONELAS SL,Mejorar la empleabilidad de las personas desempleadas,"76,59"
"ALOJAMIENTO RURALES EL GRIAL, S.L.",Mejorar la empleabilidad de las personas desempleadas,"87,35"
ALOJAMIENTOS ARENA SL,Mejorar la empleabilidad de las personas desempleadas,"1.600,00"
ALOJAMIENTOS BARCELONA HOTELES SL,Mejorar la empleabilidad de las personas desempleadas,"1.178,12"
ALOJAMIENTOS DEL HENARES S.L.,Mejorar la empleabilidad de las personas desempleadas,"2.651,39"
ALOJAMIENTOS LAS ENCARNAS SL,Mejorar la empleabilidad de las personas desempleadas,"265,60"
"ALOJAMIENTOS RURALES EL VALLE VERDE, SL",Mejorar la empleabilidad de las personas desempleadas,"332,29"
"ALOJAMIENTOS RUSTIC, S.L.",Mejorar la empleabilidad de las personas desempleadas,"524,41"
"ALOJAMIENTOS TURISTICOS MERINDAD DE OLITE, S.L.",Mejorar la empleabilidad de las personas desempleadas,"483,98"
