"BENEFICIARIO","TIPO DE OPERACION","GASTO PUBLICO"
"IMANOL HOSTELERIA Y ASADORES SL EN CONSTITUCION","Mejorar la empleabilidad de las personas desempleadas","241,56"
"IMANSER MANTENIMIENTO INTEGRAL, SL","Mejorar la empleabilidad de las personas desempleadas",1900
"IMAR ARQUITECTOS SL","Mejorar la empleabilidad de las personas desempleadas","849,92"
"IMAR BODY S.L.","Mejorar la empleabilidad de las personas desempleadas","141,66"
"IMAR DIGITAL CENTRO DE PRODUCCION INTEGRAL S.L.","Mejorar la empleabilidad de las personas desempleadas",900
"IMARA ASOC CIVIL","Mejorar la empleabilidad de las personas desempleadas",1900
"IMARFE SA","Mejorar la empleabilidad de las personas desempleadas","3419,44"
"IMARFE TEXTIL, SA","Mejorar la empleabilidad de las personas desempleadas","3179,82"
"IMARK INVESTIGACION Y MARKETING SL","Mejorar la empleabilidad de las personas desempleadas","649,95"
"IMASA SA","Mejorar la empleabilidad de las personas desempleadas","2607,81"
"IMASDE AGROPECUARIA SL","Mejorar la empleabilidad de las personas desempleadas","1964,46"
"IMASONIC ELECTRODOMESTICOS SL EN CONST","Mejorar la empleabilidad de las personas desempleadas","592,69"
"IMASOTO SA","Mejorar la empleabilidad de las personas desempleadas","3460,66"
"IMASTE IDEAS PROYECTOS SOLUCIONES, SL","Mejorar la empleabilidad de las personas desempleadas","4175,96"
"IMAT MOBILIARIO Y DISENO SA","Mejorar la empleabilidad de las personas desempleadas","750,48"
"IMATEC AUTOMATIZACIONES, S.L.","Mejorar la empleabilidad de las personas desempleadas","370,05"
"IMATGE I ESTIL GIRONA, S.L.","Mejorar la empleabilidad de las personas desempleadas","920,79"
"IMATGE INTEGRAL OLESA.S.L.","Mejorar la empleabilidad de las personas desempleadas","1243,62"
"IMATGE JOVE CENTRE D ESTETICA SL","Mejorar la empleabilidad de las personas desempleadas","197,72"
"IMATGE NOVA CB","Mejorar la empleabilidad de las personas desempleadas","1168,67"
"IMATGE PERRUQUERS BCN 3 SL","Mejorar la empleabilidad de las personas desempleadas","2655,49"
"IMATGES ROTULACION,S.L.","Mejorar la empleabilidad de las personas desempleadas","164,42"
"IMATHIA CONSTRUCCION, SL","Mejorar la empleabilidad de las personas desempleadas","21,24"
"IMATIA INNOVATION SL","Mejorar la empleabilidad de las personas desempleadas","14541,61"
"IMATIO GESTION, SL","Mejorar la empleabilidad de las personas desempleadas","122,75"
"IMATION IBERIA SA","Mejorar la empleabilidad de las personas desempleadas","800,04"
"IMATRIC SA","Mejorar la empleabilidad de las personas desempleadas","675,23"
"IMAVE, INICIATIVAS MEDIOAMBIENTALES, SL","Mejorar la empleabilidad de las personas desempleadas","141,63"
"IMAWEB 2000 SL","Mejorar la empleabilidad de las personas desempleadas","1769,93"
"IMAXEN-DOUS PELUQUERIAS S.L","Mejorar la empleabilidad de las personas desempleadas","151,1"
"IMAXINA DOS, SL","Mejorar la empleabilidad de las personas desempleadas","433,32"
"IMAXINA INSTALACIONS PROFESIONAIS SL","Mejorar la empleabilidad de las personas desempleadas","1266,73"
"IMAXINA NOVAS TECNOLOXIAS SL","Mejorar la empleabilidad de las personas desempleadas","424,98"
"IMAZ & GOICOECHEA ASESORES, SL","Mejorar la empleabilidad de las personas desempleadas","694,13"
"IMAZ DUCASSE, S.L.","Mejorar la empleabilidad de las personas desempleadas","746,62"
"IMAZ IRAZOQUI SL","Mejorar la empleabilidad de las personas desempleadas","629,97"
"IMAZ MANTENIMIENTO SL","Mejorar la empleabilidad de las personas desempleadas",400
"IMAZ OCHARAN CORREDURIA DE SEGUROS SL","Mejorar la empleabilidad de las personas desempleadas","87,32"
"IMB SERVEIS EMPRESARIALS SANT CUGAT, SL","Mejorar la empleabilidad de las personas desempleadas","450,95"
"IMBEDDING, SL","Mejorar la empleabilidad de las personas desempleadas","696,34"
"IMBERT DELOLMO SL","Mejorar la empleabilidad de las personas desempleadas","513,51"
"IMBERT MANAGEMENT CONSULTING SOLUTIONS","Mejorar la empleabilidad de las personas desempleadas","2429,3"
"IMBIOSIS SL","Mejorar la empleabilidad de las personas desempleadas","528,85"
"IMBOST COMUNICACIONES, S.L.","Mejorar la empleabilidad de las personas desempleadas","444,42"
"IMBRA TELECOM, S.L.","Mejorar la empleabilidad de las personas desempleadas","1345,77"
"IMC MED COSMETICS, SA","Mejorar la empleabilidad de las personas desempleadas","3384,18"
"IMC.TOYS, SA","Mejorar la empleabilidad de las personas desempleadas","6534,5"
"IMCA CUATRO SL","Mejorar la empleabilidad de las personas desempleadas",1900
"IMCAR TOOLS, SL","Mejorar la empleabilidad de las personas desempleadas","2277,78"
"IMCARVAU ESTUCHES, SL","Mejorar la empleabilidad de las personas desempleadas","363,59"
