nombre_beneficiario,nombre_operacion,montante_concedido,t_montante_concedido,montante_pagado_final_operacion,t_montante_pagado_final_operacion,ano_de_la_concesion_ano_del_pago,uri
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF (4) AFM '08 - SANTA MÓNICA - EEUU,"82,34",82.34,"82,34",82.34,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),TDW 2008(10)SEMINARIO DDI-AGENCIA,"123,10",123.10,"123,10",123.10,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF-POPKOMM 2008 - BERLIN (ALEMANIA),"278,66",278.66,"278,66",278.66,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF(1) - WOMEX 2008 - SEVILLA (ESPAÑA),"95,84",95.84,"95,84",95.84,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),MIV - LIBER - EE.UU. 2008,"256,34",256.34,"256,34",256.34,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGV ALEMANIA 2007-ESPECIALES VINOS DE ESPAÑA,"712,83",712.83,"712,83",712.83,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGV2 JAPON 2008- ACTO PUBLICIDAD CON PAVONE,"652,87",652.87,"652,87",652.87,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGV SUECIA 2008-CONCURSO DE VINOS,"561,26",561.26,"561,26",561.26,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGV SUECIA 2008-FERIA DE IMPORTADORES,"2.052,13",2052.13,"2.052,13",2052.13,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),CPSM ACEITE DE OLIVA PUBLICIDAD EEUU 2008 (PC),"2.649,55",2649.55,"2.649,55",2649.55,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),"EXP ""SPAIN GOURMET TRADE FAIR"" TOKIO 2008 (PC)","287,00",287.00,"287,00",287.00,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGV RU08-FERIA IMPORTADORES Y BUSQUEDA DISTR.2009,"1.089,13",1089.13,"1.089,13",1089.13,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGV REINO UNIDO 2008-FEIRA WINE+2009,"731,36",731.36,"731,36",731.36,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGV REINO UNIDO 2008-MAJAESTIC,"1.449,68",1449.68,"1.449,68",1449.68,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPO1 FERIA GULFOOD 2009 - DUBAI (PI),"5.807,89",5807.89,"5.807,89",5807.89,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),MIV - LIBER - JAPÓN 2008,"173,61",173.61,"173,61",173.61,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),ACUERDO MIT/ICEX 2008 EE.UU.,"3.641,27",3641.27,"3.641,27",3641.27,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PUBLICIDAD PORTAL FASHIONFROMSPAIN EN JAPON,"93,82",93.82,"93,82",93.82,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),ACTUALIZACION PORTAL DE LA TECNOLOGÍA,"552,32",552.32,"552,32",552.32,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF (1) TRANSRUSSIA - MOSCU,"69,06",69.06,"69,06",69.06,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),INSERC.PUBLICIT. INTERIOR+DESIGN RUSIA NOV. 2008,"122,70",122.70,"122,70",122.70,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),INSERC.PUBLICIT.SALON INTERIOR RUSIA NOVIE. 2008,"171,42",171.42,"171,42",171.42,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),IMAGEN FOODS FROM SPAIN (PC),"454,83",454.83,"454,83",454.83,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF1-FRUITLOGISTICA 2009 XVII-BERLIN,"240,51",240.51,"240,51",240.51,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPO 6 SIAL PARIS 2008 (PC),"1.389,66",1389.66,"1.389,66",1389.66,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),ENC EMPRESARIAL ESPAÑA-JAPÓN (OFECOMES),"931,40",931.40,"931,40",931.40,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGV REINO UNIDO 2008-WAITROSE,"1.349,70",1349.70,"1.349,70",1349.70,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PGV REINO UNIDO 2008-LONDON WINE SHOW 2008,"601,81",601.81,"601,81",601.81,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),MIVP1 MULTIS.VINOS IRLANDA (PI),"416,92",416.92,"416,92",416.92,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),PROVISION Y GESTION DE CONTENIDOS,"223,82",223.82,"223,82",223.82,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),MIVP1 REV.FOOD&WINE - PLAN CHINA-4 (PI),"443,99",443.99,"443,99",443.99,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF (4)- ASIA TV FORUM'08 - SINGAPUR,"144,74",144.74,"144,74",144.74,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPO1 PRODEXPO 2009 - MOSCU (PI),"4.024,55",4024.55,"4.024,55",4024.55,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),FPINF1-THE BIG 5´08-DUBAI,"201,23",201.23,"201,23",201.23,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),MINV GRUPO CÁRNICOS FILIPINAS 2008 (PU),"149,39",149.39,"149,39",149.39,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
Instituto Español de Comercio Exterior (ICEX) (MITC),INSERC.PUBLIC.MAISON FRANÇAISE DICIE. 2008-FRANCIA,"203,77",203.77,"203,77",203.77,2008,http://www.dgfc.sgpg.meh.es/aplweb/pdf/DescargasFondosComunitarios/(3043)NA11.pdf
