"COUNTY","NAME OF GRANT RECIPIENT","GRANT TYPE","AMOUNT OF NON REFUNDABLE AID PAID OUT IN 2008","AMOUNT OF REFUNDABLE AID PAID OUT IN 2008","TOTAL PAID OUT IN 2008","YEAR"
"Wexford CEB","Tricon Automation","Capital Grant","€ 1,256.25","€ 21,721.00","€ 22,977.25",2008
"Wexford CEB","Irish Regional Lottery Sys","Feasibility Grant",0,"€ 5,100.00","€ 5,100.00",2008
"Wexford CEB","Building Envelopes","Capital Grant",0,"€ 2,554.52","€ 2,554.52",2008
"Wexford CEB","Adman Steel Ltd","Capital Grant",0,"€ 44,739.65","€ 44,739.65",2008
"Wexford CEB","Paul Maloney Pottery","Capital Grant",0,"€ 8,727.19","€ 8,727.19",2008
"Wexford CEB","May Keegan","Employment Grant",0,"€ 3,750.00","€ 3,750.00",2008
"Wexford CEB","Lautwein Ltd","Capital Grant",0,"€ 526.16","€ 526.16",2008
"Wexford CEB","Proserve Solutions","Employment Grant",0,"€ 3,750.00","€ 3,750.00",2008
"Wexford CEB","Southern Fine Coving","Employment Grant",0,"€ 15,000.00","€ 15,000.00",2008
"WICKLOW CEB","Fresh to Cook","Employment Grant","€ 1,875.00","€ 1,875.00","€ 3,750.00",2008
"WICKLOW CEB","Lmentech","Employment Grant","€ 1,875.00","€ 1,875.00","€ 3,750.00",2008
"WICKLOW CEB","The Yarn Room","Employment Grant","€ 3,750.00","€ 3,750.00","€ 7,500.00",2008
"WICKLOW CEB","Irish Drivers Education Ass Ltd","Employment Grant","€ 1,875.00","€ 1,875.00","€ 3,750.00",2008
"WICKLOW CEB","Divito Studios","Employment Grant","€ 1,875.00","€ 1,875.00","€ 3,750.00",2008
"WICKLOW CEB","Microtolerance Ltd","Capital Grant","€ 12,863.48","€ 12,863.47","€ 25,726.95",2008
"WICKLOW CEB","Vicarious Venture Visions Ltd","Capital Grant","€ 19,550.78","€ 19,550.77","€ 39,101.55",2008
"WICKLOW CEB","Safe Surfing On line","Capital Grant","€ 25,970.75","€ 25,970.75","€ 51,941.50",2008
"WICKLOW CEB","Creative Sauces Ltd","Feasibility Study Grant","€ 4,495.91","€ 0.00","€ 4,495.91",2008
"WICKLOW CEB","Visualise Ltd","Feasibility Study Grant","€ 5,100.00","€ 0.00","€ 5,100.00",2008
"WICKLOW CEB","Mike Savage Motors Ltd","Feasibility Study Grant","€ 5,100.00","€ 0.00","€ 5,100.00",2008
"WICKLOW CEB","Patricia O'Sullivan","Feasibility Study Grant","€ 5,100.00","€ 0.00","€ 5,100.00",2008
"WICKLOW CEB","Irish Quilting Magazine","Feasibility Study Grant","€ 5,100.00","€ 0.00","€ 5,100.00",2008
"WICKLOW CEB","MXI Computing Ltd","Preference Shares","€ 0.00","€ 75,000.00","€ 75,000.00",2008
"WICKLOW CEB","Laura's Bakery Ltd","Preference Shares","€ 0.00","€ 40,000.00","€ 40,000.00",2008
"WICKLOW CEB","Language Connections","Preference Shares","€ 0.00","€ 75,000.00","€ 75,000.00",2008
